,Player,Team,G,Par,Stocks,eFG%,MP,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
0,Tracy McGrady,Orlando Magic,67.0,39.5,2.0,0.473,2675.0,25.3,0.526,8.4,6.4,5.7,0.2561,82.0,0,0.8171,2004
2,Kevin Garnett,Minnesota Timberwolves,82.0,43.1,3.7,0.502,3231.0,29.4,0.547,18.3,10.2,10.0,0.7073,82.0,0.991,1.0,2004
3,Peja Stojaković,Sacramento Kings,81.0,32.6,1.5,0.566,3264.0,21.8,0.624,13.5,3.9,4.9,0.6707,82.0,0.228,0.9878,2004
4,Kobe Bryant,Los Angeles Lakers,65.0,34.6,2.1,0.468,2447.0,23.7,0.551,10.7,5.6,4.7,0.6829,82.0,0.172,0.7927,2004
6,Paul Pierce,Boston Celtics,80.0,34.6,2.3,0.441,3099.0,19.4,0.517,7.1,2.0,3.2,0.439,82.0,0,0.9756,2004
7,Baron Davis,New Orleans Hornets,67.0,34.7,2.8,0.462,2686.0,20.7,0.492,7.5,5.2,4.8,0.5,82.0,0.003,0.8171,2004
8,Vince Carter,Toronto Raptors,73.0,32.1,2.1,0.449,2785.0,20.0,0.501,6.0,3.6,3.9,0.4024,82.0,0,0.8902,2004
9,Tim Duncan,San Antonio Spurs,69.0,37.8,3.6,0.502,2527.0,27.1,0.534,13.1,8.5,6.7,0.6951,82.0,0.582,0.8415,2004
10,Dirk Nowitzki,Dallas Mavericks,77.0,33.2,2.6,0.5,2915.0,22.5,0.561,11.5,3.8,4.3,0.6341,82.0,0.003,0.939,2004
11,Michael Redd,Milwaukee Bucks,82.0,29.0,1.1,0.484,3021.0,19.9,0.544,9.7,2.5,3.5,0.5,82.0,0.001,1.0,2004
12,Shaquille O'Neal,Los Angeles Lakers,67.0,35.9,3.0,0.584,2464.0,24.4,0.578,9.9,4.8,4.1,0.6829,82.0,0.145,0.8171,2004
13,Carmelo Anthony,Denver Nuggets,82.0,29.9,1.7,0.449,2995.0,17.6,0.509,6.1,0.1,1.6,0.5244,82.0,0.001,1.0,2004
14,LeBron James,Cleveland Cavaliers,79.0,32.3,2.3,0.438,3122.0,18.3,0.488,5.1,1.7,2.9,0.4268,82.0,0.009,0.9634,2004
16,Corey Maggette,Los Angeles Clippers,73.0,29.7,1.1,0.485,2628.0,20.1,0.586,8.6,2.1,2.7,0.3415,82.0,0,0.8902,2004
18,Stephon Marbury,New York Knicks,81.0,32.3,1.7,0.463,3254.0,20.4,0.519,9.1,3.2,4.3,0.4756,82.0,0,0.9878,2004
19,Jermaine O'Neal,Indiana Pacers,78.0,32.2,3.4,0.435,2788.0,21.1,0.489,9.0,2.4,3.1,0.7439,82.0,0.425,0.9512,2004
20,Zach Randolph,Portland Trail Blazers,81.0,32.6,1.3,0.485,3067.0,19.6,0.528,7.1,-0.5,1.2,0.5,82.0,0,0.9878,2004
21,Elton Brand,Los Angeles Clippers,69.0,33.6,3.1,0.493,2670.0,23.2,0.567,9.7,4.0,4.0,0.3415,82.0,0,0.8415,2004
22,Sam Cassell,Minnesota Timberwolves,81.0,30.4,1.5,0.517,2838.0,22.8,0.566,12.1,4.4,4.6,0.7073,82.0,0.003,0.9878,2004
24,Shawn Marion,Phoenix Suns,79.0,31.0,3.4,0.474,3217.0,19.9,0.513,9.1,3.6,4.6,0.3537,82.0,0,0.9634,2004
25,Larry Hughes,Washington Wizards,61.0,26.5,2.0,0.437,2061.0,17.6,0.496,3.8,0.9,1.5,0.3049,82.0,0,0.7439,2004
26,Jason Richardson,Golden State Warriors,78.0,28.3,1.6,0.468,2936.0,16.8,0.504,5.2,0.5,1.9,0.4512,82.0,0,0.9512,2004
28,Michael Finley,Dallas Mavericks,72.0,26.0,1.7,0.508,2778.0,17.8,0.539,7.6,1.8,2.7,0.6341,82.0,0,0.878,2004
30,Richard Jefferson,New Jersey Nets,82.0,28.0,1.4,0.519,3133.0,18.1,0.573,11.0,2.3,3.4,0.5732,82.0,0,1.0,2004
31,Mike Bibby,Sacramento Kings,82.0,27.2,1.6,0.514,2980.0,19.3,0.564,9.3,2.4,3.3,0.6707,82.0,0,1.0,2004
32,Metta World Peace,Indiana Pacers,73.0,27.3,2.8,0.455,2714.0,18.2,0.511,8.0,3.5,3.8,0.7439,82.0,0,0.8902,2004
33,Stephen Jackson,Atlanta Hawks,80.0,25.8,2.1,0.483,2940.0,16.1,0.521,4.4,0.1,1.5,0.3415,82.0,0,0.9756,2004
34,Rashard Lewis,Seattle SuperSonics,80.0,26.5,1.9,0.494,2931.0,17.5,0.527,6.5,1.0,2.2,0.4512,82.0,0,0.9756,2004
35,Pau Gasol,Memphis Grizzlies,78.0,27.9,2.3,0.484,2458.0,21.7,0.542,8.1,2.9,3.0,0.6098,82.0,0,0.9512,2004
36,Richard Hamilton,Detroit Pistons,78.0,25.2,1.5,0.462,2772.0,16.8,0.522,8.1,1.2,2.3,0.6585,82.0,0,0.9512,2004
37,Yao Ming,Houston Rockets,82.0,28.0,2.2,0.522,2692.0,21.9,0.586,11.4,2.8,3.2,0.5488,82.0,0.001,1.0,2004
38,Jamal Crawford,Chicago Bulls,80.0,25.9,1.8,0.449,2811.0,15.9,0.486,4.1,1.4,2.4,0.2805,82.0,0,0.9756,2004
39,Eddie Jones,Miami Heat,81.0,24.3,1.5,0.486,2998.0,16.7,0.538,9.1,2.5,3.4,0.5122,82.0,0,0.9878,2004
40,Quentin Richardson,Los Angeles Clippers,65.0,25.7,1.3,0.454,2338.0,15.1,0.484,2.4,-0.8,0.7,0.3415,82.0,0,0.7927,2004
41,Lamar Odom,Miami Heat,80.0,30.9,2.0,0.457,3003.0,18.5,0.516,8.4,2.9,3.8,0.5122,82.0,0,0.9756,2004
42,Juwan Howard,Orlando Magic,81.0,26.0,1.0,0.453,2877.0,15.6,0.513,3.6,-2.9,-0.6,0.2561,82.0,0,0.9878,2004
43,Chauncey Billups,Detroit Pistons,78.0,26.1,1.2,0.459,2758.0,18.6,0.55,11.3,3.6,3.9,0.6585,82.0,0,0.9512,2004
44,Latrell Sprewell,Minnesota Timberwolves,82.0,24.1,1.4,0.448,3100.0,14.7,0.493,5.7,-0.3,1.3,0.7073,82.0,0,1.0,2004
45,Jason Terry,Atlanta Hawks,81.0,26.3,1.7,0.478,3018.0,16.2,0.519,5.1,0.3,1.7,0.3415,82.0,0,0.9878,2004
46,Joe Johnson,Phoenix Suns,82.0,25.8,1.4,0.462,3331.0,13.9,0.491,3.3,-1.3,0.6,0.3537,82.0,0,1.0,2004
47,Kenyon Martin,New Jersey Nets,65.0,28.7,2.8,0.492,2252.0,18.7,0.528,6.7,1.9,2.2,0.5732,82.0,0,0.7927,2004
48,Steve Francis,Houston Rockets,79.0,28.3,2.2,0.436,3194.0,15.8,0.501,7.1,1.4,2.7,0.5488,82.0,0,0.9634,2004
50,Andrei Kirilenko,Utah Jazz,78.0,27.7,4.7,0.479,2895.0,22.6,0.559,11.6,7.9,7.2,0.5122,82.0,0.002,0.9512,2004
51,Shareef Abdur-Rahim,Portland Trail Blazers,85.0,25.8,1.2,0.48,2684.0,19.9,0.557,8.1,1.6,2.4,0.5,82.0,0,1.0366,2004
53,Dwyane Wade,Miami Heat,61.0,24.7,2.0,0.475,2126.0,17.6,0.53,4.6,1.4,1.9,0.5122,82.0,0,0.7439,2004
54,Keith Van Horn,Milwaukee Bucks,72.0,24.8,1.4,0.506,2340.0,17.8,0.564,6.3,1.2,1.9,0.5,82.0,0,0.878,2004
55,Rasheed Wallace,Detroit Pistons,68.0,25.1,2.7,0.478,2390.0,17.8,0.51,6.2,2.3,2.6,0.6585,82.0,0,0.8293,2004
56,Cuttino Mobley,Houston Rockets,80.0,23.5,1.7,0.501,3229.0,14.1,0.535,7.6,1.4,2.8,0.5488,82.0,0,0.9756,2004
57,Jalen Rose,Toronto Raptors,66.0,24.5,1.1,0.439,2497.0,12.4,0.485,1.5,-2.6,-0.4,0.4024,82.0,0,0.8049,2004
58,Carlos Boozer,Cleveland Cavaliers,75.0,28.9,1.7,0.524,2592.0,20.8,0.567,9.4,2.1,2.7,0.4268,82.0,0,0.9146,2004
59,Jason Kidd,New Jersey Nets,67.0,31.1,2.0,0.433,2450.0,19.7,0.485,7.2,4.7,4.2,0.5732,82.0,0.014,0.8171,2004
60,Zydrunas Ilgauskas,Cleveland Cavaliers,81.0,24.7,3.0,0.484,2539.0,20.2,0.541,7.8,0.9,1.9,0.4268,82.0,0,0.9878,2004
61,Antawn Jamison,Dallas Mavericks,82.0,22.0,1.4,0.543,2376.0,21.2,0.581,9.0,1.7,2.2,0.6341,82.0,0,1.0,2004
62,Andre Miller,Denver Nuggets,82.0,25.4,2.0,0.463,2838.0,18.8,0.541,8.8,2.5,3.3,0.5244,82.0,0,1.0,2004
63,Donyell Marshall,Toronto Raptors,82.0,26.1,2.6,0.525,2988.0,18.9,0.548,10.4,2.7,3.6,0.4024,82.0,0,1.0,2004
64,Tim Thomas,New York Knicks,66.0,21.4,1.3,0.491,2089.0,15.1,0.534,4.1,0.2,1.1,0.4756,82.0,0,0.8049,2004
65,Eddy Curry,Chicago Bulls,73.0,21.8,1.4,0.497,2154.0,14.8,0.538,3.0,-2.8,-0.5,0.2805,82.0,0,0.8902,2004
66,Tony Parker,San Antonio Spurs,75.0,23.4,0.9,0.48,2577.0,15.7,0.516,7.5,0.8,1.8,0.6951,82.0,0,0.9146,2004
67,Gary Payton,Los Angeles Lakers,82.0,24.3,1.4,0.498,2825.0,17.3,0.528,8.1,2.0,2.9,0.6829,82.0,0,1.0,2004
68,Steve Nash,Dallas Mavericks,78.0,26.3,1.0,0.531,2612.0,20.5,0.59,8.8,2.5,3.0,0.6341,82.0,0,0.9512,2004
69,Ricky Davis,Boston Celtics,79.0,22.2,1.5,0.497,2474.0,16.1,0.533,4.4,0.1,1.3,0.439,82.0,0,0.9634,2004
70,Desmond Mason,Milwaukee Bucks,82.0,20.7,1.0,0.477,2534.0,15.7,0.552,5.7,-0.4,1.0,0.5,82.0,0,1.0,2004
71,Voshon Lenard,Denver Nuggets,73.0,19.0,1.0,0.479,2233.0,13.5,0.512,4.0,-1.4,0.3,0.5244,82.0,0,0.8902,2004
72,Brad Miller,Sacramento Kings,72.0,28.7,2.1,0.518,2621.0,19.4,0.579,10.0,3.1,3.4,0.6707,82.0,0,0.878,2004
73,Antoine Walker,Dallas Mavericks,82.0,26.8,1.6,0.464,2840.0,15.8,0.475,3.9,0.5,1.8,0.6341,82.0,0,1.0,2004
74,David Wesley,New Orleans Hornets,61.0,19.1,1.4,0.446,2001.0,12.6,0.483,2.8,-1.5,0.2,0.5,82.0,0,0.7439,2004
77,James Posey,Memphis Grizzlies,82.0,20.1,2.2,0.551,2451.0,18.8,0.614,10.0,3.7,3.5,0.6098,82.0,0,1.0,2004
79,Jamaal Magloire,New Orleans Hornets,82.0,24.9,1.7,0.473,2777.0,16.5,0.551,7.6,-1.6,0.3,0.5,82.0,0,1.0,2004
80,Kenny Thomas,Philadelphia 76ers,74.0,25.2,1.5,0.469,2699.0,15.9,0.527,6.6,-0.7,0.9,0.4024,82.0,0,0.9024,2004
81,Damon Stoudamire,Portland Trail Blazers,82.0,23.3,1.3,0.477,3118.0,14.8,0.508,5.9,0.2,1.7,0.5,82.0,0,1.0,2004
82,Al Harrington,Indiana Pacers,79.0,21.4,1.3,0.475,2441.0,14.9,0.514,5.9,-0.7,0.8,0.7439,82.0,0,0.9634,2004
84,Kerry Kittles,New Jersey Nets,82.0,19.6,2.0,0.503,2842.0,14.7,0.526,7.6,1.6,2.6,0.5732,82.0,0,1.0,2004
85,Jim Jackson,Houston Rockets,80.0,21.8,1.4,0.514,3119.0,12.2,0.54,6.6,0.6,2.1,0.5488,82.0,0,0.9756,2004
86,Manu Ginóbili,San Antonio Spurs,77.0,21.1,2.0,0.474,2260.0,18.5,0.536,9.1,4.7,3.8,0.6951,82.0,0,0.939,2004
87,Carlos Arroyo,Utah Jazz,71.0,20.2,1.0,0.466,2008.0,16.8,0.517,4.7,0.9,1.5,0.5122,82.0,0,0.8659,2004
89,Ronald Murray,Seattle SuperSonics,82.0,17.4,1.3,0.462,2021.0,15.4,0.497,1.7,-1.2,0.4,0.4512,82.0,0,1.0,2004
90,Erick Dampier,Golden State Warriors,74.0,25.1,2.3,0.535,2403.0,20.1,0.573,8.9,1.0,1.8,0.4512,82.0,0,0.9024,2004
92,Kirk Hinrich,Chicago Bulls,76.0,22.2,1.6,0.474,2706.0,13.1,0.51,4.1,-0.8,0.8,0.2805,82.0,0,0.9268,2004
93,Vladimir Radmanović,Seattle SuperSonics,77.0,19.1,1.5,0.511,2321.0,15.1,0.533,4.2,0.8,1.6,0.4512,82.0,0,0.939,2004
