,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
138,135.0,Myles Turner,29.0,MIL,C,47.0,47.0,28.6,4.3,9.8,0.439,2.2,5.7,0.391,2.1,4.1,0.505,0.552,2.1,2.8,0.777,1.2,4.4,5.6,1.6,0.7,1.6,1.1,2.7,13.0,
139,136.0,Toumani Camara,25.0,POR,PF,51.0,51.0,33.7,4.6,10.7,0.429,2.5,7.1,0.353,2.1,3.6,0.582,0.547,1.2,1.7,0.705,1.7,3.6,5.3,2.6,1.0,0.5,2.0,3.2,12.9,
140,137.0,Tre Johnson,19.0,WAS,SG,39.0,21.0,25.1,4.7,10.5,0.444,2.2,5.5,0.393,2.5,5.0,0.5,0.546,1.5,1.6,0.891,0.5,2.2,2.7,2.2,0.6,0.3,1.4,1.8,12.9,
141,138.0,Miles McBride,25.0,NYK,SG,35.0,14.0,28.0,4.5,10.3,0.434,2.9,6.9,0.42,1.6,3.4,0.462,0.575,1.0,1.2,0.814,0.6,2.0,2.6,2.8,0.9,0.2,0.8,1.8,12.9,
142,139.0,Dennis Schröder,32.0,2TM,PG,41.0,14.0,26.2,4.3,10.6,0.406,1.4,4.2,0.339,2.9,6.5,0.449,0.472,2.7,3.2,0.82,0.5,2.5,3.0,5.3,0.9,0.1,2.0,1.6,12.7,
143,139.0,Dennis Schröder,32.0,SAC,PG,40.0,14.0,26.4,4.3,10.6,0.408,1.4,4.2,0.343,2.9,6.4,0.449,0.475,2.7,3.3,0.82,0.6,2.5,3.1,5.3,0.8,0.2,2.0,1.7,12.8,
144,139.0,Dennis Schröder,32.0,CLE,PG,1.0,0.0,19.0,5.0,14.0,0.357,1.0,5.0,0.2,4.0,9.0,0.444,0.393,0.0,0.0,,0.0,2.0,2.0,6.0,3.0,0.0,3.0,0.0,11.0,
145,140.0,Reed Sheppard,21.0,HOU,SG,49.0,5.0,24.5,4.7,11.0,0.422,2.4,6.2,0.384,2.3,4.8,0.472,0.531,0.9,1.1,0.778,0.3,2.2,2.5,3.0,1.4,0.6,1.2,1.9,12.6,
146,141.0,Brandon Williams,26.0,DAL,PG,43.0,11.0,21.9,4.4,9.6,0.462,0.5,2.4,0.21,3.9,7.2,0.549,0.489,3.2,4.1,0.784,0.5,2.3,2.9,3.6,1.0,0.2,1.9,1.7,12.6,
147,142.0,Tre Jones,26.0,CHI,PG,38.0,20.0,26.8,4.4,7.9,0.55,0.6,1.7,0.328,3.8,6.3,0.609,0.584,3.1,3.6,0.848,0.6,2.3,3.0,5.8,1.3,0.2,1.4,1.4,12.4,
148,143.0,Josh Hart,30.0,NYK,SF,39.0,25.0,30.6,4.6,9.1,0.506,1.6,3.9,0.405,3.0,5.2,0.581,0.593,1.4,1.9,0.737,1.6,6.1,7.6,5.1,1.2,0.3,2.1,2.6,12.3,
149,144.0,Malik Monk,27.0,SAC,SG,42.0,0.0,22.2,4.4,10.1,0.435,2.0,4.8,0.415,2.4,5.3,0.453,0.533,1.5,1.7,0.877,0.3,1.7,2.0,2.6,0.6,0.4,1.5,1.6,12.3,
150,145.0,Mark Williams,24.0,PHO,C,46.0,42.0,24.1,4.9,7.5,0.659,0.0,0.0,1.0,4.9,7.4,0.658,0.66,2.4,3.1,0.778,3.2,4.9,8.1,1.1,1.0,1.0,1.1,2.3,12.3,
151,146.0,Nic Claxton,26.0,BRK,C,47.0,46.0,29.3,5.0,8.6,0.578,0.0,0.3,0.167,4.9,8.4,0.59,0.58,2.2,3.5,0.62,2.6,4.7,7.3,4.0,0.7,1.3,1.4,2.4,12.2,
152,147.0,Derik Queen,21.0,NOP,C,52.0,40.0,25.8,4.7,9.6,0.489,0.2,0.9,0.213,4.5,8.7,0.518,0.499,2.6,3.3,0.78,1.7,5.6,7.3,4.3,1.0,0.9,2.5,2.8,12.2,
153,148.0,Wendell Carter Jr.,26.0,ORL,C,47.0,47.0,29.8,4.3,8.6,0.501,1.2,3.4,0.346,3.1,5.1,0.606,0.571,2.3,2.9,0.781,2.2,5.1,7.3,2.1,0.7,0.7,1.2,3.6,12.1,
154,149.0,Jonathan Kuminga,23.0,GSW,PF,20.0,13.0,23.8,4.4,9.7,0.454,0.9,2.7,0.321,3.6,7.1,0.504,0.497,2.5,3.3,0.742,1.5,4.4,5.9,2.5,0.4,0.3,2.3,1.7,12.1,
155,150.0,Brandin Podziemski,22.0,GSW,SG,51.0,19.0,26.8,4.2,9.4,0.453,1.7,4.4,0.385,2.5,4.9,0.514,0.544,1.9,2.5,0.762,0.7,3.9,4.6,3.6,1.1,0.2,1.5,1.9,12.1,
156,151.0,Brice Sensabaugh,22.0,UTA,SF,48.0,9.0,21.4,4.3,9.4,0.453,1.7,5.1,0.339,2.5,4.3,0.59,0.546,1.9,2.2,0.867,0.8,2.1,2.9,1.6,0.7,0.1,1.2,1.8,12.1,
157,152.0,Duncan Robinson,31.0,DET,SF,47.0,47.0,28.5,4.0,9.3,0.435,2.9,7.3,0.401,1.1,2.0,0.558,0.592,1.0,1.4,0.734,0.4,2.3,2.7,1.8,0.7,0.3,0.7,2.2,12.0,
158,153.0,Jaylen Wells,22.0,MEM,SG,49.0,49.0,26.9,4.1,10.1,0.408,1.8,5.2,0.34,2.3,4.9,0.481,0.496,2.0,2.6,0.778,1.0,2.5,3.5,1.7,0.8,0.1,1.2,2.2,12.0,
159,154.0,Tari Eason,24.0,HOU,PF,28.0,14.0,24.6,4.5,9.7,0.467,2.1,4.4,0.488,2.4,5.3,0.45,0.577,0.7,1.1,0.633,2.0,4.3,6.3,1.4,1.3,0.6,1.5,2.2,11.9,
160,155.0,Rui Hachimura,27.0,LAL,PF,39.0,27.0,29.6,4.6,9.2,0.501,1.8,4.1,0.431,2.8,5.1,0.558,0.597,0.9,1.2,0.723,0.7,2.8,3.5,0.9,0.5,0.3,0.8,1.6,11.9,
161,156.0,Cam Spencer,25.0,MEM,SG,48.0,14.0,24.1,3.9,8.0,0.481,2.3,4.9,0.458,1.6,3.1,0.517,0.621,1.9,2.1,0.929,0.5,2.2,2.7,5.6,0.7,0.1,1.5,1.5,11.9,
162,157.0,Cameron Johnson,29.0,DEN,SF,28.0,28.0,30.6,4.0,8.8,0.461,1.9,4.5,0.429,2.1,4.3,0.496,0.571,1.7,2.1,0.81,0.7,2.9,3.6,2.4,0.6,0.3,1.0,2.3,11.7,
163,158.0,Jalen Green,23.0,PHO,SG,5.0,2.0,14.0,4.0,9.2,0.435,2.2,5.2,0.423,1.8,4.0,0.45,0.554,1.4,1.8,0.778,0.4,1.8,2.2,1.8,0.6,0.0,1.4,0.8,11.6,
164,159.0,De'Anthony Melton,27.0,GSW,PG,24.0,0.0,21.3,4.2,9.8,0.427,1.3,4.5,0.287,2.9,5.3,0.548,0.494,2.0,2.4,0.81,0.6,2.3,2.9,2.3,1.5,0.5,1.6,2.4,11.6,
