,Player,Team,G,PTS,AST,TRB,Stocks,eFG%,MP,PER,TS%,USG%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
110,Marc Gasol,Memphis Grizzlies,81.0,11.7,2.5,7.0,2.6,0.529,2586.0,16.8,0.58,16.9,7.9,2.3,2.8,0.561,82.0,0,0.9878,2011
112,Ty Lawson,Denver Nuggets,80.0,11.7,4.7,2.6,1.1,0.553,2103.0,17.9,0.593,19.6,6.7,2.1,2.2,0.6098,82.0,0,0.9756,2011
115,George Hill,San Antonio Spurs,76.0,11.6,2.5,2.6,1.2,0.514,2148.0,14.6,0.588,18.2,6.1,0.8,1.5,0.7439,82.0,0,0.9268,2011
118,Boris Diaw,Charlotte Bobcats,82.0,11.3,4.1,5.0,1.5,0.543,2778.0,13.9,0.558,16.8,4.8,0.6,1.8,0.4146,82.0,0,1.0,2011
123,Ben Gordon,Detroit Pistons,82.0,11.2,2.1,2.4,0.8,0.51,2131.0,12.4,0.548,21.5,1.7,-2.5,-0.3,0.3659,82.0,0,1.0,2011
126,Trevor Ariza,New Orleans Hornets,75.0,11.0,2.2,5.4,2.0,0.451,2600.0,11.3,0.487,17.7,3.4,-0.4,1.0,0.561,82.0,0,0.9146,2011
128,Richard Jefferson,San Antonio Spurs,81.0,11.0,1.3,3.8,0.9,0.579,2459.0,12.4,0.612,15.4,5.9,0.3,1.4,0.7439,82.0,0,0.9878,2011
130,Hedo Türkoğlu,Orlando Magic,81.0,10.8,4.2,4.4,1.3,0.534,2540.0,13.4,0.555,16.7,6.8,1.7,2.3,0.6341,82.0,0,0.9878,2011
134,Jared Dudley,Phoenix Suns,82.0,10.6,1.3,3.9,1.3,0.56,2140.0,15.6,0.598,16.9,5.6,1.8,2.0,0.4878,82.0,0,1.0,2011
135,Rajon Rondo,Boston Celtics,68.0,10.6,11.2,4.4,2.5,0.482,2527.0,17.1,0.495,18.3,6.6,3.1,3.2,0.6829,82.0,0.004,0.8293,2011
138,Jodie Meeks,Philadelphia 76ers,74.0,10.5,1.1,2.3,1.0,0.546,2062.0,12.5,0.6,15.7,5.1,0.2,1.1,0.5,82.0,0,0.9024,2011
140,Emeka Okafor,New Orleans Hornets,72.0,10.3,0.6,9.5,2.4,0.573,2287.0,16.0,0.584,15.8,6.5,-0.4,0.9,0.561,82.0,0,0.878,2011
141,Marcin Gortat,Phoenix Suns,80.0,10.2,0.9,7.9,1.6,0.561,2032.0,17.8,0.594,17.1,6.4,0.9,1.5,0.4878,82.0,0,0.9756,2011
142,Kirk Hinrich,Atlanta Hawks,72.0,10.2,4.0,2.5,1.2,0.506,2157.0,12.3,0.543,16.7,3.0,-1.3,0.4,0.5366,82.0,0,0.878,2011
145,Tyson Chandler,Dallas Mavericks,74.0,10.1,0.4,9.4,1.6,0.654,2059.0,18.4,0.697,14.2,9.4,1.5,1.8,0.6951,82.0,0,0.9024,2011
146,JaVale McGee,Washington Wizards,79.0,10.1,0.5,8.0,2.9,0.55,2193.0,17.4,0.566,16.3,5.3,-0.4,0.9,0.2805,82.0,0,0.9634,2011
148,Kris Humphries,New Jersey Nets,74.0,10.0,1.1,10.4,1.5,0.527,2061.0,17.8,0.555,17.3,5.4,0.4,1.3,0.2927,82.0,0,0.9024,2011
149,Serge Ibaka,Oklahoma City Thunder,82.0,9.9,0.3,7.6,2.8,0.543,2216.0,17.7,0.579,15.7,7.6,0.5,1.4,0.6707,82.0,0,1.0,2011
152,José Calderón,Toronto Raptors,68.0,9.8,8.9,3.0,1.3,0.487,2102.0,16.3,0.522,16.8,3.7,0.8,1.5,0.2683,82.0,0,0.8293,2011
156,Landry Fields,New York Knicks,82.0,9.7,1.9,6.4,1.2,0.568,2541.0,13.5,0.598,13.5,5.3,0.2,1.4,0.5122,82.0,0,1.0,2011
163,Greg Monroe,Detroit Pistons,80.0,9.4,1.3,7.5,1.8,0.551,2222.0,18.0,0.575,15.4,6.6,0.4,1.4,0.3659,82.0,0,0.9756,2011
166,Travis Outlaw,New Jersey Nets,82.0,9.2,1.0,4.0,0.8,0.427,2358.0,8.8,0.469,17.3,0.8,-3.5,-0.9,0.2927,82.0,0,1.0,2011
172,Wesley Johnson,Minnesota Timberwolves,79.0,9.0,1.9,3.0,1.4,0.473,2069.0,10.2,0.491,16.8,1.3,-1.7,0.2,0.2073,82.0,0,0.9634,2011
