,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Denver Nuggets,61,242.9,42.9,87.1,0.492,13.7,35.0,0.392,29.2,52.1,0.559,20.9,25.9,0.805,9.8,33.6,43.4,28.0,7.0,4.1,13.0,19.0,120.3
1,2.0,Miami Heat,61,240.4,43.5,93.9,0.463,13.5,37.3,0.361,30.0,56.5,0.531,19.4,24.7,0.784,12.1,35.1,47.2,28.6,9.0,4.2,14.2,18.9,119.8
2,3.0,Cleveland Cavaliers,62,241.2,43.3,90.8,0.477,14.4,40.2,0.359,28.8,50.6,0.569,18.2,23.5,0.778,12.1,32.4,44.5,28.4,9.0,5.2,14.4,19.8,119.2
3,4.0,Oklahoma City Thunder,62,242.4,43.1,89.1,0.483,13.6,37.5,0.362,29.5,51.6,0.571,19.5,23.7,0.82,9.5,34.5,43.9,25.6,9.8,5.7,12.7,19.3,119.2
4,5.0,Minnesota Timberwolves,61,241.2,43.0,88.8,0.484,14.1,37.7,0.375,28.9,51.1,0.565,19.0,25.5,0.743,11.3,33.4,44.7,26.5,8.8,5.8,14.6,21.2,119.1
5,6.0,San Antonio Spurs,60,240.4,42.6,89.2,0.477,13.1,37.4,0.351,29.4,51.8,0.568,19.7,25.3,0.781,11.3,35.1,46.4,27.0,7.8,5.3,13.9,19.0,118.0
6,7.0,Utah Jazz,60,242.5,42.2,90.6,0.466,12.8,37.1,0.346,29.4,53.5,0.549,20.6,25.9,0.795,11.9,32.1,44.0,29.8,8.5,3.6,15.8,21.8,117.8
7,8.0,Atlanta Hawks,62,240.8,43.1,91.8,0.47,14.4,39.2,0.367,28.7,52.6,0.546,16.8,21.6,0.776,10.5,32.8,43.3,30.4,9.4,4.7,14.3,19.8,117.4
8,9.0,Detroit Pistons,59,241.3,43.2,90.3,0.479,10.8,31.6,0.343,32.4,58.7,0.551,20.0,26.4,0.756,13.4,32.9,46.3,26.7,10.7,6.4,15.3,22.3,117.3
9,10.0,New York Knicks,61,241.2,42.6,90.4,0.471,14.9,39.6,0.376,27.7,50.8,0.545,17.1,21.9,0.784,12.9,33.1,46.0,27.1,8.1,4.1,13.6,20.4,117.2
10,11.0,Philadelphia 76ers,60,243.3,41.4,90.1,0.46,12.8,35.8,0.357,28.6,54.3,0.527,20.8,25.5,0.815,12.0,31.4,43.4,24.7,9.3,5.6,13.7,20.5,116.4
11,12.0,Charlotte Hornets,61,241.2,40.9,88.8,0.461,15.9,42.0,0.378,25.0,46.8,0.535,18.3,22.4,0.819,12.8,33.5,46.3,26.6,7.0,4.5,15.9,19.0,116.0
12,13.0,Los Angeles Lakers,60,240.0,41.8,83.8,0.499,11.9,33.5,0.357,29.9,50.4,0.593,20.4,26.6,0.768,9.5,31.4,40.9,25.4,8.2,4.2,14.7,18.6,115.9
13,14.0,Chicago Bulls,61,240.8,42.1,89.7,0.469,14.7,40.1,0.366,27.4,49.7,0.553,17.0,21.6,0.785,10.1,34.5,44.6,28.9,7.6,5.1,15.1,18.6,115.8
14,15.0,Memphis Grizzlies,59,240.8,41.9,90.8,0.462,13.5,38.2,0.353,28.4,52.6,0.54,18.4,23.1,0.795,11.6,32.8,44.4,28.9,8.7,5.1,15.1,19.9,115.7
15,16.0,Golden State Warriors,60,240.8,41.2,89.2,0.462,16.3,45.4,0.36,24.9,43.9,0.567,16.9,20.9,0.808,11.1,31.8,42.9,29.3,9.9,4.4,15.6,19.8,115.6
16,17.0,Portland Trail Blazers,62,240.8,40.7,90.5,0.45,14.3,42.3,0.337,26.5,48.2,0.55,19.5,25.4,0.767,14.0,31.6,45.6,24.7,8.0,5.1,17.3,20.1,115.2
17,18.0,New Orleans Pelicans,62,242.0,42.0,90.6,0.464,11.2,32.6,0.345,30.8,58.0,0.531,19.8,25.2,0.784,12.3,31.5,43.9,25.1,8.8,5.0,14.3,20.0,115.1
18,19.0,Boston Celtics,60,240.8,42.5,91.0,0.467,15.4,42.4,0.364,27.1,48.6,0.557,14.5,18.3,0.794,12.8,33.2,46.1,24.4,7.5,5.4,12.2,19.5,115.0
19,20.0,Orlando Magic,59,242.1,40.8,88.5,0.461,11.7,33.9,0.344,29.2,54.6,0.534,21.2,26.7,0.796,11.1,32.3,43.4,26.2,8.7,5.2,13.8,20.7,114.6
20,21.0,Houston Rockets,59,243.0,42.6,89.7,0.475,11.5,31.0,0.369,31.1,58.7,0.53,17.9,23.6,0.759,15.3,32.9,48.2,24.8,8.8,5.9,15.5,18.5,114.5
21,22.0,Toronto Raptors,60,241.7,42.2,89.3,0.473,11.5,33.2,0.347,30.7,56.1,0.548,18.0,22.9,0.784,11.3,31.6,42.9,29.1,8.6,4.9,13.9,20.9,114.0
22,23.0,Dallas Mavericks,60,242.1,42.2,89.3,0.472,10.7,31.3,0.342,31.5,58.1,0.542,18.9,25.6,0.74,10.1,34.7,44.7,25.0,7.5,5.3,14.8,18.3,113.9
23,24.0,Washington Wizards,59,240.8,41.5,90.5,0.459,12.7,36.1,0.353,28.7,54.4,0.529,16.4,21.3,0.772,11.5,31.8,43.3,25.2,7.9,6.0,15.5,20.8,112.2
24,25.0,Los Angeles Clippers,59,241.3,39.5,82.5,0.479,12.3,34.0,0.362,27.2,48.5,0.561,20.7,24.9,0.832,9.4,31.3,40.7,23.6,8.6,4.7,15.0,18.8,112.1
25,26.0,Phoenix Suns,60,241.3,40.9,90.3,0.453,14.6,40.5,0.36,26.3,49.8,0.528,15.7,19.9,0.793,13.1,30.2,43.3,24.5,10.0,4.0,14.8,21.1,112.1
26,27.0,Milwaukee Bucks,59,241.3,41.4,86.2,0.48,14.7,37.8,0.389,26.7,48.4,0.551,14.4,19.4,0.74,8.8,32.4,41.2,26.0,7.4,4.1,14.6,19.9,111.8
27,28.0,Indiana Pacers,61,241.2,40.2,89.2,0.451,13.0,37.2,0.349,27.2,52.0,0.524,18.0,23.4,0.768,10.3,32.1,42.4,26.4,7.5,4.7,14.6,21.5,111.4
28,29.0,Sacramento Kings,62,241.2,41.1,89.0,0.462,10.1,30.1,0.336,31.0,58.9,0.526,17.9,23.0,0.778,11.3,30.4,41.7,25.2,8.4,4.5,14.5,19.9,110.3
29,30.0,Brooklyn Nets,60,241.3,37.9,84.9,0.446,13.5,39.5,0.342,24.3,45.4,0.536,17.7,23.0,0.77,10.7,29.3,40.0,25.5,7.7,4.2,15.5,20.4,107.0
30,,League Average,60,241.4,41.8,89.2,0.469,13.3,37.0,0.359,28.6,52.2,0.547,18.5,23.6,0.783,11.5,32.5,44.0,26.6,8.5,4.9,14.6,19.9,115.3
