,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
40,39.0,Cooper Flagg,19.0,DAL,SF,49.0,49.0,34.1,7.8,16.1,0.482,1.1,3.5,0.302,6.7,12.6,0.532,0.515,3.8,4.7,0.804,1.1,5.4,6.6,4.1,1.2,0.8,2.2,2.1,20.4,
41,40.0,Desmond Bane,27.0,ORL,SG,59.0,59.0,34.2,7.3,15.2,0.484,2.1,5.3,0.39,5.3,9.8,0.534,0.553,3.5,3.8,0.912,1.3,2.9,4.2,4.1,1.0,0.5,2.1,3.1,20.3,
42,41.0,Alperen Şengün,23.0,HOU,C,52.0,52.0,33.8,7.9,15.9,0.499,0.5,1.8,0.292,7.4,14.0,0.526,0.516,3.8,5.6,0.692,3.1,6.0,9.1,6.3,1.3,1.1,3.2,3.2,20.2,AS
43,42.0,Jimmy Butler,36.0,GSW,SF,38.0,38.0,31.1,6.3,12.2,0.519,0.8,2.2,0.376,5.5,9.9,0.552,0.554,6.5,7.6,0.864,2.3,3.2,5.6,4.9,1.4,0.2,1.6,1.2,20.0,
44,43.0,Nickeil Alexander-Walker,27.0,ATL,SG,59.0,52.0,33.1,6.7,15.4,0.432,3.0,8.1,0.372,3.7,7.3,0.499,0.53,3.4,3.9,0.89,0.6,2.9,3.6,3.8,1.2,0.6,2.1,2.2,19.8,
45,44.0,Karl-Anthony Towns,30.0,NYK,C,57.0,57.0,31.2,6.6,13.8,0.478,1.6,4.3,0.368,5.0,9.5,0.528,0.536,5.0,5.8,0.855,3.1,8.7,11.8,2.8,0.9,0.6,2.6,3.5,19.8,AS
46,45.0,Ty Jerome,28.0,MEM,SG,8.0,8.0,21.0,6.5,12.6,0.515,2.6,6.4,0.412,3.9,6.3,0.62,0.619,4.0,4.6,0.865,0.8,2.0,2.8,5.6,1.3,0.3,1.8,2.1,19.6,
47,46.0,Ja Morant,26.0,MEM,PG,20.0,20.0,28.5,6.6,16.1,0.41,1.0,4.3,0.235,5.6,11.9,0.473,0.441,5.3,5.9,0.897,0.4,2.9,3.3,8.1,1.0,0.3,3.6,2.0,19.5,
48,47.0,Jaren Jackson Jr.,26.0,2TM,C,48.0,48.0,30.3,7.1,15.0,0.476,1.8,4.9,0.357,5.4,10.1,0.533,0.534,3.4,4.2,0.803,0.9,4.8,5.7,2.0,1.1,1.4,2.2,3.7,19.4,
49,47.0,Jaren Jackson Jr.,26.0,MEM,C,45.0,45.0,30.7,7.1,14.9,0.475,1.8,4.9,0.359,5.3,10.0,0.531,0.534,3.3,4.2,0.797,0.9,4.8,5.8,1.9,1.0,1.5,2.2,3.8,19.2,
50,47.0,Jaren Jackson Jr.,26.0,UTA,C,3.0,3.0,24.0,8.0,16.3,0.49,1.7,5.0,0.333,6.3,11.3,0.559,0.541,4.7,5.3,0.875,0.3,4.0,4.3,2.7,2.0,0.3,2.3,3.0,22.3,
51,48.0,LaMelo Ball,24.0,CHO,PG,51.0,48.0,27.6,6.8,16.9,0.401,3.5,9.5,0.365,3.3,7.4,0.448,0.504,2.3,2.5,0.898,0.8,4.0,4.8,7.4,1.1,0.2,2.8,2.5,19.3,
52,49.0,Kon Knueppel,20.0,CHO,SF,60.0,59.0,31.9,6.6,13.5,0.489,3.5,8.0,0.44,3.1,5.5,0.56,0.619,2.5,2.9,0.878,1.2,4.2,5.5,3.5,0.8,0.2,2.2,2.2,19.3,
53,50.0,Trae Young,27.0,ATL,PG,10.0,10.0,28.0,5.6,13.5,0.415,1.8,5.9,0.305,3.8,7.6,0.5,0.481,6.3,7.3,0.863,0.0,1.5,1.5,8.9,1.0,0.1,2.6,2.0,19.3,
54,51.0,Zach LaVine,30.0,SAC,SG,39.0,37.0,31.4,6.7,14.0,0.479,2.5,6.5,0.39,4.2,7.5,0.556,0.569,3.2,3.6,0.88,0.2,2.6,2.8,2.3,0.7,0.3,1.9,2.1,19.2,
55,52.0,Scottie Barnes,24.0,TOR,PF,58.0,58.0,34.2,7.4,14.9,0.501,0.9,3.0,0.291,6.6,11.9,0.553,0.53,3.3,4.0,0.827,2.1,6.1,8.2,5.5,1.4,1.6,2.7,2.9,19.1,AS
56,53.0,De'Aaron Fox,28.0,SAS,PG,51.0,51.0,31.6,7.0,14.6,0.481,1.9,5.5,0.348,5.1,9.1,0.563,0.547,2.8,3.7,0.766,0.5,3.2,3.7,6.2,1.2,0.3,2.4,2.2,18.8,AS
57,54.0,CJ McCollum,34.0,2TM,PG,57.0,41.0,29.9,6.8,15.1,0.452,2.6,6.7,0.38,4.3,8.4,0.509,0.537,2.5,3.2,0.78,0.8,2.7,3.4,3.5,0.8,0.4,1.7,1.9,18.7,
58,54.0,CJ McCollum,34.0,WAS,SG,35.0,35.0,30.9,6.9,15.1,0.454,2.7,7.0,0.393,4.1,8.1,0.505,0.544,2.3,2.9,0.804,0.7,2.9,3.5,3.6,0.7,0.3,1.7,2.1,18.8,
59,54.0,CJ McCollum,34.0,ATL,PG,22.0,6.0,28.2,6.8,15.2,0.449,2.3,6.4,0.357,4.5,8.8,0.515,0.524,2.7,3.6,0.75,0.9,2.3,3.2,3.5,0.9,0.6,1.8,1.5,18.6,
60,55.0,Bam Adebayo,28.0,MIA,C,53.0,53.0,31.4,6.6,14.8,0.449,1.7,4.9,0.344,4.9,9.9,0.501,0.506,3.7,4.8,0.765,2.1,7.8,9.9,2.8,1.0,0.7,1.8,1.6,18.6,
61,56.0,Jalen Duren,22.0,DET,C,49.0,49.0,28.2,7.2,11.4,0.631,0.0,0.0,,7.2,11.4,0.631,0.631,4.0,5.5,0.731,3.9,6.9,10.7,1.8,0.9,0.8,1.8,2.8,18.5,AS
62,57.0,Jerami Grant,31.0,POR,PF,46.0,27.0,29.3,5.7,12.9,0.44,2.3,6.0,0.377,3.4,6.9,0.495,0.528,4.9,5.9,0.827,0.9,2.5,3.5,2.3,0.7,0.6,2.0,2.5,18.5,
63,58.0,DeMar DeRozan,36.0,SAC,PF,62.0,62.0,31.7,6.3,12.9,0.493,0.7,2.0,0.336,5.7,10.8,0.522,0.519,4.9,5.6,0.868,0.5,2.6,3.1,4.0,1.1,0.3,1.1,2.0,18.2,
64,59.0,Bennedict Mathurin,23.0,2TM,SF,35.0,25.0,31.5,5.6,13.2,0.424,1.8,5.2,0.344,3.8,8.0,0.477,0.492,5.0,5.7,0.871,1.0,4.5,5.5,2.4,0.8,0.2,2.3,2.8,18.0,
65,59.0,Bennedict Mathurin,23.0,IND,SF,28.0,24.0,31.8,5.5,12.8,0.433,2.1,5.6,0.372,3.5,7.2,0.48,0.514,4.6,5.2,0.884,0.8,4.6,5.4,2.3,0.6,0.1,2.3,2.7,17.8,
66,59.0,Bennedict Mathurin,23.0,LAC,SF,7.0,1.0,30.1,5.9,14.9,0.394,0.7,3.9,0.185,5.1,11.0,0.468,0.418,6.6,7.9,0.836,1.7,4.3,6.0,3.0,1.4,0.3,2.3,3.3,19.0,
67,60.0,Coby White,25.0,2TM,SG,32.0,26.0,28.0,5.7,13.2,0.433,2.4,6.9,0.344,3.3,6.3,0.53,0.522,4.2,5.3,0.804,0.3,3.3,3.6,4.6,0.7,0.1,2.9,2.4,18.0,
68,60.0,Coby White,25.0,CHI,SG,29.0,26.0,29.1,5.9,13.6,0.438,2.5,7.2,0.346,3.4,6.4,0.541,0.529,4.3,5.3,0.805,0.2,3.5,3.7,4.7,0.7,0.1,3.0,2.4,18.6,
69,60.0,Coby White,25.0,CHO,SG,3.0,0.0,18.0,3.7,10.0,0.367,1.3,4.3,0.308,2.3,5.7,0.412,0.433,3.7,4.7,0.786,0.3,2.0,2.3,3.7,0.7,0.0,1.7,2.0,12.3,
70,61.0,RJ Barrett,25.0,TOR,SF,36.0,36.0,29.6,6.5,13.8,0.47,1.7,5.0,0.341,4.8,8.8,0.543,0.531,3.4,4.8,0.705,0.9,4.5,5.4,3.5,0.8,0.3,1.7,2.5,18.0,
71,62.0,Darius Garland,26.0,CLE,PG,26.0,26.0,30.5,6.5,14.5,0.451,2.3,6.3,0.36,4.3,8.2,0.521,0.529,2.6,3.0,0.861,0.5,2.0,2.4,6.9,0.8,0.1,2.8,1.8,18.0,
72,63.0,Miles Bridges,27.0,CHO,PF,56.0,56.0,31.9,6.4,14.2,0.45,2.1,6.4,0.333,4.3,7.8,0.546,0.525,2.9,3.5,0.846,1.0,5.1,6.1,3.4,0.6,0.5,1.5,1.8,17.9,
73,64.0,Josh Giddey,23.0,CHI,PG,40.0,37.0,31.2,6.2,13.4,0.458,1.8,4.8,0.372,4.4,8.7,0.506,0.524,3.7,4.9,0.764,1.2,6.9,8.2,8.4,1.0,0.4,3.6,1.6,17.8,
74,65.0,Kevin Porter Jr.,25.0,MIL,PG,34.0,32.0,33.5,6.4,13.9,0.462,1.3,4.0,0.326,5.1,9.9,0.516,0.508,3.6,4.2,0.873,0.9,4.3,5.2,7.5,2.2,0.5,2.9,2.2,17.8,
75,66.0,Aaron Gordon,30.0,DEN,PF,23.0,20.0,27.9,6.0,11.9,0.509,1.8,4.6,0.4,4.2,7.3,0.577,0.586,3.7,4.7,0.789,1.3,4.9,6.2,2.5,0.7,0.2,1.0,1.7,17.7,
76,67.0,Evan Mobley,24.0,CLE,PF,47.0,45.0,32.6,6.8,13.2,0.516,1.1,3.7,0.31,5.7,9.5,0.596,0.559,2.8,4.5,0.627,2.2,6.5,8.7,3.8,0.9,1.9,2.0,2.5,17.6,
77,68.0,Grayson Allen,30.0,PHO,SG,38.0,26.0,30.2,5.7,13.9,0.408,3.4,9.4,0.36,2.3,4.6,0.509,0.529,2.8,3.2,0.861,0.7,2.4,3.1,3.9,1.4,0.3,1.7,2.2,17.5,
78,69.0,Immanuel Quickley,26.0,TOR,PG,57.0,57.0,32.5,6.1,13.4,0.453,2.7,7.1,0.381,3.4,6.4,0.533,0.553,2.6,3.2,0.809,0.5,3.7,4.2,6.0,1.2,0.1,1.6,2.1,17.5,
79,70.0,Jalen Williams,24.0,OKC,SG,26.0,26.0,29.0,6.7,14.0,0.479,0.8,2.5,0.313,6.0,11.6,0.515,0.507,3.3,3.9,0.833,0.7,4.0,4.7,5.4,1.3,0.3,1.9,2.1,17.5,
80,71.0,Andrew Nembhard,26.0,IND,PG,47.0,47.0,31.7,6.1,13.7,0.441,2.0,5.4,0.369,4.1,8.4,0.487,0.513,3.3,4.0,0.821,0.4,2.4,2.8,7.4,0.9,0.1,2.5,2.2,17.4,
81,72.0,Saddiq Bey,26.0,NOP,SF,55.0,47.0,30.7,5.9,13.0,0.454,2.0,5.6,0.356,3.9,7.3,0.53,0.532,3.5,4.1,0.846,1.7,4.1,5.8,2.6,0.9,0.1,0.9,1.2,17.3,
82,73.0,Amen Thompson,23.0,HOU,PG,57.0,57.0,37.1,6.6,13.1,0.508,0.3,1.6,0.191,6.3,11.4,0.554,0.52,3.7,4.8,0.77,2.8,4.8,7.6,5.3,1.5,0.6,2.6,2.2,17.3,
83,74.0,Chet Holmgren,23.0,OKC,PF,54.0,54.0,29.4,6.3,11.4,0.553,1.2,3.5,0.349,5.1,7.9,0.643,0.607,3.3,4.2,0.788,1.9,7.1,9.0,1.7,0.6,2.0,1.6,2.3,17.2,AS
84,75.0,Alex Sarr,20.0,WAS,C,41.0,41.0,28.2,7.0,14.0,0.496,1.0,2.9,0.336,6.0,11.1,0.537,0.53,2.3,3.3,0.691,2.3,5.4,7.8,2.8,0.8,2.0,1.7,2.1,17.2,
85,76.0,Derrick White,31.0,BOS,SG,58.0,58.0,34.4,5.9,15.2,0.391,2.9,8.8,0.33,3.0,6.4,0.476,0.487,2.4,2.6,0.895,1.1,3.4,4.5,5.7,1.2,1.5,1.8,1.6,17.1,
86,77.0,Payton Pritchard,28.0,BOS,PG,59.0,48.0,32.5,6.4,13.7,0.464,2.6,7.1,0.365,3.8,6.6,0.569,0.558,1.6,1.9,0.866,0.8,3.3,4.1,5.4,0.8,0.1,1.3,1.4,17.0,
87,78.0,Ryan Rollins,23.0,MIL,PG,57.0,52.0,32.3,6.5,13.9,0.47,2.4,5.9,0.414,4.1,8.0,0.512,0.558,1.5,2.0,0.761,0.8,3.8,4.6,5.4,1.5,0.4,2.6,2.7,17.0,
88,79.0,Kristaps Porziņģis,30.0,2TM,C,18.0,12.0,23.9,5.6,12.2,0.461,1.8,5.1,0.363,3.8,7.1,0.531,0.537,3.8,4.5,0.84,1.2,3.7,4.9,2.6,0.5,1.3,1.0,3.0,16.8,
89,79.0,Kristaps Porziņģis,30.0,ATL,C,17.0,12.0,24.3,5.6,12.4,0.457,1.8,5.1,0.36,3.8,7.3,0.524,0.531,4.0,4.8,0.84,1.2,3.9,5.1,2.7,0.5,1.3,0.9,3.2,17.1,
90,79.0,Kristaps Porziņģis,30.0,GSW,C,1.0,0.0,17.0,5.0,9.0,0.556,2.0,5.0,0.4,3.0,4.0,0.75,0.667,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,12.0,
91,80.0,Stephon Castle,21.0,SAS,PG,50.0,49.0,29.7,5.7,12.2,0.465,1.0,3.5,0.294,4.6,8.6,0.536,0.508,4.2,5.8,0.722,1.2,3.7,4.9,6.8,1.3,0.3,3.2,3.3,16.5,
92,81.0,Nikola Vučević,35.0,2TM,C,57.0,48.0,29.7,6.6,13.1,0.501,1.6,4.4,0.379,4.9,8.8,0.562,0.564,1.3,1.6,0.831,2.1,6.8,8.9,3.4,0.6,0.7,1.4,2.0,16.1,
93,81.0,Nikola Vučević,35.0,CHI,C,48.0,48.0,30.8,6.9,13.8,0.505,1.7,4.5,0.376,5.2,9.2,0.568,0.567,1.3,1.5,0.838,2.1,6.9,9.0,3.8,0.7,0.6,1.4,2.0,16.9,
94,81.0,Nikola Vučević,35.0,BOS,C,9.0,0.0,23.9,4.7,9.8,0.477,1.3,3.3,0.4,3.3,6.4,0.517,0.545,1.3,1.7,0.8,2.1,6.4,8.6,1.6,0.6,0.8,1.2,1.9,12.0,
95,82.0,OG Anunoby,28.0,NYK,PF,47.0,47.0,33.1,5.7,12.1,0.473,2.0,5.7,0.36,3.7,6.4,0.573,0.557,2.6,3.3,0.794,1.4,3.9,5.3,2.3,1.7,0.7,1.9,2.5,16.1,
96,83.0,Onyeka Okongwu,25.0,ATL,C,56.0,45.0,31.4,5.9,12.3,0.483,2.1,5.4,0.385,3.8,6.9,0.56,0.568,2.1,2.7,0.783,1.9,6.0,7.9,3.3,1.1,1.0,1.9,3.4,16.1,
