,Player,Team,G,Par,Stocks,eFG%,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
0,Allen Iverson,Philadelphia 76ers,48.0,36.3,2.4,0.439,22.2,0.508,7.2,5.7,3.9,0.56,50.0,0.27,0.96,1999
1,Shaquille O'Neal,Los Angeles Lakers,49.0,39.3,2.4,0.576,30.6,0.584,9.0,7.1,3.9,0.62,50.0,0.075,0.98,1999
2,Karl Malone,Utah Jazz,49.0,37.3,1.9,0.493,25.6,0.577,9.6,6.7,4.0,0.74,50.0,0.701,0.98,1999
3,Shareef Abdur-Rahim,Vancouver Grizzlies,50.0,33.9,2.5,0.438,20.7,0.53,4.6,2.0,2.1,0.16,50.0,0,1.0,1999
4,Keith Van Horn,New Jersey Nets,42.0,31.8,2.3,0.439,19.6,0.519,3.7,1.2,1.3,0.32,50.0,0,0.84,1999
5,Tim Duncan,San Antonio Spurs,50.0,35.5,3.4,0.495,23.2,0.541,8.7,4.5,3.2,0.74,50.0,0.627,1.0,1999
6,Gary Payton,Seattle SuperSonics,50.0,35.3,2.4,0.479,23.1,0.519,7.2,5.1,3.6,0.5,50.0,0.03,1.0,1999
7,Stephon Marbury,New Jersey Nets,49.0,33.1,1.4,0.465,20.8,0.519,5.3,2.7,2.2,0.32,50.0,0,0.98,1999
8,Antonio McDyess,Denver Nuggets,50.0,33.5,3.8,0.471,21.7,0.515,4.2,0.7,1.3,0.28,50.0,0,1.0,1999
9,Grant Hill,Detroit Pistons,50.0,34.2,2.1,0.479,23.9,0.543,7.3,6.2,3.8,0.58,50.0,0.033,1.0,1999
10,Kevin Garnett,Minnesota Timberwolves,47.0,35.5,3.5,0.462,22.4,0.493,5.4,5.3,3.3,0.5,50.0,0.008,0.94,1999
11,Shawn Kemp,Cleveland Cavaliers,42.0,32.1,2.2,0.483,23.6,0.578,6.3,4.2,2.3,0.44,50.0,0.006,0.84,1999
