,Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
0,1.0,Kareem Abdul-Jabbar,28.0,LAL,C,82.0,82.0,3379.0,27.2,0.567,0.368,8.0,30.5,19.6,19.4,1.6,4.9,9.8,7.2,17.0,0.242,5.5,3.0,8.5,9.0,"MVP-1,AS,NBA1,DEF2"
1,2.0,Bob McAdoo,24.0,BUF,C,78.0,,3328.0,23.3,0.542,0.383,7.8,22.0,15.1,15.7,1.2,2.5,7.7,4.6,12.3,0.178,3.6,0.2,3.8,4.9,"MVP-2,AS"
2,3.0,Jo Jo White,29.0,BOS,PG,82.0,82.0,3257.0,14.6,0.484,0.17,1.8,7.6,4.7,19.9,1.5,0.3,4.3,3.2,7.4,0.109,0.4,0.0,0.4,2.0,"MVP-20,AS"
3,4.0,Tiny Archibald,27.0,KCK,PG,78.0,,3184.0,20.1,0.521,0.395,2.1,4.7,3.4,31.1,1.8,0.2,6.7,1.3,8.0,0.121,3.2,-1.8,1.4,2.8,"MVP-9,AS,NBA1"
4,5.0,Randy Smith,27.0,BUF,SG,82.0,82.0,3167.0,18.7,0.549,0.33,3.5,10.0,6.9,23.1,2.1,0.1,6.5,2.9,9.4,0.143,1.7,-0.2,1.4,2.8,"MVP-24,AS,NBA2"
5,6.0,Rick Barry,31.0,GSW,SF,81.0,,3122.0,18.3,0.483,0.192,2.3,12.8,7.6,22.6,2.9,0.4,4.6,5.1,9.6,0.148,1.3,1.3,2.6,3.6,"MVP-4,AS,NBA1"
6,7.0,Dave Cowens,27.0,BOS,C,78.0,,3101.0,18.9,0.508,0.261,10.6,29.0,19.8,15.1,1.4,1.2,5.0,5.6,10.7,0.165,2.2,1.3,3.4,4.3,"MVP-3,AS,NBA2,DEF1"
7,8.0,Sam Lacey,27.0,KCK,C,81.0,,3083.0,15.5,0.452,0.281,7.1,27.0,17.0,17.2,1.9,2.3,0.4,4.7,5.0,0.079,-0.1,1.6,1.5,2.7,
8,9.0,Mike Newlin,27.0,HOU,SG,82.0,82.0,3065.0,17.4,0.577,0.396,2.6,9.1,5.9,20.9,1.6,0.1,7.5,0.9,8.5,0.133,1.6,-1.0,0.6,2.0,
9,10.0,Sidney Wicks,26.0,POR,PF,79.0,,3044.0,16.4,0.528,0.426,8.4,15.3,11.9,11.9,1.1,0.9,4.2,2.9,7.1,0.112,1.1,-0.8,0.3,1.8,
10,11.0,Steve Mix,28.0,PHI,SF,81.0,63.0,3039.0,15.1,0.565,0.416,6.8,14.2,10.5,9.7,2.3,0.5,5.7,3.7,9.4,0.148,0.9,1.0,1.9,3.0,MVP-20
11,12.0,Norm Van Lier,28.0,CHI,PG,76.0,,3026.0,13.0,0.424,0.323,4.3,9.7,6.8,24.8,2.4,0.5,-0.2,3.3,3.2,0.051,-1.6,0.6,-1.0,0.8,"MVP-24,AS,DEF1"
12,13.0,Curtis Rowe,26.0,DET,PF,80.0,,2998.0,14.7,0.513,0.311,7.8,16.3,12.0,8.5,0.7,0.8,4.5,1.7,6.2,0.099,1.1,-1.4,-0.3,1.3,AS
13,14.0,Calvin Murphy,27.0,HOU,PG,82.0,82.0,2995.0,19.9,0.556,0.299,1.9,5.5,3.8,29.6,2.3,0.1,7.7,1.1,8.8,0.141,2.4,-1.1,1.3,2.5,
