,Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
0,1.0,Bob McAdoo,23.0,BUF,C,82.0,,3539.0,25.8,0.569,0.372,9.2,23.5,16.6,8.6,1.2,2.4,12.7,5.1,17.8,0.242,5.1,-0.4,4.7,6.0,"MVP-1,AS,NBA1"
1,2.0,Elvin Hayes,29.0,WSB,PF,82.0,,3465.0,19.0,0.496,0.32,6.4,22.7,14.5,8.7,2.1,2.9,4.3,8.2,12.5,0.173,1.6,1.7,3.3,4.6,"MVP-3,AS,NBA1,DEF2"
2,3.0,Sam Lacey,26.0,KCO,C,81.0,,3378.0,15.3,0.464,0.208,7.0,28.3,17.6,17.9,1.9,2.7,1.1,6.3,7.4,0.105,0.5,2.6,3.1,4.3,"MVP-10,AS"
3,4.0,Tiny Archibald,26.0,KCO,PG,82.0,,3244.0,21.7,0.544,0.45,1.5,5.6,3.5,29.0,1.7,0.1,9.0,2.2,11.2,0.165,3.6,-1.3,2.4,3.6,"MVP-6,AS,NBA1"
4,5.0,Rick Barry,30.0,GSW,SF,80.0,,3235.0,23.5,0.509,0.197,2.8,11.0,6.9,24.5,3.1,0.5,8.9,3.7,12.7,0.188,4.5,0.4,4.9,5.7,"MVP-4,AS,NBA1"
5,6.0,Dave Bing,31.0,DET,PG,79.0,,3222.0,17.1,0.493,0.318,3.0,6.8,4.9,28.9,1.7,0.4,4.0,1.3,5.3,0.08,1.2,-1.6,-0.4,1.3,AS
6,7.0,Jo Jo White,28.0,BOS,PG,82.0,,3220.0,14.9,0.488,0.155,2.6,6.9,4.8,20.2,1.8,0.3,4.4,3.6,8.0,0.119,0.3,0.2,0.5,2.1,"AS,NBA2"
7,8.0,Walt Frazier,29.0,NYK,PG,78.0,,3204.0,19.9,0.534,0.288,2.9,12.4,7.6,23.1,2.8,0.2,7.2,3.5,10.8,0.161,2.7,1.0,3.8,4.7,"MVP-15,AS,NBA1,DEF1"
8,9.0,Sidney Wicks,25.0,POR,PF,82.0,,3162.0,19.7,0.543,0.401,8.0,20.5,14.5,14.2,1.6,1.3,5.7,4.0,9.7,0.147,2.3,-0.1,2.2,3.4,"MVP-12,AS"
9,10.0,Rudy Tomjanovich,26.0,HOU,PF,81.0,,3134.0,17.8,0.565,0.277,6.5,15.3,10.9,11.6,1.1,0.4,8.2,1.9,10.1,0.155,2.7,-1.2,1.5,2.8,"MVP-21,AS"
10,11.0,John Havlicek,34.0,BOS,SF,82.0,,3132.0,16.7,0.505,0.235,4.9,10.4,7.7,19.6,1.6,0.3,5.9,3.8,9.7,0.149,1.4,0.3,1.7,2.9,"MVP-7,AS,NBA2,DEF1"
11,12.0,Jimmy Walker,30.0,KCO,SG,81.0,,3122.0,12.7,0.524,0.248,1.7,6.2,4.0,11.2,1.3,0.2,4.3,1.9,6.2,0.095,-0.6,-0.8,-1.4,0.5,
12,13.0,Geoff Petrie,26.0,POR,PG,80.0,,3109.0,14.1,0.503,0.236,1.3,5.5,3.5,20.5,1.2,0.2,3.2,1.3,4.5,0.069,-0.2,-1.7,-1.9,0.1,
13,14.0,Fred Carter,29.0,PHI,PG,77.0,75.0,3046.0,15.9,0.482,0.217,2.4,9.0,5.7,18.2,1.2,0.3,2.8,1.9,4.7,0.074,0.3,-1.0,-0.7,1.0,
