,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Voting,Voting,Voting,Voting,Unnamed: 8_level_0,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced
,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
0,1,Bob McAdoo,23,BUF,81,547,965,0.567,82,43.2,34.5,14.1,2.2,1.1,2.1,0.512,,0.805,17.8,0.242
1,2,Dave Cowens,26,BOS,32,310,965,0.321,65,40.5,20.4,14.7,4.6,1.3,1.1,0.475,,0.783,9.5,0.173
2,3,Elvin Hayes,29,WSB,37,289,965,0.299,82,42.3,23.0,12.2,2.5,1.9,2.3,0.443,,0.766,12.5,0.173
3,4,Rick Barry,30,GSW,16,254,965,0.263,80,40.4,30.6,5.7,6.2,2.9,0.4,0.464,,0.904,12.7,0.188
4,5,Kareem Abdul-Jabbar,27,MIL,13,161,965,0.167,65,42.3,30.0,14.0,4.1,1.0,3.3,0.513,,0.763,12.9,0.225
5,6,Tiny Archibald,26,KCO,2,30,965,0.031,82,39.6,26.5,2.7,6.8,1.5,0.1,0.456,,0.872,11.2,0.165
6,7,John Havlicek,34,BOS,3,23,965,0.024,82,38.2,19.2,5.9,5.3,1.3,0.2,0.455,,0.87,9.7,0.149
7,8,Phil Chenier,24,WSB,3,20,965,0.021,77,37.3,21.8,3.8,3.2,2.3,0.8,0.45,,0.825,8.8,0.147
8,9,Wes Unseld,28,WSB,2,18,965,0.019,73,39.8,9.2,14.8,4.1,1.6,0.9,0.502,,0.685,10.6,0.175
9,10,Sam Lacey,26,KCO,2,13,965,0.013,81,41.7,11.5,14.2,5.3,1.7,2.1,0.427,,0.754,7.4,0.105
10,11,Norm Van Lier,27,CHI,0,9,965,0.009,70,37.0,15.0,4.7,5.8,2.0,0.2,0.42,,0.792,5.6,0.104
11,12,Sidney Wicks,25,POR,1,8,965,0.008,82,38.6,21.7,10.7,3.5,1.3,1.0,0.497,,0.706,9.7,0.147
12,13T,Spencer Haywood,25,SEA,0,7,965,0.007,68,37.2,22.4,9.3,2.0,0.8,1.6,0.459,,0.811,7.3,0.138
13,13T,Bob Lanier,26,DET,0,7,965,0.007,76,39.3,24.0,12.0,4.6,1.0,2.3,0.51,,0.802,12.4,0.199
14,15,Walt Frazier,29,NYK,0,6,965,0.006,78,41.1,21.5,6.0,6.1,2.4,0.2,0.483,,0.828,10.8,0.161
15,16T,Mike Bantom,23,PHO,1,5,965,0.005,82,27.3,12.5,6.7,1.9,0.8,0.6,0.461,,0.714,4.5,0.097
16,16T,Earl Monroe,30,NYK,0,5,965,0.005,78,36.1,20.9,4.2,3.5,1.4,0.4,0.457,,0.827,6.6,0.113
17,16T,Chet Walker,34,CHI,0,5,965,0.005,76,32.3,19.2,5.7,2.2,0.6,0.1,0.487,,0.86,10.5,0.205
18,19,Bob Love,32,CHI,0,4,965,0.004,61,39.4,22.0,6.3,1.7,1.0,0.2,0.429,,0.83,5.2,0.103
19,20,Jim Chones,25,CLE,0,3,965,0.003,72,33.7,14.5,9.4,1.8,0.7,1.7,0.487,,0.679,6.2,0.123
20,21T,Fred Brown,26,SEA,0,1,965,0.001,81,33.0,21.0,4.2,3.5,2.3,0.2,0.48,,0.831,7.9,0.142
21,21T,Rudy Tomjanovich,26,HOU,0,1,965,0.001,81,38.7,20.7,7.6,2.9,0.9,0.3,0.525,,0.79,10.1,0.155
