,PLAYER_NAME,TEAM_ABBREVIATION,PIE
296,LeBron James,MIA,0.221
265,Kevin Durant,OKC,0.202
74,Chris Paul,LAC,0.178
431,Tim Duncan,SAS,0.178
13,Anderson Varejao,CLE,0.164
437,Tony Parker,SAS,0.161
266,Kevin Garnett,BOS,0.16
277,Kobe Bryant,LAL,0.156
398,Russell Westbrook,OKC,0.155
176,Henry Sims,NOH,0.154
136,Dwyane Wade,MIA,0.153
58,Carmelo Anthony,NYK,0.151
107,David West,IND,0.151
40,Blake Griffin,LAC,0.15
192,James Harden,HOU,0.149
51,Brook Lopez,BKN,0.148
5,Al Jefferson,UTA,0.148
237,John Wall,WAS,0.146
14,Andray Blatche,BKN,0.146
313,Marc Gasol,MEM,0.146
374,Rajon Rondo,BOS,0.145
268,Kevin Love,MIN,0.144
126,Dirk Nowitzki,DAL,0.144
4,Al Horford,ATL,0.143
166,Greg Monroe,DET,0.142
368,Paul Pierce,BOS,0.141
106,David Lee,GSW,0.141
467,Zach Randolph,MEM,0.139
226,Joakim Noah,CHI,0.139
287,Kyrie Irving,CLE,0.139
56,Carlos Boozer,CHI,0.138
416,Stephen Curry,GSW,0.138
183,JJ Hickson,POR,0.137
15,Andre Drummond,DET,0.137
288,LaMarcus Aldridge,POR,0.135
25,Anthony Davis,NOH,0.135
244,Jose Calderon,DET,0.135
366,Paul George,IND,0.134
118,Deron Williams,BKN,0.134
336,Mike Conley,MEM,0.133
112,DeMarcus Cousins,SAC,0.132
353,Nikola Vučević,ORL,0.132
311,Manu Ginobili,SAS,0.13
146,Enes Freedom,UTA,0.13
352,Nikola Pekovic,MIN,0.13
67,Chris Bosh,MIA,0.129
43,Brandan Wright,DAL,0.129
11,Amar'e Stoudemire,NYK,0.129
412,Shawn Marion,DAL,0.128
430,Tiago Splitter,SAS,0.127
135,Dwight Howard,LAL,0.126
259,Kemba Walker,CHA,0.125
147,Eric Bledsoe,LAC,0.125
348,Nene,WAS,0.125
19,Andrei Kirilenko,MIN,0.125
221,Jermaine O'Neal,PHX,0.125
365,Pau Gasol,LAL,0.124
284,Kyle Lowry,TOR,0.123
158,George Hill,IND,0.123
251,Josh Smith,ATL,0.123
367,Paul Millsap,UTA,0.123
145,Emeka Okafor,WAS,0.122
293,Larry Sanders,MIL,0.122
452,Tyson Chandler,NYK,0.121
262,Kenneth Faried,DEN,0.121
233,John Henson,MIL,0.121
346,Nate Robinson,CHI,0.12
375,Ramon Sessions,CHA,0.12
185,JR Smith,NYK,0.119
150,Ersan Ilyasova,MIL,0.119
202,Jarrett Jack,GSW,0.118
441,Trevor Ariza,WAS,0.118
445,Ty Lawson,DEN,0.118
449,Tyreke Evans,SAC,0.118
169,Greivis Vasquez,NOH,0.118
141,Ed Davis,MEM,0.118
386,Ricky Rubio,MIN,0.118
403,Samuel Dalembert,MIL,0.117
378,Rasheed Wallace,NYK,0.117
407,Serge Ibaka,OKC,0.116
119,Derrick Favors,UTA,0.116
189,Jamal Crawford,LAC,0.116
55,Carl Landry,GSW,0.115
131,Dorell Wright,PHI,0.115
216,Jeremy Evans,UTA,0.115
428,Thaddeus Young,PHI,0.115
252,Jrue Holiday,PHI,0.115
257,Kawhi Leonard,SAS,0.115
17,Andre Miller,DEN,0.115
382,Reggie Jackson,OKC,0.114
314,Marcin Gortat,PHX,0.114
340,Mike Scott,ATL,0.114
456,Vince Carter,DAL,0.113
397,Rudy Gay,TOR,0.113
302,Luis Scola,PHX,0.113
163,Goran Dragic,PHX,0.113
73,Chris Kaman,DAL,0.113
96,Danilo Gallinari,DEN,0.113
419,Steve Nash,LAL,0.113
186,JaVale McGee,DEN,0.111
300,Lou Williams,ATL,0.111
214,Jeff Teague,ATL,0.111
307,Luol Deng,CHI,0.111
242,Jordan Hamilton,DEN,0.11
344,Monta Ellis,MIL,0.11
181,Ivan Johnson,ATL,0.11
105,Darren Collison,DAL,0.11
212,Jeff Ayres,IND,0.11
399,Ryan Anderson,NOH,0.11
357,Omer Asik,HOU,0.11
415,Spencer Hawes,PHI,0.109
66,Chris Andersen,MIA,0.109
164,Gordon Hayward,UTA,0.109
12,Amir Johnson,TOR,0.109
446,Tyler Hansbrough,IND,0.109
16,Andre Iguodala,DEN,0.109
243,Jordan Hill,LAL,0.108
241,Jordan Crawford,BOS,0.108
162,Glen Davis,ORL,0.108
381,Reggie Evans,BKN,0.108
37,Beno Udrih,ORL,0.107
61,Chandler Parsons,HOU,0.107
462,Will Bynum,DET,0.107
182,J.J. Barea,MIN,0.107
45,Brandon Jennings,MIL,0.107
179,Isaiah Thomas,SAC,0.106
225,Jimmy Butler III,CHI,0.106
465,Wilson Chandler,DEN,0.106
323,Marreese Speights,CLE,0.106
213,Jeff Green,BOS,0.106
91,Damian Lillard,POR,0.105
434,Tobias Harris,ORL,0.104
362,Patrick Beverley,HOU,0.104
351,Nicolas Batum,POR,0.104
339,Mike Miller,MIA,0.104
278,Kosta Koufos,DEN,0.103
120,Derrick Williams,MIN,0.103
6,Al-Farouq Aminu,NOH,0.103
388,Robin Lopez,NOH,0.103
160,Gerald Henderson,CHA,0.103
424,Terrence Jones,HOU,0.102
443,Tristan Thompson,CLE,0.102
208,Jason Smith,NOH,0.102
395,Roy Hibbert,IND,0.101
426,Terrence Williams,BOS,0.101
22,Andrew Nicholson,ORL,0.101
285,Kyle O'Quinn,ORL,0.101
358,Omri Casspi,CLE,0.1
326,Matt Barnes,LAC,0.1
50,Brian Roberts,NOH,0.1
111,DeMar DeRozan,TOR,0.1
337,Mike Dunleavy,MIL,0.099
190,Jameer Nelson,ORL,0.099
108,DeAndre Jordan,LAC,0.099
29,Arnett Moultrie,PHI,0.099
