,Player,Team,G,Par,Stocks,eFG%,MP,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
0,Russell Westbrook,Oklahoma City Thunder,81.0,52.7,2.0,0.476,2802.0,30.6,0.554,13.1,11.1,9.3,0.5732,82.0,0.879,0.9878,2017
1,James Harden,Houston Rockets,81.0,48.4,2.0,0.525,2947.0,27.4,0.613,15.0,8.7,8.0,0.6707,82.0,0.746,0.9878,2017
2,Isaiah Thomas,Boston Celtics,76.0,37.5,1.1,0.546,2569.0,26.5,0.625,12.5,6.7,5.6,0.6463,82.0,0.08,0.9268,2017
3,Anthony Davis,New Orleans Pelicans,75.0,41.9,3.5,0.518,2708.0,27.5,0.58,11.0,5.9,5.4,0.4146,82.0,0.002,0.9146,2017
4,DeMar DeRozan,Toronto Raptors,74.0,36.4,1.3,0.477,2620.0,24.0,0.552,9.0,3.0,3.3,0.622,82.0,0.001,0.9024,2017
5,DeMarcus Cousins,New Orleans Pelicans,72.0,42.6,2.7,0.498,2465.0,25.8,0.562,7.6,6.8,5.5,0.4146,82.0,0,0.878,2017
6,Damian Lillard,Portland Trail Blazers,75.0,37.8,1.2,0.516,2694.0,24.1,0.586,10.4,5.0,4.8,0.5,82.0,0,0.9146,2017
7,LeBron James,Cleveland Cavaliers,74.0,43.7,1.8,0.594,2794.0,27.0,0.619,12.9,7.6,6.7,0.622,82.0,0.33,0.9024,2017
8,Kawhi Leonard,San Antonio Spurs,74.0,34.8,2.5,0.541,2474.0,27.6,0.61,13.6,9.4,7.1,0.7439,82.0,0.495,0.9024,2017
9,Stephen Curry,Golden State Warriors,79.0,36.4,2.0,0.58,2638.0,24.6,0.624,12.6,6.9,5.9,0.8171,82.0,0.051,0.9634,2017
10,Kyrie Irving,Cleveland Cavaliers,72.0,34.2,1.5,0.535,2525.0,23.0,0.58,8.9,3.4,3.4,0.622,82.0,0,0.878,2017
11,Kevin Durant,Golden State Warriors,62.0,38.2,2.7,0.594,2070.0,27.6,0.651,12.0,8.9,5.7,0.8171,82.0,0.002,0.7561,2017
12,Karl-Anthony Towns,Minnesota Timberwolves,82.0,40.1,2.0,0.576,3030.0,25.9,0.618,12.7,4.7,5.2,0.378,82.0,0,1.0,2017
13,Jimmy Butler,Chicago Bulls,76.0,35.6,2.3,0.492,2809.0,25.1,0.586,13.8,7.3,6.6,0.5,82.0,0,0.9268,2017
14,Paul George,Indiana Pacers,75.0,33.6,2.0,0.534,2689.0,20.2,0.587,7.1,3.1,3.4,0.5122,82.0,0,0.9146,2017
15,Andrew Wiggins,Minnesota Timberwolves,82.0,29.9,1.4,0.484,3048.0,16.5,0.534,4.2,-1.7,0.2,0.378,82.0,0,1.0,2017
16,Kemba Walker,Charlotte Hornets,79.0,32.6,1.4,0.527,2739.0,21.3,0.569,8.1,4.1,4.2,0.439,82.0,0,0.9634,2017
17,Bradley Beal,Washington Wizards,77.0,29.7,1.4,0.566,2684.0,20.1,0.604,8.5,3.3,3.5,0.5976,82.0,0,0.939,2017
