,Player,Team,G,Par,Stocks,eFG%,MP,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
0,Kevin Durant,Oklahoma City Thunder,81.0,44.9,2.0,0.56,3122.0,29.8,0.635,19.2,10.2,9.6,0.7195,82.0,0.986,0.9878,2014
1,Carmelo Anthony,New York Knicks,77.0,38.6,1.9,0.503,2982.0,24.4,0.561,10.7,5.0,5.3,0.4512,82.0,0.003,0.939,2014
2,LeBron James,Miami Heat,77.0,40.3,1.9,0.61,2902.0,29.3,0.649,15.9,8.8,7.9,0.6585,82.0,0.713,0.939,2014
3,Kevin Love,Minnesota Timberwolves,77.0,43.0,1.3,0.524,2797.0,26.9,0.591,14.3,8.9,7.7,0.4878,82.0,0.02,0.939,2014
4,James Harden,Houston Rockets,73.0,36.2,2.0,0.529,2777.0,23.5,0.618,12.8,5.6,5.3,0.6585,82.0,0.068,0.8902,2014
5,Blake Griffin,Los Angeles Clippers,80.0,37.5,1.8,0.533,2863.0,23.9,0.583,12.2,4.5,4.7,0.6951,82.0,0.347,0.9756,2014
6,Stephen Curry,Golden State Warriors,78.0,36.8,1.8,0.566,2846.0,24.1,0.61,13.4,7.4,6.7,0.622,82.0,0.053,0.9512,2014
7,LaMarcus Aldridge,Portland Trail Blazers,69.0,36.9,1.9,0.459,2498.0,21.8,0.507,7.5,2.3,2.7,0.6585,82.0,0.021,0.8415,2014
8,DeMarcus Cousins,Sacramento Kings,71.0,37.3,2.8,0.496,2298.0,26.1,0.555,7.9,5.2,4.2,0.3415,82.0,0,0.8659,2014
9,DeMar DeRozan,Toronto Raptors,79.0,31.0,1.5,0.452,3017.0,18.4,0.532,8.8,1.7,2.8,0.5854,82.0,0,0.9634,2014
10,Al Jefferson,Charlotte Bobcats,73.0,34.7,2.0,0.51,2553.0,22.7,0.532,7.8,2.7,3.0,0.5244,82.0,0.027,0.8902,2014
12,Paul George,Indiana Pacers,80.0,32.0,2.2,0.49,2898.0,20.1,0.555,10.8,4.9,5.0,0.6829,82.0,0.026,0.9756,2014
13,Dirk Nowitzki,Dallas Mavericks,80.0,30.6,1.5,0.549,2628.0,23.6,0.603,10.9,5.0,4.7,0.5976,82.0,0.006,0.9756,2014
14,Anthony Davis,New Orleans Pelicans,67.0,32.4,4.1,0.52,2358.0,26.5,0.582,10.4,4.8,4.0,0.4146,82.0,0,0.8171,2014
15,Kyrie Irving,Cleveland Cavaliers,71.0,30.5,1.8,0.48,2496.0,20.1,0.533,6.7,3.4,3.3,0.4024,82.0,0,0.8659,2014
16,Damian Lillard,Portland Trail Blazers,82.0,29.8,1.1,0.508,2937.0,18.6,0.568,9.6,3.2,3.9,0.6585,82.0,0,1.0,2014
18,Goran Dragić,Phoenix Suns,76.0,29.4,1.7,0.561,2668.0,21.4,0.604,10.3,3.9,4.0,0.5854,82.0,0.002,0.9268,2014
19,Isaiah Thomas,Sacramento Kings,72.0,29.5,1.4,0.51,2497.0,20.5,0.574,7.7,3.2,3.2,0.3415,82.0,0,0.878,2014
20,Rudy Gay,Sacramento Kings,73.0,28.9,2.1,0.483,2531.0,18.3,0.54,4.8,1.7,2.4,0.3415,82.0,0,0.8902,2014
22,John Wall,Washington Wizards,82.0,32.2,2.3,0.473,2980.0,19.5,0.524,7.9,2.7,3.6,0.5366,82.0,0,1.0,2014
23,Kevin Martin,Minnesota Timberwolves,68.0,23.9,1.1,0.486,2177.0,16.3,0.553,5.3,0.3,1.3,0.4878,82.0,0,0.8293,2014
24,Chris Paul,Los Angeles Clippers,62.0,34.1,2.6,0.511,2171.0,25.9,0.58,12.2,8.6,5.8,0.6951,82.0,0.036,0.7561,2014
25,Monta Ellis,Dallas Mavericks,82.0,28.3,2.0,0.478,3023.0,16.8,0.532,4.9,-0.3,1.3,0.5976,82.0,0,1.0,2014
27,Jamal Crawford,Los Angeles Clippers,69.0,24.1,1.1,0.496,2094.0,17.3,0.556,5.3,1.6,1.9,0.6951,82.0,0,0.8415,2014
29,Klay Thompson,Golden State Warriors,81.0,23.7,1.4,0.533,2868.0,14.3,0.555,6.7,0.8,2.0,0.622,82.0,0,0.9878,2014
30,Dwight Howard,Houston Rockets,71.0,32.3,2.6,0.593,2396.0,21.3,0.6,8.0,1.8,2.3,0.6585,82.0,0,0.8659,2014
31,Arron Afflalo,Orlando Magic,73.0,25.2,0.5,0.522,2552.0,16.0,0.574,5.3,-0.2,1.1,0.2805,82.0,0,0.8902,2014
32,David Lee,Golden State Warriors,69.0,29.6,1.1,0.523,2288.0,19.1,0.566,7.6,1.3,1.9,0.622,82.0,0,0.8415,2014
33,Brandon Knight,Milwaukee Bucks,72.0,26.3,1.2,0.473,2400.0,16.5,0.523,2.8,-0.5,0.9,0.1829,82.0,0,0.878,2014
34,Kyle Lowry,Toronto Raptors,79.0,30.0,1.7,0.511,2862.0,20.1,0.567,11.7,4.7,4.8,0.5854,82.0,0,0.9634,2014
35,Paul Millsap,Atlanta Hawks,74.0,29.5,2.8,0.498,2482.0,19.8,0.545,6.7,2.8,3.0,0.4634,82.0,0,0.9024,2014
37,Thaddeus Young,Philadelphia 76ers,79.0,26.2,2.6,0.489,2718.0,16.6,0.512,3.5,-0.1,1.3,0.2317,82.0,0,0.9634,2014
39,Kemba Walker,Charlotte Bobcats,73.0,28.0,1.6,0.441,2614.0,16.8,0.499,5.1,1.7,2.4,0.5244,82.0,0,0.8902,2014
40,Ty Lawson,Denver Nuggets,62.0,29.9,1.8,0.475,2222.0,19.0,0.554,6.3,2.3,2.5,0.439,82.0,0,0.7561,2014
43,Zach Randolph,Memphis Grizzlies,79.0,30.0,1.0,0.468,2705.0,18.3,0.51,6.4,-0.1,1.3,0.6098,82.0,0,0.9634,2014
44,Mike Conley,Memphis Grizzlies,73.0,26.1,1.7,0.5,2446.0,20.0,0.545,8.2,3.8,3.6,0.6098,82.0,0.001,0.8902,2014
45,Bradley Beal,Washington Wizards,73.0,24.1,1.2,0.479,2530.0,14.3,0.507,4.0,-0.4,1.0,0.5366,82.0,0,0.8902,2014
46,Jeff Green,Boston Celtics,82.0,23.2,1.3,0.469,2805.0,13.1,0.52,3.3,-1.5,0.3,0.3049,82.0,0,1.0,2014
