,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
0,1.0,Oklahoma City Thunder*,25.2,64.0,18.0,65,17,11.15,-0.11,11.04,118.9,107.7,11.2,99.3,0.261,0.426,0.599,,0.561,11.2,22.3,0.213,,0.519,14.6,74.4,0.184,,Paycom Center,764842,18203
1,2.0,San Antonio Spurs*,25.4,62.0,20.0,60,22,8.3,-0.03,8.28,119.6,111.3,8.3,99.9,0.274,0.422,0.595,,0.559,11.8,26.2,0.215,,0.522,11.5,77.3,0.18,,Frost Bank Center,743129,18703
2,3.0,Detroit Pistons*,26.1,60.0,22.0,60,22,8.16,-0.63,7.53,117.9,109.7,8.2,99.3,0.292,0.345,0.583,,0.546,13.0,30.9,0.223,,0.517,14.8,74.2,0.251,,Little Caesars Arena,806422,19651
3,4.0,Boston Celtics*,26.9,56.0,26.0,59,23,7.7,-0.33,7.37,120.8,112.7,8.1,94.8,0.207,0.467,0.583,,0.553,11.2,29.2,0.167,,0.523,11.4,75.7,0.189,,TD Garden,785396,19156
4,5.0,New York Knicks*,28.1,53.0,29.0,56,26,6.33,-0.28,6.05,119.8,113.3,6.5,96.8,0.238,0.428,0.59,,0.557,12.1,29.3,0.188,,0.541,13.1,76.7,0.206,,Madison Square Garden (IV),792480,19812
5,6.0,Houston Rockets*,26.5,52.0,30.0,54,28,5.22,-0.35,4.87,118.6,113.2,5.4,96.1,0.26,0.35,0.576,,0.542,13.3,34.8,0.199,,0.53,12.1,74.5,0.189,,Toyota Center,740378,18058
6,7.0,Denver Nuggets*,27.8,54.0,28.0,53,29,5.15,-0.17,4.97,122.6,117.4,5.2,98.4,0.294,0.408,0.616,,0.577,11.5,23.6,0.237,,0.543,10.4,75.3,0.196,,Ball Arena,812868,19826
7,8.0,Charlotte Hornets*,24.0,44.0,38.0,53,29,4.83,-0.35,4.48,119.4,114.4,5.0,96.8,0.244,0.487,0.589,,0.552,13.5,30.5,0.2,,0.54,11.6,76.6,0.186,,Spectrum Center,767319,18715
8,9.0,Cleveland Cavaliers*,27.2,52.0,30.0,51,31,4.11,-0.34,3.78,119.2,115.1,4.1,99.9,0.265,0.442,0.595,,0.561,12.2,26.9,0.206,,0.543,13.1,74.4,0.209,,Rocket Arena,796712,19432
