,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
0,1.0,Chicago Bulls*,30.7,69.0,13.0,68,14,10.8,-0.11,10.7,114.4,102.4,12.0,90.0,0.267,0.203,0.547,,0.511,12.5,35.9,0.199,,0.471,14.8,69.3,0.196,,United Center,978457,23865
1,2.0,Utah Jazz*,29.6,64.0,18.0,64,18,8.79,-0.82,7.97,113.6,104.0,9.6,90.0,0.389,0.145,0.581,,0.53,14.7,29.7,0.299,,0.48,15.5,71.6,0.29,,Delta Center,811439,19791
2,3.0,Seattle SuperSonics*,30.0,57.0,25.0,62,20,7.68,-0.77,6.91,111.2,102.7,8.5,90.3,0.358,0.247,0.557,,0.51,14.2,30.9,0.269,,0.49,17.7,69.1,0.242,,KeyArena at Seattle Center,699952,17072
3,4.0,Atlanta Hawks*,28.8,56.0,26.0,57,25,5.44,0.08,5.52,108.5,102.3,6.2,86.8,0.31,0.291,0.542,,0.498,14.6,31.5,0.236,,0.472,15.0,69.2,0.191,,Omni Coliseum,549414,14288
4,5.0,Miami Heat*,27.2,61.0,21.0,57,25,5.49,0.07,5.56,106.8,100.6,6.2,88.2,0.324,0.299,0.546,,0.507,15.5,29.2,0.233,,0.465,15.6,70.6,0.248,,Miami Arena,615160,15004
5,6.0,Detroit Pistons*,28.2,54.0,28.0,57,25,5.24,0.2,5.45,110.6,104.4,6.2,84.5,0.327,0.246,0.554,,0.512,13.0,27.5,0.244,,0.487,14.6,70.4,0.197,,The Palace of Auburn Hills,784234,20014
6,7.0,Houston Rockets*,30.8,57.0,25.0,54,28,4.48,-0.62,3.85,108.8,104.0,4.8,91.6,0.307,0.284,0.56,,0.52,15.6,28.4,0.232,,0.481,13.3,71.4,0.19,,The Summit,667685,16285
7,8.0,Los Angeles Lakers*,26.5,56.0,26.0,53,29,4.27,-0.61,3.66,108.3,103.7,4.6,91.1,0.351,0.226,0.535,,0.496,13.7,31.6,0.243,,0.478,15.1,68.5,0.231,,Great Western Forum,697159,17004
8,9.0,Portland Trail Blazers*,26.4,49.0,33.0,53,29,4.17,-0.61,3.56,107.9,103.3,4.6,90.9,0.35,0.217,0.544,,0.503,15.4,32.5,0.249,,0.471,14.3,72.4,0.268,,Rose Garden Arena,852798,20800
