,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
0,1.0,Portland Trail Blazers*,24.5,49.0,33.0,55,27,5.59,-0.2,5.39,103.2,98.0,5.2,108.0,0.334,,0.53,,0.481,16.9,33.4,0.254,,0.46,17.2,69.3,0.255,,Memorial Coliseum,,617
1,2.0,Denver Nuggets*,27.3,50.0,32.0,54,28,5.22,-0.27,4.95,100.7,96.1,4.6,111.2,0.373,,0.531,,0.481,18.8,34.2,0.275,,0.463,18.2,68.0,0.211,,McNichols Sports Arena,,872
2,3.0,Philadelphia 76ers*,25.6,50.0,32.0,51,31,3.94,-0.16,3.78,101.2,97.6,3.6,108.3,0.373,,0.53,,0.48,18.3,34.6,0.275,,0.451,16.7,66.0,0.197,,The Spectrum,,888
3,4.0,Golden State Warriors*,25.8,46.0,36.0,49,33,3.22,-0.12,3.1,102.4,99.5,2.9,107.8,0.277,,0.518,,0.475,15.6,33.0,0.211,,0.47,17.2,67.8,0.224,,Oakland-Alameda County Coliseum Arena,,630
4,5.0,Los Angeles Lakers*,27.2,53.0,29.0,48,34,2.72,-0.08,2.64,101.4,98.9,2.5,104.7,0.253,,0.515,,0.478,15.3,31.0,0.188,,0.452,15.6,66.1,0.194,,The Forum,501434.0,387
5,6.0,Houston Rockets*,25.8,49.0,33.0,45,37,1.61,-0.17,1.44,104.5,102.9,1.6,101.3,0.287,,0.529,,0.483,16.2,36.0,0.226,,0.465,14.3,70.1,0.237,,The Summit,,476
6,7.0,Cleveland Cavaliers*,27.4,43.0,39.0,44,38,1.12,-0.04,1.08,100.0,98.9,1.1,101.5,0.259,,0.489,,0.449,13.7,32.6,0.191,,0.449,15.7,68.1,0.241,,Coliseum at Richfield,,858
7,8.0,Washington Bullets*,27.4,48.0,34.0,44,38,1.02,-0.12,0.9,99.3,98.4,0.9,105.9,0.303,,0.51,,0.47,16.5,31.6,0.217,,0.458,14.9,70.3,0.189,,Capital Centre,,733
8,9.0,Kansas City Kings,25.9,40.0,42.0,43,39,0.88,0.05,0.93,100.5,99.6,0.9,106.4,0.277,,0.509,,0.46,15.4,30.9,0.221,,0.472,17.4,70.3,0.264,,Kemper Arena,,418
