,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Awards
153,134.0,Tom McMillen,24.0,BUF,C,20.0,,13.5,2.3,4.6,0.489,1.3,1.8,0.722,1.5,2.2,3.6,0.8,0.1,0.1,1.5,5.8,
154,134.0,Tom McMillen,24.0,NYK,C,56.0,,21.8,4.1,8.4,0.486,1.3,1.6,0.805,1.5,4.1,5.7,0.9,0.2,0.1,2.4,9.4,
155,135.0,Jim Brewer,25.0,CLE,PF,81.0,78.0,33.0,3.7,8.1,0.451,1.2,2.2,0.545,3.4,6.0,9.4,2.4,1.2,1.0,2.6,8.5,DEF2
156,136.0,Ira Terrell,22.0,PHO,SF,78.0,,22.4,3.6,7.0,0.508,1.4,2.3,0.631,1.3,3.7,5.0,1.3,0.5,0.6,2.1,8.5,
157,137.0,Coby Dietrick,28.0,SAS,C,82.0,,21.6,3.5,7.6,0.46,1.5,2.0,0.717,1.4,3.2,4.5,1.8,1.1,0.7,3.3,8.4,
158,138.0,John Mengelt,27.0,CHI,SG,61.0,,19.3,3.4,7.5,0.456,1.5,1.9,0.788,0.5,1.3,1.8,1.9,0.6,0.1,1.7,8.3,
159,139.0,Mike Flynn,23.0,IND,SG,73.0,9.0,18.1,3.4,7.8,0.436,1.4,1.9,0.711,1.0,1.5,2.6,2.5,0.8,0.1,1.5,8.2,
160,140.0,Steve Hawes,26.0,ATL,PF,44.0,,21.5,3.3,6.9,0.482,1.5,2.0,0.761,1.8,4.2,5.9,1.4,0.8,0.5,3.2,8.2,
161,141.0,Ted McClain,30.0,DEN,SG,72.0,,27.8,3.4,7.7,0.445,1.4,1.8,0.744,0.7,2.5,3.2,4.5,1.5,0.2,3.5,8.2,
162,142.0,Clifford Ray,28.0,GSW,C,77.0,,26.2,3.4,5.8,0.584,1.4,2.6,0.528,2.6,5.4,8.0,1.5,1.0,1.1,3.1,8.2,
163,143.0,Willie Wise,29.0,DEN,SF,75.0,,18.7,3.2,6.8,0.462,1.9,2.9,0.651,1.0,2.4,3.4,1.9,0.8,0.2,2.4,8.2,
164,144.0,Gary Brokaw,23.0,2TM,SG,80.0,4.0,18.6,3.0,7.1,0.429,2.0,2.7,0.744,0.3,1.3,1.5,2.9,0.5,0.5,2.1,8.1,
165,144.0,Gary Brokaw,23.0,MIL,SG,41.0,,21.7,3.2,7.9,0.401,2.6,3.3,0.766,0.2,1.3,1.6,2.7,0.5,0.6,2.1,8.9,
166,144.0,Gary Brokaw,23.0,CLE,SG,39.0,4.0,15.3,2.9,6.2,0.467,1.5,2.1,0.707,0.3,1.2,1.5,3.0,0.4,0.3,2.0,7.2,
167,145.0,Tom Barker,21.0,ATL,C,59.0,,22.9,3.1,7.4,0.417,1.9,2.8,0.683,1.9,4.9,6.8,1.0,0.6,0.7,3.8,8.1,
168,146.0,Fred Carter,31.0,2TM,SG,61.0,0.0,18.2,3.4,8.2,0.418,1.1,1.6,0.708,0.9,1.0,1.9,2.0,0.6,0.1,2.0,8.0,
169,146.0,Fred Carter,31.0,PHI,SG,14.0,0.0,16.9,3.1,7.2,0.426,0.7,1.4,0.526,0.7,1.0,1.7,1.5,0.8,0.1,2.1,6.9,
170,146.0,Fred Carter,31.0,MIL,SG,47.0,,18.6,3.5,8.5,0.416,1.2,1.6,0.753,1.0,1.0,2.0,2.2,0.6,0.1,2.0,8.3,
171,147.0,Don Buse,26.0,IND,PG,81.0,76.0,36.4,3.3,7.9,0.416,1.4,1.8,0.786,0.8,2.5,3.3,8.5,3.5,0.2,1.6,8.0,"AS,DEF1"
172,148.0,Johnny Davis,21.0,POR,SG,79.0,,18.4,3.0,6.7,0.441,2.1,2.6,0.794,0.8,0.8,1.6,1.9,0.5,0.1,1.6,8.0,
173,149.0,John Gianelli,26.0,2TM,C,76.0,,25.2,3.4,7.6,0.444,1.2,1.6,0.72,2.0,4.2,6.3,1.1,0.5,1.3,2.3,7.9,
174,149.0,John Gianelli,26.0,NYK,C,19.0,,33.2,4.5,9.6,0.473,1.8,2.5,0.729,3.2,6.2,9.4,1.4,0.7,1.5,2.8,10.9,
175,149.0,John Gianelli,26.0,BUF,C,57.0,,22.5,3.0,7.0,0.431,1.0,1.4,0.714,1.6,3.6,5.2,1.0,0.4,1.2,2.1,7.0,
176,150.0,Bird Averitt,24.0,BUF,SG,75.0,,15.1,3.1,8.3,0.378,1.6,2.3,0.716,0.3,0.8,1.0,1.8,0.4,0.1,1.7,7.9,
177,151.0,Wes Unseld,30.0,WSB,C,82.0,82.0,34.9,3.3,6.7,0.49,1.2,2.0,0.602,3.0,7.7,10.7,4.4,1.1,0.5,3.1,7.8,
178,152.0,Larry Wright,22.0,WSB,PG,78.0,,18.2,3.4,7.6,0.44,1.1,1.5,0.765,0.4,0.8,1.3,3.0,0.7,0.1,2.2,7.8,
179,153.0,Willie Norwood,29.0,SEA,SF,76.0,,21.7,2.8,6.1,0.469,2.0,2.7,0.733,1.7,2.2,3.8,1.3,0.8,0.1,2.5,7.7,
