,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Voting,Voting,Voting,Voting,Unnamed: 8_level_0,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced
,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
0,1,Kareem Abdul-Jabbar,29,LAL,159,159,247,0.644,82,36.8,26.2,13.3,3.9,1.2,3.2,0.579,,0.701,17.8,0.283
1,2,Bill Walton,24,POR,29,29,247,0.117,65,34.8,18.6,14.4,3.8,1.0,3.2,0.528,,0.697,10.2,0.215
2,3,Pete Maravich,29,NOJ,15,15,247,0.061,73,41.7,31.1,5.1,5.4,1.2,0.3,0.433,,0.835,6.4,0.101
3,4,Bob Lanier,28,DET,11,11,247,0.045,64,38.2,25.3,11.6,3.3,1.1,2.0,0.534,,0.818,10.3,0.203
4,5,Julius Erving,26,PHI,7,7,247,0.028,82,35.9,21.6,8.5,3.7,1.9,1.4,0.499,,0.777,11.5,0.188
5,6,Moses Malone,21,TOT,6,6,247,0.024,82,30.6,13.2,13.1,1.1,0.8,2.2,0.48,,0.693,8.7,0.167
6,7T,Elvin Hayes,31,WSB,5,5,247,0.02,82,41.0,23.7,12.5,1.9,1.1,2.7,0.501,,0.687,12.1,0.173
7,7T,David Thompson,22,DEN,5,5,247,0.02,82,36.6,25.9,4.1,4.1,1.4,0.6,0.507,,0.766,10.7,0.172
8,9,Maurice Lucas,24,POR,4,4,247,0.016,79,36.2,20.2,11.4,2.9,1.1,0.7,0.466,,0.765,8.7,0.147
9,10,Artis Gilmore,27,CHI,2,2,247,0.008,82,35.1,18.6,13.0,2.4,0.5,2.5,0.522,,0.66,12.2,0.203
10,11T,George Gervin,24,SAS,1,1,247,0.004,82,33.0,23.1,5.5,2.9,1.3,1.3,0.544,,0.833,10.5,0.187
11,11T,George McGinnis,26,PHI,1,1,247,0.004,79,35.1,21.4,11.5,3.8,2.1,0.5,0.458,,0.681,8.6,0.149
12,11T,Norm Van Lier,29,CHI,1,1,247,0.004,82,37.8,10.2,4.5,7.8,1.6,0.2,0.412,,0.778,5.5,0.085
13,11T,Jo Jo White,30,BOS,1,1,247,0.004,82,40.6,19.6,4.7,6.0,1.4,0.3,0.429,,0.869,6.5,0.094
