,Player,Team,G,Par,Stocks,eFG%,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
0,Stephen Curry,Golden State Warriors,63.0,43.3,1.3,0.605,26.3,0.655,9.0,8.7,5.8,0.5417,72.0,0.449,0.875,2021
1,Bradley Beal,Washington Wizards,60.0,40.4,1.6,0.532,22.7,0.593,5.9,3.4,2.9,0.4722,72.0,0,0.8333,2021
2,Damian Lillard,Portland Trail Blazers,67.0,40.5,1.2,0.554,25.6,0.623,10.4,6.3,5.0,0.5833,72.0,0.038,0.9306,2021
4,Giannis Antetokounmpo,Milwaukee Bucks,61.0,45.0,2.4,0.6,29.2,0.633,10.2,9.0,5.6,0.6389,72.0,0.345,0.8472,2021
5,Luka Dončić,Dallas Mavericks,66.0,44.3,1.5,0.55,25.3,0.587,7.7,6.8,5.1,0.5833,72.0,0.042,0.9167,2021
6,Zach LaVine,Chicago Bulls,58.0,37.3,1.3,0.596,21.5,0.634,5.9,4.0,3.1,0.4306,72.0,0,0.8056,2021
7,Zion Williamson,New Orleans Pelicans,61.0,37.9,1.5,0.616,27.1,0.649,8.7,5.8,4.0,0.4306,72.0,0,0.8472,2021
10,Nikola Jokić,Denver Nuggets,72.0,45.5,2.0,0.602,31.3,0.647,15.6,12.1,8.8,0.6528,72.0,0.961,1.0,2021
12,Jayson Tatum,Boston Celtics,64.0,38.1,1.7,0.53,21.3,0.576,6.5,3.9,3.4,0.5,72.0,0,0.8889,2021
13,Devin Booker,Phoenix Suns,67.0,34.1,1.0,0.533,19.2,0.587,4.9,0.3,1.3,0.7083,72.0,0,0.9306,2021
14,Trae Young,Atlanta Hawks,63.0,38.6,1.0,0.499,23.0,0.589,7.2,3.7,3.0,0.5694,72.0,0,0.875,2021
15,De'Aaron Fox,Sacramento Kings,58.0,35.9,2.0,0.523,20.7,0.565,4.2,1.8,2.0,0.4306,72.0,0,0.8056,2021
19,Jaylen Brown,Boston Celtics,58.0,34.1,1.8,0.558,19.9,0.586,4.8,2.5,2.3,0.5,72.0,0,0.8056,2021
21,Collin Sexton,Cleveland Cavaliers,60.0,31.8,1.2,0.519,18.0,0.573,3.5,-0.2,1.0,0.3056,72.0,0,0.8333,2021
22,Julius Randle,New York Knicks,71.0,40.3,1.2,0.516,19.7,0.567,7.8,3.8,3.9,0.5694,72.0,0.02,0.9861,2021
23,Brandon Ingram,New Orleans Pelicans,61.0,33.6,1.3,0.531,19.2,0.584,5.3,2.2,2.2,0.4306,72.0,0,0.8472,2021
25,Nikola Vučević,Chicago Bulls,70.0,38.9,1.6,0.54,22.9,0.56,6.3,5.3,4.4,0.4306,72.0,0,0.9722,2021
29,Russell Westbrook,Washington Wizards,65.0,45.4,1.8,0.474,19.5,0.509,3.7,3.7,3.4,0.4722,72.0,0.005,0.9028,2021
31,DeMar DeRozan,San Antonio Spurs,61.0,32.7,1.1,0.505,22.0,0.591,7.4,3.1,2.6,0.4583,72.0,0,0.8472,2021
38,Khris Middleton,Milwaukee Bucks,68.0,31.8,1.2,0.546,18.2,0.588,6.4,1.3,1.9,0.6389,72.0,0,0.9444,2021
39,Terry Rozier,Charlotte Hornets,69.0,29.0,1.7,0.548,17.1,0.575,5.2,1.6,2.2,0.4583,72.0,0,0.9583,2021
40,Domantas Sabonis,Indiana Pacers,62.0,39.0,1.7,0.564,20.6,0.601,6.9,3.8,3.3,0.4722,72.0,0,0.8611,2021
47,Tobias Harris,Philadelphia 76ers,62.0,29.8,1.7,0.556,20.0,0.597,7.1,3.7,2.9,0.6806,72.0,0,0.8611,2021
48,Anthony Edwards,Minnesota Timberwolves,72.0,26.9,1.6,0.488,13.9,0.523,0.8,-2.1,-0.1,0.3194,72.0,0,1.0,2021
50,Ja Morant,Memphis Grizzlies,63.0,30.5,1.1,0.487,16.7,0.537,3.2,-0.4,0.8,0.5278,72.0,0,0.875,2021
51,Michael Porter Jr.,Denver Nuggets,61.0,27.4,1.6,0.646,20.6,0.663,6.9,3.1,2.5,0.6528,72.0,0,0.8472,2021
53,Bam Adebayo,Miami Heat,64.0,33.1,2.2,0.571,22.7,0.626,8.8,4.9,3.7,0.5556,72.0,0,0.8889,2021
54,Norman Powell,Portland Trail Blazers,69.0,23.6,1.5,0.57,16.2,0.618,4.7,0.4,1.3,0.5833,72.0,0,0.9583,2021
55,Andrew Wiggins,Golden State Warriors,71.0,25.9,1.9,0.543,15.0,0.568,3.9,-0.4,1.0,0.5417,72.0,0,0.9861,2021
56,Jordan Clarkson,Utah Jazz,68.0,24.9,1.0,0.522,17.1,0.549,4.2,1.4,1.6,0.7222,72.0,0,0.9444,2021
58,Jrue Holiday,Milwaukee Bucks,59.0,28.3,2.2,0.57,20.0,0.592,6.6,3.4,2.6,0.6389,72.0,0,0.8194,2021
59,RJ Barrett,New York Knicks,72.0,26.4,1.0,0.499,13.4,0.535,4.1,-1.2,0.5,0.5694,72.0,0,1.0,2021
60,John Collins,Atlanta Hawks,63.0,26.2,1.5,0.61,20.6,0.645,6.7,2.3,2.0,0.5694,72.0,0,0.875,2021
62,Dillon Brooks,Memphis Grizzlies,67.0,22.4,1.6,0.481,12.1,0.515,1.4,-3.7,-0.9,0.5278,72.0,0,0.9306,2021
65,Jonas Valančiūnas,Memphis Grizzlies,62.0,31.4,1.5,0.606,24.4,0.636,7.8,3.0,2.2,0.5278,72.0,0,0.8611,2021
66,Bojan Bogdanović,Utah Jazz,72.0,22.8,0.7,0.536,14.0,0.588,5.2,-0.4,0.9,0.7222,72.0,0,1.0,2021
67,Tim Hardaway Jr.,Dallas Mavericks,70.0,21.7,0.6,0.56,15.7,0.589,4.3,0.4,1.2,0.5833,72.0,0,0.9722,2021
68,Buddy Hield,Sacramento Kings,71.0,24.9,1.3,0.548,12.8,0.567,2.2,-0.6,0.9,0.4306,72.0,0,0.9861,2021
71,Chris Paul,Phoenix Suns,70.0,29.8,1.7,0.557,21.4,0.599,9.2,4.6,3.6,0.7083,72.0,0.138,0.9722,2021
74,Harrison Barnes,Sacramento Kings,58.0,26.2,0.9,0.575,15.4,0.626,4.5,0.2,1.1,0.4306,72.0,0,0.8056,2021
78,Dejounte Murray,San Antonio Spurs,67.0,28.2,1.6,0.485,16.5,0.509,3.3,0.8,1.5,0.4583,72.0,0,0.9306,2021
82,Dennis Schröder,Los Angeles Lakers,61.0,24.7,1.3,0.484,13.8,0.543,3.8,-1.1,0.4,0.5833,72.0,0,0.8472,2021
84,Gary Trent Jr.,Toronto Raptors,58.0,19.3,1.2,0.513,12.1,0.534,1.7,-2.3,-0.1,0.375,72.0,0,0.8056,2021
85,Clint Capela,Atlanta Hawks,63.0,30.3,2.7,0.594,24.3,0.601,8.2,2.7,2.2,0.5694,72.0,0,0.875,2021
87,Coby White,Chicago Bulls,69.0,24.0,0.8,0.506,12.0,0.54,2.4,-2.4,-0.2,0.4306,72.0,0,0.9583,2021
94,Deandre Ayton,Phoenix Suns,69.0,26.3,1.8,0.629,20.3,0.653,8.4,1.2,1.7,0.7083,72.0,0,0.9583,2021
97,Rudy Gobert,Utah Jazz,71.0,29.1,3.3,0.675,23.5,0.683,11.3,4.9,3.8,0.7222,72.0,0.008,0.9861,2021
98,Ben Simmons,Philadelphia 76ers,58.0,28.4,2.2,0.56,18.3,0.584,6.0,2.9,2.3,0.6806,72.0,0.003,0.8056,2021
99,Richaun Holmes,Sacramento Kings,61.0,24.2,2.2,0.638,20.2,0.669,6.1,0.6,1.2,0.4306,72.0,0,0.8472,2021
102,Joe Harris,Brooklyn Nets,69.0,19.6,0.9,0.654,14.1,0.663,5.2,0.4,1.3,0.6667,72.0,0,0.9583,2021
106,Chris Boucher,Toronto Raptors,60.0,21.4,2.5,0.595,21.9,0.634,6.1,3.3,2.0,0.375,72.0,0,0.8333,2021
108,Doug McDermott,Indiana Pacers,66.0,18.2,0.4,0.616,15.6,0.635,3.8,-0.6,0.6,0.4722,72.0,0,0.9167,2021
109,Kelly Olynyk,Houston Rockets,70.0,23.4,1.7,0.574,16.4,0.61,5.1,1.2,1.6,0.2361,72.0,0,0.9722,2021
111,Mikal Bridges,Phoenix Suns,72.0,19.9,2.0,0.643,16.4,0.667,8.0,3.3,3.1,0.7083,72.0,0,1.0,2021
112,Montrezl Harrell,Los Angeles Lakers,69.0,20.8,1.4,0.622,22.7,0.65,7.3,3.0,2.0,0.5833,72.0,0,0.9583,2021
113,Carmelo Anthony,Portland Trail Blazers,69.0,18.0,1.3,0.506,14.6,0.547,2.6,-1.1,0.4,0.5833,72.0,0,0.9583,2021
115,Josh Jackson,Detroit Pistons,62.0,19.8,1.7,0.473,12.0,0.516,0.1,-3.0,-0.4,0.2778,72.0,0,0.8611,2021
