,Player,Team,G,Par,Stocks,eFG%,MP,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
0,Allen Iverson,Philadelphia 76ers,75.0,42.6,2.5,0.453,3174.0,23.2,0.532,9.0,4.2,5.0,0.5244,82.0,0.189,0.9146,2005
1,Kobe Bryant,Los Angeles Lakers,66.0,39.5,2.1,0.482,2689.0,23.3,0.563,8.1,5.0,4.7,0.4146,82.0,0,0.8049,2005
2,LeBron James,Cleveland Cavaliers,80.0,41.8,2.9,0.504,3388.0,25.7,0.554,14.3,8.6,9.1,0.5122,82.0,0.073,0.9756,2005
3,Dirk Nowitzki,Dallas Mavericks,78.0,38.9,2.7,0.49,3020.0,26.1,0.578,15.6,7.3,7.1,0.7073,82.0,0.275,0.9512,2005
4,Amar'e Stoudemire,Phoenix Suns,80.0,36.5,2.6,0.56,2889.0,26.6,0.617,14.6,4.4,4.7,0.7561,82.0,0.032,0.9756,2005
5,Tracy McGrady,Houston Rockets,78.0,37.6,2.4,0.473,3182.0,22.9,0.526,12.0,6.7,6.9,0.622,82.0,0.035,0.9512,2005
6,Gilbert Arenas,Washington Wizards,80.0,35.3,2.0,0.498,3274.0,21.3,0.565,11.5,4.2,5.2,0.5488,82.0,0.003,0.9756,2005
8,Vince Carter,New Jersey Nets,77.0,33.9,2.0,0.493,2828.0,22.9,0.541,9.4,6.0,5.7,0.5122,82.0,0,0.939,2005
10,Dwyane Wade,Miami Heat,77.0,36.1,2.7,0.483,2974.0,23.1,0.561,11.0,4.6,4.9,0.7195,82.0,0.034,0.939,2005
11,Ray Allen,Seattle SuperSonics,78.0,32.0,1.2,0.498,3064.0,20.9,0.555,10.7,4.1,4.8,0.6341,82.0,0.032,0.9512,2005
12,Michael Redd,Milwaukee Bucks,75.0,29.5,0.9,0.477,2848.0,18.3,0.536,6.2,1.0,2.2,0.3659,82.0,0,0.9146,2005
13,Shaquille O'Neal,Miami Heat,73.0,36.0,2.8,0.601,2492.0,27.0,0.583,11.0,5.3,4.6,0.7195,82.0,0.813,0.8902,2005
14,Kevin Garnett,Minnesota Timberwolves,82.0,41.4,2.9,0.504,3121.0,28.2,0.567,16.1,9.5,9.1,0.5366,82.0,0.012,1.0,2005
16,Corey Maggette,Los Angeles Clippers,66.0,31.6,1.2,0.457,2436.0,19.9,0.574,8.1,2.4,2.7,0.4512,82.0,0,0.8049,2005
17,Larry Hughes,Washington Wizards,61.0,33.0,3.2,0.457,2358.0,21.6,0.523,7.7,4.3,3.7,0.5488,82.0,0,0.7439,2005
18,Stephon Marbury,New York Knicks,82.0,32.8,1.6,0.506,3281.0,21.9,0.575,11.7,4.2,5.1,0.4024,82.0,0,1.0,2005
19,Jason Richardson,Golden State Warriors,72.0,31.5,1.9,0.492,2724.0,19.0,0.518,5.7,2.5,3.0,0.4146,82.0,0,0.878,2005
20,Paul Pierce,Boston Celtics,82.0,32.4,2.1,0.499,2960.0,21.8,0.583,11.2,4.6,4.9,0.5488,82.0,0,1.0,2005
21,Steve Francis,Orlando Magic,78.0,34.1,1.8,0.438,2978.0,18.9,0.521,6.2,1.2,2.4,0.439,82.0,0,0.9512,2005
22,Carmelo Anthony,Denver Nuggets,75.0,29.1,1.3,0.448,2608.0,16.7,0.526,4.9,-1.2,0.5,0.5976,82.0,0,0.9146,2005
23,Rashard Lewis,Seattle SuperSonics,71.0,27.3,2.0,0.537,2697.0,19.4,0.571,8.4,3.7,3.9,0.6341,82.0,0,0.8659,2005
24,Tim Duncan,San Antonio Spurs,66.0,34.1,3.3,0.498,2203.0,27.0,0.54,11.2,7.6,5.4,0.7195,82.0,0.258,0.8049,2005
25,Peja Stojaković,Sacramento Kings,66.0,26.5,1.4,0.53,2534.0,17.3,0.584,7.3,1.2,2.1,0.6098,82.0,0,0.8049,2005
26,Elton Brand,Los Angeles Clippers,81.0,32.1,2.9,0.503,3001.0,22.4,0.554,10.6,3.6,4.2,0.4512,82.0,0,0.9878,2005
27,Grant Hill,Orlando Magic,67.0,27.7,1.8,0.511,2338.0,20.0,0.565,6.6,2.5,2.7,0.439,82.0,0,0.8171,2005
28,Mike Bibby,Sacramento Kings,80.0,30.6,2.0,0.495,3084.0,19.2,0.543,8.5,2.6,3.6,0.6098,82.0,0,0.9756,2005
29,Antawn Jamison,Washington Wizards,68.0,29.5,1.0,0.466,2605.0,16.9,0.506,5.4,-0.5,1.0,0.5488,82.0,0,0.8293,2005
30,Chris Webber,Philadelphia 76ers,67.0,33.3,2.2,0.438,2370.0,18.6,0.472,3.4,0.7,1.6,0.5244,82.0,0,0.8171,2005
31,Shawn Marion,Phoenix Suns,81.0,32.6,3.5,0.52,3146.0,21.7,0.556,12.5,4.4,5.1,0.7561,82.0,0.001,0.9878,2005
33,Antoine Walker,Boston Celtics,77.0,31.5,2.0,0.462,2955.0,15.5,0.478,0.9,-0.4,1.2,0.5488,82.0,0,0.939,2005
35,Richard Hamilton,Detroit Pistons,76.0,27.5,1.2,0.455,2926.0,16.0,0.528,7.4,0.3,1.7,0.6585,82.0,0,0.9268,2005
37,Jalen Rose,Toronto Raptors,81.0,24.5,0.9,0.501,2710.0,16.6,0.562,4.8,-0.5,1.0,0.4024,82.0,0,0.9878,2005
38,Yao Ming,Houston Rockets,80.0,27.5,2.4,0.552,2447.0,23.2,0.614,10.7,2.4,2.8,0.622,82.0,0,0.9756,2005
41,Jamal Crawford,New York Knicks,70.0,24.9,1.6,0.483,2688.0,15.2,0.521,4.2,1.0,2.1,0.4024,82.0,0,0.8537,2005
