,PLAYER_NAME,TEAM_ABBREVIATION,PIE
193,Jamal Sampson,SAC,0.287
251,Kevin Garnett,MIN,0.214
133,Dirk Nowitzki,DAL,0.205
68,Bryon Russell,DEN,0.2
267,LeBron James,CLE,0.192
142,Dwyane Wade,MIA,0.186
449,Yao Ming,HOU,0.183
257,Kobe Bryant,LAL,0.181
153,Elton Brand,LAC,0.176
420,Tim Duncan,SAS,0.172
230,Jonathan Bender,IND,0.169
344,Pau Gasol,MEM,0.166
413,Steve Nash,PHX,0.166
11,Allen Iverson,PHI,0.163
81,Chauncey Billups,DET,0.162
87,Chris Paul,NOK,0.161
345,Paul Pierce,BOS,0.16
427,Tracy McGrady,HOU,0.159
403,Shawn Marion,PHX,0.159
207,Jason Kidd,NJN,0.158
426,Tony Parker,SAS,0.154
289,Marcus Camby,DEN,0.153
297,Martynas Andriuskevicius,CLE,0.152
215,Jermaine O'Neal,IND,0.152
22,Andrei Kirilenko,UTA,0.152
73,Carlos Boozer,UTA,0.151
83,Chris Bosh,TOR,0.148
439,Vince Carter,NJN,0.148
286,Manu Ginobili,SAS,0.148
171,Gilbert Arenas,WAS,0.147
369,Richard Jefferson,NJN,0.145
131,Dijon Thompson,PHX,0.145
307,Mehmet Okur,UTA,0.144
398,Shaquille O'Neal,MIA,0.142
322,Mike Miller,MEM,0.141
75,Carmelo Anthony,DEN,0.139
141,Dwight Howard,ORL,0.138
315,Michael Redd,MIL,0.138
364,Ray Allen,SEA,0.137
170,Gerald Wallace,CHA,0.136
91,Chuck Hayes,HOU,0.134
457,Zydrunas Ilgauskas,CLE,0.133
116,David West,NOK,0.132
137,Dorell Wright,MIA,0.131
262,Lamar Odom,LAL,0.13
28,Antawn Jamison,WAS,0.129
194,Jameer Nelson,ORL,0.128
43,Baron Davis,GSW,0.127
94,Corey Maggette,LAC,0.126
57,Brad Miller,SAC,0.126
173,Grant Hill,ORL,0.126
384,Sam Cassell,LAC,0.126
61,Brevin Knight,CHA,0.126
220,Joe Johnson,ATL,0.125
89,Chris Webber,PHI,0.125
281,Luol Deng,CHI,0.125
321,Mike James,TOR,0.125
209,Jason Richardson,GSW,0.124
23,Andres Nocioni,CHI,0.123
444,Wally Szczerbiak,BOS,0.123
234,Josh Howard,DAL,0.123
392,Sean Marks,SAS,0.123
77,Channing Frye,NYK,0.122
45,Ben Wallace,DET,0.122
433,Troy Murphy,GSW,0.12
410,Stephon Marbury,NYK,0.12
139,Drew Gooden,CLE,0.119
360,Rasheed Wallace,DET,0.119
130,Devin Harris,DAL,0.118
76,Caron Butler,WAS,0.117
319,Mike Bibby,SAC,0.117
20,Andre Miller,DEN,0.117
41,Austin Croshere,IND,0.116
54,Boris Diaw,PHX,0.116
255,Kirk Hinrich,CHI,0.115
192,Jamal Crawford,NYK,0.115
368,Richard Hamilton,DET,0.115
359,Rashard Lewis,SEA,0.115
406,Speedy Claxton,NOK,0.115
451,Zach Randolph,POR,0.114
14,Amar'e Stoudemire,PHX,0.114
12,Alonzo Mourning,MIA,0.114
6,Al Jefferson,BOS,0.113
31,Anthony Grundy,ATL,0.113
347,Peja Stojakovic,IND,0.113
210,Jason Terry,DAL,0.113
72,Carlos Arroyo,ORL,0.113
90,Chris Wilcox,SEA,0.113
399,Shareef Abdur-Rahim,SAC,0.112
372,Ricky Davis,MIN,0.112
249,Kenyon Martin,DEN,0.112
85,Chris Kaman,LAC,0.111
178,Hedo Turkoglu,ORL,0.111
248,Kenny Thomas,SAC,0.111
346,Pavel Podkolzin,DAL,0.109
412,Steve Francis,NYK,0.109
53,Bonzi Wells,SAC,0.107
60,Brent Barry,SAS,0.107
144,Earl Boykins,DEN,0.107
212,Jeff Foster,IND,0.107
232,Josh Childress,ATL,0.106
211,Jason Williams,MIA,0.106
425,Tony Delk,DET,0.106
34,Antoine Walker,MIA,0.105
303,Matt Harpring,UTA,0.105
5,Al Harrington,ATL,0.105
264,Laron Profit,LAL,0.104
24,Andrew Bogut,MIL,0.104
434,Tyronn Lue,ATL,0.104
187,Jake Tsakalidis,MEM,0.104
387,Sarunas Jasikevicius,IND,0.104
32,Anthony Johnson,IND,0.104
114,David Lee,NYK,0.104
436,Udonis Haslem,MIA,0.104
119,Delonte West,BOS,0.103
84,Chris Duhon,CHI,0.103
56,Bracey Wright,MIN,0.103
154,Emeka Okafor,CHA,0.102
278,Luke Ridnour,SEA,0.102
102,Damon Stoudamire,MEM,0.102
50,Bobby Jackson,MEM,0.102
393,Sean May,CHA,0.102
382,Ryan Gomes,BOS,0.101
295,Marquis Daniels,DAL,0.1
455,Zendon Hamilton,PHI,0.1
326,Mo Williams,MIL,0.1
123,Derek Fisher,GSW,0.1
19,Andre Iguodala,PHI,0.1
37,Antonio Daniels,WAS,0.1
39,Antonio McDyess,DET,0.1
252,Kevin Martin,SAC,0.099
417,Tayshaun Prince,DET,0.099
107,Danny Granger,IND,0.099
411,Steve Blake,POR,0.099
151,Eddy Curry,NYK,0.099
416,T.J. Ford,MIL,0.099
217,Jerry Stackhouse,DAL,0.099
136,Donyell Marshall,CLE,0.098
221,Joe Smith,MIL,0.098
313,Michael Finley,SAS,0.098
150,Eddie Jones,MEM,0.097
236,Josh Smith,ATL,0.097
46,Beno Udrih,SAS,0.097
149,Eddie House,PHX,0.097
365,Raymond Felton,CHA,0.097
132,Dikembe Mutombo,HOU,0.097
145,Earl Watson,SEA,0.096
44,Ben Gordon,CHI,0.096
310,Metta World Peace,SAC,0.096
110,Darko Milicic,ORL,0.096
109,Darius Songaila,CHI,0.096
33,Anthony Roberson,MEM,0.095
201,Jarrett Jack,POR,0.095
80,Charlie Villanueva,TOR,0.095
354,Rafer Alston,HOU,0.094
409,Stephen Jackson,IND,0.094
288,Marcus Banks,MIN,0.094
308,Melvin Ely,CHA,0.094
397,Shane Battier,MEM,0.093
63,Brian Cook,LAL,0.093
191,Jamaal Tinsley,IND,0.093
380,Ruben Patterson,DEN,0.093
329,Morris Peterson,TOR,0.093
348,Primoz Brezec,CHA,0.092
351,Qyntel Woods,NYK,0.092
180,Ike Diogu,GSW,0.092
373,Robert Horry,SAS,0.092
197,James Singleton,LAC,0.092
259,Kurt Thomas,PHX,0.091
256,Kirk Snyder,NOK,0.091
79,Charlie Bell,MIL,0.091
438,Vin Baker,LAC,0.091
241,Juwan Howard,HOU,0.091
391,Scott Padgett,NJN,0.091
16,Anderson Varejao,CLE,0.091
331,Nazr Mohammed,SAS,0.09
237,Juan Dixon,POR,0.09
222,Joel Przybilla,POR,0.09
