,PLAYER_NAME,TEAM_ABBREVIATION,PIE
375,Shaquille O'Neal,LAL,0.214
235,Karl Malone,UTA,0.199
395,Tim Duncan,SAS,0.183
244,Kevin Garnett,MIN,0.18
112,David Robinson,SAS,0.172
12,Alonzo Mourning,MIA,0.171
176,Grant Hill,DET,0.17
225,John Stockton,UTA,0.167
168,Gary Payton,SEA,0.166
245,Kevin Johnson,PHX,0.165
86,Chris Webber,SAC,0.159
202,Jason Kidd,PHX,0.153
35,Arvydas Sabonis,POR,0.152
250,Kobe Bryant,LAL,0.149
133,Dikembe Mutombo,ATL,0.148
206,Jeff Foster,IND,0.147
424,Vince Carter,TOR,0.147
213,Jerome Williams,DET,0.146
389,Terrell Brandon,MIN,0.145
359,Sam Cassell,MIL,0.144
71,Charles Barkley,HOU,0.144
376,Shareef Abdur-Rahim,VAN,0.144
109,Darrell Armstrong,ORL,0.143
151,Elton Brand,CHI,0.142
126,Derrick Coleman,CHH,0.14
145,Earl Boykins,CLE,0.139
92,Clar. Weatherspoon,MIA,0.137
107,Danny Fortson,BOS,0.137
15,Andre Miller,CLE,0.136
146,Eddie Jones,CHH,0.135
18,Anfernee Hardaway,PHX,0.134
392,Terry Porter,SAS,0.134
383,Stephon Marbury,NJN,0.134
332,Ray Allen,MIL,0.132
412,Tracy McGrady,TOR,0.131
292,Michael Finley,DAL,0.131
278,Mark Jackson,IND,0.13
318,Paul Pierce,BOS,0.128
317,Patrick Ewing,NYK,0.128
52,Brad Miller,CHH,0.128
330,Rasheed Wallace,POR,0.127
11,Allen Iverson,PHI,0.126
139,Donyell Marshall,GSW,0.125
379,Shawn Marion,PHX,0.125
272,Marcus Camby,NYK,0.124
407,Toni Kukoc,PHI,0.124
279,Mark Strickland,MIA,0.124
369,Scottie Pippen,POR,0.123
304,Moochie Norris,HOU,0.122
427,Vlade Divac,SAC,0.121
277,Mark Hendrickson,NJN,0.12
237,Keith Van Horn,NJN,0.12
261,Lawrence Funderburke,SAC,0.12
36,Austin Croshere,IND,0.119
405,Tom Gugliotta,PHX,0.119
346,Rod Strickland,WAS,0.119
384,Steve Francis,HOU,0.119
319,Peja Stojakovic,SAC,0.118
28,Antoine Walker,BOS,0.118
33,Antonio McDyess,DEN,0.118
260,Latrell Sprewell,NYK,0.117
396,Tim Hardaway,MIA,0.117
149,Eldridge Recasner,CHH,0.117
230,Jon Barry,SAC,0.117
309,Nick Van Exel,DEN,0.117
82,Chris Gatling,DEN,0.117
348,Rodney Rogers,PHX,0.117
298,Mike Bibby,VAN,0.116
182,Hakeem Olajuwon,HOU,0.116
87,Chris Whitney,WAS,0.116
55,Brevin Knight,CLE,0.116
214,Jerry Stackhouse,DET,0.115
415,Travis Best,IND,0.115
34,Armen Gilliam,UTA,0.115
299,Mikki Moore,DET,0.115
380,Sherman Douglas,NJN,0.115
129,Detlef Schrempf,POR,0.114
23,Anthony Mason,CHH,0.114
175,Glenn Robinson,MIL,0.114
100,Dale Davis,IND,0.114
10,Allan Houston,NYK,0.114
254,Lamar Odom,LAC,0.113
93,Clifford Robinson,PHX,0.113
105,Dana Barros,BOS,0.113
305,Mookie Blaylock,GSW,0.113
69,Cedric Ceballos,DAL,0.112
190,Ira Bowman,PHI,0.112
195,Jalen Rose,IND,0.112
147,Eddie Robinson,CHH,0.112
135,Dirk Nowitzki,DAL,0.112
165,Fred Hoiberg,CHI,0.112
48,Bob Sura,CLE,0.111
47,Bo Outlaw,ORL,0.111
174,Glen Rice,LAL,0.111
196,Jamal Mashburn,MIA,0.11
122,Derek Anderson,LAC,0.11
240,Kenny Anderson,BOS,0.11
41,Ben Wallace,ORL,0.11
3,Aaron Williams,WAS,0.11
77,Chris Anstey,CHI,0.11
378,Shawn Kemp,CLE,0.11
242,Keon Clark,DEN,0.109
393,Theo Ratliff,PHI,0.109
207,Jeff Hornacek,UTA,0.108
51,Bonzi Wells,POR,0.108
354,Ruben Patterson,SEA,0.107
334,Reggie Miller,IND,0.107
84,Chris Mills,GSW,0.107
246,Kevin Ollie,PHI,0.107
302,Mitch Richmond,WAS,0.107
140,Doug Christie,TOR,0.106
150,Elliot Perry,NJN,0.106
29,Antonio Daniels,SAS,0.106
90,Chucky Atkins,ORL,0.106
99,Cuttino Mobley,HOU,0.106
312,Oliver Miller,PHX,0.106
387,Steven Smith,POR,0.106
411,Tony Massenburg,HOU,0.105
37,Avery Johnson,SAS,0.105
159,Erick Strickland,DAL,0.104
68,Carlos Rogers,HOU,0.104
103,Damon Stoudamire,POR,0.104
255,Lamond Murray,CLE,0.103
296,Michael Smith,WAS,0.103
329,Rashard Lewis,SEA,0.103
19,Antawn Jamison,GSW,0.103
419,Tyrone Hill,PHI,0.103
119,Dell Curry,TOR,0.103
252,Kurt Thomas,NYK,0.102
377,Shawn Bradley,DAL,0.101
324,Raef LaFrentz,DEN,0.101
243,Kerry Kittles,NJN,0.101
156,Eric Snow,PHI,0.101
315,P.J. Brown,MIA,0.101
113,David Wesley,CHH,0.1
238,Kelvin Cato,HOU,0.1
53,Brent Barry,SEA,0.1
74,Charlie Ward,NYK,0.1
284,Matt Harpring,ORL,0.1
2,Aaron McKie,PHI,0.099
64,Bryon Russell,UTA,0.099
85,Chris Mullin,IND,0.099
341,Ricky Davis,CHH,0.099
432,Walt Williams,HOU,0.099
204,Jason Terry,ATL,0.099
287,Metta World Peace,CHI,0.099
342,Rik Smits,IND,0.098
30,Antonio Davis,TOR,0.098
