,Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
460,445.0,Doug McDermott,34.0,SAC,SF,8.0,0.0,76.0,5.6,0.563,1.0,0.0,0.0,7.5,3.7,3.6,0.0,1.2,11.1,15.2,0.0,0.0,0.0,-0.031,-2.9,-3.3,-6.2,-0.1,
461,446.0,Johnny Juzang,24.0,MIN,SG,19.0,0.0,75.0,13.7,0.519,0.629,0.229,7.4,15.8,11.7,11.6,1.3,0.0,9.4,23.9,0.0,0.1,0.1,0.06,-1.1,-1.7,-2.8,0.0,
462,447.0,Eric Gordon,37.0,PHI,SG,6.0,0.0,74.0,14.5,0.754,0.667,0.095,1.5,1.5,1.5,5.9,2.6,1.2,12.1,14.2,0.1,0.1,0.2,0.12,2.1,0.2,2.3,0.1,
463,448.0,Javonte Cooke,26.0,POR,SG,12.0,0.0,72.0,4.8,0.351,0.552,0.069,3.0,12.2,7.5,13.3,4.0,0.0,16.7,20.2,-0.2,0.1,-0.1,-0.091,-7.4,0.9,-6.5,-0.1,
464,449.0,Jalen Green,23.0,PHO,SG,5.0,2.0,70.0,20.0,0.58,0.565,0.196,3.1,14.5,8.7,22.3,2.1,0.0,12.3,34.3,0.1,0.1,0.1,0.101,4.3,-0.5,3.8,0.1,
465,450.0,Jeff Green,39.0,HOU,PF,16.0,0.0,68.0,12.1,0.615,0.692,0.0,1.6,11.3,6.5,4.2,0.0,1.3,3.7,16.5,0.1,0.0,0.2,0.127,0.6,-2.1,-1.5,0.0,
466,451.0,Joe Ingles,38.0,MIN,SF,16.0,0.0,68.0,9.1,0.635,0.714,0.286,0.0,7.9,4.0,22.6,4.9,0.0,43.2,8.6,0.0,0.1,0.1,0.081,-3.8,4.2,0.4,0.0,
467,452.0,David Jones García,24.0,SAS,SF,11.0,0.0,68.0,21.2,0.579,0.2,0.24,6.4,14.0,10.3,38.9,4.2,1.3,15.3,20.3,0.1,0.1,0.3,0.202,2.6,3.6,6.2,0.1,
468,453.0,Elijah Harkless,25.0,UTA,SG,7.0,0.0,66.0,7.5,0.568,0.636,0.818,3.3,6.7,5.0,9.4,2.9,0.0,16.7,11.3,0.0,0.0,0.0,0.031,-4.7,1.5,-3.2,0.0,
469,454.0,Bismack Biyombo,33.0,SAS,C,12.0,1.0,65.0,5.2,0.654,0.0,0.333,3.4,8.1,5.8,5.7,2.2,1.4,30.4,6.4,0.0,0.1,0.1,0.063,-5.5,1.7,-3.8,0.0,
