,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Oklahoma City Thunder,51,242.5,38.0,87.9,0.432,14.5,38.8,0.373,23.5,49.2,0.479,17.3,23.0,0.753,12.1,33.3,45.4,24.9,7.4,4.2,17.4,21.3,107.7
1,2.0,Boston Celtics,50,241.0,38.5,86.8,0.444,14.1,39.0,0.361,24.4,47.7,0.512,17.8,22.5,0.793,11.5,30.8,42.4,25.3,5.9,4.3,13.5,18.6,108.9
2,3.0,Detroit Pistons,49,241.0,37.3,84.7,0.441,12.5,36.1,0.346,24.8,48.5,0.512,22.7,28.6,0.794,11.5,30.0,41.5,22.8,9.3,5.7,17.4,21.9,109.9
3,4.0,Houston Rockets,48,243.6,40.7,88.3,0.46,12.1,34.9,0.347,28.6,53.5,0.534,16.6,22.1,0.752,11.1,28.2,39.3,24.6,8.8,4.8,13.4,20.7,110.0
4,5.0,Phoenix Suns,51,240.5,40.3,86.1,0.468,12.2,35.3,0.346,28.1,50.8,0.553,18.8,24.1,0.78,12.3,31.5,43.8,25.0,8.3,4.3,16.9,19.3,111.6
5,6.0,New York Knicks,50,240.0,39.7,86.2,0.46,14.0,38.4,0.364,25.7,47.8,0.538,18.5,23.9,0.773,10.1,31.3,41.4,24.5,7.1,4.6,14.2,19.3,111.8
6,7.0,San Antonio Spurs,49,240.5,41.1,90.0,0.456,13.0,36.3,0.359,28.0,53.7,0.522,16.7,21.3,0.781,10.5,32.7,43.2,26.4,7.7,4.5,13.7,21.0,111.9
7,8.0,Toronto Raptors,51,242.0,39.7,86.1,0.461,12.7,37.0,0.343,27.0,49.1,0.551,20.2,25.0,0.806,11.1,32.5,43.6,24.5,8.0,5.3,15.9,19.6,112.2
8,9.0,Los Angeles Clippers,49,241.5,40.8,87.7,0.466,13.7,37.0,0.369,27.2,50.7,0.536,17.5,21.8,0.803,11.5,30.4,41.9,26.2,9.0,4.7,13.3,19.9,112.9
9,10.0,Golden State Warriors,51,241.0,41.8,89.0,0.47,12.6,35.6,0.354,29.2,53.3,0.548,17.7,22.2,0.796,11.8,33.3,45.1,26.7,8.5,4.1,16.1,19.0,114.0
10,11.0,Charlotte Hornets,51,241.5,42.3,89.5,0.473,13.2,36.1,0.366,29.1,53.4,0.545,16.3,20.3,0.801,10.3,29.3,39.6,27.3,8.4,4.5,12.5,20.5,114.2
11,12.0,Minnesota Timberwolves,51,241.5,41.4,89.9,0.461,12.4,35.1,0.353,29.0,54.8,0.53,19.3,25.0,0.775,11.2,32.0,43.2,26.1,8.1,3.9,14.9,20.9,114.5
12,13.0,Brooklyn Nets,49,241.5,42.3,85.6,0.494,12.5,32.9,0.379,29.8,52.7,0.565,17.9,22.9,0.781,10.1,32.9,43.0,27.6,8.8,4.8,13.6,19.7,114.9
