,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
0,1.0,Oklahoma City Thunder,25.2,44.0,14.0,47,11,11.72,-0.61,11.12,119.3,107.6,11.7,99.3,0.271,0.42,0.602,,0.563,11.3,22.2,0.222,,0.516,14.8,73.8,0.192,,Paycom Center,564609,18203
1,2.0,Detroit Pistons,26.0,42.0,13.0,40,15,8.24,-0.99,7.25,117.3,109.1,8.2,99.8,0.295,0.353,0.579,,0.543,13.1,30.5,0.223,,0.516,15.2,74.1,0.261,,Little Caesars Arena,547736,19532
2,3.0,Boston Celtics,26.8,37.0,19.0,40,16,7.25,-0.83,6.42,120.8,113.2,7.6,95.1,0.2,0.463,0.58,,0.552,10.9,29.3,0.158,,0.523,12.0,74.4,0.198,,TD Garden,517212,19156
3,4.0,San Antonio Spurs,25.6,40.0,16.0,39,17,6.54,-0.1,6.44,118.1,111.6,6.5,100.2,0.285,0.418,0.59,,0.552,12.0,26.0,0.224,,0.526,11.9,77.1,0.181,,Frost Bank Center,498917,18660
4,5.0,New York Knicks,28.2,37.0,21.0,39,19,5.72,-0.4,5.33,119.6,113.8,5.8,97.7,0.244,0.437,0.587,,0.554,11.9,29.1,0.192,,0.539,12.8,76.2,0.21,,Madison Square Garden (IV),593938,19798
5,6.0,Houston Rockets,26.6,34.0,21.0,36,19,4.87,-0.12,4.75,117.8,112.8,5.0,95.7,0.268,0.341,0.569,,0.534,13.3,35.5,0.203,,0.528,12.2,74.2,0.19,,Toyota Center,451440,18058
6,7.0,Denver Nuggets,27.7,36.0,22.0,37,21,4.53,-0.85,3.69,122.1,117.6,4.5,97.9,0.301,0.402,0.615,,0.574,11.6,23.7,0.244,,0.541,10.8,74.2,0.201,,Ball Arena,515364,19822
7,8.0,Minnesota Timberwolves,27.9,35.0,23.0,37,21,4.48,-0.78,3.71,117.8,113.4,4.4,100.9,0.29,0.427,0.596,,0.563,12.7,26.4,0.217,,0.533,13.0,74.8,0.214,,Target Center,528869,17060
8,9.0,Cleveland Cavaliers,26.8,36.0,22.0,36,22,4.29,-0.09,4.2,118.4,114.2,4.2,100.7,0.252,0.445,0.59,,0.557,12.5,27.3,0.197,,0.539,13.7,73.5,0.21,,Rocket Arena,582960,19432
