,Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
0,1.0,Tyrese Maxey,25.0,PHI,PG,55.0,55.0,2118.0,22.6,0.596,0.41,0.283,0.8,11.0,5.8,29.8,2.5,1.8,9.3,29.5,5.4,2.2,7.6,0.172,5.3,0.5,5.8,4.1,AS
1,2.0,Amen Thompson,23.0,HOU,PG,54.0,54.0,2015.0,17.7,0.567,0.13,0.353,8.6,13.9,11.3,20.8,2.0,1.6,14.0,20.0,3.6,2.5,6.1,0.146,0.9,0.9,1.8,1.9,
2,3.0,Mikal Bridges,29.0,NYK,SF,58.0,58.0,1982.0,16.3,0.6,0.441,0.097,3.3,10.2,6.7,16.8,2.0,2.3,7.6,17.5,4.0,2.3,6.3,0.153,2.0,1.3,3.3,2.7,
3,4.0,Julius Randle,31.0,MIN,PF,58.0,58.0,1942.0,19.8,0.596,0.302,0.397,5.6,16.8,11.3,24.0,1.6,0.7,12.3,26.5,4.3,2.3,6.5,0.162,2.3,0.0,2.2,2.1,
4,5.0,Toumani Camara,25.0,POR,PF,58.0,58.0,1934.0,10.8,0.578,0.668,0.157,5.5,12.0,8.7,10.7,1.4,1.2,14.8,16.1,1.2,1.4,2.6,0.065,-1.1,-0.5,-1.6,0.2,
5,6.0,Kevin Durant,37.0,HOU,SF,52.0,52.0,1909.0,20.5,0.627,0.321,0.34,1.5,14.7,8.1,19.3,1.1,2.3,13.3,27.4,4.6,2.1,6.8,0.171,3.8,0.1,3.9,2.8,AS
6,7.0,Desmond Bane,27.0,ORL,SG,56.0,56.0,1905.0,16.5,0.6,0.349,0.259,4.0,9.8,6.8,18.8,1.4,1.4,11.2,23.5,2.9,1.7,4.6,0.116,1.3,-0.5,0.7,1.3,
7,8.0,Nickeil Alexander-Walker,27.0,ATL,SG,57.0,50.0,1900.0,14.8,0.575,0.522,0.246,1.9,9.8,5.8,16.2,1.7,1.6,10.8,24.3,1.2,1.5,2.7,0.069,0.3,-1.1,-0.7,0.6,
8,9.0,Jalen Johnson,24.0,ATL,SF,53.0,53.0,1896.0,21.2,0.584,0.268,0.326,4.6,28.1,16.2,34.7,1.7,1.3,14.7,27.4,2.9,2.6,5.4,0.137,3.0,1.2,4.3,3.0,AS
9,10.0,Scottie Barnes,24.0,TOR,PF,55.0,55.0,1890.0,19.5,0.575,0.2,0.276,6.9,20.6,13.7,24.9,1.9,4.5,13.9,24.1,2.3,3.2,5.5,0.14,1.7,2.2,3.9,2.8,AS
10,11.0,Jabari Smith Jr.,22.0,HOU,PF,54.0,54.0,1890.0,13.7,0.564,0.496,0.217,4.9,17.2,11.0,7.3,1.1,2.5,8.6,17.8,2.5,2.3,4.8,0.122,-0.3,0.0,-0.3,0.8,
11,12.0,Dyson Daniels,22.0,ATL,SG,56.0,56.0,1880.0,14.0,0.516,0.139,0.168,7.0,14.1,10.5,24.4,2.6,1.1,14.8,16.2,1.3,2.1,3.4,0.087,-1.6,1.1,-0.5,0.7,
12,13.0,VJ Edgecombe,20.0,PHI,SG,53.0,53.0,1874.0,12.7,0.531,0.434,0.179,4.7,12.6,8.6,16.3,2.0,1.3,11.6,19.3,1.0,1.7,2.7,0.069,-1.1,-0.1,-1.2,0.4,
13,14.0,Jamal Murray,28.0,DEN,PG,53.0,53.0,1874.0,22.4,0.615,0.403,0.273,1.3,12.3,7.1,33.4,1.4,1.0,10.3,28.5,5.5,1.2,6.7,0.171,5.7,-1.6,4.2,2.9,AS
