,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
0,1.0,Luka Dončić,26.0,LAL,PG,44.0,44.0,35.5,10.4,22.0,0.471,3.7,10.3,0.355,6.7,11.8,0.573,0.554,8.3,10.8,0.776,0.8,7.0,7.7,8.5,1.5,0.5,4.2,2.5,32.8,AS
1,2.0,Shai Gilgeous-Alexander,27.0,OKC,PG,49.0,49.0,33.3,10.9,19.7,0.554,1.8,4.6,0.39,9.1,15.1,0.603,0.599,8.2,9.2,0.892,0.6,3.9,4.4,6.4,1.3,0.8,2.1,2.1,31.8,AS
2,3.0,Anthony Edwards,24.0,MIN,SG,48.0,48.0,35.5,10.2,20.6,0.495,3.4,8.5,0.4,6.8,12.1,0.562,0.578,5.7,7.2,0.791,0.7,4.6,5.3,3.6,1.4,0.8,2.8,1.8,29.5,AS
3,4.0,Jaylen Brown,29.0,BOS,SF,51.0,51.0,34.3,10.9,22.6,0.481,2.1,6.0,0.344,8.8,16.6,0.531,0.527,5.4,7.0,0.776,1.1,5.9,7.0,4.9,1.0,0.4,3.6,2.8,29.2,AS
4,5.0,Tyrese Maxey,25.0,PHI,PG,55.0,55.0,38.5,10.1,21.7,0.468,3.3,8.9,0.377,6.8,12.8,0.531,0.545,5.4,6.1,0.887,0.3,3.8,4.1,6.7,2.0,0.8,2.5,2.3,29.0,AS
5,6.0,Nikola Jokić,30.0,DEN,C,42.0,42.0,34.3,10.1,17.2,0.584,2.0,4.6,0.421,8.1,12.6,0.645,0.641,6.7,8.0,0.836,3.1,9.4,12.5,10.5,1.4,0.8,3.7,2.7,28.8,AS
6,7.0,Donovan Mitchell,29.0,CLE,SG,54.0,54.0,33.5,10.0,20.6,0.486,3.5,9.4,0.371,6.5,11.2,0.583,0.571,5.1,6.0,0.854,0.8,3.7,4.5,5.9,1.5,0.3,3.1,2.4,28.6,AS
7,8.0,Giannis Antetokounmpo,31.0,MIL,PF,30.0,30.0,29.2,10.5,16.2,0.645,0.5,1.3,0.395,10.0,15.0,0.666,0.66,6.5,9.9,0.658,2.8,7.2,10.0,5.6,0.9,0.7,3.3,2.6,28.0,AS
8,9.0,Kawhi Leonard,34.0,LAC,SF,44.0,44.0,32.8,9.8,19.8,0.494,2.7,7.0,0.381,7.1,12.8,0.556,0.561,5.8,6.5,0.905,1.0,5.3,6.4,3.7,2.0,0.5,2.2,1.3,28.0,AS
9,10.0,Stephen Curry,37.0,GSW,PG,39.0,39.0,31.3,8.9,19.1,0.468,4.5,11.5,0.391,4.4,7.6,0.584,0.585,4.9,5.2,0.931,0.4,3.1,3.5,4.8,1.1,0.4,2.8,1.9,27.2,AS
10,11.0,Jalen Brunson,29.0,NYK,PG,53.0,53.0,34.7,9.5,20.3,0.471,2.8,7.6,0.371,6.7,12.7,0.531,0.54,4.9,5.8,0.847,0.5,2.9,3.4,6.2,0.7,0.1,2.3,2.4,26.8,AS
11,12.0,Lauri Markkanen,28.0,UTA,PF,41.0,41.0,34.4,9.1,19.1,0.478,2.8,7.7,0.363,6.3,11.4,0.556,0.551,5.7,6.3,0.892,2.0,5.0,7.0,2.1,1.0,0.5,1.5,1.9,26.7,
12,13.0,Joel Embiid,31.0,PHI,C,31.0,31.0,31.4,9.0,18.2,0.494,1.3,3.9,0.32,7.7,14.2,0.542,0.528,7.4,8.6,0.858,2.1,5.4,7.5,3.9,0.6,1.1,3.0,2.2,26.6,
13,14.0,Kevin Durant,37.0,HOU,SF,52.0,52.0,36.7,9.2,18.1,0.506,2.3,5.8,0.404,6.8,12.3,0.555,0.571,5.4,6.2,0.881,0.5,4.9,5.4,4.4,0.8,0.9,3.2,2.1,26.1,AS
14,15.0,Cade Cunningham,24.0,DET,PG,49.0,49.0,34.9,9.0,19.4,0.463,2.0,5.9,0.338,7.0,13.5,0.517,0.514,5.6,6.9,0.81,1.0,4.8,5.8,9.8,1.4,0.9,3.7,3.1,25.5,AS
15,16.0,Jamal Murray,28.0,DEN,PG,53.0,53.0,35.4,8.9,18.5,0.483,3.2,7.5,0.423,5.8,11.1,0.524,0.568,4.5,5.1,0.884,0.4,4.0,4.4,7.5,1.0,0.4,2.4,1.5,25.5,AS
16,17.0,Austin Reaves,27.0,LAL,SG,30.0,24.0,33.5,7.8,15.3,0.509,2.5,6.7,0.371,5.3,8.5,0.617,0.591,7.2,8.2,0.87,0.7,4.5,5.1,5.7,1.0,0.2,3.3,2.1,25.2,
17,18.0,Devin Booker,29.0,PHO,SG,44.0,44.0,33.3,8.1,17.9,0.454,1.7,5.5,0.308,6.5,12.5,0.518,0.501,6.8,7.9,0.861,0.8,3.1,3.9,6.1,0.9,0.3,3.3,2.7,24.7,AS
18,19.0,James Harden,36.0,2TM,PG,50.0,50.0,35.0,7.2,16.8,0.426,3.0,8.5,0.357,4.1,8.3,0.496,0.516,7.3,8.1,0.899,0.6,4.2,4.8,8.2,1.3,0.4,3.6,2.0,24.6,
19,19.0,James Harden,36.0,LAC,PG,44.0,44.0,35.4,7.3,17.5,0.419,3.1,8.8,0.347,4.3,8.7,0.492,0.506,7.7,8.5,0.901,0.6,4.2,4.8,8.1,1.3,0.4,3.7,1.9,25.4,
