,Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
0,1.0,Tyrese Maxey,25.0,PHI,PG,58.0,58.0,2233.0,22.7,0.591,0.408,0.281,0.9,11.1,5.9,30.0,2.6,1.9,9.0,29.8,5.7,2.3,8.0,0.172,5.4,0.5,5.9,4.4,AS
1,2.0,Amen Thompson,23.0,HOU,PG,57.0,57.0,2112.0,17.6,0.569,0.126,0.367,8.6,14.0,11.3,20.4,2.0,1.6,14.6,20.2,3.6,2.7,6.3,0.144,0.8,0.9,1.7,2.0,
2,3.0,Toumani Camara,25.0,POR,PF,62.0,62.0,2076.0,10.6,0.568,0.664,0.164,5.3,11.9,8.5,10.7,1.4,1.1,14.4,16.1,1.2,1.4,2.6,0.059,-1.3,-0.6,-1.9,0.1,
3,4.0,Mikal Bridges,29.0,NYK,SF,61.0,61.0,2073.0,16.6,0.6,0.432,0.099,3.4,10.0,6.6,16.9,2.2,2.4,7.4,17.7,4.2,2.6,6.9,0.159,2.0,1.6,3.6,3.0,
4,5.0,Kevin Durant,37.0,HOU,SF,56.0,56.0,2048.0,21.0,0.631,0.326,0.334,1.7,14.5,8.2,20.1,1.1,2.2,13.1,27.5,5.4,2.3,7.7,0.18,4.1,0.1,4.2,3.2,AS
5,6.0,Julius Randle,31.0,MIN,PF,61.0,61.0,2036.0,19.3,0.59,0.299,0.396,5.6,16.8,11.3,24.1,1.5,0.7,12.4,26.2,4.3,2.4,6.7,0.157,2.0,0.0,2.0,2.0,
6,7.0,Desmond Bane,27.0,ORL,SG,59.0,59.0,2017.0,16.7,0.601,0.352,0.254,4.0,9.6,6.8,19.2,1.4,1.3,11.0,23.5,3.3,1.8,5.0,0.119,1.5,-0.5,1.0,1.5,
7,8.0,Derrick White,31.0,BOS,SG,58.0,58.0,1994.0,16.8,0.525,0.579,0.174,3.6,10.6,7.2,23.4,1.8,4.4,10.1,22.9,2.8,2.6,5.4,0.131,2.8,0.9,3.7,2.9,
8,9.0,Jabari Smith Jr.,22.0,HOU,PF,57.0,57.0,1985.0,14.0,0.574,0.494,0.209,4.7,16.8,10.8,7.2,1.2,2.6,8.7,17.9,2.8,2.5,5.3,0.127,-0.3,0.0,-0.2,0.9,
9,10.0,Scottie Barnes,24.0,TOR,PF,58.0,58.0,1983.0,19.3,0.573,0.199,0.268,6.7,20.1,13.4,24.7,1.9,4.6,14.1,24.2,2.3,3.3,5.6,0.136,1.6,2.2,3.7,2.8,AS
10,11.0,VJ Edgecombe,20.0,PHI,SG,56.0,56.0,1983.0,13.2,0.538,0.435,0.178,4.8,12.6,8.6,16.2,2.0,1.3,11.4,19.4,1.2,1.8,3.1,0.075,-0.8,-0.1,-0.9,0.6,
11,12.0,Brandon Ingram,28.0,TOR,SF,58.0,58.0,1973.0,16.5,0.568,0.281,0.263,2.6,16.6,9.5,17.7,1.1,2.2,11.4,27.3,1.1,2.3,3.4,0.084,1.0,-0.5,0.5,1.2,AS
12,13.0,Jamal Murray,28.0,DEN,PG,56.0,56.0,1968.0,22.2,0.613,0.403,0.276,1.4,12.3,7.1,32.8,1.3,1.0,10.2,28.5,5.6,1.3,6.9,0.169,5.6,-1.4,4.2,3.1,AS
13,14.0,DeMar DeRozan,36.0,SAC,PF,62.0,62.0,1967.0,17.8,0.595,0.157,0.437,1.5,9.5,5.4,19.2,1.7,0.8,6.7,22.0,4.4,0.3,4.7,0.116,0.9,-0.8,0.1,1.0,
14,15.0,Dyson Daniels,22.0,ATL,SG,59.0,59.0,1963.0,14.5,0.52,0.143,0.161,7.0,14.1,10.5,25.1,2.7,1.1,14.6,16.0,1.7,2.5,4.1,0.101,-1.4,1.4,0.0,1.0,
15,16.0,Nickeil Alexander-Walker,27.0,ATL,SG,59.0,52.0,1953.0,14.9,0.578,0.524,0.251,2.0,9.7,5.8,16.4,1.7,1.5,10.9,24.1,1.4,1.7,3.2,0.078,0.4,-0.9,-0.5,0.7,
16,17.0,Jalen Brunson,29.0,NYK,PG,56.0,56.0,1937.0,20.5,0.588,0.376,0.287,1.5,9.5,5.4,29.0,1.0,0.4,9.1,30.6,5.2,1.6,6.7,0.167,4.3,-1.1,3.2,2.5,AS
17,18.0,Jalen Johnson,24.0,ATL,SF,55.0,55.0,1932.0,20.9,0.582,0.266,0.328,4.5,28.0,16.1,34.5,1.8,1.3,14.7,27.2,2.8,2.8,5.6,0.14,2.9,1.3,4.2,3.0,AS
18,19.0,Payton Pritchard,28.0,BOS,PG,59.0,48.0,1920.0,17.5,0.582,0.517,0.138,2.9,10.9,6.9,24.0,1.2,0.3,8.2,21.1,4.9,1.7,6.6,0.166,2.6,-0.4,2.2,2.0,
19,20.0,Kon Knueppel,20.0,CHO,SF,60.0,59.0,1913.0,17.9,0.651,0.591,0.212,4.5,14.7,9.7,16.9,1.2,0.7,12.8,22.4,4.5,1.6,6.1,0.153,3.7,-0.5,3.2,2.5,
20,21.0,Jaden McDaniels,25.0,MIN,PF,59.0,59.0,1904.0,14.5,0.625,0.309,0.23,3.9,10.9,7.5,12.4,1.6,2.9,13.1,18.2,2.6,2.2,4.8,0.121,-0.4,0.5,0.1,1.0,
21,22.0,Donte DiVincenzo,29.0,MIN,SG,61.0,61.0,1902.0,13.8,0.587,0.765,0.135,3.5,11.9,7.8,18.1,2.2,1.2,11.9,16.9,2.6,2.3,4.9,0.125,0.7,0.9,1.6,1.7,
22,23.0,Trey Murphy III,25.0,NOP,SF,53.0,53.0,1884.0,18.7,0.614,0.527,0.225,3.1,14.2,8.6,16.5,2.0,0.8,9.4,23.2,3.8,1.1,4.9,0.125,3.2,-0.9,2.3,2.0,
23,24.0,Cade Cunningham,24.0,DET,PG,53.0,53.0,1856.0,22.2,0.564,0.304,0.344,3.0,15.1,9.1,43.8,2.1,2.7,14.3,30.9,3.9,3.2,7.1,0.183,4.9,1.7,6.6,4.0,AS
24,25.0,Immanuel Quickley,26.0,TOR,PG,57.0,57.0,1855.0,17.0,0.588,0.525,0.239,1.8,12.8,7.3,26.8,1.8,0.3,9.6,21.5,3.5,2.1,5.6,0.145,2.2,0.2,2.4,2.1,
25,26.0,Jaylen Brown,29.0,BOS,SF,54.0,54.0,1850.0,22.5,0.572,0.267,0.319,3.5,19.1,11.4,25.5,1.5,1.3,12.4,36.6,2.8,2.5,5.3,0.136,3.8,-0.3,3.5,2.6,AS
26,27.0,Donovan Mitchell,29.0,CLE,SG,55.0,55.0,1840.0,23.2,0.614,0.457,0.298,2.4,12.3,7.3,29.0,2.2,0.8,11.7,32.9,4.5,2.0,6.5,0.17,5.4,-0.1,5.4,3.4,AS
27,28.0,Ryan Rollins,23.0,MIL,PG,57.0,52.0,1839.0,15.9,0.576,0.424,0.142,2.8,13.2,8.1,25.7,2.2,1.3,14.9,23.8,1.2,1.6,2.8,0.074,0.5,-0.3,0.2,1.0,
28,29.0,Rudy Gobert,33.0,MIN,C,58.0,58.0,1829.0,17.7,0.672,0.011,0.644,13.8,26.0,20.0,7.3,1.2,4.6,14.3,12.7,3.8,3.0,6.9,0.18,0.0,0.9,0.9,1.3,
29,30.0,James Harden,36.0,2TM,PG,52.0,52.0,1820.0,21.5,0.606,0.504,0.48,2.1,13.6,8.0,37.1,1.7,1.1,15.3,30.1,4.3,1.5,5.8,0.153,4.8,-0.8,3.9,2.7,
30,30.0,James Harden,36.0,LAC,PG,44.0,44.0,1559.0,21.9,0.598,0.505,0.485,2.1,13.4,7.9,37.5,1.8,1.0,14.8,31.3,3.6,1.2,4.8,0.149,4.8,-1.0,3.7,2.2,
31,30.0,James Harden,36.0,CLE,PG,8.0,8.0,261.0,19.3,0.673,0.5,0.438,2.5,14.7,8.6,34.4,1.1,1.8,19.7,22.8,0.7,0.3,1.0,0.177,4.8,0.3,5.1,0.5,
32,31.0,Anthony Edwards,24.0,MIN,SG,51.0,51.0,1817.0,22.1,0.616,0.411,0.343,2.0,13.8,8.0,17.3,1.8,2.0,10.6,31.6,3.6,2.2,5.8,0.153,4.8,-0.2,4.6,3.0,AS
33,32.0,Anthony Black,22.0,ORL,PG,58.0,38.0,1815.0,14.0,0.556,0.387,0.291,2.5,11.6,7.0,18.8,2.2,2.0,13.3,22.0,0.5,2.1,2.7,0.071,-1.0,0.5,-0.6,0.7,
