,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
517,373.0,Quincy Pondexter,22.0,NOH,SF,66.0,6.0,11.1,1.1,2.7,0.406,0.3,0.8,0.36,0.8,2.0,0.423,0.456,0.4,0.5,0.706,0.3,1.0,1.3,0.4,0.3,0.2,0.2,1.0,2.8,
518,374.0,Craig Brackins,23.0,PHI,PF,3.0,0.0,11.0,1.3,5.3,0.25,0.0,1.7,0.0,1.3,3.7,0.364,0.25,0.0,0.0,,0.7,0.7,1.3,0.3,0.3,0.0,0.0,1.0,2.7,
519,375.0,Kevin Séraphin,21.0,WAS,PF,58.0,1.0,10.9,1.1,2.5,0.449,0.0,0.0,,1.1,2.5,0.449,0.449,0.4,0.5,0.71,1.4,1.2,2.6,0.2,0.3,0.5,0.7,2.2,2.7,
520,376.0,Tony Battie,34.0,PHI,C,38.0,0.0,9.9,1.2,2.5,0.469,0.1,0.1,0.667,1.1,2.4,0.462,0.479,0.2,0.4,0.571,0.4,2.2,2.6,0.3,0.1,0.4,0.3,1.6,2.6,
521,377.0,Brian Cardinal,33.0,DAL,SF,56.0,4.0,11.0,0.8,1.8,0.43,0.8,1.6,0.483,0.0,0.2,0.077,0.64,0.3,0.3,0.944,0.2,0.9,1.1,0.7,0.4,0.1,0.3,1.5,2.6,
522,378.0,Jeremy Lin,22.0,GSW,PG,29.0,0.0,9.8,1.0,2.5,0.389,0.0,0.2,0.2,0.9,2.3,0.403,0.396,0.7,0.9,0.76,0.4,0.8,1.2,1.4,1.1,0.3,0.6,1.1,2.6,
523,379.0,Sasha Pavlović,27.0,3TM,SG,31.0,7.0,11.7,0.9,2.3,0.403,0.4,1.0,0.387,0.5,1.3,0.415,0.486,0.2,0.3,0.6,0.0,1.0,1.0,0.5,0.3,0.2,0.4,1.1,2.5,
524,379.0,Sasha Pavlović,27.0,DAL,SF,10.0,6.0,16.3,1.5,3.5,0.429,0.7,1.6,0.438,0.8,1.9,0.421,0.529,0.4,0.5,0.8,0.0,1.2,1.2,0.7,0.5,0.3,0.5,1.5,4.1,
525,379.0,Sasha Pavlović,27.0,NOH,SG,4.0,1.0,12.5,0.5,2.8,0.182,0.0,1.3,0.0,0.5,1.5,0.333,0.182,0.0,0.0,,0.0,1.5,1.5,1.5,0.0,1.0,0.3,1.0,1.0,
526,379.0,Sasha Pavlović,27.0,BOS,SG,17.0,0.0,8.8,0.7,1.5,0.462,0.3,0.6,0.5,0.4,0.9,0.438,0.558,0.1,0.3,0.4,0.1,0.8,0.8,0.2,0.3,0.0,0.4,0.9,1.8,
527,380.0,Jeff Adrien,24.0,GSW,PF,23.0,0.0,8.5,1.0,2.3,0.426,0.0,0.0,,1.0,2.3,0.426,0.426,0.5,0.8,0.579,1.0,1.5,2.5,0.4,0.2,0.2,0.4,1.2,2.5,
528,381.0,Erick Dampier,35.0,MIA,C,51.0,22.0,16.0,1.0,1.7,0.584,0.0,0.0,0.0,1.0,1.7,0.591,0.584,0.5,0.9,0.545,1.0,2.4,3.5,0.4,0.3,0.9,0.6,1.6,2.5,
529,382.0,Chris Duhon,28.0,ORL,PG,51.0,5.0,15.2,1.0,2.5,0.38,0.3,1.0,0.25,0.7,1.5,0.468,0.43,0.3,0.5,0.56,0.2,0.8,1.0,2.3,0.3,0.0,1.2,0.6,2.5,
530,383.0,Etan Thomas,32.0,ATL,C,13.0,0.0,6.3,0.8,1.6,0.476,0.0,0.0,,0.8,1.6,0.476,0.476,0.9,1.2,0.8,0.5,1.3,1.8,0.2,0.1,0.3,0.4,0.8,2.5,
531,384.0,Garrett Temple,24.0,3TM,PG,24.0,0.0,9.6,0.8,2.8,0.294,0.4,1.5,0.27,0.4,1.3,0.323,0.368,0.3,0.7,0.412,0.0,0.9,1.0,1.3,0.5,0.3,1.0,1.0,2.4,
532,384.0,Garrett Temple,24.0,SAS,SG,3.0,0.0,7.0,0.3,1.7,0.2,0.0,0.3,0.0,0.3,1.3,0.25,0.2,0.0,0.7,0.0,0.3,0.3,0.7,0.7,0.3,0.3,0.3,0.7,0.7,
533,384.0,Garrett Temple,24.0,MIL,SG,9.0,0.0,9.2,0.8,2.3,0.333,0.3,1.1,0.3,0.4,1.2,0.364,0.405,0.0,0.4,0.0,0.0,0.7,0.7,0.7,0.1,0.1,0.2,0.9,1.9,
534,384.0,Garrett Temple,24.0,CHA,PG,12.0,0.0,10.5,1.0,3.5,0.286,0.6,2.2,0.269,0.4,1.3,0.313,0.369,0.6,0.9,0.636,0.0,1.3,1.3,2.0,0.8,0.3,1.7,1.2,3.2,
535,385.0,Chris Johnson,25.0,2TM,C,14.0,1.0,9.9,0.6,1.5,0.429,0.0,0.0,,0.6,1.5,0.429,0.429,1.1,1.4,0.75,0.9,1.4,2.3,0.2,0.2,0.6,0.7,1.5,2.4,
536,385.0,Chris Johnson,25.0,POR,C,10.0,1.0,10.6,0.7,1.8,0.389,0.0,0.0,,0.7,1.8,0.389,0.389,1.3,1.8,0.722,1.1,1.6,2.7,0.2,0.3,0.6,0.8,1.8,2.7,
537,385.0,Chris Johnson,25.0,BOS,C,4.0,0.0,8.0,0.5,0.8,0.667,0.0,0.0,,0.5,0.8,0.667,0.667,0.5,0.5,1.0,0.3,1.0,1.3,0.3,0.0,0.8,0.5,0.8,1.5,
