,PLAYER_NAME,TEAM_ABBREVIATION,PIE
305,LeBron James,MIA,0.22
294,Kyrylo Fesenko,IND,0.214
75,Chris Paul,LAC,0.186
278,Kevin Durant,OKC,0.186
280,Kevin Love,MIN,0.176
139,Dwight Howard,ORL,0.172
279,Kevin Garnett,BOS,0.168
140,Dwyane Wade,MIA,0.166
19,Andrew Bynum,LAL,0.165
439,Tim Duncan,SAS,0.163
39,Blake Griffin,LAC,0.156
4,Al Jefferson,UTA,0.154
445,Tony Parker,SAS,0.153
132,Dirk Nowitzki,DAL,0.152
127,Derrick Rose,CHI,0.152
208,James Singleton,WAS,0.152
370,Pau Gasol,LAL,0.148
295,LaMarcus Aldridge,POR,0.148
321,Manu Ginobili,SAS,0.148
428,Steve Nash,PHX,0.148
264,Josh Smith,ATL,0.147
59,Carlos Boozer,CHI,0.146
228,Jeremy Lin,NYK,0.146
61,Carmelo Anthony,NYK,0.146
175,Greg Monroe,DET,0.145
402,Russell Westbrook,OKC,0.145
286,Kobe Bryant,LAL,0.143
373,Paul Pierce,BOS,0.142
372,Paul Millsap,UTA,0.14
205,James Harden,OKC,0.139
293,Kyrie Irving,CLE,0.138
377,Rajon Rondo,BOS,0.138
406,Ryan Reid,OKC,0.137
123,Deron Williams,NJN,0.137
160,Ersan Ilyasova,MIL,0.136
460,Tyson Chandler,NYK,0.136
71,Chris Bosh,MIA,0.136
324,Marcin Gortat,PHX,0.136
323,Marc Gasol,MEM,0.135
213,Jarrett Jack,NOH,0.135
455,Ty Lawson,DEN,0.134
357,Nene,WAS,0.134
425,Stephen Curry,GSW,0.134
14,Andre Iguodala,PHI,0.134
292,Kyle Lowry,HOU,0.132
369,Patty Mills,SAS,0.131
3,Al Horford,ATL,0.13
438,Tiago Splitter,SAS,0.13
476,Zach Randolph,MEM,0.13
257,Jose Calderon,TOR,0.13
276,Kenneth Faried,DEN,0.13
16,Andrea Bargnani,TOR,0.129
310,Lou Williams,PHI,0.129
11,Anderson Varejao,CLE,0.129
247,John Wall,WAS,0.128
43,Brandan Wright,DAL,0.127
239,Joakim Noah,CHI,0.127
116,DeMarcus Cousins,SAC,0.127
245,John Lucas III,CHI,0.126
110,David Lee,GSW,0.126
111,David West,IND,0.125
378,Ramon Sessions,LAL,0.125
9,Amar'e Stoudemire,NYK,0.124
361,Nikola Pekovic,MIN,0.124
81,Cole Aldrich,OKC,0.123
236,Jerryd Bayless,TOR,0.123
424,Spencer Hawes,PHI,0.123
403,Ryan Anderson,ORL,0.123
288,Kris Humphries,NJN,0.122
326,Marcus Camby,HOU,0.122
398,Roy Hibbert,IND,0.122
57,Carl Landry,NOH,0.122
241,Joe Johnson,ATL,0.122
446,Tracy McGrady,ATL,0.122
198,JaVale McGee,DEN,0.122
18,Andrew Bogut,MIL,0.121
347,Mike Dunleavy,MIL,0.121
401,Rudy Gay,MEM,0.119
432,Taj Gibson,CHI,0.119
45,Brandon Jennings,MIL,0.118
371,Paul George,IND,0.118
253,Jordan Farmar,NJN,0.118
102,Danny Granger,IND,0.117
126,Derrick Favors,UTA,0.116
437,Thaddeus Young,PHI,0.116
390,Ricky Rubio,MIN,0.116
346,Mike Conley,MEM,0.115
172,Goran Dragic,HOU,0.115
138,Drew Gooden,MIL,0.115
227,Jeremy Evans,UTA,0.115
191,Ish Smith,ORL,0.115
274,Kemba Walker,CHA,0.114
74,Chris Kaman,NOH,0.114
53,Brook Lopez,NJN,0.113
152,Elton Brand,PHI,0.113
422,Solomon Alabi,TOR,0.113
169,Gerald Wallace,NJN,0.113
157,Eric Gordon,NOH,0.113
70,Chris Andersen,DEN,0.113
166,George Hill,IND,0.112
146,Ed Davis,TOR,0.112
429,Steve Novak,NYK,0.112
179,Gustavo Ayon,NOH,0.112
352,Monta Ellis,MIL,0.112
409,Samuel Dalembert,HOU,0.112
418,Shawn Marion,DAL,0.111
120,Delonte West,DAL,0.111
101,Danilo Gallinari,DEN,0.111
78,Chris Wright,GSW,0.11
334,Marvin Williams,ATL,0.11
414,Serge Ibaka,OKC,0.11
154,Enes Freedom,UTA,0.11
193,J.J. Barea,MIN,0.11
67,Charlie Villanueva,DET,0.109
182,Hamed Haddadi,MEM,0.109
392,Rodney Stuckey,DET,0.108
178,Greivis Vasquez,NOH,0.108
270,Kawhi Leonard,SAS,0.108
15,Andre Miller,DEN,0.108
220,Jason Terry,DAL,0.108
287,Kosta Koufos,DEN,0.108
360,Nicolas Batum,POR,0.107
355,Nate Robinson,GSW,0.107
190,Isaiah Thomas,SAC,0.107
68,Chase Budinger,HOU,0.107
458,Tyreke Evans,SAC,0.107
281,Kevin Martin,HOU,0.106
161,Evan Turner,PHI,0.106
69,Chauncey Billups,LAC,0.106
104,Dante Cunningham,MEM,0.105
196,JR Smith,NYK,0.105
462,Vernon Macklin,DET,0.105
47,Brandon Rush,GSW,0.105
317,Luol Deng,CHI,0.104
