,Player,Team,G,PTS,AST,TRB,Stocks,eFG%,MP,PER,TS%,USG%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
0,Kobe Bryant,Los Angeles Lakers,77.0,31.6,5.4,5.7,1.9,0.502,3140.0,26.1,0.58,33.6,13.0,5.9,6.1,0.5122,82.0,0.404,0.939,2007
1,Carmelo Anthony,Denver Nuggets,65.0,28.9,3.8,6.0,1.6,0.489,2486.0,22.1,0.552,33.4,7.3,1.9,2.5,0.5488,82.0,0.001,0.7927,2007
2,Gilbert Arenas,Washington Wizards,74.0,28.4,6.0,4.6,2.1,0.484,2942.0,24.0,0.565,31.4,10.8,4.7,5.0,0.5,82.0,0.024,0.9024,2007
4,LeBron James,Cleveland Cavaliers,78.0,27.3,6.0,6.7,2.3,0.507,3190.0,24.5,0.552,31.0,13.7,8.1,8.1,0.6098,82.0,0.142,0.9512,2007
7,Allen Iverson,Denver Nuggets,65.0,26.3,7.2,3.0,2.1,0.466,2761.0,19.6,0.54,29.3,6.2,1.8,2.6,0.5488,82.0,0,0.7927,2007
8,Vince Carter,New Jersey Nets,82.0,25.2,4.8,6.0,1.4,0.503,3126.0,21.8,0.559,30.8,10.5,3.9,4.6,0.5,82.0,0,1.0,2007
12,Tracy McGrady,Houston Rockets,71.0,24.6,6.5,5.3,1.8,0.474,2539.0,23.2,0.515,35.0,8.6,6.1,5.2,0.6341,82.0,0.085,0.8659,2007
13,Dirk Nowitzki,Dallas Mavericks,78.0,24.6,3.4,8.9,1.5,0.529,2820.0,27.6,0.605,28.9,16.3,8.3,7.4,0.8171,82.0,0.882,0.9512,2007
14,Zach Randolph,Portland Trail Blazers,68.0,23.6,2.2,10.1,1.0,0.472,2425.0,22.8,0.537,33.1,5.7,1.6,2.2,0.3902,82.0,0,0.8293,2007
15,Chris Bosh,Toronto Raptors,69.0,22.6,2.5,10.7,1.9,0.502,2658.0,22.6,0.577,26.7,9.6,2.7,3.1,0.5732,82.0,0.033,0.8415,2007
16,Kevin Garnett,Minnesota Timberwolves,76.0,22.4,4.1,12.8,2.9,0.48,2995.0,24.1,0.546,27.4,10.7,5.4,5.5,0.3902,82.0,0.005,0.9268,2007
18,Ben Gordon,Chicago Bulls,82.0,21.4,3.6,3.1,1.0,0.513,2704.0,18.2,0.572,29.3,8.6,2.4,3.0,0.5976,82.0,0,1.0,2007
19,Carlos Boozer,Utah Jazz,74.0,20.9,3.0,11.7,1.2,0.561,2557.0,24.1,0.588,26.5,9.9,4.6,4.3,0.622,82.0,0.005,0.9024,2007
21,Elton Brand,Los Angeles Clippers,80.0,20.5,2.9,9.3,3.2,0.533,3077.0,23.1,0.581,24.3,11.5,4.2,4.8,0.4878,82.0,0,0.9756,2007
