,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Denver Nuggets,55,242.7,42.8,86.6,0.495,13.7,34.7,0.395,29.1,51.8,0.562,21.0,25.9,0.81,9.6,33.1,42.7,28.0,6.9,4.1,12.7,19.0,120.4
1,2.0,Cleveland Cavaliers,55,240.9,43.6,91.6,0.476,14.7,41.1,0.358,28.9,50.6,0.572,18.0,23.0,0.784,12.2,32.4,44.6,28.6,9.0,5.2,14.5,20.0,120.0
2,3.0,Minnesota Timberwolves,56,241.3,43.1,89.1,0.484,14.3,38.0,0.375,28.9,51.1,0.565,19.2,25.8,0.746,11.4,33.4,44.8,26.5,8.8,5.7,14.5,21.3,119.7
3,4.0,Oklahoma City Thunder,56,242.2,43.3,88.8,0.487,13.5,37.2,0.362,29.8,51.6,0.577,19.7,24.0,0.821,9.3,34.3,43.7,25.5,9.8,5.7,12.5,19.4,119.7
4,5.0,Miami Heat,56,240.4,43.3,93.9,0.461,13.4,37.3,0.36,29.9,56.7,0.528,19.5,24.8,0.787,12.0,34.8,46.9,28.6,9.2,4.2,14.2,18.9,119.6
5,6.0,Utah Jazz,56,242.7,42.3,90.3,0.469,12.9,36.9,0.35,29.4,53.4,0.551,20.6,25.8,0.799,11.8,32.5,44.3,30.1,8.1,3.5,15.9,22.0,118.3
6,7.0,San Antonio Spurs,54,240.5,42.6,89.3,0.477,13.0,37.4,0.347,29.6,51.9,0.57,20.0,25.5,0.784,11.4,35.2,46.6,26.6,7.7,5.1,13.7,19.0,118.1
7,8.0,New York Knicks,55,241.4,42.8,90.7,0.472,15.0,39.8,0.378,27.7,50.9,0.545,17.4,22.1,0.79,13.2,33.2,46.3,27.2,8.0,4.1,13.6,20.4,118.0
8,9.0,Atlanta Hawks,56,240.9,43.3,91.6,0.472,14.5,39.2,0.37,28.8,52.4,0.549,16.3,21.1,0.774,10.1,32.1,42.2,30.5,9.3,4.7,14.3,19.9,117.3
9,10.0,Detroit Pistons,53,240.9,42.9,89.5,0.48,11.1,31.8,0.349,31.8,57.7,0.552,20.3,26.8,0.755,13.1,32.5,45.6,26.6,10.6,6.3,15.3,22.4,117.2
10,11.0,Chicago Bulls,55,240.9,42.6,90.4,0.471,14.7,40.0,0.367,27.9,50.4,0.554,17.0,21.5,0.789,10.2,34.4,44.7,29.2,7.5,5.0,14.5,18.7,116.8
11,12.0,Portland Trail Blazers,56,240.9,41.1,90.8,0.452,14.5,42.4,0.342,26.6,48.4,0.549,19.7,25.5,0.773,14.3,31.8,46.0,24.7,8.0,4.9,17.3,20.4,116.3
12,13.0,Philadelphia 76ers,54,243.7,41.3,89.9,0.46,12.7,35.7,0.356,28.6,54.2,0.529,20.8,25.5,0.816,12.1,31.2,43.3,24.7,9.1,5.7,13.9,20.3,116.2
13,14.0,Los Angeles Lakers,54,240.0,41.8,83.6,0.5,11.7,33.5,0.35,30.1,50.1,0.6,20.7,26.9,0.769,9.7,31.4,41.1,25.3,8.2,4.0,15.1,18.9,116.0
14,15.0,Charlotte Hornets,55,241.4,40.8,88.8,0.46,15.4,41.4,0.373,25.4,47.4,0.536,18.6,22.7,0.821,12.4,33.6,46.0,26.4,6.7,4.5,15.9,19.1,115.7
15,16.0,Golden State Warriors,55,240.9,40.9,88.8,0.461,16.3,45.1,0.362,24.6,43.7,0.563,17.4,21.5,0.809,10.9,31.6,42.5,28.9,10.0,4.4,15.6,19.9,115.5
16,17.0,Boston Celtics,54,240.9,42.6,91.4,0.467,15.4,42.4,0.363,27.3,48.9,0.557,14.6,18.4,0.791,12.8,32.6,45.4,23.9,7.6,5.3,12.1,19.9,115.3
17,18.0,Memphis Grizzlies,53,240.9,41.6,90.8,0.458,13.5,38.4,0.351,28.2,52.4,0.537,18.6,23.3,0.797,11.7,33.3,45.0,28.7,8.2,5.0,15.2,20.1,115.3
18,19.0,Orlando Magic,53,241.4,40.9,88.5,0.462,11.5,33.7,0.342,29.4,54.8,0.536,21.6,27.0,0.8,11.2,32.1,43.3,26.4,8.7,5.2,13.9,21.0,115.1
19,20.0,New Orleans Pelicans,56,242.2,42.0,90.9,0.462,11.2,32.4,0.345,30.8,58.5,0.527,19.4,24.8,0.785,12.3,31.3,43.6,25.0,8.8,4.7,14.1,19.9,114.6
20,21.0,Houston Rockets,53,243.3,42.5,90.2,0.471,11.3,30.6,0.37,31.2,59.5,0.523,18.3,24.3,0.755,15.8,32.8,48.6,24.7,8.8,5.8,15.4,18.6,114.6
21,22.0,Dallas Mavericks,54,242.3,42.1,89.5,0.471,10.9,31.7,0.342,31.3,57.8,0.541,18.9,25.3,0.747,10.0,34.7,44.7,25.1,7.6,5.5,14.7,18.5,113.9
22,23.0,Toronto Raptors,55,241.8,42.2,89.3,0.473,11.5,33.5,0.344,30.7,55.8,0.55,17.8,22.8,0.781,11.4,31.5,43.0,29.3,8.5,4.9,14.0,20.9,113.8
23,24.0,Phoenix Suns,55,240.5,41.4,89.9,0.46,14.6,40.2,0.364,26.7,49.7,0.538,16.3,20.5,0.793,12.9,30.2,43.1,25.0,10.1,4.0,15.0,21.3,113.6
24,25.0,Washington Wizards,53,240.9,41.3,90.5,0.456,12.9,36.3,0.354,28.4,54.2,0.525,16.7,21.6,0.771,11.8,31.7,43.5,25.2,7.8,6.0,15.6,21.1,112.2
25,26.0,Los Angeles Clippers,54,241.4,39.4,82.5,0.478,12.7,34.7,0.365,26.8,47.8,0.559,20.4,24.5,0.832,9.5,31.1,40.6,23.5,8.6,4.7,15.1,18.7,111.9
26,27.0,Milwaukee Bucks,53,241.4,41.3,85.9,0.481,14.7,37.5,0.392,26.6,48.3,0.55,14.5,19.7,0.737,8.7,32.5,41.2,26.1,7.4,4.1,14.5,20.1,111.8
27,28.0,Indiana Pacers,55,241.4,40.2,89.4,0.449,12.7,36.7,0.347,27.4,52.6,0.521,18.1,23.6,0.767,10.3,32.3,42.7,26.1,7.4,4.8,14.2,21.9,111.1
28,29.0,Sacramento Kings,56,241.3,40.9,88.6,0.462,10.4,30.3,0.342,30.6,58.3,0.525,17.9,23.1,0.773,11.0,30.3,41.3,24.9,8.3,4.5,14.5,20.2,110.1
29,30.0,Brooklyn Nets,53,241.4,37.9,85.1,0.446,13.7,39.9,0.344,24.2,45.2,0.536,18.1,23.3,0.774,11.1,29.6,40.7,25.4,7.6,4.2,15.6,20.2,107.7
30,,League Average,55,241.4,41.8,89.2,0.469,13.3,37.0,0.359,28.6,52.2,0.547,18.6,23.7,0.784,11.5,32.5,43.9,26.6,8.4,4.9,14.6,20.1,115.6
