,Player,Team,G,Par,Stocks,eFG%,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
0,Michael Jordan,Chicago Bulls,82.0,38.0,2.2,0.473,25.2,0.533,15.8,6.9,7.1,0.7561,82.0,0.934,1.0,1998
2,Karl Malone,Utah Jazz,81.0,41.2,2.1,0.531,27.9,0.597,16.4,7.3,7.1,0.7561,82.0,0.726,0.9878,1998
4,Mitch Richmond,Sacramento Kings,70.0,30.5,1.5,0.498,20.4,0.569,7.9,3.6,3.6,0.3293,82.0,0.003,0.8537,1998
5,Antoine Walker,Boston Celtics,82.0,35.9,2.4,0.45,17.8,0.481,4.8,0.6,2.2,0.439,82.0,0.005,1.0,1998
6,Shareef Abdur-Rahim,Vancouver Grizzlies,82.0,32.0,2.0,0.493,21.1,0.562,6.9,1.6,2.6,0.2317,82.0,0,1.0,1998
8,Allen Iverson,Philadelphia 76ers,80.0,31.9,2.5,0.486,20.4,0.535,9.0,3.6,4.5,0.378,82.0,0,0.9756,1998
9,Chris Webber,Washington Wizards,71.0,35.2,3.3,0.507,20.9,0.523,8.3,4.6,4.7,0.5122,82.0,0,0.8659,1998
10,David Robinson,San Antonio Spurs,73.0,34.9,3.5,0.511,27.8,0.581,13.8,8.3,6.3,0.6829,82.0,0.031,0.8902,1998
11,Michael Finley,Dallas Mavericks,82.0,31.7,2.0,0.477,19.3,0.522,7.5,2.5,3.8,0.2439,82.0,0.001,1.0,1998
13,Tim Duncan,San Antonio Spurs,82.0,35.7,3.2,0.549,22.6,0.577,12.8,4.6,5.3,0.6829,82.0,0.128,1.0,1998
14,Grant Hill,Detroit Pistons,81.0,35.6,2.5,0.453,21.2,0.52,10.2,4.7,5.6,0.4512,82.0,0.02,0.9878,1998
17,Steve Smith,Atlanta Hawks,73.0,28.3,1.4,0.488,18.8,0.563,10.2,3.0,3.6,0.6098,82.0,0,0.8902,1998
19,Isaiah Rider,Portland Trail Blazers,74.0,27.5,1.0,0.475,15.2,0.514,5.8,0.1,1.5,0.561,82.0,0,0.9024,1998
21,Sam Cassell,New Jersey Nets,75.0,30.6,1.9,0.448,21.0,0.533,8.3,3.6,3.7,0.5244,82.0,0,0.9146,1998
22,Ray Allen,Milwaukee Bucks,82.0,28.7,1.5,0.479,16.2,0.539,7.0,1.0,2.5,0.439,82.0,0,1.0,1998
23,Reggie Miller,Indiana Pacers,81.0,24.5,1.1,0.553,19.8,0.619,12.0,4.8,4.8,0.7073,82.0,0.002,0.9878,1998
24,Vin Baker,Seattle SuperSonics,82.0,29.1,2.1,0.543,20.4,0.564,10.4,1.0,2.2,0.7439,82.0,0.021,1.0,1998
26,Gary Payton,Seattle SuperSonics,82.0,32.1,2.5,0.505,21.6,0.544,12.5,5.1,5.7,0.7439,82.0,0.372,1.0,1998
28,Tim Hardaway,Miami Heat,81.0,30.9,1.9,0.49,20.6,0.53,11.7,5.2,5.5,0.6707,82.0,0.061,0.9878,1998
29,Kevin Garnett,Minnesota Timberwolves,82.0,32.3,3.5,0.492,20.4,0.527,9.6,4.2,5.0,0.5488,82.0,0,1.0,1998
31,Clyde Drexler,Houston Rockets,70.0,28.8,2.4,0.477,19.8,0.531,6.8,3.4,3.3,0.5,82.0,0,0.8537,1998
32,Allan Houston,New York Knicks,82.0,24.3,1.1,0.479,15.1,0.53,6.1,0.6,1.9,0.5244,82.0,0,1.0,1998
33,Shawn Kemp,Cleveland Cavaliers,80.0,29.8,2.5,0.446,17.5,0.512,6.8,0.6,1.8,0.5732,82.0,0,0.9756,1998
34,Rod Strickland,Washington Wizards,76.0,33.6,2.0,0.439,19.6,0.501,8.1,2.9,3.7,0.5122,82.0,0.001,0.9268,1998
35,Stephon Marbury,Minnesota Timberwolves,82.0,29.1,1.4,0.453,16.4,0.505,5.3,-0.1,1.5,0.5488,82.0,0,1.0,1998
36,Corliss Williamson,Sacramento Kings,79.0,26.2,1.6,0.495,16.0,0.527,4.4,-0.4,1.1,0.3293,82.0,0,0.9634,1998
38,Damon Stoudamire,Portland Trail Blazers,71.0,29.7,1.7,0.452,16.8,0.503,4.7,0.1,1.5,0.561,82.0,0,0.8659,1998
39,Kerry Kittles,New Jersey Nets,77.0,24.2,2.2,0.488,17.5,0.525,8.4,3.1,3.7,0.5244,82.0,0,0.939,1998
40,Eddie Jones,Los Angeles Lakers,80.0,23.8,2.7,0.555,18.0,0.592,10.1,4.0,4.4,0.7439,82.0,0,0.9756,1998
42,Rik Smits,Indiana Pacers,73.0,25.0,1.7,0.495,19.9,0.532,6.1,0.9,1.6,0.7073,82.0,0.002,0.8902,1998
43,Doug Christie,Toronto Raptors,78.0,25.3,3.1,0.474,16.2,0.53,4.0,0.4,1.7,0.1951,82.0,0,0.9512,1998
46,Bryant Reeves,Vancouver Grizzlies,74.0,26.3,1.6,0.523,17.3,0.559,4.9,-1.1,0.5,0.2317,82.0,0,0.9024,1998
47,Bison Dele,Detroit Pistons,78.0,26.3,1.6,0.511,18.1,0.542,6.9,0.0,1.3,0.4512,82.0,0,0.9512,1998
48,Kevin Willis,Houston Rockets,81.0,25.5,1.2,0.511,18.3,0.555,6.0,-1.9,0.0,0.5,82.0,0,0.9878,1998
49,Arvydas Sabonis,Portland Trail Blazers,73.0,29.0,2.0,0.511,20.9,0.581,9.7,4.4,3.8,0.561,82.0,0,0.8902,1998
50,Rex Chapman,Phoenix Suns,68.0,21.4,1.2,0.49,14.5,0.521,4.5,0.2,1.3,0.6829,82.0,0,0.8293,1998
51,Jerry Stackhouse,Detroit Pistons,79.0,22.3,1.8,0.459,16.2,0.532,4.7,0.5,1.6,0.4512,82.0,0,0.9634,1998
52,Detlef Schrempf,Seattle SuperSonics,78.0,27.3,1.0,0.521,18.7,0.585,10.4,2.9,3.4,0.7439,82.0,0,0.9512,1998
53,Jim Jackson,Golden State Warriors,79.0,25.6,1.1,0.458,13.2,0.504,2.5,-1.6,0.3,0.2317,82.0,0,0.9634,1998
54,Larry Johnson,New York Knicks,70.0,23.3,0.8,0.494,15.8,0.539,6.9,0.6,1.6,0.5244,82.0,0,0.8537,1998
55,Kobe Bryant,Los Angeles Lakers,79.0,21.0,1.4,0.469,18.5,0.548,6.3,1.4,1.8,0.7439,82.0,0,0.9634,1998
56,Donyell Marshall,Golden State Warriors,73.0,26.2,2.3,0.443,15.5,0.474,4.2,0.6,1.7,0.2317,82.0,0,0.8902,1998
57,Lamond Murray,Los Angeles Clippers,79.0,23.3,2.2,0.508,17.8,0.548,4.9,0.5,1.6,0.2073,82.0,0,0.9634,1998
59,Ron Mercer,Boston Celtics,80.0,21.0,1.8,0.451,14.1,0.491,4.0,-1.4,0.4,0.439,82.0,0,0.9756,1998
60,Charles Barkley,Houston Rockets,68.0,30.1,1.4,0.497,21.6,0.564,8.6,2.8,2.7,0.5,82.0,0,0.8293,1998
62,Antonio McDyess,Phoenix Suns,81.0,24.0,2.9,0.536,20.3,0.571,9.4,2.1,2.5,0.6829,82.0,0,0.9878,1998
63,Tracy Murray,Washington Wizards,82.0,19.5,1.1,0.524,17.3,0.563,6.5,2.0,2.3,0.5122,82.0,0,1.0,1998
64,Rodney Rogers,Los Angeles Clippers,76.0,23.4,1.7,0.494,15.8,0.532,3.3,-0.9,0.7,0.2073,82.0,0,0.9268,1998
65,Johnny Newman,Denver Nuggets,74.0,18.5,1.3,0.453,14.9,0.547,2.7,-2.6,-0.3,0.1341,82.0,0,0.9024,1998
66,Wesley Person,Cleveland Cavaliers,82.0,21.4,2.2,0.56,15.1,0.583,10.3,3.8,4.7,0.5732,82.0,0,1.0,1998
67,Joe Smith,Philadelphia 76ers,79.0,21.8,1.4,0.434,14.4,0.482,2.6,-2.4,-0.3,0.378,82.0,0,0.9634,1998
68,Rasheed Wallace,Portland Trail Blazers,77.0,23.3,2.1,0.537,14.9,0.564,7.6,1.2,2.4,0.561,82.0,0,0.939,1998
