,Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
0,1.0,Amen Thompson,23.0,HOU,PG,68.0,68.0,2525.0,18.5,0.584,0.118,0.365,9.0,14.5,11.8,20.5,2.0,1.5,13.9,20.3,5.1,3.1,8.2,0.156,1.4,0.9,2.3,2.7,
1,2.0,Kevin Durant,37.0,HOU,SF,67.0,67.0,2440.0,20.8,0.636,0.323,0.33,1.7,14.7,8.3,19.5,1.2,2.3,13.6,27.0,6.1,2.7,8.7,0.172,4.0,0.1,4.1,3.7,AS
2,3.0,Mikal Bridges,29.0,NYK,SF,72.0,72.0,2400.0,15.5,0.582,0.43,0.099,3.3,10.2,6.8,16.3,2.0,2.5,7.5,17.4,4.2,3.2,7.4,0.147,1.3,1.5,2.9,3.0,
3,4.0,Toumani Camara,25.0,POR,PF,72.0,72.0,2399.0,10.4,0.56,0.66,0.158,5.1,12.0,8.5,10.6,1.5,1.1,14.0,16.1,1.2,1.9,3.1,0.061,-1.6,-0.3,-1.9,0.1,
4,5.0,Desmond Bane,27.0,ORL,SG,70.0,70.0,2395.0,17.0,0.608,0.35,0.268,3.9,9.6,6.7,19.3,1.5,1.2,10.7,23.3,4.3,2.2,6.6,0.131,1.6,-0.2,1.4,2.0,
5,6.0,Julius Randle,31.0,MIN,PF,72.0,72.0,2375.0,18.8,0.587,0.289,0.409,5.7,16.8,11.4,23.3,1.6,0.6,13.1,26.4,4.3,2.8,7.1,0.144,1.5,0.0,1.5,2.1,
6,7.0,Jamal Murray,28.0,DEN,PG,67.0,67.0,2343.0,21.8,0.614,0.401,0.293,1.4,12.2,7.1,32.0,1.3,0.9,10.0,28.3,6.7,1.5,8.2,0.168,5.3,-1.4,3.9,3.5,AS
7,8.0,Tyrese Maxey,25.0,PHI,PG,61.0,61.0,2334.0,22.6,0.589,0.406,0.279,0.8,11.2,5.9,29.5,2.6,2.0,9.0,29.8,5.5,2.5,8.0,0.164,5.3,0.6,5.9,4.6,AS
8,9.0,Derrick White,31.0,BOS,SG,68.0,68.0,2331.0,16.9,0.53,0.575,0.186,3.6,10.7,7.2,23.0,1.8,4.1,9.9,22.9,3.3,3.2,6.5,0.135,2.6,1.1,3.7,3.4,
9,10.0,Scottie Barnes,24.0,TOR,PF,68.0,68.0,2318.0,18.9,0.574,0.207,0.262,6.6,19.4,12.9,23.9,2.0,4.3,14.0,23.6,2.6,3.7,6.4,0.132,1.5,2.0,3.5,3.2,AS
