,Player,Team,G,PTS,AST,TRB,Stocks,eFG%,MP,PER,TS%,USG%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
0,Joel Embiid,Philadelphia 76ers,68.0,30.6,4.2,11.7,2.6,0.534,2297.0,31.2,0.616,37.2,12.0,9.2,6.5,0.622,82.0,0.706,0.8293,2022
2,Giannis Antetokounmpo,Milwaukee Bucks,67.0,29.9,5.8,11.6,2.5,0.582,2204.0,32.1,0.633,34.9,12.9,11.2,7.4,0.622,82.0,0.595,0.8171,2022
4,Luka Dončić,Dallas Mavericks,65.0,28.4,8.7,9.1,1.8,0.529,2301.0,25.1,0.571,37.4,7.6,8.2,5.9,0.6341,82.0,0.146,0.7927,2022
5,Trae Young,Atlanta Hawks,76.0,28.4,9.7,3.7,1.0,0.536,2652.0,25.4,0.603,34.4,10.0,5.2,4.8,0.5244,82.0,0,0.9268,2022
6,DeMar DeRozan,Chicago Bulls,76.0,27.9,4.9,5.2,1.2,0.521,2743.0,23.1,0.59,31.8,8.8,2.5,3.1,0.561,82.0,0.001,0.9268,2022
9,Nikola Jokić,Denver Nuggets,74.0,27.1,7.9,13.8,2.4,0.62,2476.0,32.8,0.661,31.9,15.2,13.7,9.8,0.5854,82.0,0.875,0.9024,2022
10,Jayson Tatum,Boston Celtics,76.0,26.9,4.4,8.0,1.6,0.526,2731.0,21.8,0.578,32.1,9.6,5.0,4.8,0.622,82.0,0.043,0.9268,2022
11,Devin Booker,Phoenix Suns,68.0,26.8,4.8,5.0,1.5,0.53,2345.0,21.3,0.576,32.0,7.6,4.1,3.6,0.7805,82.0,0.216,0.8293,2022
12,Donovan Mitchell,Utah Jazz,67.0,25.9,5.3,4.2,1.7,0.533,2266.0,21.6,0.572,32.9,7.2,4.3,3.6,0.5976,82.0,0,0.8171,2022
13,Stephen Curry,Golden State Warriors,64.0,25.5,6.3,5.2,1.7,0.554,2211.0,21.4,0.601,30.8,8.0,5.8,4.4,0.6463,82.0,0.004,0.7805,2022
14,Karl-Anthony Towns,Minnesota Timberwolves,74.0,24.6,3.6,9.8,2.1,0.591,2476.0,24.1,0.64,27.8,10.3,5.0,4.4,0.561,82.0,0,0.9024,2022
16,Zach LaVine,Chicago Bulls,67.0,24.4,4.5,4.6,0.9,0.554,2328.0,20.0,0.605,28.8,5.8,2.4,2.6,0.561,82.0,0,0.8171,2022
19,Jaylen Brown,Boston Celtics,66.0,23.6,3.5,6.1,1.4,0.541,2220.0,18.9,0.574,30.5,5.8,2.1,2.2,0.622,82.0,0,0.8049,2022
23,Pascal Siakam,Toronto Raptors,68.0,22.8,5.3,8.5,1.9,0.525,2578.0,20.3,0.565,25.8,8.1,3.5,3.6,0.5854,82.0,0,0.8293,2022
25,CJ McCollum,New Orleans Pelicans,62.0,22.1,5.1,4.3,1.5,0.539,2145.0,18.3,0.553,27.5,3.6,1.9,2.1,0.439,82.0,0,0.7561,2022
26,James Harden,Philadelphia 76ers,65.0,22.0,10.3,7.7,1.9,0.485,2419.0,20.9,0.583,27.2,7.6,4.0,3.7,0.622,82.0,0,0.7927,2022
27,Darius Garland,Cleveland Cavaliers,68.0,21.7,8.6,3.3,1.4,0.536,2430.0,19.0,0.576,27.8,6.3,2.6,2.8,0.5366,82.0,0,0.8293,2022
29,Anthony Edwards,Minnesota Timberwolves,72.0,21.3,3.8,4.8,2.1,0.527,2466.0,16.5,0.56,26.4,4.3,1.2,2.0,0.561,82.0,0,0.878,2022
30,Dejounte Murray,San Antonio Spurs,68.0,21.1,9.2,8.3,2.3,0.5,2366.0,22.3,0.533,27.3,7.3,5.4,4.4,0.4146,82.0,0,0.8293,2022
31,Tyler Herro,Miami Heat,66.0,20.7,4.0,5.0,0.8,0.525,2151.0,16.2,0.561,28.8,3.8,0.7,1.5,0.6463,82.0,0,0.8049,2022
33,Fred VanVleet,Toronto Raptors,65.0,20.3,6.7,4.4,2.2,0.513,2462.0,17.3,0.552,23.7,6.7,3.6,3.5,0.5854,82.0,0,0.7927,2022
35,Miles Bridges,Charlotte Hornets,80.0,20.2,3.8,7.0,1.7,0.554,2837.0,17.9,0.593,22.6,7.2,1.5,2.5,0.5244,82.0,0,0.9756,2022
36,LaMelo Ball,Charlotte Hornets,75.0,20.1,7.6,6.7,2.0,0.517,2422.0,19.7,0.554,28.2,5.8,3.4,3.3,0.5244,82.0,0,0.9146,2022
37,Khris Middleton,Milwaukee Bucks,66.0,20.1,5.4,5.4,1.5,0.522,2141.0,18.1,0.577,26.7,5.3,1.6,1.9,0.622,82.0,0,0.8049,2022
38,Julius Randle,New York Knicks,72.0,20.1,5.1,9.9,1.2,0.459,2544.0,15.7,0.509,28.7,3.1,0.5,1.6,0.4512,82.0,0,0.878,2022
39,RJ Barrett,New York Knicks,70.0,20.0,3.0,5.8,0.8,0.466,2417.0,13.7,0.511,27.6,2.3,-1.6,0.2,0.4512,82.0,0,0.8537,2022
40,Terry Rozier,Charlotte Hornets,73.0,19.3,4.5,4.3,1.6,0.539,2458.0,17.6,0.566,23.2,5.9,1.7,2.3,0.5244,82.0,0,0.8902,2022
45,Domantas Sabonis,Sacramento Kings,62.0,18.9,5.2,12.1,1.4,0.598,2136.0,21.9,0.637,22.3,7.1,4.1,3.2,0.3659,82.0,0,0.7561,2022
46,Jordan Poole,Golden State Warriors,76.0,18.5,4.0,3.4,1.1,0.548,2283.0,16.1,0.598,26.0,6.0,1.0,1.7,0.6463,82.0,0,0.9268,2022
47,Russell Westbrook,Los Angeles Lakers,78.0,18.5,7.1,7.4,1.3,0.476,2678.0,15.0,0.512,27.3,1.7,-1.6,0.2,0.4024,82.0,0,0.9512,2022
49,Jrue Holiday,Milwaukee Bucks,67.0,18.3,6.8,4.5,2.0,0.57,2207.0,19.8,0.593,23.5,6.9,3.2,2.9,0.622,82.0,0,0.8171,2022
50,Gary Trent Jr.,Toronto Raptors,70.0,18.3,2.0,2.7,2.0,0.511,2448.0,14.7,0.546,21.8,5.6,0.2,1.3,0.5854,82.0,0,0.8537,2022
51,Desmond Bane,Memphis Grizzlies,76.0,18.2,2.7,4.4,1.6,0.565,2266.0,17.6,0.592,23.1,7.2,2.7,2.7,0.6829,82.0,0,0.9268,2022
52,Bojan Bogdanović,Utah Jazz,69.0,18.1,1.7,4.3,0.5,0.552,2131.0,15.7,0.599,23.7,5.2,0.0,1.1,0.5976,82.0,0,0.8415,2022
53,D'Angelo Russell,Minnesota Timberwolves,65.0,18.1,7.1,3.3,1.3,0.502,2077.0,16.3,0.544,25.1,4.4,0.8,1.4,0.561,82.0,0,0.7927,2022
54,Christian Wood,Houston Rockets,68.0,17.9,2.3,10.1,1.8,0.576,2094.0,19.1,0.595,23.3,4.9,1.6,1.9,0.2439,82.0,0,0.8293,2022
55,Jonas Valančiūnas,New Orleans Pelicans,74.0,17.8,2.6,11.4,1.4,0.574,2240.0,21.2,0.617,23.8,7.3,1.9,2.2,0.439,82.0,0,0.9024,2022
56,Nikola Vučević,Chicago Bulls,73.0,17.6,3.2,11.0,2.0,0.518,2418.0,18.2,0.533,24.5,4.5,0.9,1.8,0.561,82.0,0,0.8902,2022
57,Tyrese Maxey,Philadelphia 76ers,75.0,17.5,4.3,3.2,1.1,0.552,2650.0,16.2,0.594,20.2,7.3,0.6,1.8,0.622,82.0,0,0.9146,2022
58,Cade Cunningham,Detroit Pistons,64.0,17.4,5.6,5.5,1.9,0.471,2088.0,13.1,0.504,27.5,-0.5,-1.6,0.2,0.2805,82.0,0,0.7805,2022
59,Jalen Green,Houston Rockets,67.0,17.3,2.6,3.4,1.0,0.508,2138.0,12.5,0.547,23.7,0.7,-2.9,-0.5,0.2439,82.0,0,0.8171,2022
63,Tobias Harris,Philadelphia 76ers,73.0,17.2,3.5,6.8,1.2,0.532,2543.0,15.9,0.566,21.7,5.6,0.0,1.3,0.622,82.0,0,0.8902,2022
64,Andrew Wiggins,Golden State Warriors,73.0,17.2,2.2,4.5,1.7,0.543,2329.0,15.0,0.56,23.1,5.1,0.4,1.4,0.6463,82.0,0,0.8902,2022
66,Kyle Kuzma,Washington Wizards,66.0,17.1,3.5,8.5,1.5,0.52,2204.0,15.2,0.547,24.2,2.0,-0.2,1.0,0.4268,82.0,0,0.8049,2022
68,Keldon Johnson,San Antonio Spurs,75.0,17.0,2.1,6.1,1.0,0.545,2392.0,15.2,0.574,21.3,4.9,-0.5,0.9,0.4146,82.0,0,0.9146,2022
69,Reggie Jackson,Los Angeles Clippers,75.0,16.8,4.8,3.6,0.9,0.46,2337.0,12.1,0.488,27.6,0.4,-3.0,-0.6,0.5122,82.0,0,0.9146,2022
70,Harrison Barnes,Sacramento Kings,77.0,16.4,2.4,5.6,0.9,0.554,2587.0,15.7,0.623,18.8,6.0,0.2,1.4,0.3659,82.0,0,0.939,2022
71,Cole Anthony,Orlando Magic,65.0,16.3,5.7,5.4,1.0,0.464,2059.0,13.5,0.519,25.1,1.6,-1.2,0.4,0.2683,82.0,0,0.7927,2022
72,Jalen Brunson,Dallas Mavericks,79.0,16.3,4.8,3.9,0.8,0.549,2524.0,17.1,0.583,21.9,7.5,0.9,1.9,0.6341,82.0,0,0.9634,2022
73,Jaren Jackson Jr.,Memphis Grizzlies,78.0,16.3,1.1,5.8,3.2,0.477,2126.0,17.0,0.535,25.4,5.4,-0.1,1.0,0.6829,82.0,0,0.9512,2022
76,Saddiq Bey,Detroit Pistons,82.0,16.1,2.8,5.4,1.1,0.489,2704.0,14.0,0.529,21.3,4.0,-0.3,1.2,0.2805,82.0,0,1.0,2022
77,Jordan Clarkson,Utah Jazz,79.0,16.0,2.5,3.5,1.0,0.504,2141.0,14.9,0.532,26.8,3.5,-0.6,0.7,0.5976,82.0,0,0.9634,2022
80,Buddy Hield,Indiana Pacers,81.0,15.6,2.8,4.4,1.2,0.526,2499.0,12.9,0.548,22.4,1.9,-1.2,0.5,0.3049,82.0,0,0.9878,2022
81,Rudy Gobert,Utah Jazz,66.0,15.6,1.1,14.7,2.8,0.713,2120.0,24.7,0.732,16.9,11.7,4.6,3.6,0.5976,82.0,0,0.8049,2022
84,Tyrese Haliburton,Indiana Pacers,77.0,15.3,8.2,4.0,2.3,0.562,2695.0,18.2,0.595,19.0,7.0,2.6,3.1,0.3049,82.0,0,0.939,2022
85,Scottie Barnes,Toronto Raptors,74.0,15.3,3.5,7.5,1.8,0.524,2617.0,16.3,0.552,19.0,6.6,0.9,1.9,0.5854,82.0,0,0.9024,2022
86,Franz Wagner,Orlando Magic,79.0,15.2,2.9,4.5,1.3,0.517,2429.0,14.7,0.559,21.2,4.0,-0.7,0.8,0.2683,82.0,0,0.9634,2022
89,Seth Curry,Brooklyn Nets,64.0,15.0,3.6,3.1,1.0,0.594,2135.0,13.7,0.615,18.5,4.2,-0.6,0.8,0.5366,82.0,0,0.7805,2022
90,Aaron Gordon,Denver Nuggets,75.0,15.0,2.5,5.9,1.2,0.573,2376.0,15.3,0.602,19.7,5.2,-0.6,0.9,0.5854,82.0,0,0.9146,2022
91,Evan Mobley,Cleveland Cavaliers,69.0,15.0,2.5,8.3,2.5,0.522,2331.0,16.1,0.549,20.4,5.2,0.6,1.5,0.5366,82.0,0,0.8415,2022
