,PLAYER_NAME,TEAM_ABBREVIATION,PIE
508,Tyler Dorsey,DAL,0.365
470,Stanley Umude,DET,0.25
251,Joel Embiid,PHI,0.213
399,Nikola Jokić,DEN,0.211
166,Giannis Antetokounmpo,MIL,0.204
340,Luka Dončić,DAL,0.202
45,Braxton Key,DET,0.189
22,Anthony Davis,LAL,0.186
308,Kevin Durant,PHX,0.185
246,Jimmy Butler III,MIA,0.177
193,Ja Morant,MEM,0.175
463,Shai Gilgeous-Alexander,OKC,0.175
90,Damian Lillard,POR,0.173
332,LeBron James,LAL,0.172
538,Zion Williamson,NOP,0.171
35,Boban Marjanovic,HOU,0.17
238,Jayson Tatum,BOS,0.167
471,Stephen Curry,GSW,0.166
133,Donovan Williams,ATL,0.162
130,Domantas Sabonis,SAC,0.161
143,Dylan Windler,CLE,0.161
220,James Harden,PHI,0.159
371,Micah Potter,UTA,0.159
510,Tyrese Haliburton,IND,0.159
292,Kawhi Leonard,LAC,0.159
17,Andre Drummond,CHI,0.156
331,Lauri Markkanen,UTA,0.154
259,Jonathan Isaac,ORL,0.153
132,Donovan Mitchell,CLE,0.149
281,Julius Randle,NYK,0.148
124,Devin Booker,PHX,0.147
493,Tony Bradley,CHI,0.147
349,Malcolm Hill,CHI,0.147
326,Kyrie Irving,DAL,0.146
322,Kristaps Porziņģis,WAS,0.145
98,Darius Days,HOU,0.145
112,Deandre Ayton,PHX,0.145
74,Christian Wood,DAL,0.144
44,Brandon Ingram,NOP,0.144
401,Nikola Vučević,CHI,0.143
495,Trae Young,ATL,0.143
29,Bam Adebayo,MIA,0.142
528,Willy Hernangomez,NOP,0.141
258,Jonas Valančiūnas,NOP,0.14
345,Mac McClung,PHI,0.139
36,Bobby Portis,MIL,0.138
208,Jalen Brunson,NYK,0.138
110,DeMar DeRozan,CHI,0.138
291,Karl-Anthony Towns,MIN,0.138
106,De'Aaron Fox,SAC,0.137
447,Rudy Gobert,MIN,0.137
277,Jrue Holiday,MIL,0.135
76,Clint Capela,ATL,0.135
424,Paul George,LAC,0.135
418,Pascal Siakam,TOR,0.135
395,Nic Claxton,BKN,0.134
228,Jarrett Allen,CLE,0.134
475,T.J. McConnell,IND,0.134
43,Brandon Clarke,MEM,0.134
227,Jarrell Brantley,UTA,0.134
70,Chris Paul,PHX,0.133
321,Kris Dunn,UTA,0.133
356,Mark Williams,CHA,0.133
384,Moses Brown,LAC,0.133
348,Malcolm Brogdon,BOS,0.133
235,Jaylen Brown,BOS,0.132
123,Desmond Bane,MEM,0.131
270,Josh Giddey,OKC,0.131
207,Jakob Poeltl,TOR,0.13
99,Darius Garland,CLE,0.13
440,Robert Williams III,BOS,0.13
490,Thomas Bryant,DEN,0.129
302,Kenneth Lofton Jr.,MEM,0.129
41,Bradley Beal,WAS,0.129
522,Walker Kessler,UTA,0.128
361,Mason Plumlee,LAC,0.127
523,Wendell Carter Jr.,ORL,0.126
535,Zach LaVine,CHI,0.126
387,Myles Turner,IND,0.125
15,Alperen Sengun,HOU,0.125
225,Jaren Jackson Jr.,MEM,0.125
23,Anthony Edwards,MIN,0.125
149,Evan Mobley,CLE,0.124
316,Khris Middleton,MIL,0.123
392,Naz Reid,MIN,0.122
327,LaMelo Ball,CHA,0.122
217,Jamal Murray,DEN,0.121
65,Charles Bassey,SAS,0.121
455,Sam Merrill,CLE,0.12
113,Dejounte Murray,ATL,0.12
396,Nick Richards,CHA,0.12
287,Jusuf Nurkić,POR,0.119
509,Tyler Herro,MIA,0.119
267,Jordan Schakel,WAS,0.118
178,Immanuel Quickley,NYK,0.118
67,Chimezie Metu,SAC,0.117
465,Shaquille Harrison,LAL,0.117
314,Kevon Looney,GSW,0.116
233,Jay Huff,WAS,0.116
209,Jalen Duren,DET,0.116
80,Cole Anthony,ORL,0.116
38,Bojan Bogdanovic,DET,0.116
351,Malik Monk,SAC,0.116
513,Tyus Jones,MEM,0.116
383,Moritz Wagner,ORL,0.115
311,Kevin Love,MIA,0.115
85,D'Angelo Russell,LAL,0.115
449,Russell Westbrook,LAC,0.115
216,Jamal Cain,MIA,0.114
514,Udoka Azubuike,UTA,0.114
39,Bol Bol,ORL,0.114
92,Daniel Gafford,WAS,0.113
468,Spencer Dinwiddie,BKN,0.113
59,Cameron Johnson,BKN,0.113
155,Fred VanVleet,TOR,0.113
467,Skylar Mays,POR,0.113
360,Marvin Bagley III,DET,0.112
312,Kevin Porter Jr.,HOU,0.112
3,Aaron Gordon,DEN,0.112
375,Mikal Bridges,BKN,0.112
473,Steven Adams,MEM,0.112
68,Chris Boucher,TOR,0.112
46,Brook Lopez,MIL,0.111
341,Luka Garza,MIN,0.111
409,Onyeka Okongwu,ATL,0.111
357,Markelle Fultz,ORL,0.111
184,Isaiah Mobley,CLE,0.111
496,Tre Jones,SAS,0.111
517,Vernon Carey Jr.,UTA,0.11
53,CJ McCollum,NOP,0.11
403,Norman Powell,LAC,0.11
154,Franz Wagner,ORL,0.11
534,Zach Collins,SAS,0.11
330,Larry Nance Jr.,NOP,0.11
54,Cade Cunningham,DET,0.109
512,Tyrese Maxey,PHI,0.109
190,Ivica Zubac,LAC,0.109
9,Alec Burks,DET,0.109
324,Kyle Kuzma,WAS,0.109
323,Kyle Anderson,MIN,0.108
125,Devin Vassell,SAS,0.108
417,Paolo Banchero,ORL,0.108
433,RaiQuan Gray,BKN,0.107
338,Louis King,PHI,0.107
109,DeAndre Jordan,DEN,0.107
152,Frank Kaminsky,HOU,0.107
114,Delon Wright,WAS,0.107
425,Paul Reed,PHI,0.106
273,Josh Minott,MIN,0.106
247,Jock Landale,PHX,0.106
167,Goga Bitadze,ORL,0.105
195,JaVale McGee,DAL,0.105
226,Jarred Vanderbilt,LAL,0.105
492,Tobias Harris,PHI,0.105
532,Xavier Tillman,MEM,0.105
52,Buddy Hield,IND,0.104
266,Jordan Poole,GSW,0.104
234,Jay Scrubb,ORL,0.104
222,James Wiseman,DET,0.104
128,Dewayne Dedmon,PHI,0.104
298,Kemba Walker,DAL,0.103
458,Scottie Barnes,TOR,0.103
374,Michael Porter Jr.,DEN,0.103
382,Montrezl Harrell,PHI,0.103
295,Keldon Johnson,SAS,0.103
261,Jordan Clarkson,UTA,0.102
262,Jordan Goodwin,WAS,0.102
381,Monte Morris,WAS,0.102
288,KJ Martin,HOU,0.102
58,Cam Thomas,BKN,0.102
255,John Wall,LAC,0.102
215,Jalen Williams,OKC,0.102
30,Ben Simmons,BKN,0.101
169,Gordon Hayward,CHA,0.101
380,Mo Bamba,LAL,0.101
484,Terry Rozier,CHA,0.101
379,Mitchell Robinson,NYK,0.101
272,Josh Hart,NYK,0.101
137,Draymond Green,GSW,0.1
428,Precious Achiuwa,TOR,0.1
174,Hamidou Diallo,DET,0.1
26,Austin Reaves,LAL,0.1
478,Talen Horton-Tucker,UTA,0.1
122,Derrick White,BOS,0.1
319,Klay Thompson,GSW,0.1
40,Bones Hyland,LAC,0.1
530,Xavier Moon,LAC,0.1
296,Kelly Olynyk,UTA,0.1
294,Keita Bates-Diop,SAS,0.099
96,Dario Saric,OKC,0.099
344,Luke Kornet,BOS,0.099
241,Jerami Grant,POR,0.099
211,Jalen Johnson,ATL,0.099
503,Trey Lyles,SAC,0.099
213,Jalen Smith,IND,0.099
376,Mike Conley,MIN,0.099
444,Ron Harper Jr.,TOR,0.098
138,Drew Eubanks,POR,0.098
448,Rui Hachimura,LAL,0.098
60,Cameron Payne,PHX,0.097
439,Robert Covington,LAC,0.097
21,Anfernee Simons,POR,0.097
498,Trendon Watford,POR,0.097
194,JaMychal Green,GSW,0.097
452,Saben Lee,PHX,0.097
82,Collin Sexton,UTA,0.097
48,Bruno Fernando,ATL,0.096
318,Kira Lewis Jr.,NOP,0.096
210,Jalen Green,HOU,0.096
204,Jae Crowder,MIL,0.096
303,Kenrich Williams,OKC,0.096
479,Tari Eason,HOU,0.095
236,Jaylen Nowell,MIN,0.095
8,Al Horford,BOS,0.095
405,Obi Toppin,NYK,0.095
87,Dalano Banton,TOR,0.095
230,Jason Preston,LAC,0.094
453,Saddiq Bey,ATL,0.094
504,Trey Murphy III,NOP,0.094
297,Kelly Oubre Jr.,CHA,0.094
181,Isaiah Jackson,IND,0.093
182,Isaiah Joe,OKC,0.093
79,Cody Zeller,MIA,0.093
457,Santi Aldama,MEM,0.093
