,Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
0,1.0,Moses Malone,23.0,HOU,C,82.0,82.0,3390.0,23.7,0.604,0.612,19.2,27.1,23.2,5.9,1.1,1.8,16.2,23.4,10.6,3.5,14.1,0.2,4.5,-1.7,2.8,4.1,"MVP-1,AS,NBA1,DEF2"
1,2.0,Artis Gilmore,29.0,CHI,C,82.0,82.0,3265.0,22.3,0.619,0.448,9.9,25.0,17.5,12.9,0.7,2.6,16.5,23.0,8.6,4.1,12.7,0.186,3.4,0.7,4.1,5.0,AS
2,3.0,M.L. Carr,28.0,DET,SF,80.0,,3207.0,16.3,0.561,0.381,6.9,12.4,9.5,10.8,2.8,0.7,16.0,18.9,4.5,3.4,7.9,0.118,0.6,0.8,1.4,2.8,DEF2
3,4.0,Kareem Abdul-Jabbar,31.0,LAL,C,80.0,,3157.0,25.5,0.612,0.352,7.6,26.7,17.6,18.9,1.1,5.0,15.3,23.3,8.8,5.6,14.4,0.219,4.6,3.0,7.6,7.7,"MVP-4,AS,NBA2,DEF1"
4,5.0,Norm Nixon,23.0,LAL,PG,82.0,82.0,3145.0,18.2,0.567,0.178,1.8,6.0,4.0,30.5,2.9,0.3,15.7,18.7,6.5,3.1,9.6,0.146,1.8,0.4,2.2,3.3,
5,6.0,Randy Smith,30.0,SDC,SG,82.0,82.0,3111.0,16.6,0.499,0.236,3.5,6.6,5.0,17.6,2.6,0.1,13.2,23.6,4.5,1.3,5.8,0.089,0.9,-0.8,0.0,1.6,
6,7.0,Elvin Hayes,33.0,WSB,PF,82.0,,3105.0,19.1,0.523,0.362,10.3,22.0,16.2,6.3,1.1,3.0,12.1,23.9,4.5,4.9,9.4,0.146,1.0,0.2,1.2,2.5,"MVP-3,AS,NBA1"
7,8.0,John Lucas,25.0,GSW,PG,82.0,82.0,3095.0,16.9,0.514,0.28,2.2,6.4,4.3,33.0,2.3,0.2,16.5,20.2,4.7,3.2,7.9,0.122,1.5,0.0,1.4,2.7,
8,9.0,Kevin Porter,28.0,DET,PG,82.0,82.0,3064.0,17.2,0.513,0.24,2.0,5.2,3.5,47.0,2.3,0.1,21.5,19.4,4.3,1.9,6.2,0.097,2.2,-0.8,1.4,2.6,
9,10.0,Johnny Davis,23.0,IND,PG,79.0,79.0,2971.0,14.7,0.511,0.319,2.4,4.2,3.3,21.3,1.5,0.4,13.1,21.4,3.7,1.5,5.2,0.083,0.5,-1.2,-0.7,1.0,
10,11.0,Cedric Maxwell,23.0,BOS,SF,80.0,60.0,2969.0,19.9,0.676,0.886,10.1,19.6,14.8,10.4,1.5,1.3,19.6,18.4,8.9,2.7,11.7,0.188,2.9,0.2,3.1,3.8,
11,12.0,Jack Sikma,23.0,SEA,C,82.0,82.0,2958.0,16.3,0.529,0.391,8.2,27.8,18.0,12.2,1.3,1.2,17.3,19.4,3.1,5.7,8.8,0.143,0.0,1.3,1.2,2.4,"MVP-7,AS"
12,13.0,World B. Free,25.0,SDC,PG,78.0,,2954.0,22.1,0.552,0.523,4.6,6.3,5.4,17.1,1.7,0.6,12.7,29.9,9.4,0.7,10.1,0.164,4.4,-1.5,2.9,3.7,"MVP-6,NBA2"
13,14.0,Larry Kenon,26.0,SAS,PF,81.0,,2947.0,19.8,0.547,0.235,9.6,18.2,14.1,15.4,2.3,0.3,15.5,24.9,4.7,4.1,8.8,0.144,2.5,-0.3,2.2,3.1,AS
14,15.0,Calvin Murphy,30.0,HOU,PG,82.0,,2941.0,16.1,0.539,0.186,2.9,3.5,3.2,17.0,1.8,0.1,10.8,23.2,6.1,0.7,6.8,0.112,0.9,-1.0,-0.1,1.4,AS
15,16.0,Jamaal Wilkes,25.0,LAL,SF,82.0,82.0,2915.0,16.4,0.544,0.291,6.5,15.7,11.4,10.3,2.1,0.5,13.8,22.3,3.4,3.4,6.9,0.113,0.2,-0.4,-0.2,1.3,
16,17.0,Sonny Parker,23.0,GSW,SF,79.0,,2893.0,15.5,0.537,0.218,6.1,10.5,8.2,13.6,2.3,0.6,14.7,18.3,3.5,3.5,7.0,0.116,0.8,1.0,1.8,2.8,
17,18.0,George Gervin,26.0,SAS,SF,80.0,,2888.0,23.2,0.591,0.326,5.4,9.0,7.3,11.5,2.1,1.6,12.5,30.0,8.1,3.2,11.4,0.189,4.0,-0.3,3.7,4.1,"MVP-2,AS,NBA1"
18,19.0,Bernard King,22.0,NJN,SF,82.0,,2859.0,17.9,0.542,0.455,8.9,16.0,12.3,16.4,1.8,0.7,16.5,25.6,2.8,3.6,6.5,0.109,1.6,-0.2,1.3,2.4,
19,20.0,Campy Russell,27.0,CLE,SF,74.0,,2859.0,18.6,0.542,0.412,5.3,14.5,9.6,17.6,1.6,0.5,14.7,24.4,5.0,1.6,6.7,0.112,2.4,-0.8,1.6,2.6,AS
20,21.0,Jim Chones,29.0,CLE,C,82.0,82.0,2850.0,13.7,0.472,0.2,9.4,23.8,16.2,8.6,0.8,2.0,13.8,18.9,1.0,2.3,3.3,0.056,-0.8,-1.0,-1.8,0.1,
21,22.0,Otis Birdsong,23.0,KCK,SG,82.0,82.0,2839.0,18.4,0.544,0.28,6.6,7.0,6.8,14.4,2.0,0.3,10.9,24.9,5.9,2.9,8.8,0.148,2.4,-0.2,2.2,3.0,AS
22,23.0,Ricky Sobers,26.0,IND,SG,81.0,81.0,2825.0,14.8,0.523,0.283,4.3,6.7,5.5,22.4,2.2,0.4,18.5,22.8,2.1,2.3,4.3,0.074,-0.3,-0.3,-0.7,1.0,
23,24.0,Julius Erving,28.0,PHI,SF,78.0,76.0,2802.0,20.1,0.538,0.344,7.7,13.1,10.5,19.6,2.1,1.9,15.8,27.7,3.6,4.4,7.9,0.136,2.9,0.6,3.5,3.9,AS
24,25.0,Tom Owens,29.0,POR,C,82.0,82.0,2791.0,19.9,0.597,0.368,10.3,19.2,14.7,15.9,1.0,1.2,16.3,21.5,7.4,3.0,10.4,0.179,3.0,-0.2,2.7,3.3,
25,26.0,Marques Johnson,22.0,MIL,SF,77.0,,2779.0,23.9,0.586,0.293,8.4,14.9,11.7,12.3,1.9,1.7,9.2,25.9,9.2,3.0,12.2,0.211,5.1,0.0,5.2,5.0,"AS,NBA1"
26,27.0,Kermit Washington,27.0,SDC,PF,82.0,,2764.0,15.0,0.603,0.53,11.4,19.4,15.4,5.5,1.4,2.2,19.4,13.1,4.6,2.3,6.9,0.12,0.8,0.1,0.9,2.0,
27,28.0,Reggie Theus,21.0,CHI,PG,82.0,,2753.0,13.3,0.526,0.31,3.7,5.4,4.5,22.8,1.6,0.3,19.2,22.9,1.5,1.7,3.2,0.056,-0.7,-1.2,-1.9,0.1,ROY-2
28,29.0,Dan Issel,30.0,DEN,C,81.0,,2742.0,18.3,0.568,0.407,9.2,18.8,14.0,13.3,1.0,0.9,12.3,19.5,6.7,3.1,9.8,0.172,2.5,-0.1,2.4,3.1,
29,30.0,Chris Ford,30.0,2TM,SG,81.0,,2737.0,14.0,0.502,0.199,5.0,6.1,5.5,19.6,1.9,0.5,14.5,20.7,2.1,1.4,3.5,0.062,0.1,-0.6,-0.5,1.0,
30,30.0,Chris Ford,30.0,DET,SG,3.0,,108.0,5.6,0.428,0.229,8.4,9.0,8.7,5.7,0.4,0.5,20.6,17.1,-0.1,0.0,-0.1,-0.043,-3.0,-1.3,-4.4,-0.1,
31,30.0,Chris Ford,30.0,BOS,SG,78.0,,2629.0,14.3,0.505,0.198,4.8,6.0,5.4,20.2,2.0,0.5,14.3,20.8,2.3,1.4,3.6,0.067,0.2,-0.6,-0.4,1.1,
32,31.0,Phil Ford,22.0,KCK,PG,79.0,,2723.0,15.8,0.534,0.399,1.3,6.1,3.6,32.2,2.9,0.1,21.5,21.2,2.5,3.2,5.7,0.101,0.9,0.0,0.9,2.0,"MVP-8,ROY-1,NBA2"
33,32.0,Dennis Johnson,24.0,SEA,SG,80.0,,2717.0,15.0,0.495,0.353,5.6,8.8,7.2,14.5,1.7,1.9,13.0,21.3,2.8,3.8,6.6,0.116,0.6,0.9,1.5,2.4,"AS,DEF1"
34,33.0,Austin Carr,30.0,CLE,SG,82.0,,2714.0,15.4,0.529,0.308,5.9,5.8,5.8,11.4,1.3,0.3,11.7,21.9,4.5,0.5,5.0,0.088,1.0,-1.7,-0.7,0.9,
35,34.0,Rich Kelley,25.0,NOJ,C,80.0,,2705.0,19.9,0.585,0.526,11.3,25.3,18.5,14.4,2.1,3.0,21.2,19.2,4.1,4.5,8.6,0.152,1.1,1.8,2.8,3.3,
36,35.0,Jim McElroy,25.0,NOJ,PG,79.0,,2698.0,16.2,0.536,0.31,2.3,5.4,3.9,24.2,2.4,0.9,16.0,21.0,3.1,1.8,4.9,0.088,0.6,-0.1,0.5,1.7,
37,36.0,Alex English,25.0,IND,SF,81.0,69.0,2696.0,17.6,0.54,0.209,9.7,15.3,12.5,14.4,1.2,1.5,14.0,20.3,4.3,2.6,7.0,0.124,2.1,0.0,2.1,2.8,
38,37.0,David Thompson,24.0,DEN,SG,76.0,,2670.0,19.9,0.567,0.431,4.3,6.4,5.4,13.3,1.2,1.6,10.4,25.9,7.4,2.1,9.5,0.171,3.7,-0.6,3.1,3.5,"MVP-8,AS"
39,38.0,Toby Knight,23.0,NYK,SF,82.0,,2667.0,15.3,0.539,0.175,8.1,14.1,11.1,6.6,1.0,1.2,11.4,21.0,3.7,2.0,5.7,0.102,0.1,-1.1,-1.0,0.7,
40,39.0,Nick Weatherspoon,28.0,SDC,SF,82.0,,2642.0,12.7,0.514,0.238,7.2,11.1,9.1,6.7,1.4,0.7,14.3,18.5,2.8,1.0,3.7,0.068,-0.4,-1.3,-1.7,0.2,
41,40.0,Paul Westphal,28.0,PHO,SG,81.0,,2641.0,22.6,0.58,0.271,1.5,5.1,3.3,29.9,1.9,0.5,12.2,27.8,8.2,2.2,10.4,0.189,4.6,-0.9,3.7,3.8,"AS,NBA1"
42,41.0,Rudy Tomjanovich,30.0,HOU,PF,74.0,,2641.0,16.4,0.543,0.184,7.1,16.3,11.8,7.3,0.8,0.4,9.6,21.4,5.0,1.1,6.2,0.112,1.6,-1.8,-0.2,1.2,AS
43,42.0,Bob Dandridge,31.0,WSB,SF,78.0,,2629.0,19.0,0.553,0.318,4.3,12.9,8.6,19.1,1.2,1.1,13.4,24.1,5.8,2.8,8.7,0.158,2.6,0.4,3.0,3.4,"MVP-5,AS,NBA2,DEF1"
44,43.0,Sam Lacey,30.0,KCK,C,82.0,,2627.0,15.3,0.544,0.324,7.2,22.2,14.5,20.1,1.8,3.0,23.5,15.2,2.0,4.5,6.5,0.119,0.8,3.1,3.9,3.9,
45,44.0,Charlie Scott,30.0,DEN,PG,79.0,,2617.0,9.8,0.499,0.252,2.2,6.2,4.2,22.0,1.4,0.6,21.2,17.7,0.0,1.9,1.9,0.035,-2.3,-0.8,-3.1,-0.7,
46,45.0,Mickey Johnson,26.0,CHI,PF,82.0,,2594.0,15.5,0.506,0.298,8.2,18.2,13.2,21.3,1.6,1.2,20.0,24.1,0.8,2.9,3.7,0.069,0.0,0.4,0.3,1.5,
47,46.0,Brian Winters,26.0,MIL,SG,79.0,,2575.0,15.6,0.533,0.206,2.1,5.5,3.8,20.5,1.5,0.8,14.9,26.0,2.7,1.5,4.2,0.078,0.3,-1.5,-1.2,0.5,
48,47.0,Rick Barry,34.0,HOU,SF,80.0,,2566.0,14.7,0.504,0.169,1.7,9.9,5.9,25.7,1.7,0.8,15.6,19.6,2.9,1.3,4.2,0.078,0.9,-0.1,0.8,1.8,
49,48.0,Terry Tyler,22.0,DET,PF,82.0,,2560.0,15.5,0.507,0.232,8.3,18.3,13.2,4.6,1.8,4.1,11.9,17.6,2.0,3.4,5.4,0.101,-0.4,1.0,0.6,1.7,
50,49.0,George McGinnis,28.0,DEN,PF,76.0,,2552.0,20.6,0.533,0.601,10.6,24.6,17.7,16.9,2.3,1.1,17.7,29.5,2.8,4.4,7.1,0.134,1.5,0.6,2.1,2.6,AS
51,50.0,James Edwards,23.0,IND,C,82.0,82.0,2546.0,16.9,0.542,0.414,7.2,20.8,14.0,5.2,1.1,2.2,11.4,21.8,3.9,3.2,7.1,0.133,-0.3,-0.1,-0.4,1.0,
52,51.0,Don Buse,28.0,PHO,PG,82.0,82.0,2544.0,11.5,0.519,0.158,2.0,7.4,4.7,16.3,2.7,0.4,13.5,10.8,2.6,2.8,5.4,0.101,-0.9,1.7,0.8,1.8,DEF1
53,52.0,Dan Roundfield,25.0,ATL,PF,80.0,65.0,2539.0,19.4,0.556,0.459,13.3,24.0,18.4,7.4,1.6,4.0,16.0,20.4,4.6,4.1,8.7,0.164,1.3,0.7,1.9,2.5,
54,53.0,Henry Bibby,29.0,PHI,PG,82.0,38.0,2538.0,11.2,0.493,0.386,3.1,6.8,5.0,19.2,1.3,0.1,16.2,18.6,1.3,2.4,3.7,0.069,-1.6,-0.8,-2.4,-0.2,
55,54.0,Truck Robinson,27.0,2TM,PF,69.0,,2537.0,16.9,0.537,0.401,8.0,23.6,16.0,6.4,0.8,1.5,14.7,23.9,2.1,3.0,5.1,0.096,-0.2,-1.4,-1.5,0.3,
56,54.0,Truck Robinson,27.0,NOJ,PF,43.0,,1781.0,18.0,0.537,0.414,7.9,23.3,15.8,6.2,0.7,1.7,12.9,23.8,2.2,2.0,4.1,0.111,0.6,-1.3,-0.7,0.6,
