,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
209,182.0,Bob Nash,28.0,KCK,SF,82.0,,15.9,2.8,6.4,0.435,0.8,1.0,0.802,0.9,1.6,2.5,0.9,0.4,0.2,1.0,1.6,6.4,
210,183.0,Robert Smith,23.0,DEN,PG,82.0,,18.0,2.2,5.3,0.422,1.9,2.2,0.883,0.5,1.3,1.8,2.5,0.7,0.2,1.2,2.0,6.4,
211,184.0,Gar Heard,30.0,PHO,PF,63.0,,19.3,2.6,5.8,0.441,1.1,1.6,0.689,1.6,4.0,5.6,1.0,0.8,0.9,1.0,2.2,6.3,
212,185.0,Phil Jackson,33.0,NJN,PF,59.0,,18.1,2.4,5.1,0.475,1.5,1.8,0.819,1.0,2.0,3.0,1.4,0.8,0.4,1.3,2.8,6.3,
213,186.0,Al Skinner,26.0,2TM,SG,45.0,0.0,14.3,2.0,4.8,0.425,2.2,2.5,0.868,0.6,1.3,1.9,2.0,0.9,0.1,1.6,2.5,6.2,
214,186.0,Al Skinner,26.0,NJN,SG,23.0,,14.5,2.4,5.4,0.44,3.1,3.6,0.878,0.5,1.3,1.8,2.1,1.0,0.1,1.7,2.3,7.9,
215,186.0,Al Skinner,26.0,PHI,SG,22.0,0.0,14.0,1.6,4.0,0.404,1.2,1.5,0.844,0.7,1.3,2.0,1.8,0.8,0.0,1.5,2.8,4.5,
216,187.0,George Johnson,22.0,MIL,PF,67.0,,17.3,2.5,5.1,0.482,1.3,1.7,0.718,1.6,3.8,5.4,1.2,1.1,0.7,1.5,2.8,6.2,
217,188.0,Ralph Simpson,29.0,2TM,SG,69.0,0.0,14.2,2.5,6.3,0.402,1.1,1.6,0.685,0.5,0.9,1.4,1.8,0.5,0.1,1.4,0.8,6.1,
218,188.0,Ralph Simpson,29.0,PHI,SG,37.0,0.0,12.2,2.4,5.3,0.444,0.8,1.1,0.7,0.4,0.5,0.9,1.6,0.7,0.0,1.3,0.7,5.5,
219,188.0,Ralph Simpson,29.0,NJN,SG,32.0,,16.5,2.7,7.4,0.367,1.5,2.2,0.676,0.6,1.3,1.9,2.1,0.4,0.1,1.7,0.9,6.9,
220,189.0,Marty Byrnes,22.0,2TM,SF,79.0,,16.0,2.4,4.9,0.481,1.3,1.9,0.688,1.1,1.3,2.4,1.3,0.3,0.1,1.5,1.4,6.1,
221,189.0,Marty Byrnes,22.0,PHO,SF,43.0,,17.1,2.5,5.2,0.489,1.7,2.3,0.73,1.1,1.1,2.3,1.4,0.3,0.0,1.8,1.6,6.8,
222,189.0,Marty Byrnes,22.0,NOJ,SF,36.0,,14.7,2.2,4.6,0.47,0.9,1.5,0.611,1.1,1.5,2.6,1.2,0.3,0.2,1.1,1.2,5.3,
223,190.0,Earl Williams,27.0,BOS,C,20.0,,13.7,2.7,6.2,0.439,0.7,1.2,0.583,2.1,3.2,5.3,0.6,0.6,0.5,1.0,2.1,6.1,
224,191.0,Tom Abernethy,24.0,GSW,PF,70.0,,17.4,2.5,4.9,0.515,1.0,1.3,0.745,1.1,2.0,3.1,1.1,0.6,0.2,0.5,1.9,6.0,
225,192.0,Don Chaney,32.0,BOS,SG,65.0,,16.5,2.7,6.4,0.42,0.6,0.6,0.857,1.0,1.2,2.2,1.2,1.1,0.2,1.0,2.6,5.9,
226,193.0,Joel Kramer,23.0,PHO,PF,82.0,,17.1,2.2,4.5,0.489,1.5,2.1,0.71,1.6,2.5,4.1,1.1,0.5,0.3,1.2,2.7,5.9,
227,194.0,Phil Chenier,28.0,WSB,SG,27.0,,14.3,2.6,5.9,0.437,0.7,1.0,0.643,0.1,0.6,0.7,1.1,0.1,0.2,1.1,1.0,5.8,
228,195.0,Frankie Sanders,22.0,2TM,SF,46.0,,10.4,2.3,5.3,0.427,1.2,1.5,0.794,0.8,1.6,2.4,1.1,0.5,0.1,1.2,1.5,5.7,
229,195.0,Frankie Sanders,22.0,SAS,SF,22.0,,12.0,2.3,5.8,0.394,1.5,1.9,0.78,0.6,2.1,2.7,1.6,0.6,0.1,1.5,2.0,6.0,
230,195.0,Frankie Sanders,22.0,BOS,SF,24.0,,9.0,2.3,5.0,0.462,0.9,1.1,0.815,0.9,1.2,2.1,0.7,0.3,0.1,1.0,1.0,5.5,
231,196.0,Dwight Jones,26.0,HOU,C,81.0,,15.0,2.2,4.9,0.458,1.2,1.6,0.727,1.4,2.7,4.0,0.7,0.4,0.3,1.3,2.5,5.7,
232,197.0,Paul Silas,35.0,SEA,PF,82.0,,23.9,2.1,4.9,0.423,1.4,2.4,0.598,3.2,3.9,7.0,1.4,0.4,0.2,1.2,2.2,5.6,
233,198.0,Charlie Criss,30.0,ATL,PG,54.0,1.0,16.3,2.0,5.4,0.377,1.2,1.6,0.779,0.4,0.8,1.1,2.6,0.8,0.1,1.5,1.3,5.3,
234,199.0,Jim Price,29.0,LAL,PG,75.0,,16.1,2.3,4.6,0.497,0.7,1.1,0.696,0.3,1.3,1.6,2.9,0.9,0.2,1.3,1.7,5.3,
235,200.0,Lucius Allen,31.0,KCK,PG,31.0,,13.3,2.2,5.6,0.397,0.6,1.1,0.576,0.5,1.0,1.5,1.4,0.7,0.2,1.0,1.7,5.1,
236,201.0,Lars Hansen,24.0,SEA,C,15.0,,13.7,1.9,3.8,0.509,1.2,2.1,0.581,1.5,2.5,3.9,0.9,0.1,0.1,0.6,1.9,5.1,
237,202.0,John Brown,27.0,CHI,SF,77.0,,16.4,2.0,4.1,0.479,1.1,1.3,0.857,1.1,2.0,3.1,1.4,0.2,0.1,1.2,2.3,5.0,
238,203.0,Glen Gondrezick,23.0,NYK,SF,75.0,,21.4,2.1,4.3,0.494,0.7,1.3,0.567,2.0,3.7,5.7,1.4,1.3,0.2,1.3,3.0,5.0,
239,204.0,Kenny Higgs,24.0,CLE,PG,68.0,,15.4,1.9,4.1,0.455,1.3,1.6,0.766,0.3,1.2,1.5,2.1,1.0,0.2,0.7,2.6,5.0,
240,205.0,Lloyd Walton,25.0,MIL,PG,75.0,,18.4,2.1,4.4,0.48,0.8,1.2,0.678,0.5,0.9,1.4,4.7,1.0,0.1,1.6,1.4,5.0,
241,206.0,Dave Robisch,29.0,LAL,C,80.0,,15.2,1.9,4.2,0.446,1.1,1.4,0.748,1.0,2.5,3.6,1.2,0.3,0.3,0.7,1.4,4.8,
242,207.0,Corky Calhoun,28.0,IND,SF,81.0,0.0,16.4,1.9,4.1,0.457,0.9,1.1,0.837,0.8,2.1,2.9,1.3,0.5,0.2,0.7,2.3,4.7,
243,208.0,Wesley Cox,24.0,GSW,SF,31.0,,11.6,1.7,4.0,0.431,1.3,3.0,0.435,0.6,1.5,2.0,0.4,0.4,0.2,1.4,2.2,4.7,
244,209.0,John Lambert,26.0,CLE,PF,70.0,,14.7,2.1,4.7,0.45,0.5,0.8,0.636,1.7,2.5,4.1,0.6,0.4,0.4,0.9,2.3,4.7,
245,210.0,Raymond Townsend,23.0,GSW,SG,65.0,,11.9,2.0,4.4,0.439,0.8,1.0,0.735,0.2,0.7,0.8,1.4,0.4,0.1,0.8,1.1,4.7,
246,211.0,Harvey Catchings,27.0,2TM,C,57.0,4.0,16.6,1.8,4.3,0.42,1.1,1.4,0.769,1.8,3.5,5.3,0.8,0.4,1.6,1.5,2.3,4.6,
247,211.0,Harvey Catchings,27.0,PHI,C,25.0,4.0,11.6,1.1,2.7,0.412,0.5,0.7,0.765,1.2,2.7,3.9,0.7,0.3,1.4,1.5,1.7,2.8,
248,211.0,Harvey Catchings,27.0,NJN,C,32.0,,20.6,2.3,5.5,0.423,1.5,1.9,0.77,2.2,4.2,6.4,0.9,0.5,1.8,1.6,2.8,6.1,
249,212.0,Wayne Cooper,22.0,GSW,C,65.0,,12.2,2.0,4.5,0.437,0.6,0.9,0.672,1.4,2.9,4.3,0.3,0.1,0.7,0.8,1.8,4.6,
250,213.0,Ted McClain,32.0,PHO,SG,36.0,,12.9,1.7,3.7,0.47,1.2,1.3,0.913,0.7,1.2,1.9,1.7,0.5,0.0,1.5,1.4,4.6,
251,214.0,Ira Terrell,24.0,2TM,SF,49.0,,14.9,1.9,4.0,0.47,0.7,1.1,0.66,0.9,2.1,3.0,0.8,0.4,0.6,1.1,2.0,4.5,
252,214.0,Ira Terrell,24.0,NOJ,SF,31.0,,18.5,2.0,4.6,0.438,0.9,1.2,0.711,1.1,2.4,3.5,0.8,0.5,0.7,1.2,2.4,4.9,
253,214.0,Ira Terrell,24.0,POR,SF,18.0,,8.9,1.7,3.0,0.556,0.4,0.8,0.533,0.6,1.5,2.1,0.8,0.4,0.3,0.9,1.5,3.8,
254,215.0,Bubbles Hawkins,24.0,DET,SG,4.0,,7.0,1.5,4.0,0.375,1.5,1.5,1.0,0.8,0.8,1.5,1.0,1.3,0.0,0.5,1.8,4.5,
255,216.0,Willie Smith,25.0,POR,PG,13.0,,10.1,1.8,3.4,0.523,0.9,1.3,0.706,0.5,0.5,1.0,1.3,0.8,0.1,1.1,1.5,4.5,
256,217.0,Ron Behagen,28.0,3TM,PF,15.0,,11.0,1.9,4.1,0.452,0.7,0.9,0.769,0.9,1.9,2.8,0.5,0.3,0.1,0.7,2.4,4.4,
257,217.0,Ron Behagen,28.0,DET,PF,1.0,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
258,217.0,Ron Behagen,28.0,NYK,PF,5.0,,7.6,1.0,2.4,0.417,0.4,0.4,1.0,0.4,1.8,2.2,0.4,0.4,0.0,0.8,1.6,2.4,
259,217.0,Ron Behagen,28.0,KCK,PF,9.0,,14.0,2.6,5.6,0.46,0.9,1.2,0.727,1.2,2.2,3.4,0.6,0.2,0.1,0.7,3.0,6.0,
260,218.0,Kevin Stacom,27.0,2TM,SG,68.0,0.0,12.2,1.9,5.0,0.374,0.6,0.9,0.733,0.4,0.8,1.3,1.6,0.4,0.0,1.2,0.7,4.4,
261,218.0,Kevin Stacom,27.0,IND,SG,44.0,0.0,13.0,1.7,4.8,0.364,0.7,0.9,0.756,0.5,0.9,1.4,1.8,0.3,0.0,1.2,0.7,4.2,
262,218.0,Kevin Stacom,27.0,BOS,SG,24.0,,10.8,2.2,5.5,0.391,0.5,0.8,0.684,0.4,0.6,1.0,1.5,0.6,0.0,1.1,0.8,4.9,
263,219.0,Tom Barker,23.0,3TM,C,39.0,,12.2,1.7,4.0,0.436,0.7,0.9,0.73,1.2,1.9,3.1,0.4,0.3,0.3,0.9,1.9,4.2,
264,219.0,Tom Barker,23.0,HOU,C,5.0,,3.2,0.6,1.2,0.5,0.4,0.4,1.0,0.4,0.8,1.2,0.0,0.0,0.0,0.2,1.0,1.6,
265,219.0,Tom Barker,23.0,BOS,C,12.0,,10.9,1.8,4.0,0.438,0.9,1.3,0.733,1.0,1.5,2.5,0.5,0.3,0.3,1.1,2.2,4.4,
266,219.0,Tom Barker,23.0,NYK,C,22.0,,15.0,2.0,4.6,0.431,0.6,0.9,0.7,1.4,2.4,3.8,0.4,0.3,0.3,0.9,2.0,4.6,
267,220.0,Otis Howard,22.0,2TM,PF,14.0,,8.1,1.7,4.0,0.429,0.8,1.6,0.478,1.3,1.6,2.9,0.4,0.1,0.1,0.5,1.7,4.2,
268,220.0,Otis Howard,22.0,MIL,PF,3.0,,7.3,1.7,3.7,0.455,0.0,0.0,,1.7,0.7,2.3,0.3,0.0,0.0,0.7,2.7,3.3,
269,220.0,Otis Howard,22.0,DET,PF,11.0,,8.3,1.7,4.1,0.422,1.0,2.1,0.478,1.2,1.9,3.1,0.4,0.2,0.2,0.5,1.5,4.5,
270,221.0,Len Elmore,26.0,IND,C,80.0,0.0,15.8,1.7,4.3,0.406,0.7,1.0,0.718,1.4,3.6,5.0,0.9,0.8,1.0,0.9,2.3,4.2,
271,222.0,Harry Davis,23.0,CLE,SF,40.0,,9.9,1.7,3.8,0.431,0.8,1.1,0.698,0.7,1.0,1.7,0.4,0.3,0.2,0.6,1.7,4.1,
272,223.0,Joe Hassett,23.0,SEA,SG,55.0,,8.4,1.8,3.8,0.474,0.4,0.4,1.0,0.2,0.6,0.8,0.8,0.3,0.1,0.6,1.1,4.1,
273,224.0,Bayard Forrest,24.0,PHO,C,75.0,,16.6,1.6,3.6,0.434,0.8,1.5,0.539,1.5,2.7,4.2,2.2,0.4,0.5,1.4,2.0,4.0,
274,225.0,Scott May,24.0,CHI,SF,37.0,,10.9,1.6,3.7,0.434,0.8,1.1,0.75,0.4,1.4,1.7,1.1,0.6,0.0,1.4,1.4,4.0,
275,226.0,Jim Brewer,27.0,2TM,PF,80.0,,20.1,1.8,4.0,0.442,0.3,0.8,0.413,2.0,4.0,5.9,1.1,0.8,0.8,1.2,2.2,3.9,
276,226.0,Jim Brewer,27.0,CLE,PF,55.0,,23.7,2.1,4.7,0.44,0.4,0.9,0.479,2.3,4.5,6.7,1.3,0.9,1.0,1.4,2.5,4.6,
277,226.0,Jim Brewer,27.0,DET,PF,25.0,,12.4,1.1,2.4,0.45,0.1,0.6,0.2,1.4,2.8,4.2,0.5,0.5,0.4,0.8,1.5,2.3,
278,227.0,Tim Bassett,27.0,NJN,PF,82.0,,18.4,1.4,3.8,0.371,1.1,1.6,0.679,2.1,3.0,5.1,1.2,0.5,0.4,1.3,2.7,3.9,
279,228.0,Louie Dampier,34.0,SAS,PG,70.0,,10.9,1.8,3.6,0.49,0.4,0.6,0.744,0.2,0.7,0.9,1.8,0.5,0.1,0.6,0.6,3.9,
280,229.0,Tommie Green,22.0,NOJ,PG,59.0,,13.7,1.6,4.0,0.388,0.8,1.1,0.762,0.3,0.8,1.2,2.4,1.0,0.1,1.5,1.9,3.9,
281,230.0,Paul Griffin,25.0,NOJ,PF,77.0,,18.2,1.4,2.9,0.475,1.2,1.9,0.619,1.6,3.4,5.1,1.8,0.7,0.5,1.5,2.6,3.9,
282,231.0,Wayne Radford,22.0,IND,SG,52.0,2.0,12.5,1.6,3.4,0.474,0.7,0.9,0.8,0.5,0.8,1.3,1.1,0.6,0.0,0.9,1.2,3.9,
283,232.0,Gus Gerard,25.0,2TM,SF,58.0,,8.0,1.4,3.3,0.433,0.9,1.6,0.549,0.7,1.0,1.7,0.4,0.3,0.2,0.6,1.3,3.8,
284,232.0,Gus Gerard,25.0,DET,SF,2.0,,3.0,0.5,1.5,0.333,0.5,1.0,0.5,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.5,
285,232.0,Gus Gerard,25.0,KCK,SF,56.0,,8.2,1.5,3.4,0.435,0.9,1.6,0.551,0.7,1.0,1.7,0.4,0.3,0.2,0.6,1.3,3.8,
286,233.0,Jackie Robinson,23.0,SEA,SF,12.0,,8.8,1.6,3.4,0.463,0.7,1.3,0.533,0.8,0.8,1.6,1.1,0.4,0.1,0.9,0.8,3.8,
287,234.0,Brian Taylor,27.0,SDC,PG,20.0,,10.6,1.5,4.2,0.361,0.8,0.9,0.889,0.7,0.7,1.3,1.0,1.2,0.0,0.9,1.7,3.8,
288,235.0,Dick Snyder,34.0,SEA,SG,56.0,,9.6,1.4,3.3,0.433,0.8,0.9,0.843,0.3,0.6,0.9,1.1,0.3,0.1,0.6,0.9,3.7,
289,236.0,Slick Watts,27.0,HOU,PG,61.0,,17.1,1.5,3.7,0.405,0.7,1.1,0.612,0.6,1.1,1.7,4.0,1.2,0.2,1.2,2.3,3.7,
290,237.0,Jim McMillian,30.0,POR,SF,23.0,,12.1,1.4,3.2,0.446,0.7,0.9,0.81,0.7,1.0,1.7,1.4,0.4,0.1,0.7,0.8,3.6,
291,238.0,Sam Smith,24.0,MIL,SF,16.0,,7.8,1.2,2.9,0.404,1.1,1.5,0.75,0.0,0.6,0.6,1.0,0.5,0.4,0.5,0.8,3.5,
292,239.0,Glenn Mosley,23.0,SAS,PF,26.0,,8.5,1.2,2.9,0.413,0.9,1.5,0.605,1.0,1.4,2.5,0.7,0.3,0.4,0.8,1.3,3.3,
