,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Voting,Voting,Voting,Voting,Unnamed: 8_level_0,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced
,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
0,1,Moses Malone,23,HOU,112,112,223,0.502,82,41.3,24.8,17.6,1.8,1.0,1.5,0.54,,0.739,14.1,0.2
1,2,George Gervin,26,SAS,35,35,223,0.157,80,36.1,29.6,5.0,2.7,1.7,1.1,0.541,,0.826,11.4,0.189
2,3,Elvin Hayes,33,WSB,28,28,223,0.126,82,37.9,21.8,12.1,1.7,0.9,2.3,0.487,,0.654,9.4,0.146
3,4,Kareem Abdul-Jabbar,31,LAL,15,15,223,0.067,80,39.5,23.8,12.8,5.4,1.0,4.0,0.577,,0.736,14.4,0.219
4,5,Bob Dandridge,31,WSB,7,7,223,0.031,78,33.7,20.4,5.7,4.7,0.9,0.7,0.499,,0.825,8.7,0.158
5,6,World B. Free,25,SDC,5,5,223,0.022,78,37.9,28.8,3.9,4.4,1.4,0.4,0.481,,0.756,10.1,0.164
6,7,Jack Sikma,23,SEA,4,4,223,0.018,82,36.1,15.6,12.4,3.2,1.0,0.8,0.46,,0.814,8.8,0.143
7,8T,Phil Ford,22,KCK,3,3,223,0.013,79,34.5,15.9,2.3,8.6,2.2,0.1,0.465,,0.813,5.7,0.101
8,8T,David Thompson,24,DEN,3,3,223,0.013,76,35.1,24.0,3.6,3.0,0.9,1.1,0.512,,0.753,9.5,0.171
9,10,Walter Davis,24,PHO,2,2,223,0.009,79,30.8,23.6,4.7,4.3,1.9,0.3,0.561,,0.831,9.4,0.184
