,Player,Team,G,PTS,AST,TRB,Stocks,eFG%,MP,PER,TS%,USG%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
0,Carmelo Anthony,New York Knicks,67.0,28.7,2.6,6.9,1.3,0.502,2482.0,24.8,0.56,35.6,9.5,4.3,3.9,0.6585,82.0,0.393,0.8171,2013
1,Kevin Durant,Oklahoma City Thunder,81.0,28.1,4.6,7.9,2.7,0.559,3119.0,28.3,0.647,29.8,18.9,9.3,8.9,0.7317,82.0,0.632,0.9878,2013
2,Kobe Bryant,Los Angeles Lakers,78.0,27.3,6.0,5.6,1.7,0.504,3013.0,23.0,0.57,31.9,10.9,4.6,5.0,0.5488,82.0,0.152,0.9512,2013
3,LeBron James,Miami Heat,76.0,26.8,7.3,8.0,2.6,0.603,2877.0,31.6,0.64,30.2,19.3,11.7,9.9,0.8049,82.0,0.998,0.9268,2013
4,James Harden,Houston Rockets,78.0,25.9,5.8,4.9,2.3,0.504,2985.0,22.9,0.6,29.0,12.8,5.6,5.8,0.5488,82.0,0.027,0.9512,2013
5,Russell Westbrook,Oklahoma City Thunder,82.0,23.2,7.4,5.2,2.1,0.47,2861.0,23.9,0.532,32.8,11.6,4.4,4.6,0.7317,82.0,0.007,1.0,2013
6,Stephen Curry,Golden State Warriors,78.0,22.9,6.9,4.0,1.8,0.549,2983.0,21.3,0.589,26.4,11.2,5.4,5.6,0.5732,82.0,0.002,0.9512,2013
8,Dwyane Wade,Miami Heat,69.0,21.2,5.1,5.0,2.7,0.528,2391.0,24.0,0.571,29.5,9.6,4.4,3.8,0.8049,82.0,0.004,0.8415,2013
9,LaMarcus Aldridge,Portland Trail Blazers,74.0,21.1,2.6,9.1,2.0,0.485,2790.0,20.4,0.53,26.5,7.2,1.3,2.3,0.4024,82.0,0,0.9024,2013
10,Tony Parker,San Antonio Spurs,66.0,20.3,7.6,3.0,0.9,0.534,2174.0,23.0,0.588,27.7,9.3,3.6,3.1,0.7073,82.0,0.071,0.8049,2013
11,Brook Lopez,Brooklyn Nets,74.0,19.4,0.9,6.9,2.5,0.521,2253.0,24.7,0.567,28.6,9.0,3.2,3.0,0.5976,82.0,0,0.9024,2013
12,Monta Ellis,Milwaukee Bucks,82.0,19.2,6.0,3.9,2.5,0.448,3076.0,16.2,0.493,26.3,4.6,0.6,2.1,0.4634,82.0,0,1.0,2013
13,Damian Lillard,Portland Trail Blazers,82.0,19.0,6.5,3.1,1.1,0.501,3167.0,16.4,0.546,24.2,5.8,0.3,1.8,0.4024,82.0,0,1.0,2013
14,Deron Williams,Brooklyn Nets,78.0,18.9,7.7,3.0,1.4,0.516,2842.0,20.3,0.574,24.4,10.9,3.8,4.2,0.5976,82.0,0,0.9512,2013
15,Paul Pierce,Boston Celtics,77.0,18.6,4.8,6.3,1.5,0.502,2575.0,19.1,0.559,27.4,7.2,3.6,3.6,0.5062,81.0,0,0.9506,2013
16,David Lee,Golden State Warriors,79.0,18.5,3.5,11.2,1.1,0.519,2907.0,19.2,0.561,23.2,9.1,1.8,2.8,0.5732,82.0,0.001,0.9634,2013
19,Rudy Gay,Toronto Raptors,75.0,18.2,2.7,6.1,2.2,0.449,2687.0,15.6,0.494,27.2,4.0,1.1,2.1,0.4146,82.0,0,0.9146,2013
20,DeMar DeRozan,Toronto Raptors,82.0,18.1,2.5,3.9,1.2,0.459,3013.0,14.7,0.523,24.2,4.7,-1.4,0.4,0.4146,82.0,0,1.0,2013
21,J.R. Smith,New York Knicks,80.0,18.1,2.7,5.3,1.6,0.484,2678.0,17.6,0.522,26.5,6.7,1.3,2.2,0.6585,82.0,0,0.9756,2013
22,Blake Griffin,Los Angeles Clippers,80.0,18.0,3.7,8.3,1.8,0.541,2598.0,22.4,0.572,25.4,10.6,4.1,4.0,0.6829,82.0,0,0.9756,2013
23,Tim Duncan,San Antonio Spurs,69.0,17.8,2.7,9.9,3.4,0.503,2078.0,24.4,0.554,27.8,8.3,5.3,3.8,0.7073,82.0,0.054,0.8415,2013
