,Player,Team,G,Par,Stocks,eFG%,MP,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
0,James Harden,Houston Rockets,72.0,44.6,2.5,0.541,2551.0,29.8,0.619,15.4,9.9,7.7,0.7927,82.0,0.955,0.878,2018
1,Anthony Davis,New Orleans Pelicans,75.0,41.5,4.1,0.552,2727.0,28.9,0.612,13.7,6.7,5.9,0.5854,82.0,0.441,0.9146,2018
2,LeBron James,Cleveland Cavaliers,82.0,45.2,2.3,0.59,3026.0,28.6,0.621,14.0,8.7,8.2,0.6098,82.0,0.731,1.0,2018
3,Giannis Antetokounmpo,Milwaukee Bucks,75.0,41.7,2.9,0.545,2756.0,27.3,0.598,11.9,6.2,5.7,0.5366,82.0,0.074,0.9146,2018
4,Damian Lillard,Portland Trail Blazers,73.0,38.0,1.5,0.519,2670.0,25.2,0.594,12.6,7.2,6.3,0.5976,82.0,0.205,0.8902,2018
6,Kevin Durant,Golden State Warriors,68.0,38.6,2.5,0.586,2325.0,26.0,0.64,10.4,7.3,5.5,0.7073,82.0,0.065,0.8293,2018
7,Russell Westbrook,Oklahoma City Thunder,80.0,45.8,2.1,0.477,2914.0,24.7,0.524,10.1,6.3,6.1,0.5854,82.0,0.075,0.9756,2018
11,LaMarcus Aldridge,San Antonio Spurs,75.0,33.6,1.8,0.52,2509.0,25.0,0.57,10.9,3.9,3.7,0.5732,82.0,0.006,0.9146,2018
12,Victor Oladipo,Indiana Pacers,75.0,32.6,3.2,0.537,2552.0,23.1,0.577,8.2,5.8,5.0,0.5854,82.0,0.002,0.9146,2018
13,DeMar DeRozan,Toronto Raptors,80.0,32.1,1.4,0.488,2711.0,21.0,0.555,9.6,2.8,3.2,0.7195,82.0,0.032,0.9756,2018
16,Bradley Beal,Washington Wizards,82.0,31.5,1.6,0.527,2977.0,18.4,0.564,6.9,2.2,3.1,0.5244,82.0,0,1.0,2018
17,Lou Williams,Los Angeles Clippers,79.0,30.4,1.3,0.505,2589.0,20.2,0.574,6.7,2.3,2.8,0.5122,82.0,0,0.9634,2018
19,Kemba Walker,Charlotte Hornets,80.0,30.8,1.4,0.516,2736.0,20.6,0.572,8.6,4.0,4.2,0.439,82.0,0,0.9756,2018
20,Paul George,Oklahoma City Thunder,79.0,30.9,2.5,0.521,2891.0,18.7,0.57,8.9,2.9,3.6,0.5854,82.0,0,0.9634,2018
22,CJ McCollum,Portland Trail Blazers,81.0,28.8,1.4,0.506,2923.0,16.9,0.536,6.6,1.2,2.4,0.5976,82.0,0,0.9878,2018
23,Karl-Anthony Towns,Minnesota Timberwolves,82.0,36.0,2.2,0.596,2918.0,24.9,0.646,14.0,5.1,5.2,0.5732,82.0,0,1.0,2018
24,Donovan Mitchell,Utah Jazz,79.0,27.9,1.8,0.506,2638.0,16.7,0.541,5.2,1.2,2.2,0.5854,82.0,0,0.9634,2018
26,Khris Middleton,Milwaukee Bucks,82.0,29.3,1.8,0.524,2982.0,17.4,0.577,6.9,0.0,1.5,0.5366,82.0,0,1.0,2018
27,Klay Thompson,Golden State Warriors,73.0,26.3,1.3,0.585,2506.0,16.0,0.598,4.9,-0.4,1.0,0.7073,82.0,0,0.8902,2018
28,T.J. Warren,Phoenix Suns,65.0,26.0,1.6,0.507,2142.0,17.6,0.541,3.4,-0.7,0.7,0.2561,82.0,0,0.7927,2018
30,Dennis Schröder,Atlanta Hawks,67.0,28.7,1.2,0.469,2078.0,17.3,0.515,2.6,-0.6,0.7,0.2927,82.0,0,0.8171,2018
32,Jrue Holiday,New Orleans Pelicans,81.0,29.5,2.3,0.543,2927.0,17.8,0.57,7.1,1.6,2.7,0.5854,82.0,0,0.9878,2018
33,Harrison Barnes,Dallas Mavericks,77.0,27.0,0.8,0.494,2634.0,15.8,0.539,3.8,-0.5,1.0,0.2927,82.0,0,0.939,2018
34,Tobias Harris,Los Angeles Clippers,80.0,26.5,1.3,0.535,2668.0,17.1,0.565,6.7,1.9,2.6,0.5122,82.0,0,0.9756,2018
36,Nikola Jokić,Denver Nuggets,75.0,35.3,2.0,0.554,2443.0,24.4,0.603,10.7,6.9,5.5,0.561,82.0,0,0.9146,2018
37,Eric Gordon,Houston Rockets,69.0,22.7,1.0,0.54,2154.0,15.2,0.578,4.7,0.4,1.3,0.7927,82.0,0,0.8415,2018
40,Eric Bledsoe,Milwaukee Bucks,74.0,26.5,2.6,0.536,2322.0,19.7,0.582,5.6,2.5,2.6,0.5366,82.0,0,0.9024,2018
41,Andrew Wiggins,Minnesota Timberwolves,82.0,24.1,1.7,0.481,2979.0,13.0,0.505,2.1,-2.4,-0.3,0.5732,82.0,0,1.0,2018
45,Gary Harris,Denver Nuggets,67.0,23.0,2.0,0.57,2304.0,16.5,0.597,5.5,0.8,1.7,0.561,82.0,0,0.8171,2018
46,Goran Dragić,Miami Heat,75.0,26.2,1.0,0.502,2378.0,16.6,0.543,5.3,0.3,1.4,0.5366,82.0,0,0.9146,2018
47,Marc Gasol,Memphis Grizzlies,73.0,29.5,2.1,0.473,2408.0,17.4,0.532,4.0,2.3,2.7,0.2683,82.0,0,0.8902,2018
49,JJ Redick,Philadelphia 76ers,70.0,22.6,0.6,0.569,2116.0,15.9,0.614,6.6,1.1,1.7,0.6341,82.0,0,0.8537,2018
51,Jamal Murray,Denver Nuggets,81.0,23.8,1.3,0.529,2565.0,16.1,0.576,5.5,-0.3,1.1,0.561,82.0,0,0.9878,2018
52,Dwight Howard,Charlotte Hornets,81.0,30.4,2.2,0.556,2463.0,20.5,0.577,6.8,-0.1,1.2,0.439,82.0,0,0.9878,2018
54,Carmelo Anthony,Oklahoma City Thunder,78.0,23.3,1.2,0.476,2501.0,12.7,0.503,3.7,-1.9,0.0,0.5854,82.0,0,0.9512,2018
56,Kyle Lowry,Toronto Raptors,78.0,28.7,1.3,0.553,2510.0,19.5,0.598,10.2,5.2,4.5,0.7195,82.0,0,0.9512,2018
58,Kyle Kuzma,Los Angeles Lakers,77.0,24.2,1.0,0.527,2401.0,14.2,0.549,3.8,-0.7,0.8,0.4268,82.0,0,0.939,2018
59,Julius Randle,Los Angeles Lakers,82.0,26.7,1.0,0.563,2190.0,19.9,0.606,6.6,0.6,1.4,0.4268,82.0,0,1.0,2018
60,Ben Simmons,Philadelphia 76ers,81.0,32.1,2.6,0.545,2732.0,20.0,0.557,9.2,4.5,4.5,0.6341,82.0,0,0.9878,2018
61,Will Barton,Denver Nuggets,81.0,24.8,1.6,0.528,2683.0,16.2,0.562,6.2,1.1,2.1,0.561,82.0,0,0.9878,2018
66,Lauri Markkanen,Chicago Bulls,68.0,23.9,1.2,0.518,2020.0,15.6,0.552,3.3,-0.2,0.9,0.3293,82.0,0,0.8293,2018
67,Dennis Smith Jr.,Dallas Mavericks,69.0,24.2,1.3,0.446,2049.0,12.8,0.473,-0.7,-2.4,-0.2,0.2927,82.0,0,0.8415,2018
68,Austin Rivers,Los Angeles Clippers,61.0,21.5,1.5,0.508,2057.0,12.6,0.526,2.4,-1.2,0.4,0.5122,82.0,0,0.7439,2018
69,Andre Drummond,Detroit Pistons,78.0,34.0,3.1,0.529,2625.0,22.9,0.555,10.3,3.2,3.4,0.4756,82.0,0,0.9512,2018
71,Otto Porter Jr.,Washington Wizards,77.0,23.1,2.0,0.581,2432.0,18.3,0.602,8.1,3.5,3.4,0.5244,82.0,0,0.939,2018
74,Dario Šarić,Philadelphia 76ers,78.0,23.9,1.0,0.541,2310.0,15.8,0.582,6.6,1.3,1.9,0.6341,82.0,0,0.9512,2018
75,Jaylen Brown,Boston Celtics,70.0,21.0,1.4,0.54,2152.0,13.6,0.562,4.5,-0.5,0.8,0.6707,82.0,0,0.8537,2018
78,Bojan Bogdanović,Indiana Pacers,80.0,19.2,0.8,0.565,2464.0,13.9,0.605,5.4,-0.7,0.8,0.5854,82.0,0,0.9756,2018
79,Jusuf Nurkić,Portland Trail Blazers,79.0,25.1,2.2,0.505,2088.0,19.2,0.528,4.7,0.0,1.1,0.5976,82.0,0,0.9634,2018
81,Jeff Teague,Minnesota Timberwolves,70.0,24.2,1.8,0.499,2311.0,16.4,0.553,4.9,0.4,1.4,0.5732,82.0,0,0.8537,2018
83,Taurean Prince,Atlanta Hawks,82.0,21.4,1.5,0.516,2464.0,12.8,0.549,2.0,-1.1,0.6,0.2927,82.0,0,1.0,2018
86,Steven Adams,Oklahoma City Thunder,76.0,24.1,2.2,0.629,2487.0,20.6,0.63,9.7,1.1,2.0,0.5854,82.0,0,0.9268,2018
87,Clint Capela,Houston Rockets,74.0,25.6,2.7,0.652,2034.0,24.5,0.65,10.2,3.4,2.8,0.7927,82.0,0,0.9024,2018
89,Jonathon Simmons,Orlando Magic,69.0,19.9,1.0,0.511,2029.0,12.7,0.555,1.9,-3.1,-0.5,0.3049,82.0,0,0.8415,2018
90,Jayson Tatum,Boston Celtics,80.0,20.5,1.7,0.538,2443.0,15.2,0.586,7.1,1.2,2.0,0.6707,82.0,0,0.9756,2018
92,DeMarre Carroll,Brooklyn Nets,73.0,22.1,1.2,0.506,2180.0,14.3,0.55,4.1,0.2,1.2,0.3415,82.0,0,0.8902,2018
94,Buddy Hield,Sacramento Kings,80.0,19.2,1.4,0.54,2024.0,16.1,0.557,2.8,1.0,1.5,0.3293,82.0,0,0.9756,2018
95,Kentavious Caldwell-Pope,Los Angeles Lakers,74.0,20.8,1.6,0.526,2458.0,13.2,0.561,5.3,0.3,1.4,0.4268,82.0,0,0.9024,2018
98,Allen Crabbe,Brooklyn Nets,75.0,19.1,1.1,0.529,2197.0,12.3,0.558,3.2,-0.7,0.7,0.3415,82.0,0,0.9146,2018
101,Ricky Rubio,Utah Jazz,77.0,23.0,1.7,0.476,2254.0,15.4,0.537,5.3,0.7,1.6,0.5854,82.0,0,0.939,2018
105,Al Horford,Boston Celtics,72.0,25.0,1.7,0.553,2277.0,17.6,0.575,7.8,4.4,3.7,0.6707,82.0,0,0.878,2018
