,Player,Team,G,Par,Stocks,eFG%,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
0,Tracy McGrady,Orlando Magic,75.0,44.1,2.5,0.505,30.3,0.564,16.1,10.5,9.3,0.5122,82.0,0.359,0.9146,2003
1,Kobe Bryant,Los Angeles Lakers,82.0,42.8,3.0,0.483,26.2,0.55,14.9,7.1,7.7,0.6098,82.0,0.417,1.0,2003
2,Allen Iverson,Philadelphia 76ers,82.0,37.3,2.9,0.436,21.2,0.5,9.2,3.5,4.8,0.5854,82.0,0.07,1.0,2003
3,Shaquille O'Neal,Los Angeles Lakers,67.0,41.7,3.0,0.574,29.5,0.602,13.2,6.5,5.5,0.6098,82.0,0.106,0.8171,2003
4,Paul Pierce,Boston Celtics,79.0,37.6,2.6,0.454,22.7,0.532,10.1,4.9,5.4,0.5366,82.0,0.001,0.9634,2003
5,Dirk Nowitzki,Dallas Mavericks,80.0,38.0,2.4,0.513,25.6,0.581,16.1,7.2,7.3,0.7317,82.0,0.036,0.9756,2003
6,Tim Duncan,San Antonio Spurs,81.0,40.1,3.6,0.515,26.9,0.564,16.5,7.6,7.7,0.7317,82.0,0.808,0.9878,2003
7,Kevin Garnett,Minnesota Timberwolves,82.0,42.4,3.0,0.508,26.4,0.553,15.6,8.4,8.7,0.622,82.0,0.732,1.0,2003
8,Chris Webber,Sacramento Kings,67.0,38.9,2.9,0.463,20.9,0.485,6.9,3.5,3.6,0.7195,82.0,0.016,0.8171,2003
9,Ray Allen,Seattle SuperSonics,76.0,31.9,1.6,0.512,21.3,0.565,9.1,3.6,4.1,0.4878,82.0,0,0.9268,2003
10,Allan Houston,New York Knicks,82.0,28.0,0.8,0.506,17.7,0.563,7.2,1.0,2.4,0.4512,82.0,0,1.0,2003
11,Stephon Marbury,Phoenix Suns,81.0,33.6,1.5,0.468,20.1,0.52,9.6,2.9,4.0,0.5366,82.0,0,0.9878,2003
12,Antawn Jamison,Golden State Warriors,82.0,31.1,1.4,0.492,19.0,0.542,8.5,0.7,2.2,0.4634,82.0,0,1.0,2003
13,Jalen Rose,Chicago Bulls,82.0,31.2,1.2,0.448,14.9,0.508,3.6,-1.2,0.7,0.3659,82.0,0,1.0,2003
14,Jamal Mashburn,New Orleans Hornets,82.0,33.3,1.2,0.46,18.0,0.507,9.0,2.2,3.5,0.5732,82.0,0.001,1.0,2003
15,Jerry Stackhouse,Washington Wizards,70.0,29.7,1.3,0.438,18.7,0.528,6.5,1.3,2.3,0.4512,82.0,0,0.8537,2003
16,Shawn Marion,Phoenix Suns,81.0,33.1,3.5,0.5,21.3,0.538,13.0,5.6,6.5,0.5366,82.0,0,0.9878,2003
17,Steve Francis,Houston Rockets,81.0,33.4,2.2,0.468,20.6,0.541,11.1,3.8,4.8,0.5244,82.0,0,0.9878,2003
18,Jermaine O'Neal,Indiana Pacers,77.0,33.1,3.2,0.487,21.4,0.539,10.5,2.9,3.5,0.5854,82.0,0,0.939,2003
19,Glenn Robinson,Atlanta Hawks,69.0,30.4,1.7,0.468,16.7,0.519,2.9,-0.8,0.8,0.4268,82.0,0,0.8415,2003
