,Player,Team,G,Par,Stocks,eFG%,MP,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
0,Allen Iverson,Philadelphia 76ers,71.0,39.5,2.8,0.447,2979.0,24.0,0.518,11.8,6.1,6.1,0.6829,82.0,0.904,0.8659,2001
1,Jerry Stackhouse,Detroit Pistons,80.0,38.8,1.9,0.445,3215.0,21.8,0.521,9.2,5.1,5.8,0.3902,82.0,0.002,0.9756,2001
2,Shaquille O'Neal,Los Angeles Lakers,74.0,45.1,3.4,0.572,2924.0,30.2,0.574,14.9,7.7,7.1,0.6829,82.0,0.466,0.9024,2001
3,Kobe Bryant,Los Angeles Lakers,68.0,39.4,2.3,0.484,2783.0,24.5,0.552,11.3,4.8,4.7,0.6829,82.0,0.009,0.8293,2001
4,Vince Carter,Toronto Raptors,75.0,37.0,2.6,0.509,2979.0,25.0,0.551,12.9,7.6,7.2,0.5732,82.0,0.006,0.9146,2001
5,Chris Webber,Sacramento Kings,70.0,42.4,3.0,0.481,2836.0,24.7,0.516,11.0,5.5,5.3,0.6707,82.0,0.42,0.8537,2001
6,Tracy McGrady,Orlando Magic,77.0,38.9,3.0,0.474,3087.0,24.9,0.521,12.2,7.0,7.0,0.5244,82.0,0.052,0.939,2001
7,Paul Pierce,Boston Celtics,82.0,34.8,2.5,0.503,3120.0,22.3,0.563,10.4,4.4,5.0,0.439,82.0,0.004,1.0,2001
8,Antawn Jamison,Golden State Warriors,82.0,35.6,1.7,0.459,3394.0,19.0,0.499,6.7,0.8,2.3,0.2073,82.0,0,1.0,2001
9,Stephon Marbury,New Jersey Nets,67.0,34.6,1.3,0.484,2557.0,22.7,0.54,7.8,4.3,4.1,0.3171,82.0,0,0.8171,2001
10,Antoine Walker,Boston Celtics,81.0,37.8,2.3,0.478,3396.0,18.9,0.505,6.6,3.0,4.3,0.439,82.0,0,0.9878,2001
11,Karl Malone,Utah Jazz,81.0,36.0,1.9,0.499,2895.0,24.7,0.572,13.1,6.6,6.3,0.6463,82.0,0.017,0.9878,2001
12,Gary Payton,Seattle SuperSonics,79.0,35.8,1.9,0.488,3244.0,22.1,0.522,10.8,4.0,4.9,0.5366,82.0,0,0.9634,2001
13,Tim Duncan,San Antonio Spurs,82.0,37.4,3.2,0.502,3174.0,23.8,0.536,13.2,4.7,5.4,0.7073,82.0,0.569,1.0,2001
14,Ray Allen,Milwaukee Bucks,82.0,31.8,1.7,0.557,3129.0,22.9,0.61,13.7,5.5,5.9,0.6341,82.0,0.006,1.0,2001
15,Kevin Garnett,Minnesota Timberwolves,81.0,38.4,3.2,0.484,3202.0,23.9,0.531,11.8,6.0,6.4,0.5732,82.0,0.122,0.9878,2001
