,PLAYER_NAME,TEAM_ABBREVIATION,PIE
352,Marques Bolden,CLE,0.308
501,Tyler Zeller,SAS,0.25
464,Tacko Fall,BOS,0.241
178,Giannis Antetokounmpo,MIL,0.239
327,LeBron James,LAL,0.198
334,Luka Dončić,DAL,0.194
250,Joel Embiid,PHI,0.194
289,Kawhi Leonard,LAC,0.191
449,Shamorie Ponds,TOR,0.191
220,James Harden,HOU,0.19
395,Nikola Jokić,DEN,0.179
23,Anthony Davis,LAL,0.179
254,Johnathan Motley,LAC,0.172
288,Karl-Anthony Towns,MIN,0.168
109,DeAndre Jordan,BKN,0.168
91,Damian Lillard,POR,0.168
320,Kyrie Irving,BKN,0.164
257,Jonas Valančiūnas,MEM,0.163
488,Trae Young,ATL,0.16
189,Hassan Whiteside,POR,0.159
36,Boban Marjanovic,DAL,0.159
245,Jimmy Butler III,MIA,0.159
70,Chimezie Metu,SAS,0.157
134,Domantas Sabonis,IND,0.156
307,Khris Middleton,MIL,0.154
155,Enes Freedom,BOS,0.153
76,Christian Wood,DET,0.153
17,Andre Drummond,CLE,0.153
396,Nikola Vučević,ORL,0.153
74,Chris Paul,OKC,0.153
251,John Collins,ATL,0.152
436,Rudy Gobert,UTA,0.151
31,Bam Adebayo,MIA,0.147
413,Paul George,LAC,0.147
128,Devontae Cacok,LAL,0.147
380,Montrezl Harrell,LAC,0.145
438,Russell Westbrook,HOU,0.145
519,Willy Hernangomez,CHA,0.144
235,Jayson Tatum,BOS,0.143
199,Ivica Zubac,LAC,0.143
77,Clint Capela,ATL,0.143
42,Bradley Beal,WAS,0.143
33,Ben Simmons,PHI,0.142
527,Zion Williamson,NOP,0.141
123,Derrick Rose,DET,0.14
111,DeMar DeRozan,SAS,0.14
303,Kevin Love,CLE,0.14
43,Brandon Clarke,MEM,0.139
227,Jarrett Allen,BKN,0.139
126,Devin Booker,PHX,0.138
427,Robert Williams III,BOS,0.138
114,Deandre Ayton,PHX,0.137
