,Player,Team,G,PTS,AST,TRB,Stocks,eFG%,MP,PER,TS%,USG%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
0,Michael Jordan,Chicago Bulls,80.0,30.1,6.1,6.4,3.2,0.526,3102.0,27.7,0.579,31.7,17.7,9.7,9.2,0.8171,82.0,0.938,0.9756,1992
2,Karl Malone,Utah Jazz,81.0,28.0,3.0,11.2,1.9,0.527,3054.0,25.4,0.599,30.3,15.1,5.7,5.9,0.6707,82.0,0.273,0.9878,1992
3,Chris Mullin,Golden State Warriors,81.0,25.6,3.5,5.6,2.9,0.544,3346.0,19.9,0.586,23.6,10.8,3.7,4.8,0.6707,82.0,0.084,0.9878,1992
4,Clyde Drexler,Portland Trail Blazers,76.0,25.0,6.7,6.6,2.7,0.509,2751.0,23.6,0.56,28.7,12.8,8.7,7.4,0.6951,82.0,0.584,0.9268,1992
5,Patrick Ewing,New York Knicks,82.0,24.0,1.9,11.2,4.1,0.522,3150.0,22.8,0.563,27.2,13.0,4.9,5.5,0.622,82.0,0.104,1.0,1992
6,Tim Hardaway,Golden State Warriors,81.0,23.4,10.0,3.8,2.2,0.501,3332.0,19.1,0.537,24.4,9.2,2.8,4.1,0.6707,82.0,0.067,0.9878,1992
7,David Robinson,San Antonio Spurs,68.0,23.2,2.7,12.2,6.8,0.552,2564.0,27.5,0.597,24.7,13.9,9.4,7.4,0.5732,82.0,0.351,0.8293,1992
8,Charles Barkley,Philadelphia 76ers,75.0,23.1,4.1,11.1,2.4,0.567,2881.0,24.5,0.612,25.1,12.3,6.3,6.1,0.4268,82.0,0.019,0.9146,1992
9,Mitch Richmond,Sacramento Kings,80.0,22.5,5.1,4.0,1.6,0.503,3095.0,16.3,0.548,25.5,4.9,0.0,1.5,0.3537,82.0,0,0.9756,1992
10,Glen Rice,Miami Heat,79.0,22.3,2.3,5.0,1.5,0.523,3007.0,17.5,0.561,23.9,7.9,1.8,2.9,0.4634,82.0,0,0.9634,1992
11,Ricky Pierce,Seattle SuperSonics,78.0,21.7,3.1,3.0,1.4,0.487,2658.0,18.2,0.561,26.8,7.8,1.5,2.3,0.5732,82.0,0,0.9512,1992
12,Hakeem Olajuwon,Houston Rockets,70.0,21.6,2.2,12.1,6.1,0.502,2636.0,23.7,0.553,25.6,9.8,5.0,4.6,0.5122,82.0,0,0.8537,1992
13,Brad Daugherty,Cleveland Cavaliers,73.0,21.5,3.6,10.4,2.0,0.57,2643.0,23.0,0.629,23.6,11.7,4.8,4.5,0.6951,82.0,0.025,0.8902,1992
14,Scottie Pippen,Chicago Bulls,82.0,21.0,7.0,7.7,3.0,0.511,3164.0,21.5,0.555,24.6,12.7,6.1,6.4,0.8171,82.0,0.033,1.0,1992
15,Reggie Lewis,Boston Celtics,82.0,20.8,2.3,4.8,2.8,0.505,3070.0,17.9,0.55,23.6,9.1,2.3,3.3,0.622,82.0,0,1.0,1992
16,Reggie Miller,Indiana Pacers,82.0,20.7,3.8,3.9,1.6,0.559,3120.0,17.6,0.629,20.2,11.0,2.6,3.6,0.4878,82.0,0,1.0,1992
17,Dražen Petrović,New Jersey Nets,82.0,20.6,3.1,3.1,1.4,0.555,3027.0,15.8,0.587,22.0,7.7,0.4,1.8,0.4878,82.0,0,1.0,1992
20,Jeff Malone,Utah Jazz,81.0,20.2,2.2,2.9,0.8,0.511,2922.0,15.1,0.554,23.9,6.6,-1.7,0.3,0.6707,82.0,0,0.9878,1992
21,Jeff Hornacek,Phoenix Suns,81.0,20.1,5.1,5.0,2.4,0.546,3078.0,18.9,0.592,20.9,11.6,4.3,4.9,0.6463,82.0,0,0.9878,1992
22,Pervis Ellison,Washington Bullets,66.0,20.0,2.9,11.2,3.6,0.54,2511.0,19.9,0.574,22.6,6.9,2.8,3.0,0.3049,82.0,0,0.8049,1992
24,Joe Dumars,Detroit Pistons,82.0,19.9,4.6,2.3,1.0,0.466,3192.0,15.4,0.538,23.6,8.2,0.7,2.2,0.5854,82.0,0,1.0,1992
27,Derrick Coleman,New Jersey Nets,65.0,19.8,3.2,9.5,2.3,0.516,2207.0,19.5,0.57,25.1,5.6,2.2,2.3,0.4878,82.0,0,0.7927,1992
28,Kevin Johnson,Phoenix Suns,78.0,19.7,10.7,3.7,1.8,0.484,2899.0,19.9,0.561,23.6,10.0,3.5,4.0,0.6463,82.0,0.002,0.9512,1992
29,Danny Manning,Los Angeles Clippers,82.0,19.3,3.5,6.9,3.1,0.542,2904.0,19.7,0.577,23.1,9.8,4.3,4.6,0.5488,82.0,0.001,1.0,1992
31,Hersey Hawkins,Philadelphia 76ers,81.0,19.0,3.1,3.3,2.4,0.503,3013.0,17.0,0.578,22.1,7.8,1.8,2.9,0.4268,82.0,0,0.9878,1992
32,Šarūnas Marčiulionis,Golden State Warriors,72.0,18.9,3.4,2.9,1.7,0.54,2117.0,18.8,0.607,24.9,6.4,1.3,1.7,0.6707,82.0,0,0.878,1992
33,Chuck Person,Indiana Pacers,81.0,18.5,4.7,5.3,1.0,0.531,2923.0,14.5,0.546,22.8,4.6,-0.3,1.2,0.4878,82.0,0,0.9878,1992
34,Isiah Thomas,Detroit Pistons,78.0,18.5,7.2,3.2,1.7,0.456,2918.0,16.0,0.505,25.3,5.8,1.1,2.3,0.5854,82.0,0,0.9512,1992
35,Rolando Blackman,Dallas Mavericks,75.0,18.3,2.7,3.2,1.0,0.489,2527.0,15.6,0.538,24.4,3.8,-0.3,1.1,0.2683,82.0,0,0.9146,1992
36,Kevin Willis,Atlanta Hawks,81.0,18.3,2.1,15.5,1.6,0.485,2962.0,19.7,0.535,22.0,8.8,0.2,1.7,0.4634,82.0,0,0.9878,1992
37,Ron Harper,Los Angeles Clippers,82.0,18.2,5.1,5.5,2.8,0.465,3144.0,15.4,0.51,23.3,5.6,1.6,2.8,0.5488,82.0,0,1.0,1992
38,Reggie Williams,Denver Nuggets,81.0,18.2,2.9,5.0,2.6,0.493,2623.0,18.1,0.528,24.3,6.6,3.2,3.4,0.2927,82.0,0,0.9878,1992
39,Michael Adams,Washington Bullets,78.0,18.1,7.6,4.0,2.0,0.444,2795.0,17.1,0.506,24.2,5.3,1.8,2.6,0.3049,82.0,0,0.9512,1992
40,Terry Porter,Portland Trail Blazers,82.0,18.1,5.8,3.1,1.6,0.518,2784.0,18.1,0.575,21.6,10.6,3.7,4.0,0.6951,82.0,0,1.0,1992
41,Harvey Grant,Washington Bullets,64.0,18.0,2.7,6.8,1.6,0.479,2388.0,15.3,0.516,21.7,4.3,-0.4,1.0,0.3049,82.0,0,0.7805,1992
42,Derek Harper,Dallas Mavericks,65.0,17.7,5.7,2.6,1.9,0.472,2252.0,16.7,0.512,24.4,3.5,1.1,1.8,0.2683,82.0,0,0.7927,1992
43,Terry Cummings,San Antonio Spurs,70.0,17.3,1.5,9.0,1.3,0.491,2149.0,18.5,0.52,25.1,6.5,0.1,1.1,0.5732,82.0,0,0.8537,1992
44,Dan Majerle,Phoenix Suns,82.0,17.3,3.3,5.9,2.1,0.516,2853.0,17.8,0.551,20.3,9.8,3.6,4.0,0.6463,82.0,0,1.0,1992
45,Mark Price,Cleveland Cavaliers,72.0,17.3,7.4,2.4,1.5,0.545,2138.0,22.7,0.61,24.1,9.1,5.8,4.2,0.6951,82.0,0.069,0.878,1992
46,Detlef Schrempf,Indiana Pacers,80.0,17.3,3.9,9.6,1.3,0.549,2605.0,19.5,0.617,21.1,9.8,3.2,3.3,0.4878,82.0,0.001,0.9756,1992
47,Otis Thorpe,Houston Rockets,82.0,17.3,3.0,10.5,1.1,0.592,3056.0,17.2,0.619,19.7,8.9,0.4,1.8,0.5122,82.0,0,1.0,1992
48,Vernon Maxwell,Houston Rockets,80.0,17.2,4.1,3.0,1.7,0.479,2700.0,14.1,0.514,24.3,3.9,-0.2,1.2,0.5122,82.0,0,0.9756,1992
49,Eddie Johnson,Seattle SuperSonics,81.0,17.1,2.0,3.6,0.8,0.47,2366.0,16.1,0.528,25.6,5.6,-0.7,0.8,0.5732,82.0,0,0.9878,1992
50,Lionel Simmons,Sacramento Kings,78.0,17.1,4.3,8.1,3.4,0.454,2895.0,16.5,0.505,22.2,4.3,1.1,2.2,0.3537,82.0,0,0.9512,1992
51,Larry Nance,Cleveland Cavaliers,81.0,17.0,2.9,8.3,4.0,0.539,2880.0,21.4,0.586,19.1,12.2,5.2,5.2,0.6951,82.0,0,0.9878,1992
52,Armen Gilliam,Philadelphia 76ers,81.0,16.9,1.5,8.1,1.6,0.511,2771.0,18.0,0.575,21.5,7.6,0.1,1.5,0.4268,82.0,0,0.9878,1992
53,Tony Campbell,Minnesota Timberwolves,78.0,16.8,2.9,3.7,1.5,0.469,2441.0,15.3,0.515,25.0,2.5,-1.2,0.5,0.1829,82.0,0,0.9512,1992
54,Dikembe Mutombo,Denver Nuggets,71.0,16.6,2.2,12.3,3.6,0.493,2716.0,16.5,0.54,20.1,4.8,0.0,1.4,0.2927,82.0,0,0.8659,1992
55,Wayman Tisdale,Sacramento Kings,72.0,16.6,1.5,6.5,1.9,0.5,2521.0,13.9,0.529,20.8,3.4,-2.8,-0.5,0.3537,82.0,0,0.878,1992
56,Sam Perkins,Los Angeles Lakers,63.0,16.5,2.2,8.8,2.0,0.459,2332.0,17.6,0.538,19.7,7.4,1.4,2.0,0.5244,82.0,0,0.7683,1992
57,Pooh Richardson,Minnesota Timberwolves,82.0,16.5,8.4,3.7,1.8,0.487,2922.0,17.4,0.504,22.5,4.1,1.3,2.4,0.1829,82.0,0,1.0,1992
58,Rony Seikaly,Miami Heat,79.0,16.4,1.4,11.8,2.0,0.489,2800.0,16.6,0.554,20.7,6.2,-1.3,0.5,0.4634,82.0,0,0.9634,1992
60,Sean Elliott,San Antonio Spurs,82.0,16.3,2.6,5.4,1.4,0.506,3120.0,14.4,0.564,18.1,8.4,0.5,1.9,0.5732,82.0,0,1.0,1992
61,Spud Webb,Sacramento Kings,77.0,16.0,7.1,2.9,1.9,0.482,2724.0,15.1,0.54,21.0,4.1,-0.8,0.8,0.3537,82.0,0,0.939,1992
62,John Stockton,Utah Jazz,82.0,15.8,13.7,3.3,3.3,0.527,3002.0,22.8,0.59,19.9,13.4,8.7,8.1,0.6707,82.0,0.019,1.0,1992
64,Dale Ellis,Milwaukee Bucks,81.0,15.7,1.3,3.1,0.9,0.536,2191.0,15.9,0.564,23.8,4.8,0.5,1.4,0.378,82.0,0,0.9878,1992
65,Moses Malone,Milwaukee Bucks,82.0,15.6,1.1,9.1,1.7,0.475,2511.0,19.2,0.556,21.7,7.8,0.1,1.3,0.378,82.0,0,1.0,1992
68,Sedale Threatt,Los Angeles Lakers,82.0,15.1,7.2,3.1,2.2,0.499,3070.0,16.6,0.54,18.9,7.3,1.2,2.5,0.5244,82.0,0,1.0,1992
69,Sam Bowie,New Jersey Nets,71.0,15.0,2.6,8.1,2.3,0.449,2179.0,16.4,0.496,22.5,4.6,-0.1,1.0,0.4878,82.0,0,0.8659,1992
70,Micheal Williams,Indiana Pacers,79.0,15.0,8.2,3.6,3.2,0.495,2750.0,18.4,0.587,19.1,9.0,3.7,3.9,0.4878,82.0,0,0.9634,1992
72,Byron Scott,Los Angeles Lakers,82.0,14.9,2.8,3.8,1.6,0.485,2679.0,15.5,0.537,20.4,6.0,1.0,2.0,0.5244,82.0,0,1.0,1992
73,Terry Catledge,Orlando Magic,78.0,14.8,1.4,7.0,0.9,0.496,2430.0,15.2,0.537,20.7,4.6,-1.0,0.6,0.2561,82.0,0,0.9512,1992
74,Grant Long,Miami Heat,82.0,14.8,2.7,8.4,2.2,0.498,3063.0,15.8,0.568,17.1,7.7,1.0,2.3,0.4634,82.0,0,1.0,1992
77,Billy Owens,Golden State Warriors,80.0,14.3,2.4,8.0,1.9,0.526,2510.0,15.6,0.555,19.3,5.6,0.0,1.3,0.6707,82.0,0,0.9756,1992
78,Horace Grant,Chicago Bulls,81.0,14.2,2.7,10.0,2.8,0.578,2859.0,20.6,0.618,15.5,14.1,5.3,5.2,0.8171,82.0,0,0.9878,1992
79,Robert Parish,Boston Celtics,79.0,14.1,0.9,8.9,2.1,0.535,2285.0,18.9,0.571,20.8,7.4,1.4,2.0,0.622,82.0,0,0.9634,1992
80,Scott Skiles,Orlando Magic,75.0,14.1,7.3,2.7,1.1,0.466,2377.0,14.4,0.534,21.4,3.2,-0.8,0.7,0.2561,82.0,0,0.9146,1992
82,Jay Humphries,Milwaukee Bucks,71.0,14.0,6.6,2.6,1.9,0.496,2261.0,16.5,0.543,19.6,5.8,1.1,1.7,0.378,82.0,0,0.8659,1992
83,Kenny Smith,Houston Rockets,81.0,14.0,6.9,2.2,1.4,0.504,2735.0,15.0,0.557,19.8,5.1,-0.3,1.2,0.5122,82.0,0,0.9878,1992
84,Doug West,Minnesota Timberwolves,80.0,14.0,3.5,3.2,1.1,0.52,2540.0,14.6,0.56,18.7,4.6,-0.9,0.7,0.1829,82.0,0,0.9756,1992
85,Orlando Woolridge,Detroit Pistons,82.0,14.0,1.1,3.2,0.9,0.499,2113.0,14.9,0.539,24.8,4.4,-0.5,0.8,0.5854,82.0,0,1.0,1992
87,John Starks,New York Knicks,82.0,13.9,3.4,2.3,1.5,0.501,2118.0,16.4,0.55,24.4,6.4,2.6,2.4,0.622,82.0,0,1.0,1992
88,Mookie Blaylock,New Jersey Nets,72.0,13.8,6.8,3.7,3.0,0.438,2548.0,15.2,0.465,19.3,4.9,1.0,1.9,0.4878,82.0,0,0.878,1992
91,Ron Anderson,Philadelphia 76ers,82.0,13.7,1.6,3.4,1.1,0.486,2432.0,14.1,0.52,21.5,3.5,-1.4,0.4,0.4268,82.0,0,1.0,1992
92,Xavier McDaniel,New York Knicks,82.0,13.7,1.8,5.6,1.0,0.484,2344.0,13.9,0.509,23.3,4.6,-1.3,0.4,0.622,82.0,0,1.0,1992
93,A.C. Green,Los Angeles Lakers,82.0,13.6,1.4,9.3,1.5,0.483,2902.0,16.7,0.556,16.8,8.8,0.7,2.0,0.5244,82.0,0,1.0,1992
94,Kevin Gamble,Boston Celtics,82.0,13.5,2.7,3.5,1.4,0.534,2496.0,15.2,0.567,18.5,6.7,0.7,1.7,0.622,82.0,0,1.0,1992
95,Stacey Augmon,Atlanta Hawks,82.0,13.3,2.5,5.1,1.8,0.49,2505.0,14.4,0.526,20.1,3.7,-0.6,0.8,0.4634,82.0,0,1.0,1992
