,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
0,1.0,Luka Dončić,26.0,LAL,PG,59.0,59.0,35.8,10.8,22.7,0.476,4.0,10.8,0.367,6.8,11.8,0.575,0.564,7.9,10.3,0.77,0.6,7.3,7.9,8.4,1.6,0.6,4.0,2.3,33.4,AS
1,2.0,Shai Gilgeous-Alexander,27.0,OKC,PG,59.0,59.0,33.5,10.9,19.8,0.553,1.7,4.4,0.39,9.2,15.4,0.6,0.596,8.0,9.1,0.888,0.5,3.9,4.4,6.6,1.4,0.8,2.1,2.1,31.6,AS
2,3.0,Anthony Edwards,24.0,MIN,SG,58.0,58.0,35.5,10.1,20.5,0.492,3.4,8.6,0.402,6.6,11.9,0.556,0.576,5.9,7.4,0.796,0.6,4.5,5.1,3.7,1.4,0.8,2.8,1.9,29.5,AS
3,4.0,Tyrese Maxey,25.0,PHI,PG,61.0,61.0,38.3,10.1,21.9,0.461,3.3,8.9,0.373,6.8,13.0,0.521,0.537,5.5,6.1,0.893,0.3,3.8,4.1,6.7,2.0,0.8,2.4,2.2,29.0,AS
4,5.0,Jaylen Brown,29.0,BOS,SF,64.0,64.0,34.2,10.3,21.7,0.477,1.9,5.7,0.343,8.4,16.0,0.524,0.521,5.9,7.4,0.8,1.2,5.9,7.0,5.1,1.0,0.4,3.6,2.7,28.5,AS
5,6.0,Kawhi Leonard,34.0,LAC,SF,55.0,55.0,32.3,9.9,19.5,0.505,2.7,6.9,0.387,7.2,12.7,0.569,0.573,6.0,6.7,0.899,1.0,5.3,6.3,3.7,2.0,0.4,2.1,1.3,28.3,AS
6,7.0,Nikola Jokić,30.0,DEN,C,56.0,56.0,34.8,10.0,17.4,0.573,1.8,4.7,0.385,8.2,12.7,0.644,0.626,6.2,7.5,0.831,2.9,9.7,12.6,10.6,1.5,0.8,3.9,2.8,28.0,AS
7,8.0,Donovan Mitchell,29.0,CLE,SG,62.0,62.0,33.6,9.7,20.3,0.477,3.3,9.2,0.364,6.4,11.2,0.57,0.559,5.3,6.2,0.854,0.7,3.8,4.5,5.8,1.5,0.3,2.9,2.3,28.0,AS
8,9.0,Giannis Antetokounmpo,31.0,MIL,PF,36.0,36.0,28.9,10.4,16.6,0.624,0.4,1.3,0.333,9.9,15.4,0.647,0.636,6.4,9.9,0.65,2.7,7.1,9.8,5.4,0.9,0.7,3.2,2.4,27.6,AS
9,10.0,Stephen Curry,37.0,GSW,PG,39.0,39.0,31.3,8.9,19.1,0.468,4.5,11.5,0.391,4.4,7.6,0.584,0.585,4.9,5.2,0.931,0.4,3.1,3.5,4.8,1.1,0.4,2.8,1.9,27.2,AS
10,11.0,Lauri Markkanen,28.0,UTA,PF,42.0,42.0,34.4,9.1,19.2,0.477,2.7,7.7,0.355,6.4,11.5,0.559,0.548,5.7,6.4,0.896,2.0,4.9,6.9,2.1,1.0,0.5,1.5,1.8,26.7,
11,12.0,Joel Embiid,31.0,PHI,C,33.0,33.0,31.2,9.0,18.2,0.495,1.3,4.0,0.318,7.7,14.2,0.545,0.53,7.3,8.5,0.858,2.0,5.5,7.5,3.9,0.6,1.1,3.0,2.1,26.6,
12,13.0,Jalen Brunson,29.0,NYK,PG,66.0,66.0,34.8,9.3,20.0,0.463,2.7,7.3,0.373,6.5,12.7,0.514,0.531,4.9,5.8,0.843,0.4,3.0,3.4,6.6,0.8,0.1,2.3,2.3,26.1,AS
13,14.0,Kevin Durant,37.0,HOU,SF,67.0,67.0,36.4,9.1,17.6,0.517,2.3,5.7,0.408,6.8,11.9,0.569,0.583,5.1,5.8,0.885,0.5,4.9,5.4,4.4,0.9,0.9,3.2,1.9,25.7,AS
14,15.0,Devin Booker,29.0,PHO,SG,56.0,56.0,33.5,8.4,18.6,0.452,1.9,5.8,0.323,6.6,12.9,0.509,0.501,6.9,7.9,0.869,0.8,3.2,3.9,5.9,0.8,0.3,3.3,2.6,25.5,AS
15,16.0,Jamal Murray,28.0,DEN,PG,67.0,67.0,35.0,8.7,18.1,0.48,3.1,7.3,0.422,5.6,10.9,0.519,0.564,4.7,5.3,0.879,0.4,4.0,4.4,7.1,0.9,0.3,2.3,1.7,25.1,AS
16,17.0,Cade Cunningham,24.0,DET,PG,61.0,61.0,34.4,8.7,18.9,0.461,2.0,5.8,0.346,6.7,13.1,0.513,0.515,5.1,6.2,0.814,0.9,4.7,5.6,9.9,1.5,0.9,3.7,3.1,24.5,AS
