,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Denver Nuggets,64,242.7,42.7,86.7,0.492,13.7,35.1,0.389,29.0,51.6,0.562,21.2,26.2,0.808,9.7,33.4,43.0,28.0,6.9,4.0,13.1,18.9,120.2
1,2.0,Miami Heat,65,240.4,43.6,93.8,0.465,13.4,37.1,0.363,30.2,56.7,0.532,19.5,24.7,0.789,12.1,35.0,47.2,28.7,9.1,4.4,14.0,18.9,120.1
2,3.0,Cleveland Cavaliers,64,241.2,43.1,90.7,0.475,14.5,40.3,0.358,28.6,50.3,0.568,18.2,23.5,0.777,12.0,32.3,44.3,28.3,8.9,5.2,14.3,19.8,118.8
3,4.0,Oklahoma City Thunder,65,242.3,42.8,88.8,0.481,13.6,37.7,0.361,29.2,51.2,0.57,19.5,23.8,0.823,9.4,34.6,43.9,25.5,9.8,5.5,12.7,19.2,118.6
4,5.0,Minnesota Timberwolves,64,241.2,42.8,88.5,0.483,14.0,37.6,0.372,28.8,50.9,0.565,19.1,25.7,0.745,11.2,33.4,44.6,26.2,8.9,5.7,14.6,21.3,118.6
5,6.0,San Antonio Spurs,64,240.4,42.8,89.2,0.48,13.4,37.6,0.356,29.4,51.6,0.571,19.6,25.1,0.78,11.1,35.2,46.4,27.3,7.7,5.5,13.7,19.1,118.6
6,7.0,Atlanta Hawks,64,240.8,43.3,91.7,0.472,14.4,39.2,0.369,28.8,52.5,0.549,16.8,21.6,0.776,10.5,32.7,43.2,30.5,9.4,4.7,14.4,19.8,117.7
7,8.0,Utah Jazz,64,242.3,42.0,90.5,0.464,12.9,37.3,0.345,29.1,53.1,0.548,20.5,25.7,0.798,11.9,32.0,44.0,29.5,8.5,3.6,15.6,21.9,117.4
8,9.0,New York Knicks,65,241.2,42.6,90.2,0.473,14.6,39.2,0.373,28.0,51.0,0.549,17.0,21.7,0.784,12.8,33.3,46.1,27.3,8.1,4.1,13.7,20.5,116.9
9,10.0,Detroit Pistons,63,241.2,42.9,90.0,0.476,10.8,31.4,0.345,32.0,58.6,0.547,20.1,26.6,0.757,13.3,32.7,46.0,26.5,10.5,6.5,15.1,22.3,116.7
10,11.0,Charlotte Hornets,65,241.2,40.9,88.9,0.46,16.0,42.5,0.378,24.8,46.4,0.535,18.1,22.1,0.817,12.7,33.5,46.2,26.6,7.0,4.6,15.6,19.2,115.9
11,12.0,Los Angeles Lakers,64,240.0,41.8,83.8,0.498,12.1,33.7,0.358,29.7,50.1,0.592,20.3,26.4,0.771,9.5,31.4,40.9,25.4,8.2,4.2,14.7,18.7,115.9
12,13.0,Philadelphia 76ers,63,243.2,41.3,90.0,0.459,12.6,35.7,0.354,28.7,54.3,0.528,20.5,25.2,0.813,11.9,31.3,43.2,24.6,9.2,5.6,13.8,20.4,115.8
13,14.0,Memphis Grizzlies,62,240.8,41.8,90.5,0.462,13.6,38.1,0.356,28.2,52.3,0.539,18.5,23.4,0.793,11.5,32.5,43.9,28.8,8.7,5.1,15.2,20.2,115.7
14,15.0,New Orleans Pelicans,66,241.9,42.1,90.6,0.464,11.1,32.4,0.343,31.0,58.2,0.532,20.2,25.7,0.789,12.4,31.5,43.9,25.1,8.8,5.0,14.3,20.1,115.5
15,16.0,Chicago Bulls,64,240.8,41.9,89.6,0.468,14.6,40.1,0.364,27.3,49.5,0.552,17.0,21.8,0.778,10.1,34.7,44.8,28.7,7.5,5.0,15.1,18.7,115.4
16,17.0,Portland Trail Blazers,65,240.8,40.8,90.5,0.451,14.3,42.3,0.337,26.6,48.2,0.551,19.4,25.5,0.762,14.1,31.6,45.8,24.7,8.2,5.2,17.2,20.1,115.3
