,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
0,1.0,Luka Dončić,26.0,LAL,PG,41.0,41.0,36.0,10.6,22.3,0.475,3.6,10.4,0.348,7.0,11.8,0.588,0.557,8.6,11.0,0.779,0.8,7.1,7.9,8.7,1.5,0.5,4.2,2.5,33.4,
1,2.0,Shai Gilgeous-Alexander,27.0,OKC,PG,49.0,49.0,33.3,10.9,19.7,0.554,1.8,4.6,0.39,9.1,15.1,0.603,0.599,8.2,9.2,0.892,0.6,3.9,4.4,6.4,1.3,0.8,2.1,2.1,31.8,
2,3.0,Anthony Edwards,24.0,MIN,SG,41.0,41.0,35.4,10.2,20.6,0.494,3.4,8.4,0.407,6.8,12.2,0.554,0.577,5.9,7.4,0.795,0.6,4.6,5.2,3.7,1.3,0.8,2.7,1.9,29.7,
3,4.0,Jaylen Brown,29.0,BOS,SF,46.0,46.0,34.3,10.9,22.5,0.486,2.2,5.9,0.363,8.8,16.6,0.53,0.534,5.5,7.0,0.775,1.2,5.8,7.0,4.8,1.0,0.4,3.6,2.8,29.5,
4,5.0,Nikola Jokić,30.0,DEN,C,35.0,35.0,34.1,10.3,17.1,0.604,2.1,4.7,0.445,8.3,12.4,0.664,0.665,6.3,7.5,0.847,3.0,9.1,12.1,10.5,1.4,0.7,3.6,2.8,29.1,
5,6.0,Tyrese Maxey,25.0,PHI,PG,48.0,48.0,38.9,10.1,21.5,0.471,3.4,8.8,0.39,6.7,12.7,0.527,0.551,5.2,5.8,0.889,0.3,3.9,4.2,6.8,2.0,0.8,2.4,2.1,28.9,
6,7.0,Donovan Mitchell,29.0,CLE,SG,47.0,47.0,33.9,10.0,20.7,0.483,3.7,9.7,0.382,6.3,11.0,0.573,0.573,5.0,5.9,0.842,0.8,3.8,4.6,5.8,1.5,0.2,3.1,2.4,28.8,
7,8.0,Giannis Antetokounmpo,31.0,MIL,PF,30.0,30.0,29.2,10.5,16.2,0.645,0.5,1.3,0.395,10.0,15.0,0.666,0.66,6.5,9.9,0.658,2.8,7.2,10.0,5.6,0.9,0.7,3.3,2.6,28.0,
8,9.0,Kawhi Leonard,34.0,LAC,SF,36.0,36.0,32.9,9.7,19.4,0.497,2.8,7.0,0.391,6.9,12.4,0.557,0.568,5.6,6.1,0.913,1.0,5.1,6.1,3.6,2.1,0.6,2.1,1.3,27.6,
9,10.0,Lauri Markkanen,28.0,UTA,PF,37.0,37.0,35.5,9.3,19.5,0.477,2.8,7.9,0.357,6.5,11.6,0.558,0.549,6.0,6.7,0.888,1.9,5.1,7.0,2.2,1.0,0.5,1.5,1.8,27.4,
