,Player,Team,G,Par,Stocks,eFG%,MP,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
0,Shaquille O'Neal,Los Angeles Lakers,79.0,47.1,3.5,0.574,3163.0,30.6,0.578,18.6,9.3,9.0,0.8171,82.0,0.998,0.9634,2000
1,Allen Iverson,Philadelphia 76ers,70.0,36.9,2.2,0.446,2853.0,20.0,0.496,6.9,3.2,3.8,0.5976,82.0,0.109,0.8537,2000
2,Grant Hill,Detroit Pistons,74.0,37.6,2.0,0.501,2776.0,24.5,0.565,10.7,5.4,5.2,0.5122,82.0,0.093,0.9024,2000
3,Vince Carter,Toronto Raptors,82.0,35.4,2.4,0.493,3126.0,23.4,0.543,11.8,5.5,5.9,0.5488,82.0,0.042,1.0,2000
4,Karl Malone,Utah Jazz,82.0,38.7,1.9,0.51,2947.0,27.1,0.582,15.3,7.5,7.1,0.6707,82.0,0.258,1.0,2000
5,Chris Webber,Sacramento Kings,75.0,39.6,3.3,0.492,2880.0,23.4,0.53,10.7,5.7,5.6,0.5366,82.0,0.079,0.9146,2000
6,Gary Payton,Seattle SuperSonics,82.0,39.6,2.1,0.502,3425.0,23.6,0.535,13.9,6.4,7.3,0.5488,82.0,0.149,1.0,2000
7,Jerry Stackhouse,Detroit Pistons,82.0,31.9,1.7,0.456,3148.0,18.9,0.545,7.3,1.0,2.4,0.5122,82.0,0,1.0,2000
8,Tim Duncan,San Antonio Spurs,74.0,38.8,3.1,0.491,2875.0,24.8,0.555,13.0,5.6,5.5,0.6463,82.0,0.205,0.9024,2000
9,Kevin Garnett,Minnesota Timberwolves,81.0,39.7,3.1,0.507,3243.0,23.6,0.545,11.6,6.3,6.8,0.6098,82.0,0.337,0.9878,2000
10,Michael Finley,Dallas Mavericks,82.0,34.2,1.7,0.487,3464.0,19.2,0.522,8.3,2.1,3.6,0.4878,82.0,0.001,1.0,2000
11,Kobe Bryant,Los Angeles Lakers,66.0,33.7,2.5,0.488,2524.0,21.7,0.546,10.6,5.1,4.5,0.8171,82.0,0.002,0.8049,2000
12,Stephon Marbury,New Jersey Nets,74.0,33.8,1.7,0.457,2881.0,20.7,0.528,7.4,2.4,3.2,0.378,82.0,0,0.9024,2000
13,Ray Allen,Milwaukee Bucks,82.0,30.3,1.5,0.516,3070.0,20.6,0.57,10.1,3.6,4.3,0.5122,82.0,0,1.0,2000
14,Alonzo Mourning,Miami Heat,79.0,32.8,4.2,0.551,2748.0,25.8,0.596,12.9,5.3,5.0,0.6341,82.0,0.303,0.9634,2000
15,Glenn Robinson,Milwaukee Bucks,81.0,29.3,1.5,0.502,2909.0,17.8,0.534,4.8,0.1,1.5,0.5122,82.0,0,0.9878,2000
16,Antoine Walker,Boston Celtics,82.0,32.2,1.8,0.455,3003.0,17.8,0.494,5.0,0.7,2.1,0.4268,82.0,0,1.0,2000
17,Shareef Abdur-Rahim,Vancouver Grizzlies,82.0,33.7,2.2,0.477,3223.0,20.2,0.547,8.8,2.2,3.4,0.2683,82.0,0,1.0,2000
18,Elton Brand,Chicago Bulls,81.0,32.0,2.4,0.482,2999.0,20.6,0.528,7.5,1.3,2.5,0.2073,82.0,0,0.9878,2000
20,Allan Houston,New York Knicks,82.0,25.7,1.0,0.525,3169.0,16.5,0.569,8.6,1.7,2.9,0.6098,82.0,0,1.0,2000
22,Paul Pierce,Boston Celtics,73.0,27.9,2.9,0.486,2583.0,19.8,0.55,8.2,3.9,3.9,0.4268,82.0,0,0.8902,2000
24,Keith Van Horn,New Jersey Nets,80.0,29.7,1.6,0.478,2782.0,18.1,0.537,5.5,-0.3,1.2,0.378,82.0,0,0.9756,2000
25,Antonio McDyess,Denver Nuggets,81.0,29.6,2.6,0.507,2698.0,19.6,0.539,6.2,0.7,1.9,0.4268,82.0,0,0.9878,2000
26,Sam Cassell,Milwaukee Bucks,81.0,31.3,1.4,0.477,2899.0,21.1,0.551,9.2,2.2,3.1,0.5122,82.0,0,0.9878,2000
27,Latrell Sprewell,New York Knicks,82.0,26.9,1.6,0.452,3276.0,15.7,0.515,6.6,1.0,2.5,0.6098,82.0,0,1.0,2000
28,Clifford Robinson,Phoenix Suns,80.0,25.8,1.9,0.517,2839.0,17.3,0.564,9.6,2.5,3.2,0.6463,82.0,0,0.9756,2000
29,Michael Dickerson,Vancouver Grizzlies,82.0,24.1,1.9,0.483,3103.0,15.6,0.53,5.5,0.0,1.6,0.2683,82.0,0,1.0,2000
30,Jalen Rose,Indiana Pacers,80.0,27.0,1.7,0.503,2978.0,16.7,0.547,7.3,1.4,2.5,0.6829,82.0,0.001,0.9756,2000
31,Reggie Miller,Indiana Pacers,81.0,23.4,1.3,0.527,2987.0,17.3,0.603,10.1,2.7,3.6,0.6829,82.0,0.001,0.9878,2000
32,Steve Francis,Houston Rockets,77.0,29.9,1.9,0.493,2776.0,18.4,0.543,6.4,2.0,2.8,0.4146,82.0,0,0.939,2000
