,Player,Team,G,PTS,AST,TRB,Stocks,eFG%,MP,PER,TS%,USG%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
0,Adrian Dantley,Utah Jazz,80.0,30.7,4.0,6.4,1.6,0.559,3417.0,24.3,0.622,28.4,13.6,4.3,5.4,0.3415,82.0,0.022,0.9756,1981
1,Moses Malone,Houston Rockets,80.0,27.8,1.8,14.8,2.9,0.522,3245.0,25.1,0.585,27.6,13.7,3.3,4.3,0.4878,82.0,0.261,0.9756,1981
2,George Gervin,San Antonio Spurs,82.0,27.1,3.2,5.1,1.8,0.494,2765.0,22.9,0.555,32.3,10.5,2.9,3.5,0.6341,82.0,0.12,1.0,1981
3,Kareem Abdul-Jabbar,Los Angeles Lakers,80.0,26.2,3.4,10.3,3.6,0.574,2976.0,25.5,0.616,26.3,14.3,6.1,6.1,0.6585,82.0,0.414,0.9756,1981
4,David Thompson,Denver Nuggets,77.0,25.5,3.0,3.7,1.5,0.509,2620.0,19.4,0.571,27.9,6.4,0.9,1.9,0.4512,82.0,0,0.939,1981
6,Julius Erving,Philadelphia 76ers,82.0,24.6,4.4,8.0,3.9,0.522,2874.0,25.1,0.572,28.4,13.8,7.5,6.9,0.7561,82.0,0.658,1.0,1981
7,Mike Mitchell,Cleveland Cavaliers,82.0,24.5,1.7,6.1,1.4,0.477,3194.0,17.5,0.513,26.9,6.0,-0.3,1.3,0.3415,82.0,0.004,1.0,1981
8,World B. Free,Golden State Warriors,65.0,24.1,5.6,2.4,1.5,0.448,2370.0,19.5,0.542,27.4,7.4,1.5,2.1,0.4756,82.0,0,0.7927,1981
9,Alex English,Denver Nuggets,81.0,23.8,3.6,8.0,2.5,0.495,3093.0,19.7,0.549,24.0,8.3,2.2,3.2,0.4512,82.0,0,0.9878,1981
10,Jamaal Wilkes,Los Angeles Lakers,81.0,22.6,2.9,5.4,1.9,0.526,3028.0,18.0,0.556,24.5,8.5,0.5,1.9,0.6585,82.0,0.028,0.9878,1981
11,Dan Issel,Denver Nuggets,80.0,21.9,2.0,8.5,1.7,0.504,2641.0,21.7,0.575,23.2,10.5,2.7,3.1,0.4512,82.0,0,0.9756,1981
12,Bernard King,Golden State Warriors,81.0,21.9,3.5,6.8,1.3,0.588,2914.0,19.9,0.617,23.2,9.1,2.8,3.6,0.4756,82.0,0.017,0.9878,1981
13,John Drew,Atlanta Hawks,67.0,21.7,1.2,5.7,1.7,0.456,2075.0,19.2,0.539,30.9,5.4,-0.3,0.9,0.378,82.0,0,0.8171,1981
15,Mike Newlin,New Jersey Nets,79.0,21.4,3.8,2.8,1.2,0.501,2911.0,15.6,0.571,23.4,6.1,-0.8,0.9,0.2927,82.0,0,0.9634,1981
16,Larry Bird,Boston Celtics,82.0,21.2,5.5,10.9,2.8,0.485,3239.0,19.9,0.528,24.3,10.8,4.3,5.2,0.7561,82.0,0.613,1.0,1981
17,Darrell Griffith,Utah Jazz,81.0,20.6,2.4,3.6,1.8,0.467,2867.0,14.7,0.496,28.8,0.4,-3.2,-0.9,0.3415,82.0,0,0.9878,1981
18,Marques Johnson,Milwaukee Bucks,76.0,20.3,4.6,6.8,2.0,0.552,2542.0,22.0,0.583,23.3,11.2,5.6,4.9,0.7317,82.0,0.106,0.9268,1981
19,Bill Cartwright,New York Knicks,82.0,20.1,1.4,7.5,1.6,0.554,2925.0,18.4,0.611,21.5,10.0,1.1,2.3,0.6098,82.0,0,1.0,1981
20,Ray Williams,New York Knicks,79.0,19.7,5.5,4.1,2.8,0.467,2742.0,19.0,0.519,25.7,7.2,3.0,3.5,0.6098,82.0,0,0.9634,1981
23,Eddie Johnson,Atlanta Hawks,75.0,19.1,5.4,2.4,1.8,0.507,2693.0,17.9,0.554,22.9,6.9,1.6,2.4,0.378,82.0,0,0.9146,1981
25,Joe Barry Carroll,Golden State Warriors,82.0,18.9,1.4,9.3,2.1,0.491,2919.0,16.4,0.534,23.0,5.7,-1.3,0.5,0.4756,82.0,0,1.0,1981
26,Robert Parish,Boston Celtics,82.0,18.9,1.8,9.5,3.6,0.545,2298.0,25.2,0.579,27.1,10.9,5.4,4.3,0.7561,82.0,0.077,1.0,1981
27,Reggie Theus,Chicago Bulls,82.0,18.9,5.2,3.5,1.7,0.503,2820.0,18.4,0.578,23.1,9.2,1.8,2.7,0.5488,82.0,0.009,1.0,1981
28,Dennis Johnson,Phoenix Suns,79.0,18.8,3.7,4.6,2.5,0.441,2615.0,17.0,0.516,24.6,8.4,1.8,2.5,0.6951,82.0,0.072,0.9634,1981
29,Truck Robinson,Phoenix Suns,82.0,18.8,2.5,9.6,1.3,0.505,3088.0,14.9,0.531,21.5,7.6,-0.7,1.0,0.6951,82.0,0.009,1.0,1981
30,Jack Sikma,Seattle SuperSonics,82.0,18.7,3.0,10.4,2.1,0.454,2920.0,18.0,0.512,23.6,8.0,1.4,2.5,0.4146,82.0,0.016,1.0,1981
31,Walter Davis,Phoenix Suns,78.0,18.0,3.9,2.6,1.4,0.542,2182.0,18.4,0.579,25.6,7.1,1.9,2.1,0.6951,82.0,0.004,0.9512,1981
32,Artis Gilmore,Chicago Bulls,82.0,17.9,2.1,10.1,3.0,0.67,2832.0,21.7,0.699,18.5,12.3,4.3,4.5,0.5488,82.0,0.006,1.0,1981
33,Elvin Hayes,Washington Bullets,81.0,17.8,1.2,9.7,2.9,0.451,2931.0,14.9,0.483,23.0,5.1,-1.1,0.7,0.4756,82.0,0,0.9878,1981
35,James Silas,San Antonio Spurs,75.0,17.7,3.8,3.1,0.9,0.477,2055.0,19.4,0.557,26.1,7.0,1.0,1.6,0.6341,82.0,0.004,0.9146,1981
36,Dan Roundfield,Atlanta Hawks,63.0,17.6,2.6,10.1,3.1,0.527,2128.0,20.7,0.575,22.3,7.0,3.1,2.7,0.378,82.0,0,0.7683,1981
38,Billy Knight,Indiana Pacers,82.0,17.5,1.9,5.0,1.1,0.534,2385.0,19.9,0.596,23.2,8.4,2.2,2.5,0.5366,82.0,0,1.0,1981
39,Kevin Grevey,Washington Bullets,75.0,17.2,4.0,2.9,1.1,0.474,2616.0,14.5,0.524,21.1,5.8,0.6,1.7,0.4756,82.0,0,0.9146,1981
40,Norm Nixon,Los Angeles Lakers,79.0,17.1,8.8,2.9,1.9,0.477,2962.0,15.5,0.511,21.8,5.5,-0.6,1.0,0.6585,82.0,0.007,0.9634,1981
41,Jim Paxson,Portland Trail Blazers,79.0,17.1,3.8,2.7,1.9,0.537,2701.0,16.9,0.564,19.6,7.7,1.4,2.3,0.5488,82.0,0,0.9634,1981
42,Mychal Thompson,Portland Trail Blazers,79.0,17.0,3.6,8.7,3.0,0.494,2790.0,16.6,0.52,21.8,5.3,0.9,2.1,0.5488,82.0,0,0.9634,1981
43,Junior Bridgeman,Milwaukee Bucks,77.0,16.8,3.0,3.8,1.5,0.489,2215.0,17.1,0.534,24.0,6.7,1.1,1.7,0.7317,82.0,0,0.939,1981
45,Calvin Murphy,Houston Rockets,76.0,16.7,2.9,1.1,1.6,0.493,2014.0,18.1,0.542,26.1,5.4,0.8,1.4,0.4878,82.0,0,0.9268,1981
47,Michael Ray Richardson,New York Knicks,79.0,16.4,7.9,6.9,3.3,0.479,3175.0,17.1,0.511,20.0,6.9,3.2,4.2,0.6098,82.0,0.01,0.9634,1981
48,Campy Russell,New York Knicks,79.0,16.4,3.3,4.5,1.4,0.468,2865.0,12.9,0.518,20.7,4.3,-1.6,0.3,0.6098,82.0,0,0.9634,1981
49,Purvis Short,Golden State Warriors,79.0,16.1,3.2,4.9,1.2,0.476,2309.0,17.0,0.509,23.9,5.4,0.6,1.5,0.4756,82.0,0,0.9634,1981
50,Robert Reid,Houston Rockets,82.0,15.9,4.2,7.1,2.8,0.482,2963.0,16.4,0.522,19.8,7.2,2.1,3.0,0.4878,82.0,0,1.0,1981
52,James Edwards,Indiana Pacers,81.0,15.6,2.6,7.0,2.0,0.509,2375.0,18.2,0.547,22.3,7.0,1.3,2.0,0.5366,82.0,0,0.9878,1981
54,Greg Ballard,Washington Bullets,82.0,15.5,2.4,7.1,1.9,0.466,2610.0,16.7,0.5,21.4,6.9,2.2,2.8,0.4756,82.0,0,1.0,1981
56,Kenny Carr,Cleveland Cavaliers,81.0,15.2,2.4,10.3,1.4,0.511,2615.0,17.0,0.56,20.4,5.8,0.0,1.3,0.3415,82.0,0,0.9878,1981
57,Cedric Maxwell,Boston Celtics,81.0,15.2,2.7,6.5,1.8,0.588,2730.0,17.6,0.651,16.8,11.0,3.5,3.8,0.7561,82.0,0,0.9878,1981
58,Kelvin Ransey,Portland Trail Blazers,80.0,15.2,6.9,2.4,1.2,0.453,2431.0,14.9,0.484,24.3,2.8,-1.9,0.1,0.5488,82.0,0.016,0.9756,1981
59,Alvan Adams,Phoenix Suns,75.0,14.9,4.6,7.3,2.3,0.526,2054.0,20.3,0.567,23.0,7.7,5.1,3.7,0.6951,82.0,0,0.9146,1981
62,Maurice Lucas,New Jersey Nets,68.0,14.7,2.5,8.5,1.7,0.484,2162.0,14.6,0.528,20.5,3.5,-0.9,0.6,0.2927,82.0,0,0.8293,1981
63,Randy Smith,Cleveland Cavaliers,82.0,14.6,4.4,2.4,1.6,0.466,2199.0,17.0,0.514,24.8,3.3,0.5,1.4,0.3415,82.0,0,1.0,1981
64,Phil Hubbard,Detroit Pistons,80.0,14.5,1.9,7.3,1.3,0.493,2289.0,15.4,0.544,22.9,4.5,-1.4,0.3,0.2561,82.0,0,0.9756,1981
65,Johnny Davis,Indiana Pacers,76.0,14.4,6.3,2.2,1.5,0.467,2536.0,15.2,0.522,19.2,5.7,-0.3,1.1,0.5366,82.0,0,0.9268,1981
66,Dave Greenwood,Chicago Bulls,82.0,14.4,2.7,8.8,2.4,0.486,2710.0,16.6,0.528,19.7,7.1,1.2,2.2,0.5488,82.0,0,1.0,1981
67,Roger Phegley,Cleveland Cavaliers,82.0,14.4,2.2,3.0,1.0,0.495,2269.0,14.3,0.545,22.1,3.7,-1.6,0.3,0.3415,82.0,0,1.0,1981
68,Jim Spanarkel,Dallas Mavericks,82.0,14.4,2.8,3.6,1.6,0.467,2317.0,17.3,0.563,22.1,5.5,1.2,1.9,0.1829,82.0,0,1.0,1981
70,Larry Kenon,Chicago Bulls,77.0,14.1,1.6,5.2,1.2,0.48,2161.0,15.2,0.516,22.9,4.1,-1.1,0.5,0.5488,82.0,0,0.939,1981
71,James Bailey,Seattle SuperSonics,82.0,14.0,1.2,7.4,2.6,0.5,2539.0,14.5,0.546,20.3,4.9,-1.1,0.6,0.4146,82.0,0,1.0,1981
72,Mike Bantom,Indiana Pacers,76.0,14.0,3.2,5.6,2.2,0.489,2375.0,14.5,0.528,20.3,4.4,-0.1,1.2,0.5366,82.0,0,0.9268,1981
73,Darryl Dawkins,Philadelphia 76ers,76.0,14.0,1.4,7.2,2.0,0.607,2088.0,15.9,0.641,20.3,6.3,0.1,1.1,0.7561,82.0,0,0.9268,1981
74,Sidney Moncrief,Milwaukee Bucks,80.0,14.0,3.3,5.1,1.6,0.543,2417.0,18.0,0.614,17.2,9.9,3.8,3.5,0.7317,82.0,0,0.9756,1981
75,Tiny Archibald,Boston Celtics,80.0,13.8,7.7,2.2,1.1,0.499,2820.0,14.3,0.582,17.5,6.9,-0.1,1.4,0.7561,82.0,0.046,0.9756,1981
77,Keith Herron,Detroit Pistons,80.0,13.7,1.9,2.6,1.4,0.454,2270.0,13.4,0.511,21.8,3.5,-1.3,0.4,0.2561,82.0,0,0.9756,1981
78,Tom LaGarde,Dallas Mavericks,82.0,13.7,2.9,8.1,0.9,0.47,2670.0,13.5,0.518,20.2,2.7,-1.9,0.1,0.1829,82.0,0,1.0,1981
79,Bobby Jones,Philadelphia 76ers,81.0,13.5,2.8,5.4,2.1,0.539,2046.0,20.1,0.604,20.8,9.2,4.7,3.5,0.7561,82.0,0.004,0.9878,1981
81,Calvin Natt,Portland Trail Blazers,74.0,13.4,2.1,5.8,1.2,0.5,2111.0,14.8,0.541,20.3,4.2,-0.8,0.7,0.5488,82.0,0,0.9024,1981
82,Kevin Porter,Washington Bullets,81.0,13.4,9.1,1.5,1.5,0.521,2577.0,16.2,0.561,19.0,6.4,1.7,2.4,0.4756,82.0,0,0.9878,1981
83,Terry Tyler,Detroit Pistons,82.0,13.4,1.7,6.9,3.6,0.532,2549.0,17.2,0.547,18.5,6.4,2.3,2.8,0.2561,82.0,0,1.0,1981
84,Quinn Buckner,Milwaukee Bucks,82.0,13.3,4.7,3.6,2.4,0.493,2384.0,15.1,0.522,21.1,5.4,0.8,1.7,0.7317,82.0,0.001,1.0,1981
85,Geoff Huston,Cleveland Cavaliers,81.0,13.2,4.9,1.7,0.8,0.49,2434.0,13.4,0.518,20.7,1.7,-2.2,-0.1,0.3415,82.0,0,0.9878,1981
89,Vinnie Johnson,Seattle SuperSonics,81.0,13.0,4.2,4.5,1.2,0.534,2311.0,16.8,0.583,19.7,5.9,1.9,2.3,0.4146,82.0,0,0.9878,1981
91,Bill Robinzine,Dallas Mavericks,78.0,12.9,1.5,6.8,1.1,0.475,2016.0,14.8,0.528,23.5,2.3,-2.4,-0.2,0.1829,82.0,0,0.9512,1981
93,Mickey Johnson,Milwaukee Bucks,82.0,12.5,3.5,6.6,2.0,0.45,2118.0,16.3,0.516,22.6,5.3,1.4,1.8,0.7317,82.0,0,1.0,1981
95,Wes Matthews,Atlanta Hawks,79.0,12.4,5.2,1.8,1.6,0.497,2266.0,13.1,0.549,20.7,2.6,-1.2,0.5,0.378,82.0,0,0.9634,1981
98,Mark Olberding,San Antonio Spurs,82.0,12.3,3.4,5.7,1.3,0.509,2408.0,14.8,0.594,17.4,6.6,0.1,1.2,0.6341,82.0,0,1.0,1981
99,Steve Hawes,Atlanta Hawks,74.0,12.0,2.3,7.6,1.4,0.524,2309.0,14.7,0.585,16.5,5.7,0.4,1.4,0.378,82.0,0,0.9024,1981
104,John Johnson,Seattle SuperSonics,80.0,11.5,3.9,4.5,1.0,0.431,2324.0,11.3,0.479,20.9,1.2,-2.4,-0.2,0.4146,82.0,0,0.9756,1981
106,Kermit Washington,Portland Trail Blazers,73.0,11.4,2.0,9.4,2.4,0.569,2120.0,17.4,0.596,15.7,6.8,1.7,2.0,0.5488,82.0,0,0.8902,1981
109,Mike O'Koren,New Jersey Nets,79.0,11.0,3.2,6.1,1.4,0.489,2473.0,12.6,0.515,15.8,3.8,-0.4,1.0,0.2927,82.0,0,0.9634,1981
110,Jim Chones,Los Angeles Lakers,82.0,10.8,1.9,8.0,1.7,0.503,2562.0,11.8,0.528,15.6,4.7,-2.1,-0.1,0.6585,82.0,0,1.0,1981
118,Dave Robisch,Denver Nuggets,84.0,10.2,2.1,5.9,0.8,0.446,2116.0,14.1,0.507,16.5,4.2,-0.5,0.8,0.4512,82.0,0,1.0244,1981
122,Mike Bratz,Cleveland Cavaliers,80.0,10.0,5.7,2.5,1.9,0.425,2595.0,11.5,0.458,16.1,2.1,-1.2,0.5,0.3415,82.0,0,0.9756,1981
125,Bob Wilkerson,Chicago Bulls,80.0,10.0,3.4,3.5,1.6,0.462,2238.0,12.3,0.507,17.5,3.2,-0.7,0.7,0.5488,82.0,0,0.9756,1981
127,Bill Laimbeer,Cleveland Cavaliers,81.0,9.8,2.7,8.6,1.7,0.503,2460.0,14.2,0.536,14.2,5.4,0.0,1.3,0.3415,82.0,0,0.9878,1981
128,Billy McKinney,Denver Nuggets,84.0,9.7,4.3,2.2,1.3,0.509,2166.0,13.3,0.562,16.1,3.4,-1.4,0.3,0.4512,82.0,0,1.0244,1981
129,Larry Smith,Golden State Warriors,82.0,9.6,1.1,12.1,1.7,0.512,2578.0,14.8,0.54,13.4,6.1,-0.5,1.0,0.4756,82.0,0,1.0,1981
131,Lionel Hollins,Philadelphia 76ers,82.0,9.5,4.3,2.3,1.5,0.471,2154.0,11.0,0.506,18.3,2.9,-1.6,0.2,0.7561,82.0,0,1.0,1981
132,Ben Poquette,Utah Jazz,82.0,9.5,2.0,7.7,2.9,0.53,2808.0,13.0,0.567,12.4,5.4,-0.2,1.3,0.3415,82.0,0,1.0,1981
133,Maurice Cheeks,Philadelphia 76ers,81.0,9.4,6.9,3.0,2.9,0.536,2415.0,16.4,0.579,13.9,8.5,4.0,3.7,0.7561,82.0,0,0.9878,1981
134,Michael Cooper,Los Angeles Lakers,81.0,9.4,4.1,4.1,2.6,0.494,2625.0,12.2,0.53,13.5,5.0,0.9,1.9,0.6585,82.0,0.004,0.9878,1981
137,Chris Ford,Boston Celtics,82.0,8.9,3.6,2.0,1.5,0.47,2723.0,8.8,0.488,13.0,3.7,-0.9,0.7,0.7561,82.0,0,1.0,1981
139,Scott Lloyd,Dallas Mavericks,72.0,8.8,2.2,6.3,0.8,0.448,2186.0,9.3,0.5,15.0,1.0,-3.7,-0.9,0.1829,82.0,0,0.878,1981
141,Allan Bristow,Utah Jazz,82.0,8.7,4.7,5.2,0.8,0.448,2001.0,14.9,0.511,18.7,2.7,-0.2,0.9,0.3415,82.0,0,1.0,1981
144,Jeff Cook,Phoenix Suns,79.0,8.5,2.5,5.9,1.7,0.464,2192.0,11.2,0.491,14.8,4.5,-0.3,1.0,0.6951,82.0,0,0.9634,1981
156,Wes Unseld,Washington Bullets,63.0,8.0,2.7,10.7,1.4,0.527,2032.0,13.5,0.543,11.1,5.5,1.7,1.9,0.4756,82.0,0,0.7683,1981
174,Caldwell Jones,Philadelphia 76ers,81.0,7.2,1.5,10.0,2.4,0.449,2639.0,10.1,0.512,11.3,5.5,-0.6,0.9,0.7561,82.0,0.001,0.9878,1981
