,Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
55,56.0,Bill Laimbeer,23.0,CLE,C,81.0,,2460.0,14.2,0.536,0.0,0.228,11.4,20.2,15.6,11.5,1.1,1.8,15.2,14.2,3.4,2.0,5.4,0.104,-0.3,0.3,0.0,1.3,
56,57.0,Geoff Huston,23.0,2TM,PG,81.0,,2434.0,13.4,0.518,0.005,0.225,2.0,4.5,3.2,25.1,1.2,0.2,14.7,20.7,1.7,0.0,1.7,0.034,0.0,-2.2,-2.2,-0.1,
57,57.0,Geoff Huston,23.0,DAL,PG,56.0,,1892.0,13.4,0.516,0.005,0.234,1.9,4.1,3.0,24.1,1.2,0.2,14.5,22.5,0.9,0.0,0.8,0.021,-0.1,-2.4,-2.5,-0.2,
58,57.0,Geoff Huston,23.0,CLE,PG,25.0,,542.0,13.4,0.528,0.007,0.176,2.3,5.8,4.0,28.5,1.1,0.1,15.8,14.5,0.8,0.1,0.9,0.078,0.2,-1.4,-1.2,0.1,
59,58.0,Kelvin Ransey,22.0,POR,PG,80.0,,2431.0,14.9,0.484,0.027,0.188,1.9,6.9,4.4,31.4,1.7,0.2,15.6,24.3,1.3,1.6,2.8,0.056,0.1,-2.0,-1.9,0.1,"MVP-15,ROY-2"
60,59.0,Sidney Moncrief,23.0,MIL,SG,80.0,,2417.0,18.0,0.614,0.012,0.539,8.8,9.8,9.3,14.1,1.7,0.9,13.7,17.2,6.9,2.9,9.9,0.196,3.4,0.3,3.8,3.5,
61,60.0,Maurice Cheeks,24.0,PHI,PG,81.0,81.0,2415.0,16.4,0.579,0.014,0.306,3.3,7.5,5.5,29.5,3.7,0.9,20.9,13.9,4.0,4.5,8.5,0.169,0.9,3.1,4.0,3.7,
62,61.0,Mark Olberding,24.0,SAS,SF,82.0,82.0,2408.0,14.8,0.594,0.01,0.555,6.9,14.1,10.6,15.2,1.5,0.7,19.2,17.4,4.4,2.3,6.6,0.132,0.3,-0.2,0.1,1.2,
63,62.0,Billy Knight,28.0,IND,SG,82.0,70.0,2385.0,19.9,0.596,0.019,0.4,8.5,10.3,9.4,10.0,1.7,0.3,12.8,23.2,6.5,1.9,8.4,0.17,3.4,-1.2,2.2,2.5,
64,63.0,Quinn Buckner,26.0,MIL,PG,82.0,82.0,2384.0,15.1,0.522,0.006,0.212,4.2,9.5,6.9,21.6,3.8,0.1,18.4,21.1,1.4,4.0,5.4,0.108,-0.9,1.7,0.8,1.7,"MVP-30,DEF2"
65,64.0,Phil Smith,28.0,SDC,SG,76.0,,2378.0,16.2,0.535,0.017,0.296,2.3,5.5,3.8,23.6,1.7,0.4,12.8,23.5,3.8,1.0,4.8,0.097,0.9,-1.1,-0.2,1.1,
