,Player,Team,G,Par,Stocks,eFG%,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
0,Shaquille O'Neal,Orlando Magic,79.0,43.4,3.3,0.583,28.6,0.588,14.0,5.8,5.7,0.6951,82.0,0.576,0.9634,1995
1,Hakeem Olajuwon,Houston Rockets,72.0,42.1,5.2,0.517,26.0,0.563,10.7,5.4,5.3,0.5732,82.0,0.14,0.878,1995
2,David Robinson,San Antonio Spurs,81.0,41.3,4.9,0.532,29.1,0.602,17.5,9.2,8.7,0.7561,82.0,0.858,0.9878,1995
4,Karl Malone,Utah Jazz,82.0,40.8,2.6,0.54,25.1,0.59,13.8,5.6,6.0,0.7317,82.0,0.507,1.0,1995
6,Jamal Mashburn,Dallas Mavericks,80.0,31.9,1.1,0.472,17.3,0.526,6.3,0.7,2.0,0.439,82.0,0,0.9756,1995
7,Patrick Ewing,New York Knicks,79.0,37.6,2.9,0.505,21.9,0.555,9.6,3.5,4.1,0.6707,82.0,0.219,0.9634,1995
8,Charles Barkley,Phoenix Suns,68.0,38.2,2.3,0.518,25.2,0.572,10.6,6.3,5.0,0.7195,82.0,0.091,0.8293,1995
9,Mitch Richmond,Sacramento Kings,82.0,31.0,1.5,0.498,17.2,0.551,8.0,2.1,3.2,0.4756,82.0,0,1.0,1995
10,Glen Rice,Miami Heat,82.0,29.2,1.6,0.541,19.7,0.586,10.0,3.3,4.0,0.3902,82.0,0,1.0,1995
11,Glenn Robinson,Milwaukee Bucks,80.0,30.8,1.7,0.482,16.6,0.538,3.2,-0.9,0.8,0.4146,82.0,0,0.9756,1995
12,Clyde Drexler,Houston Rockets,76.0,32.9,2.4,0.521,22.4,0.577,11.7,6.5,5.9,0.5732,82.0,0,0.9268,1995
14,Scottie Pippen,Chicago Bulls,79.0,34.7,4.0,0.522,22.6,0.559,11.8,7.5,7.2,0.5732,82.0,0.079,0.9634,1995
16,Clifford Robinson,Portland Trail Blazers,75.0,29.5,2.2,0.506,18.3,0.538,8.7,3.5,3.8,0.5366,82.0,0,0.9146,1995
17,Anfernee Hardaway,Orlando Magic,77.0,32.5,2.0,0.55,20.8,0.599,10.7,4.1,4.5,0.6951,82.0,0.022,0.939,1995
18,Dana Barros,Philadelphia 76ers,82.0,31.4,1.8,0.575,20.9,0.632,12.7,5.0,5.8,0.2927,82.0,0,1.0,1995
19,Gary Payton,Seattle SuperSonics,82.0,31.1,2.7,0.535,21.3,0.564,11.7,4.9,5.2,0.6951,82.0,0.032,1.0,1995
20,Latrell Sprewell,Golden State Warriors,69.0,28.3,2.3,0.457,14.1,0.519,2.0,-1.2,0.5,0.3171,82.0,0,0.8415,1995
22,Isaiah Rider,Minnesota Timberwolves,75.0,27.0,1.2,0.502,15.6,0.548,1.9,-0.5,1.0,0.2561,82.0,0,0.9146,1995
25,Grant Hill,Detroit Pistons,70.0,31.3,2.7,0.479,19.0,0.541,5.4,2.0,2.7,0.3415,82.0,0,0.8537,1995
26,Reggie Miller,Indiana Pacers,81.0,25.2,1.4,0.552,20.1,0.62,11.4,5.2,4.9,0.6341,82.0,0,0.9878,1995
27,Detlef Schrempf,Seattle SuperSonics,82.0,29.2,1.5,0.569,20.3,0.641,12.9,4.4,4.7,0.6951,82.0,0,1.0,1995
31,Shawn Kemp,Seattle SuperSonics,82.0,31.4,2.7,0.548,21.7,0.61,10.6,1.7,2.5,0.6951,82.0,0,1.0,1995
33,Joe Dumars,Detroit Pistons,67.0,26.0,1.2,0.483,13.9,0.541,1.7,-2.4,-0.3,0.3415,82.0,0,0.8171,1995
34,Sean Elliott,San Antonio Spurs,81.0,24.1,1.5,0.532,16.0,0.587,8.7,1.9,2.8,0.7561,82.0,0,0.9878,1995
35,Clarence Weatherspoon,Philadelphia 76ers,76.0,27.8,2.4,0.44,15.2,0.489,3.6,-0.6,1.1,0.2927,82.0,0,0.9268,1995
37,Rik Smits,Indiana Pacers,78.0,27.0,1.5,0.526,19.5,0.571,7.2,0.3,1.4,0.6341,82.0,0,0.9512,1995
38,Dominique Wilkins,Boston Celtics,77.0,25.2,1.0,0.472,16.3,0.519,3.9,0.1,1.3,0.4268,82.0,0,0.939,1995
39,Vin Baker,Milwaukee Bucks,82.0,31.6,2.4,0.486,16.6,0.511,5.8,0.2,1.8,0.4146,82.0,0,1.0,1995
40,Kenny Anderson,New Jersey Nets,72.0,30.5,1.6,0.446,18.0,0.522,6.8,2.2,2.8,0.3659,82.0,0,0.878,1995
41,Loy Vaught,Los Angeles Clippers,80.0,28.9,1.7,0.517,17.1,0.541,5.5,-0.7,1.0,0.2073,82.0,0,0.9756,1995
42,Kevin Willis,Miami Heat,67.0,29.4,1.4,0.467,16.1,0.504,3.6,-2.6,-0.4,0.3902,82.0,0,0.8171,1995
43,Mookie Blaylock,Atlanta Hawks,80.0,29.8,2.8,0.508,19.2,0.531,9.4,5.1,5.4,0.5122,82.0,0,0.9756,1995
44,Dino Radja,Boston Celtics,66.0,27.6,2.2,0.49,17.9,0.537,4.5,0.0,1.1,0.4268,82.0,0,0.8049,1995
45,Juwan Howard,Washington Bullets,65.0,27.9,1.0,0.489,15.0,0.521,2.8,-2.2,-0.1,0.2561,82.0,0,0.7927,1995
46,Nick Van Exel,Los Angeles Lakers,80.0,28.0,1.3,0.503,16.3,0.544,6.4,0.5,1.9,0.5854,82.0,0,0.9756,1995
47,Calbert Cheaney,Washington Bullets,78.0,23.0,1.3,0.496,14.2,0.529,3.2,-1.1,0.6,0.2561,82.0,0,0.9512,1995
48,Jeff Hornacek,Utah Jazz,81.0,23.4,1.8,0.562,18.6,0.62,10.1,3.8,3.9,0.7317,82.0,0,0.9878,1995
49,Walt Williams,Sacramento Kings,77.0,25.0,2.4,0.497,15.0,0.544,5.1,1.8,2.7,0.4756,82.0,0,0.939,1995
