,PLAYER_NAME,TEAM_ABBREVIATION,PIE
421,Trey Gilder,MEM,1.0
330,Paul Davis,WAS,0.262
260,LeBron James,CLE,0.218
371,Ryan Bowen,OKC,0.184
241,Kevin Durant,OKC,0.183
410,Tim Duncan,SAS,0.18
131,Dwyane Wade,MIA,0.178
77,Chris Paul,NOH,0.167
130,Dwight Howard,ORL,0.167
72,Chris Bosh,TOR,0.167
60,Carlos Boozer,UTA,0.163
124,Dirk Nowitzki,DAL,0.161
329,Pau Gasol,LAL,0.16
107,David Lee,NYK,0.159
90,DJ White,OKC,0.157
398,Steve Nash,PHX,0.155
242,Kevin Garnett,BOS,0.151
275,Manu Ginobili,SAS,0.15
22,Andrew Bogut,MIL,0.149
165,Ian Mahinmi,SAS,0.149
158,Greg Oden,POR,0.148
422,Troy Murphy,IND,0.147
248,Kobe Bryant,LAL,0.147
243,Kevin Love,MIN,0.146
117,Deron Williams,UTA,0.146
153,Gerald Wallace,CHA,0.144
340,Rajon Rondo,BOS,0.143
47,Brandon Roy,POR,0.143
439,Zach Randolph,MEM,0.141
62,Carmelo Anthony,DEN,0.14
70,Chauncey Billups,DEN,0.138
280,Marcus Camby,POR,0.138
13,Amar'e Stoudemire,PHX,0.137
119,Derrick Rose,CHI,0.137
193,Jason Kidd,DAL,0.133
401,Sundiata Gaines,UTA,0.133
209,Joakim Noah,CHI,0.133
6,Al Horford,ATL,0.132
7,Al Jefferson,MIN,0.131
258,Lamar Odom,LAL,0.131
425,Tyreke Evans,SAC,0.131
23,Andrew Bynum,LAL,0.13
98,Danny Granger,IND,0.13
231,Josh Smith,ATL,0.13
17,Andre Iguodala,PHI,0.128
268,Luis Scola,HOU,0.128
332,Paul Pierce,BOS,0.127
85,Corey Maggette,GSW,0.127
269,Luke Ridnour,MIL,0.127
54,Brook Lopez,NJN,0.126
154,Gilbert Arenas,WAS,0.126
257,LaMarcus Aldridge,POR,0.126
237,Kelenna Azubuike,GSW,0.126
212,Joe Johnson,ATL,0.126
426,Tyrus Thomas,CHA,0.125
317,Nene,DEN,0.125
315,Nazr Mohammed,CHA,0.125
18,Andre Miller,POR,0.124
20,Andrei Kirilenko,UTA,0.124
428,Udonis Haslem,MIA,0.123
108,David West,NOH,0.123
276,Marc Gasol,MEM,0.122
58,Carl Landry,SAC,0.121
279,Marcus Banks,TOR,0.121
16,Andray Blatche,WAS,0.12
175,Jamal Crawford,ATL,0.12
369,Russell Westbrook,OKC,0.12
429,Vince Carter,ORL,0.119
205,Jermaine O'Neal,MIA,0.119
177,Jameer Nelson,ORL,0.118
76,Chris Kaman,LAC,0.118
266,Lou Williams,PHI,0.117
375,Samuel Dalembert,PHI,0.117
370,Ryan Anderson,ORL,0.117
271,Luol Deng,CHI,0.116
415,Tony Parker,SAS,0.116
37,Baron Davis,LAC,0.116
105,Darren Collison,NOH,0.115
386,Shaquille O'Neal,CLE,0.114
110,DeJuan Blair,SAS,0.114
30,Anthony Randolph,GSW,0.113
127,Dorell Wright,MIA,0.113
87,Craig Smith,LAC,0.113
349,Raymond Felton,CHA,0.113
25,Antawn Jamison,CLE,0.112
339,Raja Bell,GSW,0.112
40,Beno Udrih,SAC,0.112
323,Oliver Lafayette,BOS,0.111
331,Paul Millsap,UTA,0.111
405,Tayshaun Prince,DET,0.11
187,Jarrett Jack,TOR,0.11
15,Anderson Varejao,CLE,0.11
423,Ty Lawson,DEN,0.11
310,Mo Williams,CLE,0.109
226,Jose Calderon,TOR,0.109
307,Mike Miller,WAS,0.109
298,Michael Beasley,MIA,0.109
254,Kyle Lowry,HOU,0.108
396,Stephen Jackson,CHA,0.108
359,Rodrigue Beaubois,DAL,0.108
39,Ben Wallace,DET,0.107
144,Ersan Ilyasova,MIL,0.107
244,Kevin Martin,HOU,0.107
394,Stephen Curry,GSW,0.107
12,Alonzo Gee,WAS,0.106
296,Mehmet Okur,UTA,0.106
320,Nicolas Batum,POR,0.106
197,Jason Terry,DAL,0.106
382,Serge Ibaka,OKC,0.105
46,Brandon Jennings,MIL,0.105
358,Rodney Stuckey,DET,0.105
128,Drew Gooden,LAC,0.105
238,Kendrick Perkins,BOS,0.105
156,Goran Dragic,PHX,0.105
71,Chris Andersen,DEN,0.105
313,Nate Robinson,BOS,0.105
311,Monta Ellis,GSW,0.104
5,Al Harrington,NYK,0.104
123,Devin Harris,NJN,0.104
115,Delonte West,CLE,0.104
219,John Salmons,MIL,0.104
348,Ray Allen,BOS,0.103
0,AJ Price,IND,0.103
1,Aaron Brooks,HOU,0.103
61,Carlos Delfino,MIL,0.103
195,Jason Richardson,PHX,0.103
159,Hakim Warrick,CHI,0.102
170,JJ Redick,ORL,0.102
49,Brendan Haywood,DAL,0.102
283,Marcus Thornton,NOH,0.102
2,Aaron Gray,NOH,0.101
69,Chase Budinger,HOU,0.101
176,Jamario Moon,CLE,0.101
351,Reggie Williams,GSW,0.101
368,Rudy Gay,MEM,0.101
199,Jason Williams,ORL,0.1
133,Earl Boykins,WAS,0.1
142,Eric Maynor,OKC,0.1
68,Charlie Villanueva,DET,0.1
140,Emeka Okafor,NOH,0.1
253,Kyle Korver,UTA,0.1
406,Terrence Williams,NJN,0.099
304,Mike Dunleavy,IND,0.099
293,Matt Bonner,SAS,0.099
169,JJ Hickson,CLE,0.099
157,Grant Hill,PHX,0.098
383,Sergio Rodriguez,NYK,0.098
171,JR Smith,DEN,0.098
292,Matt Barnes,ORL,0.098
365,Roy Hibbert,IND,0.098
250,Kris Humphries,NJN,0.098
390,Shelden Williams,BOS,0.097
356,Robin Lopez,PHX,0.097
178,James Harden,OKC,0.097
3,Acie Law,CHI,0.097
45,Brandon Bass,ORL,0.097
289,Marreese Speights,PHI,0.097
389,Shawn Marion,DAL,0.096
44,Brad Miller,CHI,0.096
402,T.J. Ford,IND,0.096
172,JaVale McGee,WAS,0.096
167,J.J. Barea,DAL,0.095
240,Kenyon Martin,DEN,0.095
198,Jason Thompson,SAC,0.095
63,Caron Butler,DAL,0.095
24,Andris Biedrins,GSW,0.095
367,Rudy Fernandez,POR,0.095
14,Amir Johnson,TOR,0.095
19,Andrea Bargnani,TOR,0.094
277,Marcin Gortat,ORL,0.094
97,Danilo Gallinari,NYK,0.094
324,Omri Casspi,SAC,0.094
27,Anthony Johnson,ORL,0.093
433,Will Bynum,DET,0.093
59,Carlos Arroyo,MIA,0.093
43,Boris Diaw,CHA,0.093
387,Shaun Livingston,WAS,0.093
208,Jerryd Bayless,POR,0.093
420,Trevor Ariza,HOU,0.093
341,Ramon Sessions,MIN,0.093
11,Allen Iverson,PHI,0.092
344,Rashard Lewis,ORL,0.092
321,O.J. Mayo,MEM,0.092
354,Richard Jefferson,SAS,0.092
353,Richard Hamilton,DET,0.092
34,Antonio McDyess,SAS,0.092
343,Randy Foye,WAS,0.091
66,Channing Frye,PHX,0.091
139,Elton Brand,PHI,0.091
413,Tony Allen,BOS,0.091
418,Travis Outlaw,LAC,0.091
151,George Hill,SAS,0.091
203,Jeff Green,OKC,0.091
345,Rasheed Wallace,BOS,0.091
427,Tyson Chandler,CHA,0.09
227,Josh Boone,NJN,0.09
56,C.J. Watson,GSW,0.09
281,Marcus Haislip,SAS,0.09
393,Spencer Hawes,SAC,0.09
143,Erick Dampier,DAL,0.09
336,Quentin Richardson,MIA,0.09
303,Mike Conley,MEM,0.089
436,Wilson Chandler,NYK,0.088
397,Steve Blake,LAC,0.088
132,Earl Barron,NYK,0.088
162,Hedo Turkoglu,TOR,0.088
395,Stephen Graham,CHA,0.088
408,Thaddeus Young,PHI,0.088
229,Josh McRoberts,IND,0.088
31,Anthony Tolliver,GSW,0.087
291,Marvin Williams,ATL,0.087
362,Ronnie Brewer,MEM,0.087
28,Anthony Morrow,GSW,0.087
223,Jonny Flynn,MIN,0.087
215,Joel Przybilla,POR,0.087
424,Tyler Hansbrough,IND,0.086
261,Leandro Barbosa,PHX,0.086
225,Jordan Hill,HOU,0.086
141,Eric Gordon,LAC,0.086
38,Ben Gordon,DET,0.086
36,Austin Daye,DET,0.086
403,Taj Gibson,CHI,0.086
322,Oleksiy Pecherov,MIN,0.086
300,Michael Redd,MIL,0.086
265,Lou Amundson,PHX,0.086
272,Luther Head,IND,0.085
207,Jerry Stackhouse,MIL,0.084
435,Willie Green,PHI,0.084
318,Nick Collison,OKC,0.084
326,Othyus Jeffers,UTA,0.084
259,Larry Hughes,CHA,0.084
284,Marcus Williams,MEM,0.084
106,David Andersen,HOU,0.084
357,Rodney Carney,PHI,0.083
385,Shannon Brown,LAL,0.083
185,Jared Dudley,PHX,0.083
149,Francisco Garcia,SAC,0.083
88,D.J. Augustin,CHA,0.083
342,Randolph Morris,ATL,0.083
247,Kirk Hinrich,CHI,0.083
412,Toney Douglas,NYK,0.083
411,Tim Thomas,DAL,0.082
302,Mike Bibby,ATL,0.082
224,Jordan Farmar,LAL,0.082
221,Jonas Jerebko,DET,0.082
374,Sam Young,MEM,0.082
73,Chris Douglas-Roberts,NJN,0.081
372,Ryan Gomes,MIN,0.081
147,Flip Murray,CHI,0.081
316,Nenad Krstic,OKC,0.081
163,Henry Walker,NYK,0.081
333,Peja Stojakovic,NOH,0.081
346,Rasho Nesterovic,TOR,0.081
194,Jason Maxiell,DET,0.081
290,Martell Webster,POR,0.081
350,Reggie Evans,TOR,0.08
100,Dante Cunningham,POR,0.08
392,Sonny Weems,TOR,0.08
86,Courtney Lee,NJN,0.08
232,Jrue Holiday,PHI,0.079
26,Anthony Carter,DEN,0.079
135,Earl Watson,IND,0.079
263,Lester Hudson,MEM,0.079
432,Wesley Matthews,UTA,0.078
152,Gerald Henderson,CHA,0.078
297,Metta World Peace,LAL,0.078
278,Marco Belinelli,TOR,0.078
364,Ronny Turiaf,GSW,0.078
416,Tracy McGrady,NYK,0.078
381,Sebastian Telfair,CLE,0.077
384,Shane Battier,HOU,0.077
204,Jeff Teague,ATL,0.077
74,Chris Duhon,NYK,0.077
246,Keyon Dooling,NJN,0.077
102,Darko Milicic,MIN,0.077
81,Chuck Hayes,HOU,0.077
441,Zydrunas Ilgauskas,CLE,0.077
182,James Singleton,WAS,0.077
267,Luc Mbah a Moute,MIL,0.076
118,Derrick Brown,CHA,0.076
301,Mickael Pietrus,ORL,0.076
136,Eddie House,NYK,0.075
361,Roko Ukic,MIL,0.075
360,Roger Mason Jr.,SAS,0.075
94,Damien Wilkins,MIN,0.075
379,Sean May,SAC,0.074
96,Daniel Gibson,CLE,0.073
109,DeAndre Jordan,LAC,0.073
166,Ime Udoka,SAC,0.073
228,Josh Howard,WAS,0.073
210,Jodie Meeks,PHI,0.073
438,Yi Jianlian,NJN,0.073
286,Mario Chalmers,MIA,0.072
233,Julian Wright,NOH,0.072
78,Chris Quinn,NJN,0.072
270,Luke Walton,LAL,0.072
80,Chris Wilcox,DET,0.072
431,Wayne Ellington,MIN,0.071
407,Thabo Sefolosha,OKC,0.071
440,Zaza Pachulia,ATL,0.07
48,Brandon Rush,IND,0.07
234,Juwan Howard,POR,0.07
255,Kyle Weaver,OKC,0.07
251,Kurt Thomas,MIL,0.07
126,Donte Greene,SAC,0.07
93,Dahntay Jones,IND,0.069
400,Steven Hunter,MEM,0.069
218,Johan Petro,DEN,0.069
8,Al Thornton,WAS,0.069
101,Darius Songaila,NOH,0.069
377,Sasha Vujacic,LAL,0.069
9,Alando Tucker,MIN,0.068
274,Malik Hairston,SAS,0.068
222,Jonathan Bender,NYK,0.068
181,James Posey,NOH,0.067
99,Danny Green,CLE,0.067
347,Rasual Butler,LAC,0.067
21,Andres Nocioni,SAC,0.067
41,Bobby Brown,LAC,0.067
366,Royal Ivey,MIL,0.067
295,Maurice Evans,ATL,0.067
84,Corey Brewer,MIN,0.067
206,Jermaine Taylor,HOU,0.067
201,Jeff Ayres,POR,0.066
220,Jon Brockman,SAC,0.066
299,Michael Finley,BOS,0.066
111,DeMar DeRozan,TOR,0.066
89,DJ Mbenga,LAL,0.065
245,Kevin Ollie,OKC,0.065
309,Mikki Moore,GSW,0.065
35,Arron Afflalo,DEN,0.065
29,Anthony Parker,CLE,0.065
121,Devean George,GSW,0.064
363,Ronnie Price,UTA,0.064
161,Hasheem Thabeet,MEM,0.064
191,Jason Hart,NOH,0.063
155,Glen Davis,BOS,0.062
184,Jannero Pargo,CHI,0.062
122,Devin Brown,CHI,0.062
355,Ricky Davis,LAC,0.062
168,J.R. Giddens,NYK,0.062
174,Jamaal Tinsley,MEM,0.062
288,Marquis Daniels,BOS,0.062
75,Chris Hunter,GSW,0.061
202,Jeff Foster,IND,0.06
217,Joey Graham,DEN,0.06
57,CJ Miles,UTA,0.06
314,Nathan Jawai,MIN,0.06
104,Darrell Arthur,MEM,0.06
134,Earl Clark,PHX,0.06
338,Rafer Alston,MIA,0.059
92,Daequan Cook,MIA,0.058
213,Joe Smith,ATL,0.058
189,Jarvis Hayes,NJN,0.058
179,James Johnson,CHI,0.058
319,Nick Young,WAS,0.057
180,James Jones,MIA,0.057
287,Mario West,ATL,0.057
42,Bobby Simmons,NJN,0.056
399,Steve Novak,LAC,0.056
150,Garrett Temple,SAS,0.056
409,Theo Ratliff,CHA,0.055
95,Dan Gadzuric,MIL,0.054
116,Derek Fisher,LAL,0.054
82,Chucky Atkins,DET,0.054
373,Ryan Hollins,MIN,0.053
262,Leon Powe,CLE,0.053
239,Kenny Thomas,SAC,0.053
173,Jamaal Magloire,MIA,0.053
32,Antoine Wright,TOR,0.053
430,Vladimir Radmanovic,GSW,0.053
312,Morris Peterson,NOH,0.052
249,Kosta Koufos,UTA,0.051
64,Cartier Martin,WAS,0.051
236,Keith Bogans,SAS,0.049
391,Solomon Jones,IND,0.049
216,Joey Dorsey,SAC,0.048
67,Charlie Bell,MIL,0.048
200,Jawad Williams,CLE,0.048
186,Jared Jeffries,HOU,0.048
196,Jason Smith,PHI,0.048
252,Kwame Brown,DET,0.047
4,Adam Morrison,LAL,0.047
214,Joel Anthony,MIA,0.047
308,Mike Wilks,OKC,0.046
145,Etan Thomas,OKC,0.046
334,Pops Mensah-Bonsu,TOR,0.045
192,Jason Kapono,PHI,0.045
120,Desmond Mason,SAC,0.045
113,DeSagana Diop,CHA,0.045
256,Kyrylo Fesenko,UTA,0.044
138,Eduardo Najera,DAL,0.043
112,DeMarre Carroll,MEM,0.043
419,Trenton Hassell,NJN,0.041
352,Renaldo Balkman,DEN,0.041
305,Mike Harris,HOU,0.039
376,Sasha Pavlovic,MIN,0.038
417,Travis Diener,POR,0.038
230,Josh Powell,LAL,0.038
285,Mardy Collins,LAC,0.037
83,Coby Karl,GSW,0.037
125,Dominic McGuire,SAC,0.036
294,Matt Carroll,DAL,0.036
65,Cedric Jackson,WAS,0.036
328,Patty Mills,POR,0.034
282,Marcus Landry,BOS,0.034
325,Othello Hunter,ATL,0.034
414,Tony Battie,NJN,0.034
10,Alexis Ajinca,CHA,0.033
79,Chris Richard,CHI,0.033
327,Patrick O'Bryant,TOR,0.033
164,Hilton Armstrong,HOU,0.031
91,DaJuan Summers,DET,0.03
160,Hamed Haddadi,MEM,0.029
