,Player,Team,G,Par,Stocks,eFG%,MP,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
0,Dwyane Wade,Miami Heat,79.0,42.7,3.5,0.516,3048.0,30.4,0.574,14.7,10.6,9.6,0.5244,82.0,0.562,0.9634,2009
1,LeBron James,Cleveland Cavaliers,81.0,43.2,2.8,0.53,3054.0,31.7,0.591,20.3,13.2,11.8,0.8049,82.0,0.969,0.9878,2009
2,Kobe Bryant,Los Angeles Lakers,82.0,36.9,2.0,0.502,2960.0,24.4,0.561,12.7,5.9,5.9,0.7927,82.0,0.577,1.0,2009
3,Dirk Nowitzki,Dallas Mavericks,81.0,36.7,1.6,0.498,3050.0,23.1,0.564,10.9,3.4,4.2,0.6098,82.0,0.002,0.9878,2009
4,Danny Granger,Indiana Pacers,67.0,33.6,2.4,0.518,2424.0,21.8,0.584,8.0,4.8,4.2,0.439,82.0,0,0.8171,2009
5,Kevin Durant,Oklahoma City Thunder,74.0,34.6,2.0,0.51,2885.0,20.8,0.577,7.9,3.3,3.8,0.2805,82.0,0,0.9024,2009
8,Carmelo Anthony,Denver Nuggets,66.0,33.0,1.5,0.469,2277.0,19.0,0.532,5.0,0.5,1.5,0.6585,82.0,0,0.8049,2009
9,Chris Paul,New Orleans Hornets,78.0,39.3,2.9,0.528,3002.0,30.0,0.599,18.3,11.0,9.9,0.5976,82.0,0.159,0.9512,2009
10,Chris Bosh,Toronto Raptors,77.0,35.2,1.9,0.492,2928.0,22.1,0.569,9.7,2.7,3.5,0.4024,82.0,0,0.939,2009
11,Brandon Roy,Portland Trail Blazers,78.0,32.4,1.4,0.512,2903.0,24.0,0.573,13.5,6.2,6.0,0.6585,82.0,0.006,0.9512,2009
12,Antawn Jamison,Washington Wizards,81.0,33.0,1.5,0.507,3096.0,20.6,0.549,8.1,1.6,2.8,0.2317,82.0,0,0.9878,2009
13,Tony Parker,San Antonio Spurs,72.0,32.0,1.0,0.513,2456.0,23.4,0.556,8.6,3.6,3.5,0.6585,82.0,0.007,0.878,2009
14,Joe Johnson,Atlanta Hawks,79.0,31.6,1.3,0.489,3124.0,18.2,0.534,7.6,1.8,3.1,0.5732,82.0,0,0.9634,2009
16,Devin Harris,New Jersey Nets,69.0,31.5,1.9,0.469,2494.0,21.6,0.563,7.5,2.8,3.0,0.4146,82.0,0,0.8415,2009
18,David West,New Orleans Hornets,76.0,31.8,1.5,0.474,2982.0,18.9,0.54,7.8,0.6,2.0,0.5976,82.0,0,0.9268,2009
20,Caron Butler,Washington Wizards,67.0,31.3,1.9,0.482,2585.0,18.8,0.552,4.5,0.9,1.9,0.2317,82.0,0,0.8171,2009
