,PLAYER_NAME,TEAM_ABBREVIATION,PIE
403,Russell Westbrook,OKC,0.23
43,Boban Marjanovic,DET,0.196
113,Demetrius Jackson,BOS,0.194
28,Anthony Davis,NOP,0.192
194,James Harden,HOU,0.19
267,Kevin Durant,GSW,0.186
292,LeBron James,CLE,0.183
76,Chris Paul,LAC,0.182
109,DeMarcus Cousins,NOP,0.178
160,Giannis Antetokounmpo,MIL,0.176
259,Kawhi Leonard,SAS,0.174
226,Joel Embiid,PHI,0.174
258,Karl-Anthony Towns,MIN,0.17
352,Nikola Jokić,DEN,0.167
217,Jimmy Butler III,CHI,0.164
168,Hassan Whiteside,MIA,0.163
402,Rudy Gobert,UTA,0.161
176,Isaiah Thomas,BOS,0.161
331,Mike Conley,MEM,0.16
89,Damian Lillard,POR,0.159
163,Gordon Hayward,UTA,0.158
108,DeMar DeRozan,TOR,0.155
225,Joel Bolomboy,UTA,0.154
143,Enes Freedom,OKC,0.154
231,John Wall,WAS,0.153
484,Zach Randolph,MEM,0.152
42,Blake Griffin,LAC,0.152
134,Dwight Howard,ATL,0.151
425,Stephen Curry,GSW,0.151
306,Marc Gasol,MEM,0.151
105,DeAndre Jordan,LAC,0.15
268,Kevin Love,CLE,0.148
279,Kyle Lowry,TOR,0.147
370,Pau Gasol,SAS,0.143
354,Nikola Vučević,ORL,0.142
144,Eric Bledsoe,PHX,0.141
165,Greg Monroe,MIL,0.139
139,Edy Tavares,CLE,0.138
263,Kemba Walker,CHA,0.137
245,Josh Huestis,OKC,0.137
235,Jonas Valančiūnas,TOR,0.136
19,Andre Drummond,DET,0.136
371,Paul George,IND,0.136
283,Kyrie Irving,CLE,0.135
180,J.J. Barea,DAL,0.134
294,Lou Williams,HOU,0.133
480,Willy Hernangomez,NYK,0.133
6,Al Jefferson,IND,0.133
280,Kyle O'Quinn,NYK,0.132
214,Jeremy Lin,BKN,0.131
210,Jeff Teague,IND,0.131
78,Clint Capela,HOU,0.13
162,Goran Dragic,MIA,0.13
40,Beno Udrih,DET,0.13
467,Tyson Chandler,PHX,0.13
155,George Hill,UTA,0.128
417,Shawn Long,PHI,0.128
9,Alan Williams,PHX,0.127
31,Archie Goodwin,BKN,0.127
455,Trevor Booker,BKN,0.127
372,Paul Millsap,ATL,0.126
101,David Lee,SAS,0.126
345,Nerlens Noel,DAL,0.126
184,JaVale McGee,GSW,0.125
5,Al Horford,BOS,0.125
401,Rudy Gay,SAC,0.125
64,CJ McCollum,POR,0.125
127,Dirk Nowitzki,DAL,0.124
58,Brook Lopez,BKN,0.124
213,Jeremy Lamb,CHA,0.124
264,Kenneth Faried,DEN,0.124
123,Dewayne Dedmon,SAS,0.124
103,David West,GSW,0.123
50,Brandon Bass,LAC,0.122
284,LaMarcus Aldridge,SAS,0.122
203,Jarnell Stokes,DEN,0.121
248,Jrue Holiday,NOP,0.121
136,Dwyane Wade,CHI,0.121
185,Jabari Parker,MIL,0.121
195,James Johnson,MIA,0.12
346,Nick Collison,OKC,0.12
48,Bradley Beal,WAS,0.119
348,Nicolas Batum,CHA,0.118
466,Tyreke Evans,SAC,0.118
68,Carmelo Anthony,NYK,0.118
114,Dennis Schröder,ATL,0.117
140,Elfrid Payton,ORL,0.117
133,Draymond Green,GSW,0.117
256,Jusuf Nurkić,POR,0.117
49,Brandan Wright,MEM,0.116
390,Richaun Holmes,PHI,0.116
327,Michael Beasley,MIL,0.116
391,Ricky Rubio,MIN,0.114
317,Marreese Speights,LAC,0.114
92,Danilo Gallinari,DEN,0.114
439,Thomas Robinson,LAL,0.114
72,Cheick Diallo,NOP,0.113
447,Tobias Harris,DET,0.113
250,Julius Randle,LAL,0.113
119,Derrick Rose,NYK,0.112
320,Mason Plumlee,DEN,0.112
342,Myles Turner,IND,0.112
167,Harrison Barnes,DAL,0.112
45,Bobby Portis,CHI,0.11
261,Kelly Olynyk,BOS,0.11
434,Terrence Jones,MIL,0.11
308,Marcin Gortat,WAS,0.11
344,Nene,HOU,0.11
423,Spencer Hawes,MIL,0.109
361,Otto Porter Jr.,WAS,0.109
272,Klay Thompson,GSW,0.109
463,Tyler Johnson,MIA,0.108
117,Derrick Favors,UTA,0.108
57,Brice Johnson,LAC,0.108
479,Willie Reed,MIA,0.108
341,Montrezl Harrell,HOU,0.108
178,Ish Smith,DET,0.107
135,Dwight Powell,DAL,0.107
429,T.J. McConnell,PHI,0.107
441,Tiago Splitter,PHI,0.106
276,Kristaps Porziņģis,NYK,0.106
420,Skal Labissiere,SAC,0.106
461,Ty Lawson,SAC,0.106
478,Willie Cauley-Stein,SAC,0.106
146,Ersan Ilyasova,ATL,0.106
379,Rajon Rondo,CHI,0.106
411,Serge Ibaka,TOR,0.106
112,Delon Wright,TOR,0.105
275,Kris Humphries,ATL,0.105
375,Pierre Jackson,DAL,0.104
443,Tim Hardaway Jr.,ATL,0.104
353,Nikola Mirotic,CHI,0.104
271,Khris Middleton,MIL,0.104
413,Seth Curry,DAL,0.103
186,Jae Crowder,BOS,0.103
97,Dario Saric,PHI,0.103
477,Will Barton,DEN,0.102
239,Jordan Crawford,NOP,0.102
229,John Jenkins,PHX,0.102
20,Andre Iguodala,GSW,0.102
289,Larry Nance Jr.,LAL,0.101
70,Channing Frye,CLE,0.101
233,Jon Leuer,DET,0.1
116,Deron Williams,CLE,0.1
485,Zaza Pachulia,GSW,0.1
126,Dion Waiters,MIA,0.1
179,Ivica Zubac,LAL,0.1
99,Darren Collison,SAC,0.1
369,Patty Mills,SAS,0.1
84,Cristiano Felicio,CHI,0.1
36,Avery Bradley,BOS,0.099
409,Sean Kilpatrick,BKN,0.099
85,D'Angelo Russell,LAL,0.099
406,Salah Mejri,DAL,0.099
301,Malcolm Brogdon,MIL,0.098
398,Rondae Hollis-Jefferson,BKN,0.098
277,Kyle Anderson,SAS,0.098
481,Wilson Chandler,DEN,0.098
438,Thaddeus Young,IND,0.097
216,Jerryd Bayless,PHI,0.097
431,Taj Gibson,OKC,0.097
428,Steven Adams,OKC,0.097
187,Jahlil Okafor,PHI,0.097
334,Mike Muscala,ATL,0.097
468,Tyus Jones,MIN,0.096
319,Marvin Williams,CHA,0.096
211,Jeff Withey,UTA,0.096
79,Cody Zeller,CHA,0.096
25,Andrew Wiggins,MIN,0.095
222,Joe Johnson,UTA,0.095
464,Tyler Ulis,PHX,0.095
12,Alex Len,PHX,0.095
483,Zach LaVine,MIN,0.095
470,Victor Oladipo,OKC,0.095
122,Devin Harris,DAL,0.095
269,Kevin Seraphin,IND,0.095
414,Shabazz Muhammad,MIN,0.094
26,Anthony Bennett,BKN,0.094
412,Sergio Rodriguez,PHI,0.094
415,Shabazz Napier,POR,0.094
227,Joffrey Lauvergne,CHI,0.094
59,Bruno Caboclo,TOR,0.094
218,Joakim Noah,NYK,0.094
77,Christian Wood,CHA,0.093
330,Michael Kidd-Gilchrist,CHA,0.093
183,JaMychal Green,MEM,0.093
273,Kosta Koufos,SAC,0.093
451,Tony Parker,SAS,0.093
22,Andrew Bogut,CLE,0.092
252,Justin Hamilton,BKN,0.092
228,John Henson,MIL,0.092
171,Ian Clark,GSW,0.092
254,Justin Holiday,NYK,0.092
7,Al-Farouq Aminu,POR,0.092
164,Gorgui Dieng,MIN,0.092
387,Reggie Jackson,DET,0.092
17,Amir Johnson,BOS,0.091
152,Gary Harris,DEN,0.091
392,Robert Covington,PHI,0.091
251,Justin Anderson,PHI,0.091
