,Player,Team,G,Par,Stocks,eFG%,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Year
228,Jordan Clarkson,New York Knicks,55.0,11.6,0.5,0.51,10.6,0.539,1.1,-4.0,-0.5,0.6308,65.0,2026
229,Luguentz Dort,Oklahoma City Thunder,54.0,13.9,1.3,0.506,8.2,0.523,2.4,-2.2,-0.1,0.7692,65.0,2026
230,Danny Wolf,Brooklyn Nets,49.0,15.6,1.1,0.487,12.8,0.521,0.8,-2.2,0.0,0.254,63.0,2026
231,Daniel Gafford,Dallas Mavericks,46.0,16.2,2.1,0.641,17.5,0.674,3.2,0.4,0.6,0.3281,64.0,2026
232,Draymond Green,Golden State Warriors,52.0,19.4,1.4,0.515,10.0,0.534,1.2,-1.6,0.1,0.5079,63.0,2026
233,Jonas Valančiūnas,Denver Nuggets,52.0,14.8,0.9,0.584,20.9,0.626,2.2,-0.7,0.2,0.6094,64.0,2026
234,Jaden Ivey,Chicago Bulls,37.0,12.8,1.0,0.543,13.1,0.571,1.3,-0.1,0.3,0.4062,64.0,2026
235,Luke Kennard,Los Angeles Lakers,60.0,12.8,0.8,0.702,13.9,0.722,3.5,0.4,0.8,0.6094,64.0,2026
236,Julian Reese,Washington Wizards,4.0,20.8,1.8,0.55,13.0,0.629,0.2,-4.3,-0.1,0.254,63.0,2026
237,Day'Ron Sharpe,Brooklyn Nets,61.0,17.5,1.5,0.609,20.4,0.634,3.4,1.3,1.0,0.254,63.0,2026
238,Kentavious Caldwell-Pope,Memphis Grizzlies,51.0,13.6,1.0,0.485,11.0,0.533,1.1,-2.4,-0.1,0.371,62.0,2026
239,Moussa Diabaté,Charlotte Hornets,57.0,18.8,1.7,0.64,17.8,0.662,5.8,1.4,1.3,0.4923,65.0,2026
240,Simone Fontecchio,Miami Heat,58.0,12.9,0.7,0.514,12.9,0.553,2.0,0.0,0.5,0.5538,65.0,2026
241,Ron Holland,Detroit Pistons,59.0,14.0,1.6,0.471,12.2,0.52,2.2,-1.4,0.2,0.7143,63.0,2026
242,Al Horford,Golden State Warriors,41.0,15.9,1.8,0.55,15.1,0.566,2.2,2.0,0.9,0.5079,63.0,2026
243,Kadary Richmond,Washington Wizards,3.0,14.3,3.0,0.688,20.2,0.722,0.3,3.3,0.1,0.254,63.0,2026
244,Moritz Wagner,Orlando Magic,23.0,12.6,0.6,0.518,18.8,0.589,1.0,0.5,0.2,0.5556,63.0,2026
245,Bradley Beal,Los Angeles Clippers,6.0,10.7,0.5,0.448,5.2,0.476,-0.2,-10.5,-0.3,0.4921,63.0,2026
246,Will Riley,Washington Wizards,55.0,12.3,0.7,0.499,11.9,0.542,0.2,-4.5,-0.6,0.254,63.0,2026
247,Nolan Traoré,Brooklyn Nets,41.0,13.5,1.0,0.453,7.8,0.487,-0.9,-6.8,-1.1,0.254,63.0,2026
248,Dominick Barlow,Philadelphia 76ers,52.0,14.0,1.7,0.565,13.5,0.597,2.9,-0.9,0.3,0.5397,63.0,2026
249,Justin Champagnie,Washington Wizards,56.0,14.8,1.5,0.568,17.6,0.596,2.7,-0.1,0.5,0.254,63.0,2026
250,Bryce McGowens,New Orleans Pelicans,42.0,11.7,0.8,0.561,11.8,0.61,1.7,-3.0,-0.2,0.3182,66.0,2026
251,Jaden Hardy,Washington Wizards,43.0,10.4,0.4,0.514,10.6,0.543,-0.1,-4.9,-0.4,0.254,63.0,2026
252,Tristan Vukcevic,Washington Wizards,38.0,12.0,1.1,0.533,17.4,0.584,0.5,-0.7,0.2,0.254,63.0,2026
253,Jared McCain,Oklahoma City Thunder,50.0,11.6,0.6,0.516,11.3,0.543,0.9,-2.5,-0.1,0.7692,65.0,2026
254,Buddy Hield,Atlanta Hawks,45.0,11.8,1.0,0.543,12.4,0.56,1.0,-1.1,0.2,0.5156,64.0,2026
255,Ryan Kalkbrenner,Charlotte Hornets,53.0,14.6,2.0,0.743,18.2,0.747,4.4,1.7,1.1,0.4923,65.0,2026
256,Olivier-Maxence Prosper,Memphis Grizzlies,38.0,12.1,0.7,0.621,15.6,0.659,1.6,-0.7,0.2,0.371,62.0,2026
257,Kris Dunn,Los Angeles Clippers,63.0,14.8,1.6,0.573,11.6,0.598,3.1,-0.9,0.5,0.4921,63.0,2026
258,Collin Murray-Boyles,Toronto Raptors,47.0,14.8,1.8,0.589,15.2,0.605,3.0,0.7,0.7,0.5714,63.0,2026
259,Nate Williams,Golden State Warriors,4.0,10.6,0.3,0.522,11.8,0.584,0.1,-3.3,0.0,0.5079,63.0,2026
