,Player,Team,G,Par,Stocks,eFG%,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Year
374,Jase Richardson,Orlando Magic,44.0,7.0,0.3,0.537,10.7,0.563,0.7,-3.4,-0.2,0.5556,63.0,2026
375,Jeremiah Robinson-Earl,Dallas Mavericks,22.0,10.0,0.4,0.42,9.5,0.468,0.2,-5.2,-0.3,0.3281,64.0,2026
376,Matisse Thybulle,Portland Trail Blazers,13.0,7.0,2.3,0.61,19.0,0.661,0.6,8.4,0.4,0.4769,65.0,2026
377,Jarred Vanderbilt,Los Angeles Lakers,53.0,10.4,1.2,0.527,11.1,0.546,1.5,-1.8,0.1,0.6094,64.0,2026
378,PJ Hall,Charlotte Hornets,19.0,8.9,0.7,0.534,15.9,0.599,0.5,-2.4,0.0,0.4923,65.0,2026
379,Ochai Agbaji,Brooklyn Nets,52.0,7.5,0.7,0.484,8.2,0.512,0.8,-4.3,-0.5,0.254,63.0,2026
380,Gabe Vincent,Atlanta Hawks,36.0,6.8,0.6,0.475,5.8,0.493,0.3,-4.9,-0.5,0.5156,64.0,2026
381,Craig Porter Jr.,Cleveland Cavaliers,56.0,11.1,1.6,0.504,13.8,0.512,2.4,2.2,1.1,0.6094,64.0,2026
382,Kobe Brown,Indiana Pacers,45.0,7.8,0.5,0.513,11.4,0.552,0.7,-3.5,-0.2,0.2344,64.0,2026
383,DaRon Holmes,Denver Nuggets,19.0,6.7,0.2,0.661,13.1,0.682,0.4,-0.7,0.1,0.6094,64.0,2026
384,RayJ Dennis,Atlanta Hawks,15.0,7.8,0.6,0.384,6.7,0.416,-0.3,-5.1,-0.1,0.5156,64.0,2026
385,Dalton Knecht,Los Angeles Lakers,47.0,6.0,0.4,0.537,9.5,0.55,0.3,-4.3,-0.3,0.6094,64.0,2026
386,Yanic Konan Niederhäuser,Los Angeles Clippers,41.0,7.5,0.8,0.645,16.5,0.691,1.3,-2.2,0.0,0.4921,63.0,2026
387,Skal Labissière,Washington Wizards,3.0,8.3,1.0,0.65,16.4,0.65,0.1,0.1,0.0,0.254,63.0,2026
388,Dereck Lively II,Dallas Mavericks,7.0,11.5,2.2,0.611,15.1,0.67,0.3,0.7,0.1,0.3281,64.0,2026
389,Grant Nelson,Brooklyn Nets,4.0,7.1,1.6,0.556,17.7,0.634,0.1,2.1,0.0,0.254,63.0,2026
390,Jabari Walker,Philadelphia 76ers,53.0,8.0,0.6,0.503,11.9,0.545,1.3,-3.1,-0.2,0.5397,63.0,2026
391,Rob Dillingham,Chicago Bulls,47.0,7.8,0.8,0.384,6.6,0.415,-0.8,-7.7,-0.8,0.4062,64.0,2026
392,Mike Conley,Minnesota Timberwolves,46.0,8.7,0.9,0.435,8.9,0.494,1.5,-1.8,0.0,0.625,64.0,2026
393,Hugo González,Boston Celtics,59.0,8.3,0.9,0.552,10.3,0.55,1.8,-1.8,0.0,0.6719,64.0,2026
394,DeAndre Jordan,New Orleans Pelicans,9.0,11.6,1.2,0.75,15.1,0.739,0.4,-0.8,0.0,0.3182,66.0,2026
395,Nicolas Batum,Los Angeles Clippers,60.0,7.6,1.0,0.587,8.0,0.595,1.3,-1.2,0.2,0.4921,63.0,2026
396,Liam McNeeley,Charlotte Hornets,28.0,7.0,0.3,0.511,9.4,0.566,0.6,-2.2,0.0,0.4923,65.0,2026
397,Micah Peavy,New Orleans Pelicans,50.0,6.9,0.7,0.424,8.1,0.439,0.1,-5.6,-0.6,0.3182,66.0,2026
398,Tony Bradley,Indiana Pacers,38.0,7.3,0.4,0.561,13.1,0.604,0.9,-4.1,-0.2,0.2344,64.0,2026
399,Brandon Clarke,Memphis Grizzlies,2.0,7.5,1.0,0.333,12.3,0.372,0.0,-4.8,0.0,0.371,62.0,2026
400,Anthony Gill,Washington Wizards,36.0,7.2,0.7,0.634,12.8,0.649,0.7,-3.3,-0.2,0.254,63.0,2026
401,Kam Jones,Indiana Pacers,25.0,7.8,0.4,0.49,8.1,0.493,0.1,-6.1,-0.4,0.2344,64.0,2026
402,Doug McDermott,Sacramento Kings,13.0,5.1,0.3,0.581,8.9,0.593,0.0,-3.9,-0.1,0.2308,65.0,2026
403,Terrence Shannon Jr.,Minnesota Timberwolves,27.0,5.6,0.3,0.466,6.0,0.526,0.1,-6.7,-0.4,0.625,64.0,2026
404,Jericho Sims,Milwaukee Bucks,49.0,10.1,0.5,0.841,11.8,0.822,2.0,-3.3,-0.3,0.4286,63.0,2026
405,Myron Gardner,Miami Heat,33.0,7.8,0.6,0.589,17.0,0.613,1.3,2.5,0.3,0.5538,65.0,2026
406,Jordan Hawkins,New Orleans Pelicans,41.0,6.1,0.4,0.4,4.8,0.42,-0.7,-8.0,-0.8,0.3182,66.0,2026
407,Caleb Martin,Dallas Mavericks,55.0,7.8,0.9,0.511,9.5,0.529,1.0,-2.2,0.0,0.3281,64.0,2026
408,Zeke Nnaji,Denver Nuggets,45.0,7.1,0.8,0.53,11.0,0.573,0.8,-3.3,-0.2,0.6094,64.0,2026
409,Trayce Jackson-Davis,Toronto Raptors,43.0,7.6,0.8,0.586,17.0,0.597,1.4,0.1,0.2,0.5714,63.0,2026
410,Moussa Cisse,Dallas Mavericks,34.0,8.8,1.5,0.59,14.8,0.567,1.0,-3.0,-0.1,0.3281,64.0,2026
411,Jaylen Clark,Minnesota Timberwolves,56.0,6.1,0.8,0.48,9.4,0.51,1.2,-3.0,-0.2,0.625,64.0,2026
412,Rayan Rupert,Memphis Grizzlies,54.0,6.5,0.8,0.454,6.8,0.47,0.3,-5.1,-0.6,0.371,62.0,2026
413,Clint Capela,Houston Rockets,57.0,8.7,1.3,0.503,17.7,0.527,2.2,0.3,0.4,0.619,63.0,2026
414,Elijah Harkless,Utah Jazz,15.0,6.8,1.0,0.38,7.7,0.456,0.1,-5.3,-0.2,0.2969,64.0,2026
415,Cameron Payne,Philadelphia 76ers,9.0,6.8,1.3,0.348,7.7,0.348,0.0,-4.6,-0.1,0.5397,63.0,2026
416,Taelon Peter,Indiana Pacers,27.0,6.0,0.6,0.489,8.5,0.493,0.0,-4.0,-0.2,0.2344,64.0,2026
417,Oscar Tshiebwe,Utah Jazz,9.0,8.4,0.2,0.696,15.5,0.67,0.3,-2.5,0.0,0.2969,64.0,2026
418,Keaton Wallace,Atlanta Hawks,45.0,6.5,0.6,0.524,10.6,0.533,0.7,-2.4,-0.1,0.5156,64.0,2026
419,Carter Bryant,San Antonio Spurs,53.0,6.2,0.5,0.475,8.8,0.491,0.6,-4.0,-0.3,0.7344,64.0,2026
420,A.J. Lawson,Toronto Raptors,14.0,5.3,0.5,0.488,12.1,0.545,0.2,-2.7,0.0,0.5714,63.0,2026
421,Drew Timme,Los Angeles Lakers,19.0,5.6,0.3,0.656,13.8,0.656,0.4,-1.1,0.0,0.6094,64.0,2026
422,Leonard Miller,Chicago Bulls,28.0,5.6,0.4,0.629,14.1,0.653,0.4,-1.9,0.0,0.4062,64.0,2026
423,Rasheer Fleming,Phoenix Suns,38.0,5.4,0.4,0.513,10.7,0.518,0.4,-3.9,-0.2,0.5781,64.0,2026
424,Jeremy Sochan,New York Knicks,37.0,6.5,0.6,0.509,9.8,0.526,0.7,-2.8,-0.1,0.6308,65.0,2026
425,Dalen Terry,Philadelphia 76ers,38.0,6.3,1.0,0.509,11.5,0.519,0.5,-1.4,0.1,0.5397,63.0,2026
426,Mohamed Diawara,New York Knicks,54.0,5.2,0.4,0.578,11.5,0.588,0.8,-0.3,0.2,0.6308,65.0,2026
427,Dorian Finney-Smith,Houston Rockets,28.0,6.7,0.5,0.431,4.9,0.446,0.3,-5.3,-0.4,0.619,63.0,2026
428,Larry Nance Jr.,Cleveland Cavaliers,27.0,6.9,0.7,0.453,8.1,0.458,0.4,-4.0,-0.2,0.6094,64.0,2026
429,Kelly Olynyk,San Antonio Spurs,36.0,6.2,0.5,0.557,12.4,0.584,0.8,-1.0,0.1,0.7344,64.0,2026
430,Isaiah Stevens,Sacramento Kings,3.0,7.6,1.7,0.429,16.5,0.571,0.1,1.9,0.0,0.2308,65.0,2026
431,James Wiseman,Indiana Pacers,4.0,6.1,0.3,0.6,4.1,0.597,0.0,-9.0,-0.1,0.2344,64.0,2026
432,Koby Brea,Phoenix Suns,5.0,4.2,0.0,0.778,25.4,0.81,0.2,10.8,0.1,0.5781,64.0,2026
433,Keshad Johnson,Miami Heat,23.0,5.2,0.4,0.476,11.1,0.518,0.2,-5.1,-0.1,0.5538,65.0,2026
434,Dwight Powell,Dallas Mavericks,48.0,7.9,0.9,0.66,12.0,0.693,1.9,-1.6,0.1,0.3281,64.0,2026
435,Nikola Topić,Oklahoma City Thunder,5.0,6.8,0.0,0.5,2.0,0.5,-0.1,-11.3,-0.1,0.7692,65.0,2026
436,Amir Coffey,Phoenix Suns,40.0,5.0,0.3,0.549,10.3,0.59,0.8,-3.3,-0.1,0.5781,64.0,2026
437,Tyus Jones,Denver Nuggets,58.0,6.7,0.7,0.432,8.2,0.442,1.0,-2.4,-0.1,0.6094,64.0,2026
438,John Konchar,Utah Jazz,42.0,7.8,1.9,0.517,11.5,0.529,1.3,0.8,0.5,0.2969,64.0,2026
439,Kobe Bufkin,Los Angeles Lakers,10.0,4.5,0.5,0.319,4.8,0.392,-0.2,-10.6,-0.2,0.6094,64.0,2026
440,Cam Christie,Los Angeles Clippers,43.0,5.2,0.4,0.431,9.0,0.491,0.2,-4.6,-0.3,0.4921,63.0,2026
441,Pat Connaughton,Charlotte Hornets,30.0,5.3,0.2,0.585,13.9,0.602,0.6,0.5,0.1,0.4923,65.0,2026
442,Ron Harper Jr.,Boston Celtics,18.0,5.5,0.6,0.45,9.2,0.452,0.3,-1.6,0.0,0.6719,64.0,2026
443,Miles Kelly,Dallas Mavericks,14.0,5.7,0.4,0.477,8.3,0.484,0.1,-5.0,-0.1,0.3281,64.0,2026
444,Mark Sears,Milwaukee Bucks,7.0,3.7,0.0,0.615,15.3,0.666,0.0,-2.2,0.0,0.4286,63.0,2026
445,Charles Bassey,Philadelphia 76ers,3.0,8.7,1.0,0.444,13.9,0.436,0.1,-2.8,0.0,0.5397,63.0,2026
446,Jamison Battle,Toronto Raptors,46.0,4.9,0.1,0.63,10.1,0.634,0.7,-2.9,-0.1,0.5714,63.0,2026
447,Joan Beringer,Minnesota Timberwolves,30.0,5.1,0.5,0.667,18.3,0.674,0.8,-1.1,0.0,0.625,64.0,2026
448,Chris Livingston,Cleveland Cavaliers,3.0,4.3,0.3,0.571,15.4,0.605,0.1,-2.7,0.0,0.6094,64.0,2026
449,Emanuel Miller,Chicago Bulls,5.0,4.4,0.4,0.538,15.2,0.54,0.1,2.6,0.0,0.4062,64.0,2026
450,Riley Minix,San Antonio Spurs,3.0,4.0,0.3,0.75,45.0,0.75,0.1,25.3,0.1,0.7344,64.0,2026
451,Monte Morris,Indiana Pacers,6.0,5.7,0.4,0.4,7.0,0.414,0.0,-6.0,-0.1,0.2344,64.0,2026
452,Antonio Reeves,Charlotte Hornets,9.0,4.1,0.1,0.675,12.4,0.675,0.2,0.9,0.0,0.4923,65.0,2026
453,AJ Johnson,Dallas Mavericks,36.0,5.0,0.2,0.354,4.4,0.397,-0.7,-9.5,-0.6,0.3281,64.0,2026
454,David Jones García,San Antonio Spurs,11.0,5.7,0.6,0.58,21.1,0.579,0.3,6.4,0.1,0.7344,64.0,2026
455,Yuki Kawamura,Chicago Bulls,7.0,9.2,0.9,0.389,14.6,0.484,0.2,-1.0,0.0,0.4062,64.0,2026
456,Kevon Looney,New Orleans Pelicans,18.0,9.6,0.8,0.452,13.5,0.468,0.5,-2.3,0.0,0.3182,66.0,2026
457,Chris Paul,Los Angeles Clippers,16.0,8.0,0.7,0.411,8.2,0.413,0.1,-4.2,-0.1,0.4921,63.0,2026
458,Duop Reath,Portland Trail Blazers,32.0,4.4,0.5,0.601,10.7,0.613,0.5,-1.0,0.1,0.4769,65.0,2026
459,Trey Alexander,New Orleans Pelicans,5.0,4.6,0.4,0.778,13.6,0.778,0.1,0.6,0.0,0.3182,66.0,2026
460,Chaz Lanier,Detroit Pistons,22.0,4.3,0.2,0.475,9.5,0.498,0.4,-2.7,0.0,0.7143,63.0,2026
461,Julian Phillips,Minnesota Timberwolves,40.0,4.1,0.7,0.505,10.0,0.542,0.5,-2.4,0.0,0.625,64.0,2026
462,Patrick Baldwin Jr.,Sacramento Kings,7.0,4.9,0.7,0.469,10.5,0.51,0.0,-5.7,-0.1,0.2308,65.0,2026
463,Christian Koloko,Atlanta Hawks,22.0,6.5,1.6,0.434,9.2,0.459,0.4,-3.8,-0.1,0.5156,64.0,2026
464,Jamal Cain,Orlando Magic,23.0,3.7,0.2,0.48,8.7,0.545,0.2,-5.8,-0.1,0.5556,63.0,2026
465,Jae'Sean Tate,Houston Rockets,34.0,4.6,0.4,0.564,11.0,0.567,0.6,-3.1,-0.1,0.619,63.0,2026
466,Jeff Green,Houston Rockets,22.0,3.5,0.0,0.6,14.6,0.615,0.4,-0.1,0.1,0.619,63.0,2026
467,Jonathan Isaac,Orlando Magic,51.0,5.6,1.0,0.458,11.7,0.502,1.0,-1.4,0.1,0.5556,63.0,2026
468,Mo Bamba,Utah Jazz,4.0,8.3,0.8,0.455,13.1,0.455,0.1,-8.5,-0.1,0.2969,64.0,2026
469,Gary Harris,Milwaukee Bucks,42.0,4.8,0.7,0.578,7.7,0.598,0.7,-2.5,-0.1,0.4286,63.0,2026
470,Killian Hayes,Sacramento Kings,7.0,7.3,0.3,0.221,3.5,0.244,-0.2,-11.3,-0.2,0.2308,65.0,2026
471,Malevy Leons,Golden State Warriors,10.0,5.0,0.8,0.556,16.7,0.581,0.2,1.1,0.1,0.5079,63.0,2026
472,Alijah Martin,Toronto Raptors,14.0,4.0,0.6,0.364,10.8,0.444,0.1,-2.5,0.0,0.5714,63.0,2026
473,TyTy Washington Jr.,Los Angeles Clippers,8.0,4.1,0.8,0.679,18.1,0.679,0.2,5.8,0.1,0.4921,63.0,2026
474,Chris Boucher,Boston Celtics,9.0,4.6,1.4,0.36,7.8,0.392,0.1,-3.1,0.0,0.6719,64.0,2026
475,Luke Travers,Cleveland Cavaliers,12.0,5.1,0.9,0.264,10.3,0.35,0.1,-3.2,0.0,0.6094,64.0,2026
476,JD Davison,Houston Rockets,25.0,4.2,0.4,0.463,9.7,0.474,0.3,-2.2,0.0,0.619,63.0,2026
477,Yang Hansen,Portland Trail Blazers,38.0,4.3,0.3,0.328,3.3,0.402,-0.5,-9.7,-0.5,0.4769,65.0,2026
478,Maxi Kleber,Los Angeles Lakers,35.0,4.7,0.7,0.517,8.5,0.545,0.6,-3.4,-0.1,0.6094,64.0,2026
479,E.J. Liddell,Brooklyn Nets,10.0,3.3,0.1,0.588,13.8,0.6,0.1,-2.1,0.0,0.254,63.0,2026
480,Hunter Tyson,Denver Nuggets,21.0,4.7,0.1,0.337,6.5,0.398,-0.1,-6.9,-0.2,0.6094,64.0,2026
481,Bronny James,Los Angeles Lakers,31.0,3.8,0.5,0.492,9.6,0.506,0.2,-3.5,-0.1,0.6094,64.0,2026
482,Lindy Waters III,San Antonio Spurs,34.0,3.1,0.1,0.53,7.6,0.534,0.3,-2.5,0.0,0.7344,64.0,2026
483,Dalano Banton,Boston Celtics,5.0,3.0,0.4,0.444,12.7,0.506,0.0,-5.2,0.0,0.6719,64.0,2026
484,Hunter Dickinson,New Orleans Pelicans,1.0,2.0,1.0,0.5,-11.0,0.5,-0.1,-26.0,0.0,0.3182,66.0,2026
485,Tristan Enaruna,Cleveland Cavaliers,4.0,4.3,0.0,0.444,12.7,0.424,0.0,-5.9,0.0,0.6094,64.0,2026
486,Trentyn Flowers,Chicago Bulls,2.0,3.0,0.0,0.667,16.8,0.667,0.0,-0.9,0.0,0.4062,64.0,2026
487,Keshon Gilbert,Washington Wizards,3.0,4.7,2.0,0.25,4.5,0.521,-0.1,-6.7,-0.1,0.254,63.0,2026
488,Colby Jones,Detroit Pistons,1.0,8.0,0.0,0.333,13.1,0.333,0.0,2.3,0.0,0.7143,63.0,2026
489,Johnny Juzang,Minnesota Timberwolves,21.0,3.1,0.1,0.5,12.2,0.518,0.1,-3.3,0.0,0.625,64.0,2026
490,Isaiah Livers,Phoenix Suns,32.0,4.6,0.7,0.459,8.2,0.49,0.4,-2.2,0.0,0.5781,64.0,2026
491,Khaman Maluach,Phoenix Suns,29.0,4.1,0.7,0.522,10.7,0.551,0.1,-5.8,-0.2,0.5781,64.0,2026
492,Jordan McLaughlin,San Antonio Spurs,32.0,3.5,0.4,0.492,10.2,0.506,0.2,-1.6,0.0,0.7344,64.0,2026
493,Wendell Moore Jr.,Detroit Pistons,5.0,3.8,0.8,0.571,10.0,0.635,0.1,-0.7,0.0,0.7143,63.0,2026
494,Chris Youngblood,Oklahoma City Thunder,32.0,3.2,0.2,0.467,10.1,0.505,0.4,-2.9,0.0,0.7692,65.0,2026
495,Caleb Houstan,Atlanta Hawks,12.0,2.6,0.2,0.667,10.2,0.705,0.1,-4.5,0.0,0.5156,64.0,2026
496,Ariel Hukporti,New York Knicks,46.0,5.2,0.7,0.568,11.2,0.617,0.9,-2.4,0.0,0.6308,65.0,2026
497,Kevin McCullar Jr.,New York Knicks,18.0,4.3,0.3,0.471,8.0,0.47,0.1,-4.0,-0.1,0.6308,65.0,2026
498,Mason Plumlee,Charlotte Hornets,14.0,5.9,0.4,0.75,13.5,0.752,0.4,1.0,0.1,0.4923,65.0,2026
499,Harrison Ingram,San Antonio Spurs,5.0,2.6,0.0,0.9,23.0,0.9,0.1,7.2,0.0,0.7344,64.0,2026
500,Bobi Klintman,Detroit Pistons,11.0,3.9,0.3,0.385,3.5,0.366,-0.1,-9.5,-0.1,0.7143,63.0,2026
501,Kyle Lowry,Philadelphia 76ers,8.0,3.7,0.4,0.375,7.1,0.478,0.1,-5.6,-0.1,0.5397,63.0,2026
502,Cody Martin,Indiana Pacers,4.0,5.8,1.5,0.2,3.0,0.277,-0.1,-7.9,-0.1,0.2344,64.0,2026
503,Orlando Robinson,Orlando Magic,4.0,3.6,0.3,0.7,14.7,0.7,0.1,1.3,0.0,0.5556,63.0,2026
504,Jahmir Young,Miami Heat,10.0,2.7,0.1,0.4,6.0,0.416,0.0,-8.6,-0.1,0.5538,65.0,2026
505,Xavier Tillman Sr.,Charlotte Hornets,21.0,3.2,0.4,0.471,10.2,0.471,0.2,-3.0,0.0,0.4923,65.0,2026
506,Adou Thiero,Los Angeles Lakers,18.0,3.0,0.4,0.476,10.5,0.551,0.2,-4.2,-0.1,0.6094,64.0,2026
507,Jacob Toppin,Atlanta Hawks,5.0,2.0,0.2,0.667,15.1,0.667,0.0,0.1,0.0,0.5156,64.0,2026
508,Buddy Boeheim,Oklahoma City Thunder,4.0,1.5,0.0,0.5,4.7,0.5,0.0,-8.3,0.0,0.7692,65.0,2026
509,Tyson Etienne,Brooklyn Nets,8.0,1.6,0.0,0.4,-1.2,0.4,-0.1,-14.6,-0.1,0.254,63.0,2026
510,Haywood Highsmith,Phoenix Suns,2.0,4.5,0.5,0.25,7.6,0.307,0.0,-4.7,0.0,0.5781,64.0,2026
511,Curtis Jones,Denver Nuggets,6.0,2.8,0.0,0.321,1.4,0.321,-0.1,-15.5,-0.1,0.6094,64.0,2026
512,Brooks Barnhizer,Oklahoma City Thunder,33.0,3.6,0.3,0.43,7.0,0.446,0.4,-2.8,-0.1,0.7692,65.0,2026
513,Dillon Jones,New York Knicks,5.0,3.4,0.4,0.3,16.9,0.518,0.1,3.6,0.0,0.6308,65.0,2026
514,Isaac Jones,Detroit Pistons,4.0,2.1,0.0,0.5,7.3,0.512,0.0,-8.5,0.0,0.7143,63.0,2026
515,Thanasis Antetokounmpo,Milwaukee Bucks,25.0,2.2,0.6,0.526,18.7,0.576,0.3,1.4,0.1,0.4286,63.0,2026
516,Vladislav Goldin,Miami Heat,3.0,3.0,0.3,1.0,17.0,1.0,0.0,4.7,0.0,0.5538,65.0,2026
517,Nigel Hayes-Davis,Phoenix Suns,27.0,2.8,0.4,0.348,4.2,0.356,-0.1,-7.3,-0.3,0.5781,64.0,2026
518,Andre Jackson Jr.,Milwaukee Bucks,33.0,3.2,0.3,0.288,4.7,0.339,-0.3,-8.3,-0.3,0.4286,63.0,2026
519,Lachlan Olbrich,Chicago Bulls,22.0,4.1,0.2,0.429,8.8,0.432,0.2,-4.3,-0.1,0.4062,64.0,2026
520,Amari Williams,Boston Celtics,17.0,3.5,0.6,0.438,9.0,0.517,0.2,-2.5,0.0,0.6719,64.0,2026
521,Javonte Cooke,Portland Trail Blazers,19.0,2.6,0.3,0.256,0.0,0.275,-0.4,-11.7,-0.2,0.4769,65.0,2026
522,Jonathan Mogbo,Toronto Raptors,25.0,3.2,0.4,0.5,9.3,0.497,0.2,-4.1,-0.1,0.5714,63.0,2026
523,Isaiah Crawford,Houston Rockets,9.0,2.1,0.5,0.625,9.8,0.625,0.1,0.0,0.0,0.619,63.0,2026
524,Pacôme Dadiet,New York Knicks,21.0,2.3,0.1,0.5,14.3,0.581,0.3,2.9,0.1,0.6308,65.0,2026
525,Norchad Omier,Los Angeles Clippers,2.0,3.0,0.0,0.5,17.1,0.5,0.0,-2.6,0.0,0.4921,63.0,2026
526,Hunter Sallis,Philadelphia 76ers,7.0,1.7,0.1,0.6,2.1,0.595,-0.1,-10.7,-0.1,0.5397,63.0,2026
527,Dario Šarić,Sacramento Kings,5.0,2.6,0.0,0.25,0.7,0.363,-0.1,-9.1,-0.1,0.2308,65.0,2026
528,Stanley Umude,San Antonio Spurs,2.0,1.5,0.5,0.5,11.6,0.5,0.0,0.3,0.0,0.7344,64.0,2026
529,Rocco Zikarsky,Minnesota Timberwolves,2.0,1.5,0.5,1.0,12.9,1.0,0.0,-0.4,0.0,0.625,64.0,2026
530,Johni Broome,Philadelphia 76ers,11.0,2.8,0.5,0.167,0.4,0.188,-0.2,-16.3,-0.2,0.5397,63.0,2026
531,Bismack Biyombo,San Antonio Spurs,19.0,1.9,0.3,0.667,4.7,0.714,0.2,-4.7,-0.1,0.7344,64.0,2026
532,N'Faly Dante,Atlanta Hawks,4.0,2.6,0.5,0.25,12.4,0.338,0.0,-4.8,0.0,0.5156,64.0,2026
533,Trey Jemison,New York Knicks,11.0,2.6,0.3,0.571,6.4,0.605,0.0,-7.4,-0.1,0.6308,65.0,2026
534,Drew Peterson,Charlotte Hornets,6.0,2.6,0.7,0.125,0.6,0.148,-0.1,-9.9,-0.1,0.4923,65.0,2026
535,John Tonje,Boston Celtics,3.0,1.7,0.0,0.0,4.3,0.347,0.0,-13.3,0.0,0.6719,64.0,2026
536,Joe Ingles,Minnesota Timberwolves,20.0,1.7,0.4,0.5,8.1,0.563,0.1,-0.6,0.0,0.625,64.0,2026
537,Garrett Temple,Toronto Raptors,15.0,1.1,0.3,0.188,4.1,0.329,0.0,-6.3,0.0,0.5714,63.0,2026
538,Chris Mañon,Los Angeles Lakers,6.0,1.5,0.8,0.0,9.2,0.347,0.0,-0.6,0.0,0.6094,64.0,2026
539,Jahmyl Telfort,Los Angeles Clippers,8.0,0.6,0.1,0.0,-5.4,0.087,-0.1,-13.8,-0.1,0.4921,63.0,2026
540,Darius Brown II,Cleveland Cavaliers,1.0,1.0,0.0,0.0,-7.7,0.0,0.0,-18.6,0.0,0.6094,64.0,2026
541,Noa Essengue,Chicago Bulls,2.0,0.0,0.5,0.0,-12.1,0.0,-0.1,-23.7,0.0,0.4062,64.0,2026
542,Tosan Evbuomwan,New York Knicks,5.0,0.4,0.0,0.0,-0.3,0.0,0.0,-11.5,0.0,0.6308,65.0,2026
543,Enrique Freeman,Minnesota Timberwolves,2.0,1.5,0.5,,9.1,,0.0,2.4,0.0,0.625,64.0,2026
544,Chucky Hepburn,Toronto Raptors,2.0,1.5,0.5,0.0,-13.5,0.0,-0.1,-24.0,-0.1,0.5714,63.0,2026
545,Trevor Keels,Miami Heat,3.0,0.7,0.0,0.0,-19.8,0.0,-0.1,-38.5,0.0,0.5538,65.0,2026
546,John Poulakidas,Dallas Mavericks,1.0,7.0,0.0,0.0,-0.4,0.0,0.0,-10.9,0.0,0.3281,64.0,2026
547,David Roddy,Denver Nuggets,1.0,1.0,1.0,0.0,-1.6,0.0,0.0,-9.9,0.0,0.6094,64.0,2026
548,Max Shulga,Boston Celtics,2.0,0.0,0.0,0.0,-13.2,0.0,0.0,-26.7,0.0,0.6719,64.0,2026
549,League Average,,,0.0,0.0,0.543,,0.579,,,,,,2026
