,Player,Team,G,Par,Stocks,eFG%,MP,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
1,Larry Bird,Boston Celtics,80.0,45.8,2.8,0.538,3161.0,26.5,0.585,15.7,8.8,8.7,0.7683,82.0,0.978,0.9756,1985
2,Michael Jordan,Chicago Bulls,82.0,40.6,3.2,0.518,3144.0,25.8,0.592,14.0,7.3,7.4,0.4634,82.0,0.172,1.0,1985
3,Purvis Short,Golden State Warriors,78.0,36.1,1.8,0.473,3081.0,18.9,0.533,6.2,0.6,2.0,0.2683,82.0,0.003,0.9512,1985
4,Alex English,Denver Nuggets,81.0,37.8,1.8,0.518,2924.0,21.6,0.561,8.9,2.7,3.5,0.6341,82.0,0.015,0.9878,1985
5,Dominique Wilkins,Atlanta Hawks,81.0,36.8,2.4,0.458,3023.0,20.9,0.514,7.6,2.2,3.2,0.4146,82.0,0.004,0.9878,1985
7,Mark Aguirre,Dallas Mavericks,80.0,34.8,1.1,0.515,2699.0,21.3,0.563,7.2,1.8,2.6,0.5366,82.0,0,0.9756,1985
8,Moses Malone,Philadelphia 76ers,79.0,39.3,2.4,0.469,2957.0,22.5,0.577,11.9,1.6,2.7,0.7073,82.0,0.279,0.9634,1985
9,Terry Cummings,Milwaukee Bucks,79.0,35.6,2.3,0.495,2722.0,22.1,0.536,10.7,4.3,4.3,0.7195,82.0,0.177,0.9634,1985
10,Calvin Natt,Denver Nuggets,78.0,34.2,1.4,0.546,2657.0,21.8,0.604,10.2,3.1,3.4,0.6341,82.0,0.028,0.9512,1985
11,Eddie Johnson,Atlanta Hawks,82.0,31.2,1.3,0.496,3029.0,16.2,0.542,5.3,-0.6,1.1,0.4146,82.0,0,1.0,1985
12,Orlando Woolridge,Chicago Bulls,77.0,30.3,1.3,0.554,2816.0,19.5,0.608,9.0,1.5,2.5,0.4634,82.0,0,0.939,1985
13,Darrell Griffith,Utah Jazz,78.0,30.1,2.1,0.486,2776.0,15.6,0.512,3.5,0.0,1.4,0.5,82.0,0,0.9512,1985
14,World B. Free,Cleveland Cavaliers,71.0,30.0,1.3,0.485,2249.0,19.7,0.529,6.0,3.0,2.8,0.439,82.0,0.003,0.8659,1985
15,Kiki Vandeweghe,Portland Trail Blazers,72.0,27.1,0.8,0.538,2502.0,18.0,0.603,8.4,0.4,1.5,0.5122,82.0,0,0.878,1985
16,Mike Mitchell,San Antonio Spurs,82.0,29.1,1.0,0.499,2853.0,16.5,0.533,6.0,-1.1,0.6,0.5,82.0,0,1.0,1985
17,Ralph Sampson,Houston Rockets,82.0,35.2,3.0,0.502,3086.0,17.4,0.533,6.2,0.4,1.8,0.5854,82.0,0.033,1.0,1985
18,Derek Smith,Los Angeles Clippers,80.0,30.1,1.7,0.538,2762.0,19.1,0.592,8.0,1.4,2.4,0.378,82.0,0,0.9756,1985
19,Kareem Abdul-Jabbar,Los Angeles Lakers,79.0,33.1,2.9,0.599,2630.0,22.9,0.628,11.2,5.1,4.8,0.7561,82.0,0.264,0.9634,1985
20,Sidney Moncrief,Milwaukee Bucks,73.0,32.3,2.1,0.487,2734.0,20.1,0.565,11.2,4.8,4.7,0.7195,82.0,0.083,0.8902,1985
21,Tom Chambers,Seattle SuperSonics,81.0,31.2,1.6,0.485,2923.0,16.5,0.56,5.9,-0.6,1.0,0.378,82.0,0,0.9878,1985
22,George Gervin,San Antonio Spurs,72.0,27.0,1.6,0.508,2091.0,18.5,0.564,4.6,-0.3,0.9,0.5,82.0,0,0.878,1985
23,Isiah Thomas,Detroit Pistons,81.0,39.6,2.6,0.468,3089.0,22.2,0.529,11.2,6.3,6.5,0.561,82.0,0.081,0.9878,1985
25,Hakeem Olajuwon,Houston Rockets,82.0,33.9,3.9,0.538,2914.0,21.1,0.564,10.2,2.1,3.0,0.5854,82.0,0.015,1.0,1985
26,Michael Ray Richardson,New Jersey Nets,82.0,33.9,3.3,0.479,3127.0,19.8,0.513,8.7,4.1,4.8,0.5122,82.0,0.014,1.0,1985
27,Julius Erving,Philadelphia 76ers,78.0,28.3,3.1,0.495,2535.0,20.0,0.546,7.6,3.5,3.5,0.7073,82.0,0.001,0.9512,1985
28,Gus Williams,Washington Bullets,79.0,30.2,2.7,0.447,2960.0,17.3,0.482,5.1,2.1,3.1,0.4878,82.0,0,0.9634,1985
29,Larry Nance,Phoenix Suns,61.0,31.3,3.1,0.588,2202.0,20.6,0.612,7.9,4.4,3.5,0.439,82.0,0,0.7439,1985
30,Kevin McHale,Boston Celtics,79.0,30.6,1.9,0.57,2653.0,20.7,0.617,11.0,2.5,3.0,0.7683,82.0,0,0.9634,1985
31,Rolando Blackman,Dallas Mavericks,81.0,27.0,1.0,0.511,2834.0,17.7,0.566,7.3,0.9,2.0,0.5366,82.0,0,0.9878,1985
32,Sleepy Floyd,Golden State Warriors,82.0,27.0,2.1,0.46,2873.0,15.4,0.514,3.1,-0.4,1.1,0.2683,82.0,0,1.0,1985
33,Artis Gilmore,San Antonio Spurs,81.0,31.1,2.6,0.623,2756.0,20.3,0.68,10.5,2.2,2.9,0.5,82.0,0,0.9878,1985
35,Jeff Malone,Washington Bullets,76.0,24.0,0.8,0.505,2613.0,15.0,0.543,5.7,-0.9,0.7,0.4878,82.0,0,0.9268,1985
37,Clark Kellogg,Indiana Pacers,77.0,31.2,1.4,0.509,2449.0,18.9,0.557,6.1,1.8,2.3,0.2683,82.0,0,0.939,1985
38,Jack Sikma,Seattle SuperSonics,68.0,33.3,2.5,0.49,2402.0,20.4,0.564,8.3,4.4,3.9,0.378,82.0,0.004,0.8293,1985
39,Mychal Thompson,Portland Trail Blazers,79.0,28.8,2.3,0.515,2616.0,17.5,0.554,6.1,0.7,1.8,0.5122,82.0,0,0.9634,1985
40,Magic Johnson,Los Angeles Lakers,77.0,37.1,1.8,0.565,2781.0,23.2,0.637,12.7,6.7,6.1,0.7561,82.0,0.338,0.939,1985
41,Herb Williams,Indiana Pacers,75.0,30.2,2.5,0.475,2557.0,15.5,0.505,2.2,0.0,1.3,0.2683,82.0,0,0.9146,1985
42,Jay Vincent,Dallas Mavericks,79.0,29.2,0.9,0.479,2543.0,18.0,0.545,6.5,-0.2,1.1,0.5366,82.0,0,0.9634,1985
43,Buck Williams,New Jersey Nets,82.0,32.5,2.1,0.53,3182.0,16.7,0.562,7.7,-0.3,1.4,0.5122,82.0,0,1.0,1985
44,Jim Paxson,Portland Trail Blazers,68.0,25.1,1.6,0.517,2253.0,17.3,0.555,6.5,1.5,2.0,0.5122,82.0,0,0.8293,1985
45,Andrew Toney,Philadelphia 76ers,70.0,25.5,1.2,0.514,2237.0,16.2,0.582,5.5,0.4,1.4,0.7073,82.0,0.006,0.8537,1985
46,Robert Parish,Boston Celtics,79.0,29.8,2.0,0.542,2850.0,17.6,0.586,9.0,0.8,2.0,0.7683,82.0,0,0.9634,1985
47,James Worthy,Los Angeles Lakers,80.0,26.5,1.9,0.572,2696.0,17.0,0.601,7.5,1.6,2.5,0.7561,82.0,0,0.9756,1985
48,Bill Laimbeer,Detroit Pistons,82.0,31.8,1.7,0.507,2892.0,18.0,0.548,9.8,1.3,2.4,0.561,82.0,0,1.0,1985
