,Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
0,1.0,Buck Williams,24.0,NJN,PF,82.0,82.0,3182.0,16.7,0.562,0.004,0.494,11.0,24.8,17.7,7.1,0.9,2.0,15.2,19.8,3.7,4.0,7.7,0.116,0.4,-0.6,-0.3,1.4,
1,2.0,Larry Bird,28.0,BOS,SF,80.0,77.0,3161.0,26.5,0.585,0.074,0.26,6.0,22.6,14.7,25.7,1.9,1.7,11.2,28.5,10.5,5.2,15.7,0.238,6.8,2.0,8.8,8.7,"MVP-1,AS,NBA1"
2,3.0,Michael Jordan,21.0,CHI,SG,82.0,82.0,3144.0,25.8,0.592,0.032,0.459,6.3,13.2,9.8,25.3,3.0,1.3,13.0,29.8,10.3,3.7,14.0,0.213,5.8,1.5,7.3,7.4,"MVP-6,ROY-1,AS,NBA2"
3,4.0,Michael Ray Richardson,29.0,NJN,PG,82.0,82.0,3127.0,19.8,0.513,0.078,0.213,5.4,11.2,8.2,30.5,3.7,0.4,13.4,24.0,4.5,4.2,8.7,0.134,2.5,1.6,4.1,4.8,"MVP-14,DPOY-7,AS"
4,5.0,Isiah Thomas,23.0,DET,PG,81.0,81.0,3089.0,22.2,0.529,0.08,0.35,3.7,8.7,6.1,47.9,2.8,0.4,15.7,24.0,7.5,3.6,11.2,0.173,5.1,1.2,6.3,6.5,"MVP-9,AS,NBA1"
5,6.0,Ralph Sampson,24.0,HOU,PF,82.0,82.0,3086.0,17.4,0.533,0.004,0.299,8.2,22.6,15.4,10.4,1.2,3.1,16.1,25.9,1.4,4.8,6.2,0.096,-0.3,0.7,0.4,1.8,"MVP-10,AS,NBA2"
6,7.0,Purvis Short,27.0,GSW,SF,78.0,77.0,3081.0,18.9,0.533,0.084,0.344,5.3,9.6,7.2,12.3,1.8,0.5,10.5,29.1,5.4,0.8,6.2,0.097,2.5,-1.9,0.6,2.0,MVP-20
7,8.0,Eddie Johnson,25.0,KCK,SF,82.0,81.0,3029.0,16.2,0.542,0.035,0.238,5.7,9.6,7.7,13.4,1.3,0.4,11.5,25.5,4.4,0.9,5.3,0.083,1.3,-1.8,-0.6,1.1,
8,9.0,Dominique Wilkins,25.0,ATL,SF,81.0,81.0,3023.0,20.9,0.514,0.043,0.319,8.3,11.8,10.1,11.3,2.1,1.0,9.4,32.5,4.1,3.5,7.6,0.121,3.1,-0.9,2.2,3.2,MVP-17
9,10.0,Rodney McCray,23.0,HOU,SF,82.0,82.0,3001.0,15.5,0.576,0.007,0.352,7.5,12.6,10.0,15.0,1.4,1.4,14.8,15.9,5.3,3.3,8.5,0.137,1.7,1.0,2.7,3.6,
