,Player,Team,G,Par,Stocks,eFG%,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
154,Steven Adams,Oklahoma City Thunder,63.0,22.5,1.9,0.593,20.5,0.604,6.5,2.9,2.1,0.6111,72.0,0,0.875,2020
155,Dejounte Murray,San Antonio Spurs,66.0,20.8,2.0,0.494,16.2,0.524,2.6,0.4,1.0,0.4507,71.0,0,0.9296,2020
157,Ish Smith,Washington Wizards,68.0,19.0,1.3,0.492,13.9,0.509,1.9,-1.3,0.3,0.3472,72.0,0,0.9444,2020
158,Rudy Gay,San Antonio Spurs,67.0,17.9,1.0,0.508,15.4,0.553,2.1,-0.8,0.4,0.4507,71.0,0,0.9437,2020
159,Dario Šarić,Phoenix Suns,66.0,18.8,0.8,0.554,14.2,0.592,3.6,-0.4,0.7,0.4658,73.0,0,0.9041,2020
160,OG Anunoby,Toronto Raptors,69.0,17.5,2.1,0.584,13.2,0.6,5.7,1.2,1.7,0.7361,72.0,0,0.9583,2020
161,Jae Crowder,Miami Heat,65.0,18.9,1.5,0.521,12.5,0.553,3.8,-0.1,0.9,0.6027,73.0,0,0.8904,2020
163,Danuel House Jr.,Houston Rockets,63.0,16.0,1.6,0.546,11.3,0.572,3.6,-0.7,0.6,0.6111,72.0,0,0.875,2020
164,Cam Reddish,Atlanta Hawks,58.0,15.7,1.6,0.459,9.0,0.5,-0.4,-4.2,-0.9,0.2985,67.0,0,0.8657,2020
165,Troy Brown Jr.,Washington Wizards,69.0,18.6,1.3,0.488,13.7,0.524,2.4,-1.2,0.3,0.3472,72.0,0,0.9583,2020
168,Langston Galloway,Detroit Pistons,66.0,14.1,0.9,0.557,12.3,0.584,3.1,-0.8,0.5,0.303,66.0,0,1.0,2020
169,Doug McDermott,Indiana Pacers,69.0,13.9,0.3,0.605,14.4,0.62,3.3,0.0,0.7,0.6164,73.0,0,0.9452,2020
170,Malik Monk,Charlotte Hornets,55.0,15.3,0.8,0.494,12.6,0.53,0.7,-2.3,-0.1,0.3538,65.0,0,0.8462,2020
171,Garrett Temple,Brooklyn Nets,62.0,16.3,1.3,0.486,10.5,0.513,2.4,-1.1,0.4,0.4861,72.0,0,0.8611,2020
172,Thaddeus Young,Chicago Bulls,64.0,17.0,1.8,0.513,13.3,0.521,1.9,-1.2,0.3,0.3385,65.0,0,0.9846,2020
173,Josh Hart,New Orleans Pelicans,65.0,18.3,1.4,0.537,11.9,0.563,3.1,-0.7,0.6,0.4167,72.0,0,0.9028,2020
174,Ben McLemore,Houston Rockets,71.0,13.1,0.8,0.61,11.8,0.622,3.3,-0.5,0.6,0.6111,72.0,0,0.9861,2020
175,Larry Nance Jr.,Cleveland Cavaliers,56.0,19.6,1.4,0.596,17.3,0.608,3.9,1.7,1.4,0.2923,65.0,0,0.8615,2020
176,Bobby Portis,New York Knicks,66.0,16.7,0.8,0.507,14.6,0.53,1.9,-1.1,0.3,0.3182,66.0,0,1.0,2020
179,Tomáš Satoranský,Chicago Bulls,65.0,19.2,1.3,0.488,13.5,0.533,3.5,-1.2,0.4,0.3385,65.0,0,1.0,2020
180,Joe Ingles,Utah Jazz,72.0,18.9,1.1,0.572,12.6,0.595,4.8,0.7,1.5,0.6111,72.0,0,1.0,2020
181,Furkan Korkmaz,Philadelphia 76ers,72.0,13.2,0.8,0.557,12.0,0.579,2.8,-1.3,0.3,0.589,73.0,0,0.9863,2020
182,Markieff Morris,Los Angeles Lakers,58.0,14.8,0.8,0.539,12.5,0.565,1.4,-2.0,0.0,0.7324,71.0,0,0.8169,2020
184,Mitchell Robinson,New York Knicks,61.0,17.3,2.9,0.742,23.5,0.726,6.8,2.9,1.8,0.3182,66.0,0,0.9242,2020
185,Dorian Finney-Smith,Dallas Mavericks,71.0,16.8,1.1,0.575,12.3,0.595,4.9,-0.2,0.9,0.5733,75.0,0,0.9467,2020
186,Aaron Holiday,Indiana Pacers,66.0,15.3,1.0,0.491,11.6,0.521,2.1,-1.6,0.2,0.6164,73.0,0,0.9041,2020
188,George Hill,Milwaukee Bucks,59.0,15.5,0.9,0.624,16.9,0.659,5.5,2.9,1.6,0.7671,73.0,0,0.8082,2020
191,Kentavious Caldwell-Pope,Los Angeles Lakers,69.0,13.0,1.0,0.558,11.0,0.584,3.7,-0.8,0.5,0.7324,71.0,0,0.9718,2020
192,Marquese Chriss,Golden State Warriors,59.0,17.4,1.8,0.556,19.5,0.604,3.4,0.6,0.8,0.2308,65.0,0,0.9077,2020
195,Jarrett Culver,Minnesota Timberwolves,63.0,14.3,1.5,0.462,9.6,0.467,-0.1,-4.0,-0.8,0.2969,64.0,0,0.9844,2020
196,Donte DiVincenzo,Milwaukee Bucks,66.0,16.3,1.6,0.536,14.1,0.557,4.3,1.3,1.3,0.7671,73.0,0,0.9041,2020
197,Daniel Theis,Boston Celtics,65.0,17.5,1.9,0.603,17.9,0.631,6.5,2.4,1.7,0.6667,72.0,0,0.9028,2020
198,Mikal Bridges,Phoenix Suns,73.0,14.9,2.0,0.583,12.9,0.62,4.8,0.8,1.5,0.4658,73.0,0,1.0,2020
200,Maxi Kleber,Dallas Mavericks,74.0,15.5,1.4,0.577,13.6,0.605,4.8,0.4,1.1,0.5733,75.0,0,0.9867,2020
204,Monte Morris,Denver Nuggets,73.0,14.4,1.0,0.517,14.9,0.545,3.8,-0.2,0.7,0.6301,73.0,0,1.0,2020
205,Svi Mykhailiuk,Detroit Pistons,56.0,12.8,0.8,0.552,11.2,0.578,1.6,-1.9,0.0,0.303,66.0,0,0.8485,2020
207,Bruce Brown,Detroit Pistons,58.0,17.6,1.6,0.48,11.9,0.518,2.1,-1.2,0.3,0.303,66.0,0,0.8788,2020
208,Gary Trent Jr.,Portland Trail Blazers,61.0,11.5,1.1,0.571,12.9,0.587,2.5,-0.3,0.6,0.473,74.0,0,0.8243,2020
209,Kent Bazemore,Sacramento Kings,68.0,14.5,1.7,0.453,9.3,0.499,0.6,-3.0,-0.5,0.4306,72.0,0,0.9444,2020
211,Jordan Poole,Golden State Warriors,57.0,13.3,0.8,0.406,7.2,0.454,-1.2,-6.6,-1.5,0.2308,65.0,0,0.8769,2020
212,Austin Rivers,Houston Rockets,68.0,13.1,0.8,0.517,10.4,0.542,2.4,-2.5,-0.2,0.6111,72.0,0,0.9444,2020
216,Josh Okogie,Minnesota Timberwolves,62.0,14.5,1.5,0.479,11.5,0.553,2.2,-2.4,-0.2,0.2969,64.0,0,0.9688,2020
217,Derrick Jones Jr.,Miami Heat,59.0,13.5,1.6,0.58,14.9,0.62,4.4,0.7,1.0,0.6027,73.0,0,0.8082,2020
219,Justin Holiday,Indiana Pacers,73.0,12.9,1.8,0.566,12.1,0.585,4.2,1.3,1.5,0.6164,73.0,0,1.0,2020
223,Anfernee Simons,Portland Trail Blazers,70.0,11.9,0.5,0.469,9.0,0.502,0.2,-4.5,-0.9,0.473,74.0,0,0.9459,2020
224,Ivica Zubac,Los Angeles Clippers,72.0,16.9,1.1,0.613,21.7,0.651,6.6,2.8,1.6,0.6806,72.0,0,1.0,2020
226,Kelly Olynyk,Miami Heat,67.0,14.5,1.0,0.582,14.6,0.621,3.7,1.0,1.0,0.6027,73.0,0,0.9178,2020
228,Enes Freedom,Boston Celtics,58.0,16.5,1.1,0.573,22.4,0.599,4.4,1.5,0.9,0.6667,72.0,0,0.8056,2020
232,Danny Green,Los Angeles Lakers,68.0,12.6,1.8,0.542,10.8,0.552,3.4,0.5,1.1,0.7324,71.0,0,0.9577,2020
234,Tony Snell,Detroit Pistons,59.0,12.1,0.8,0.579,9.7,0.598,2.6,-1.8,0.1,0.303,66.0,0,0.8939,2020
241,De'Anthony Melton,Memphis Grizzlies,60.0,14.2,1.6,0.451,13.5,0.501,1.7,-0.2,0.5,0.4658,73.0,0,0.8219,2020
243,Terence Davis,Toronto Raptors,72.0,12.4,0.7,0.564,13.8,0.588,3.1,0.8,0.8,0.7361,72.0,0,1.0,2020
245,Dwight Howard,Los Angeles Lakers,69.0,15.5,1.5,0.735,18.7,0.696,5.4,0.2,0.7,0.7324,71.0,0,0.9718,2020
247,Bismack Biyombo,Charlotte Hornets,53.0,14.1,1.1,0.543,16.1,0.57,2.4,-2.5,-0.1,0.3538,65.0,0,0.8154,2020
249,Gorgui Dieng,Memphis Grizzlies,63.0,14.2,1.7,0.53,17.1,0.568,2.9,1.5,1.0,0.4658,73.0,0,0.863,2020
250,Jaxson Hayes,New Orleans Pelicans,64.0,12.3,1.3,0.674,17.6,0.689,3.9,-0.3,0.5,0.4167,72.0,0,0.8889,2020
251,Tyus Jones,Memphis Grizzlies,65.0,13.4,1.0,0.514,15.7,0.532,3.0,0.6,0.8,0.4658,73.0,0,0.8904,2020
253,Wesley Matthews,Milwaukee Bucks,67.0,11.3,0.7,0.524,8.1,0.547,3.2,-1.8,0.1,0.7671,73.0,0,0.9178,2020
254,Nerlens Noel,Oklahoma City Thunder,61.0,13.2,2.5,0.686,20.4,0.711,4.9,3.1,1.5,0.6111,72.0,0,0.8472,2020
260,Mason Plumlee,Denver Nuggets,61.0,14.9,1.1,0.615,18.8,0.613,3.4,2.0,1.1,0.6301,73.0,0,0.8356,2020
265,Rondae Hollis-Jefferson,Toronto Raptors,60.0,13.5,1.2,0.476,15.1,0.533,3.4,0.3,0.6,0.7361,72.0,0,0.8333,2020
269,P.J. Tucker,Houston Rockets,72.0,15.1,1.6,0.541,8.3,0.559,4.0,-1.9,0.1,0.6111,72.0,0,1.0,2020
270,Brad Wanamaker,Boston Celtics,71.0,11.4,1.1,0.499,12.8,0.577,3.5,-0.6,0.5,0.6667,72.0,0,0.9861,2020
271,Delon Wright,Dallas Mavericks,73.0,14.0,1.5,0.519,15.4,0.554,4.4,1.9,1.5,0.5733,75.0,0,0.9733,2020
273,JaMychal Green,Los Angeles Clippers,63.0,13.8,0.9,0.56,11.1,0.576,3.1,-0.5,0.5,0.6806,72.0,0,0.875,2020
277,Kyle Korver,Milwaukee Bucks,58.0,10.0,0.6,0.599,11.3,0.62,2.5,0.1,0.5,0.7671,73.0,0,0.7945,2020
278,James Ennis III,Orlando Magic,69.0,11.1,0.8,0.522,11.5,0.565,2.4,-2.6,-0.2,0.4521,73.0,0,0.9452,2020
279,Chris Boucher,Toronto Raptors,62.0,11.5,1.4,0.535,20.7,0.587,3.8,2.0,0.8,0.7361,72.0,0,0.8611,2020
280,Ersan İlyasova,Milwaukee Bucks,63.0,12.2,0.7,0.546,14.9,0.589,3.6,0.4,0.6,0.7671,73.0,0,0.863,2020
282,JaVale McGee,Los Angeles Lakers,68.0,12.8,1.9,0.642,19.4,0.652,4.7,1.5,1.0,0.7324,71.0,0,0.9577,2020
