,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
0,1.0,Philadelphia 76ers*,26.7,65.0,17.0,60,22,7.67,-0.14,7.53,108.3,100.9,7.4,102.7,0.367,0.015,0.549,,0.501,16.3,37.1,0.273,,0.464,15.8,66.2,0.217,,The Spectrum,612203,15351.0
1,2.0,Los Angeles Lakers*,26.9,58.0,24.0,55,27,5.55,-0.49,5.06,110.5,105.2,5.3,103.8,0.27,0.013,0.561,,0.528,15.9,36.3,0.199,,0.494,15.5,65.3,0.191,,The Forum,598739,14603.0
2,3.0,Boston Celtics*,27.3,56.0,26.0,55,27,5.35,-0.01,5.34,106.9,101.8,5.1,104.0,0.311,0.025,0.536,,0.494,15.2,34.7,0.229,,0.473,16.0,68.1,0.236,,Boston Garden,621829,15320.0
3,4.0,Phoenix Suns*,26.6,53.0,29.0,54,28,5.06,-0.45,4.61,105.1,100.1,5.0,101.6,0.306,0.022,0.54,,0.499,16.0,32.0,0.227,,0.458,15.9,67.5,0.235,,Arizona Veterans Memorial Coliseum,465603,11356.0
4,5.0,Milwaukee Bucks*,28.1,51.0,31.0,53,29,4.4,-0.08,4.32,105.8,101.4,4.4,100.0,0.322,0.024,0.537,,0.491,15.1,31.8,0.243,,0.459,15.5,65.5,0.228,,MECCA Arena,425572,10380.0
5,6.0,San Antonio Spurs*,27.2,53.0,29.0,50,32,3.66,-0.56,3.1,110.1,106.6,3.5,103.3,0.336,0.042,0.556,,0.51,15.1,35.3,0.257,,0.489,14.4,69.1,0.228,,HemisFair Arena,379876,9265.0
6,7.0,Seattle SuperSonics*,27.4,48.0,34.0,49,33,3.21,-0.33,2.88,105.9,102.8,3.1,103.2,0.338,0.019,0.539,,0.496,15.5,32.5,0.247,,0.464,14.3,66.2,0.21,,,539622,
7,8.0,New Jersey Nets*,25.2,49.0,33.0,49,33,2.77,0.01,2.77,101.6,98.9,2.7,104.0,0.322,0.021,0.532,,0.494,18.7,36.8,0.227,,0.481,18.9,68.8,0.251,,Brendan Byrne Arena,530801,12946.0
8,9.0,New York Knicks*,26.5,44.0,38.0,48,34,2.45,0.13,2.58,102.4,99.9,2.5,97.0,0.336,0.019,0.526,,0.484,16.2,31.6,0.239,,0.478,18.1,67.8,0.257,,Madison Square Garden (IV),438823,10703.0
9,10.0,Portland Trail Blazers*,25.5,46.0,36.0,47,35,2.13,-0.25,1.88,106.0,103.9,2.1,101.0,0.353,0.021,0.535,,0.488,15.4,33.3,0.26,,0.49,16.0,67.9,0.218,,Memorial Coliseum,483974,11786.0
10,11.0,Kansas City Kings,24.5,45.0,37.0,45,37,1.45,-0.41,1.04,106.2,104.9,1.3,106.6,0.338,0.029,0.542,,0.5,16.4,34.3,0.246,,0.49,16.8,65.8,0.291,,Kemper Arena,309597,7772.0
11,12.0,Denver Nuggets*,27.2,45.0,37.0,42,40,0.62,-0.36,0.27,109.7,109.1,0.6,112.1,0.337,0.016,0.55,,0.495,14.0,31.0,0.272,,0.509,15.1,64.8,0.22,,McNichols Sports Arena,491253,11982.0
12,13.0,Washington Bullets,25.8,42.0,40.0,41,41,-0.13,0.33,0.2,99.1,99.3,-0.2,99.4,0.292,0.034,0.511,,0.473,16.6,30.4,0.206,,0.471,16.2,68.6,0.214,,Capital Centre,368281,8983.0
13,14.0,Detroit Pistons,24.6,37.0,45.0,40,42,-0.4,0.24,-0.17,105.4,105.8,-0.4,105.8,0.34,0.036,0.529,,0.481,15.1,33.6,0.253,,0.496,15.4,66.2,0.214,,Pontiac Silverdome,482571,11770.0
14,15.0,Dallas Mavericks,24.2,38.0,44.0,40,42,-0.41,-0.29,-0.7,109.4,109.8,-0.4,102.8,0.326,0.025,0.535,,0.489,13.5,34.8,0.245,,0.506,14.0,66.2,0.228,,Reunion Arena,487155,11882.0
