,Player,Team,G,Par,Stocks,eFG%,MP,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
1,Shaquille O'Neal,Los Angeles Lakers,67.0,40.9,2.6,0.579,2422.0,29.7,0.59,13.2,8.0,6.1,0.7073,82.0,0.552,0.8171,2002
2,Paul Pierce,Boston Celtics,82.0,36.2,2.9,0.508,3302.0,22.3,0.57,12.9,5.9,6.6,0.5976,82.0,0.017,1.0,2002
3,Tracy McGrady,Orlando Magic,76.0,38.8,2.6,0.483,2912.0,25.1,0.532,11.5,6.8,6.4,0.5366,82.0,0.31,0.9268,2002
4,Tim Duncan,San Antonio Spurs,82.0,41.9,3.2,0.508,3329.0,27.0,0.576,17.8,7.6,8.0,0.7073,82.0,0.757,1.0,2002
5,Kobe Bryant,Los Angeles Lakers,80.0,36.2,1.9,0.479,3063.0,23.2,0.544,12.7,4.6,5.2,0.7073,82.0,0.078,0.9756,2002
8,Dirk Nowitzki,Dallas Mavericks,76.0,35.7,2.1,0.532,2891.0,24.1,0.599,13.4,5.5,5.5,0.6951,82.0,0.025,0.9268,2002
10,Karl Malone,Utah Jazz,80.0,35.3,2.6,0.457,3040.0,21.1,0.532,9.8,3.7,4.4,0.5366,82.0,0,0.9756,2002
11,Gary Payton,Seattle SuperSonics,82.0,35.9,1.9,0.49,3301.0,22.9,0.526,12.6,5.1,5.9,0.5488,82.0,0.043,1.0,2002
12,Antoine Walker,Boston Celtics,81.0,35.9,2.0,0.46,3406.0,17.1,0.49,6.7,2.2,3.6,0.5976,82.0,0,0.9878,2002
13,Ray Allen,Milwaukee Bucks,69.0,30.2,1.6,0.561,2525.0,21.6,0.598,8.9,4.9,4.4,0.5,82.0,0,0.8415,2002
14,Cuttino Mobley,Houston Rockets,74.0,28.3,2.0,0.493,3116.0,16.7,0.537,5.7,0.3,1.8,0.3415,82.0,0,0.9024,2002
17,Jerry Stackhouse,Detroit Pistons,76.0,30.8,1.5,0.43,2685.0,19.0,0.518,5.8,1.5,2.4,0.6098,82.0,0.002,0.9268,2002
18,Shareef Abdur-Rahim,Atlanta Hawks,77.0,33.3,2.4,0.469,2980.0,19.8,0.536,7.2,1.7,2.8,0.4024,82.0,0,0.939,2002
19,Kevin Garnett,Minnesota Timberwolves,81.0,38.5,2.8,0.484,3175.0,23.8,0.536,12.8,6.8,7.1,0.6098,82.0,0.013,0.9878,2002
20,Peja Stojaković,Sacramento Kings,71.0,29.0,1.3,0.541,2649.0,19.3,0.592,9.9,3.0,3.3,0.7439,82.0,0.001,0.8659,2002
21,Glenn Robinson,Milwaukee Bucks,66.0,29.4,2.1,0.493,2346.0,19.1,0.537,4.7,0.3,1.4,0.5,82.0,0,0.8049,2002
22,Michael Finley,Dallas Mavericks,69.0,29.1,1.3,0.494,2754.0,17.6,0.532,6.3,1.1,2.1,0.6951,82.0,0,0.8415,2002
23,Jalen Rose,Chicago Bulls,83.0,29.2,1.4,0.485,3153.0,16.8,0.528,5.7,0.3,1.9,0.2561,82.0,0,1.0122,2002
24,Allan Houston,New York Knicks,77.0,26.2,0.8,0.489,2914.0,15.2,0.54,4.7,-0.1,1.4,0.3659,82.0,0,0.939,2002
25,Stephon Marbury,Phoenix Suns,82.0,31.7,1.1,0.467,3187.0,18.1,0.519,7.1,1.2,2.6,0.439,82.0,0,1.0,2002
26,Richard Hamilton,Washington Wizards,63.0,26.1,0.8,0.443,2203.0,16.9,0.511,4.0,-0.9,0.6,0.4512,82.0,0,0.7683,2002
27,Sam Cassell,Milwaukee Bucks,74.0,30.6,1.4,0.492,2605.0,21.3,0.545,8.6,2.4,2.9,0.5,82.0,0,0.9024,2002
28,Antawn Jamison,Golden State Warriors,82.0,28.5,1.4,0.471,3033.0,17.1,0.516,6.4,0.2,1.7,0.2561,82.0,0,1.0,2002
29,Latrell Sprewell,New York Knicks,81.0,27.0,1.4,0.455,3326.0,13.7,0.501,2.8,-0.8,0.9,0.3659,82.0,0,0.9878,2002
30,Jason Terry,Atlanta Hawks,78.0,28.5,2.0,0.5,2967.0,19.2,0.549,8.6,3.2,3.9,0.4024,82.0,0,0.9512,2002
31,Rasheed Wallace,Portland Trail Blazers,79.0,29.4,2.6,0.513,2963.0,19.3,0.54,9.7,3.0,3.7,0.5976,82.0,0,0.9634,2002
32,Shawn Marion,Phoenix Suns,81.0,31.0,2.9,0.486,3109.0,19.8,0.518,9.8,3.1,4.0,0.439,82.0,0,0.9878,2002
33,Jermaine O'Neal,Indiana Pacers,72.0,31.1,2.9,0.48,2707.0,18.1,0.521,6.4,0.2,1.5,0.5122,82.0,0,0.878,2002
34,Wally Szczerbiak,Minnesota Timberwolves,82.0,26.6,1.1,0.544,3117.0,17.1,0.58,8.7,1.4,2.7,0.6098,82.0,0,1.0,2002
35,Nick Van Exel,Dallas Mavericks,72.0,28.5,0.8,0.457,2496.0,17.8,0.495,4.4,1.7,2.4,0.6951,82.0,0,0.878,2002
36,Eddie Jones,Miami Heat,81.0,26.2,2.4,0.494,3156.0,17.5,0.546,10.5,3.9,4.6,0.439,82.0,0,0.9878,2002
37,Elton Brand,Los Angeles Clippers,80.0,32.2,3.0,0.527,3020.0,23.6,0.586,13.6,4.3,4.8,0.4756,82.0,0.001,0.9756,2002
39,Steve Nash,Dallas Mavericks,82.0,28.7,0.6,0.554,2837.0,20.7,0.602,9.9,3.1,3.6,0.6951,82.0,0.004,1.0,2002
40,Pau Gasol,Memphis Grizzlies,82.0,29.2,2.6,0.518,3007.0,19.5,0.566,7.6,1.7,2.8,0.2805,82.0,0,1.0,2002
41,Bonzi Wells,Portland Trail Blazers,74.0,25.8,1.8,0.5,2348.0,18.4,0.538,6.0,1.9,2.3,0.5976,82.0,0,0.9024,2002
43,Rashard Lewis,Seattle SuperSonics,71.0,25.5,2.1,0.531,2585.0,18.5,0.564,8.6,3.0,3.2,0.5488,82.0,0,0.8659,2002
44,Lamond Murray,Cleveland Cavaliers,71.0,24.0,1.6,0.487,2312.0,16.7,0.534,4.1,0.5,1.5,0.3537,82.0,0,0.8659,2002
45,Andre Miller,Cleveland Cavaliers,81.0,32.1,2.0,0.464,3023.0,21.8,0.538,10.3,3.9,4.5,0.3537,82.0,0,0.9878,2002
46,Reggie Miller,Indiana Pacers,79.0,22.5,1.2,0.552,2889.0,16.5,0.617,9.5,2.5,3.3,0.5122,82.0,0,0.9634,2002
47,Alonzo Mourning,Miami Heat,75.0,25.3,2.9,0.517,2455.0,18.9,0.558,7.4,1.3,2.0,0.439,82.0,0,0.9146,2002
48,Mike Miller,Orlando Magic,63.0,22.6,1.1,0.51,2123.0,15.0,0.542,4.5,0.3,1.2,0.5366,82.0,0,0.7683,2002
50,Wesley Person,Cleveland Cavaliers,78.0,21.1,1.5,0.57,2793.0,16.3,0.589,6.9,1.8,2.7,0.3537,82.0,0,0.9512,2002
51,Kenyon Martin,New Jersey Nets,73.0,22.8,2.9,0.47,2504.0,14.5,0.503,4.9,0.4,1.5,0.6341,82.0,0,0.8902,2002
53,Keith Van Horn,New Jersey Nets,81.0,24.3,1.3,0.479,2465.0,16.0,0.51,6.3,0.8,1.8,0.6341,82.0,0,0.9878,2002
54,Jason Williams,Memphis Grizzlies,65.0,25.8,1.8,0.446,2236.0,15.1,0.466,0.9,-0.1,1.1,0.2805,82.0,0,0.7927,2002
55,Jason Kidd,New Jersey Nets,82.0,31.9,2.3,0.442,3056.0,19.1,0.484,8.9,4.5,5.0,0.6341,82.0,0.712,1.0,2002
56,Juwan Howard,Denver Nuggets,81.0,24.3,1.2,0.46,2635.0,15.8,0.513,4.9,-1.3,0.5,0.3293,82.0,0,0.9878,2002
57,Jeff McInnis,Los Angeles Clippers,81.0,23.4,0.9,0.446,3030.0,13.8,0.486,5.1,-1.6,0.3,0.4756,82.0,0,0.9878,2002
58,Clifford Robinson,Detroit Pistons,80.0,21.9,2.3,0.478,2855.0,13.5,0.503,4.3,-0.5,1.1,0.6098,82.0,0,0.9756,2002
59,Antonio Davis,Toronto Raptors,77.0,26.1,1.8,0.426,2978.0,14.8,0.497,6.5,-0.9,0.8,0.5122,82.0,0,0.939,2002
60,Brent Barry,Seattle SuperSonics,81.0,25.1,2.3,0.611,3040.0,19.3,0.652,12.1,5.5,5.8,0.5488,82.0,0,0.9878,2002
61,Shane Battier,Memphis Grizzlies,78.0,22.6,2.6,0.482,3097.0,13.9,0.518,4.8,0.5,1.9,0.2805,82.0,0,0.9512,2002
62,Jason Richardson,Golden State Warriors,80.0,21.7,1.7,0.463,2629.0,13.8,0.487,2.9,-0.9,0.7,0.2561,82.0,0,0.9756,2002
