,Player,Team,G,Par,Stocks,eFG%,MP,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
54,Rony Seikaly,Miami Heat,74.0,28.1,2.8,0.502,2409.0,15.9,0.53,3.2,-1.7,0.2,0.2195,82.0,0,0.9024,1990
55,Scottie Pippen,Chicago Bulls,82.0,28.6,3.8,0.501,3148.0,16.3,0.528,5.7,1.8,3.0,0.6707,82.0,0,1.0,1990
56,Danny Manning,Los Angeles Clippers,71.0,24.8,1.8,0.533,2269.0,16.3,0.584,5.3,0.4,1.4,0.3659,82.0,0,0.8659,1990
57,Larry Nance,Cleveland Cavaliers,62.0,27.2,2.9,0.511,2065.0,19.1,0.554,6.5,2.7,2.4,0.5122,82.0,0,0.7561,1990
58,Kevin Duckworth,Portland Trail Blazers,82.0,23.5,0.8,0.478,2462.0,13.3,0.517,4.8,-2.3,-0.2,0.7195,82.0,0,1.0,1990
59,Detlef Schrempf,Indiana Pacers,78.0,27.3,1.0,0.526,2573.0,17.6,0.611,8.1,1.4,2.2,0.5122,82.0,0,0.9512,1990
60,Ken Norman,Los Angeles Clippers,70.0,25.1,1.9,0.514,2334.0,14.6,0.534,2.9,-0.9,0.6,0.3659,82.0,0,0.8537,1990
61,Terry Teagle,Golden State Warriors,82.0,22.5,1.3,0.481,2376.0,14.8,0.529,2.7,-2.4,-0.3,0.4512,82.0,0,1.0,1990
63,Jerome Kersey,Portland Trail Blazers,82.0,26.7,2.3,0.48,2843.0,15.7,0.521,8.8,1.8,2.7,0.7195,82.0,0,1.0,1990
64,Sam Perkins,Dallas Mavericks,76.0,25.7,2.0,0.496,2668.0,17.3,0.564,8.1,1.7,2.5,0.5732,82.0,0,0.9268,1990
65,Dennis Hopson,New Jersey Nets,79.0,21.2,1.9,0.448,2551.0,13.6,0.503,3.1,-1.0,0.6,0.2073,82.0,0,0.9634,1990
66,Willie Anderson,San Antonio Spurs,82.0,24.6,2.1,0.495,2788.0,15.2,0.532,6.5,1.3,2.4,0.6829,82.0,0,1.0,1990
67,Derrick McKey,Seattle SuperSonics,80.0,24.1,2.1,0.495,2748.0,15.6,0.557,6.3,1.1,2.2,0.5,82.0,0,0.9756,1990
68,Robert Parish,Boston Celtics,79.0,27.1,1.4,0.58,2396.0,19.2,0.616,7.8,1.1,1.9,0.6341,82.0,0,0.9634,1990
