,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Detroit Pistons*,82,241.5,37.1,83.0,0.447,2.3,6.8,0.333,34.8,76.2,0.457,21.8,28.6,0.762,12.7,27.8,40.5,21.5,7.4,3.7,15.2,25.3,98.3
1,2.0,Minnesota Timberwolves,82,242.1,37.6,77.9,0.482,1.6,4.8,0.33,36.0,73.2,0.492,22.7,29.5,0.768,12.8,28.3,41.1,22.9,7.0,6.0,16.7,21.3,99.4
2,3.0,Utah Jazz*,82,241.8,38.6,84.7,0.455,2.1,6.9,0.309,36.5,77.9,0.468,22.7,29.9,0.761,13.4,27.0,40.4,23.0,9.0,5.5,15.1,23.3,102.0
3,4.0,Dallas Mavericks*,82,242.1,40.1,85.5,0.469,2.1,7.2,0.298,38.0,78.4,0.484,19.8,26.4,0.753,13.9,29.2,43.2,23.9,7.9,4.7,15.1,22.3,102.2
4,5.0,San Antonio Spurs*,82,240.6,39.9,86.5,0.461,2.8,7.6,0.37,37.0,78.9,0.47,20.3,26.5,0.767,13.7,27.3,41.0,24.0,9.3,5.1,17.3,23.4,102.8
5,6.0,Cleveland Cavaliers*,82,242.4,41.7,87.0,0.479,1.9,6.1,0.312,39.8,80.9,0.492,17.6,23.1,0.761,13.8,29.9,43.7,26.1,8.3,4.6,15.8,23.1,102.9
6,7.0,Los Angeles Lakers*,82,242.1,41.2,88.4,0.467,2.1,6.3,0.337,39.1,82.0,0.477,19.3,25.7,0.75,13.8,27.4,41.1,24.5,8.2,5.2,14.6,23.3,103.9
7,8.0,Philadelphia 76ers*,82,241.5,41.7,86.8,0.48,2.6,7.0,0.37,39.1,79.8,0.49,19.3,25.0,0.771,13.6,28.7,42.3,26.3,7.8,4.6,15.0,23.7,105.2
8,9.0,Houston Rockets*,82,241.5,41.5,89.3,0.464,2.0,6.8,0.293,39.5,82.5,0.478,20.4,27.5,0.741,14.3,30.0,44.3,24.5,9.6,4.8,17.4,22.2,105.3
9,10.0,Seattle SuperSonics,82,242.7,39.7,81.8,0.486,2.2,6.3,0.342,37.5,75.4,0.498,24.3,30.9,0.786,12.3,26.9,39.2,22.7,7.7,5.0,15.9,21.9,105.9
10,11.0,Boston Celtics*,82,240.3,41.9,90.0,0.466,2.1,6.6,0.319,39.8,83.5,0.477,20.1,26.0,0.773,12.8,28.3,41.0,25.3,9.0,4.3,12.2,22.5,106.0
11,12.0,Chicago Bulls*,82,241.8,41.0,83.2,0.493,2.5,7.1,0.351,38.5,76.1,0.506,21.8,29.2,0.746,13.0,28.0,41.0,25.7,8.1,4.7,17.2,21.2,106.2
12,13.0,Sacramento Kings,82,240.9,41.3,87.3,0.473,2.0,6.2,0.316,39.3,81.1,0.485,22.3,28.3,0.787,14.0,30.9,44.8,24.7,8.6,4.8,14.2,21.2,106.8
13,14.0,Milwaukee Bucks*,82,241.8,40.1,83.8,0.479,2.2,6.9,0.321,37.9,76.9,0.493,24.3,31.3,0.774,14.1,29.3,43.5,24.7,8.4,5.4,18.4,22.9,106.8
14,15.0,New York Knicks*,82,241.8,42.6,90.6,0.471,2.1,6.6,0.315,40.6,84.0,0.483,19.5,25.6,0.761,15.2,27.9,43.1,25.9,8.8,5.1,15.7,22.8,106.9
15,16.0,Los Angeles Clippers,82,241.5,41.9,87.9,0.476,2.3,7.0,0.323,39.6,80.9,0.49,21.2,27.5,0.772,14.0,28.9,42.9,25.5,10.1,5.2,16.6,23.8,107.2
16,17.0,Atlanta Hawks,82,240.6,41.9,84.6,0.496,2.2,6.5,0.34,39.7,78.1,0.509,21.5,27.8,0.772,14.0,27.3,41.3,26.1,8.2,4.7,15.8,23.9,107.5
17,18.0,Phoenix Suns*,82,242.1,43.0,92.5,0.465,2.4,6.9,0.355,40.6,85.7,0.474,19.3,26.4,0.733,14.7,28.5,43.1,25.9,8.3,4.8,15.3,26.2,107.8
18,19.0,Portland Trail Blazers*,82,242.4,40.9,88.1,0.464,2.8,8.4,0.331,38.1,79.7,0.478,23.4,30.5,0.767,12.9,28.7,41.6,24.7,8.1,5.3,18.2,25.4,107.9
19,20.0,New Jersey Nets,82,240.3,41.5,85.6,0.485,1.7,5.1,0.336,39.8,80.5,0.494,23.2,30.4,0.765,14.0,31.6,45.5,22.8,9.4,5.8,17.3,23.0,108.0
20,21.0,Charlotte Hornets,82,240.9,41.9,84.4,0.497,1.6,5.1,0.314,40.3,79.3,0.509,22.7,29.0,0.784,13.0,33.2,46.2,25.2,7.8,4.7,16.8,21.4,108.2
21,22.0,Indiana Pacers*,82,242.4,42.5,88.1,0.482,2.1,6.6,0.32,40.4,81.5,0.496,22.0,29.2,0.753,14.3,28.0,42.3,23.7,8.7,3.9,14.5,24.6,109.1
22,23.0,Washington Bullets,82,241.8,42.8,90.3,0.474,1.7,5.8,0.3,41.1,84.5,0.486,22.5,29.0,0.777,14.6,30.5,45.1,23.8,7.9,5.2,14.6,21.7,109.9
23,24.0,Miami Heat,82,240.6,41.7,85.5,0.488,1.9,5.6,0.342,39.8,79.9,0.498,25.0,33.1,0.755,13.7,30.1,43.8,25.3,10.5,5.8,18.0,21.7,110.3
24,25.0,Denver Nuggets*,82,241.5,43.8,89.4,0.489,2.0,6.3,0.317,41.8,83.1,0.502,23.6,30.7,0.77,12.5,34.7,47.2,25.3,7.5,5.6,18.5,23.3,113.2
25,26.0,Golden State Warriors,82,240.3,45.9,96.2,0.478,3.2,8.9,0.356,42.7,87.2,0.49,24.4,32.1,0.759,18.2,31.6,49.9,28.4,10.0,5.2,17.3,27.1,119.4
26,27.0,Orlando Magic,82,241.5,47.1,94.6,0.498,2.4,6.8,0.353,44.7,87.8,0.509,23.1,30.5,0.758,14.3,31.3,45.6,28.5,9.0,6.8,14.8,25.1,119.8
27,,League Average,82,241.5,41.5,87.2,0.476,2.2,6.6,0.331,39.3,80.6,0.488,21.8,28.5,0.764,13.8,29.3,43.1,24.9,8.5,5.1,16.1,23.3,107.0
