,Player,Team,G,Par,Stocks,eFG%,MP,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
0,Michael Jordan,Chicago Bulls,82.0,39.8,2.2,0.516,3106.0,27.8,0.567,18.3,8.9,8.6,0.8415,82.0,0.832,1.0,1997
1,Karl Malone,Utah Jazz,82.0,41.8,2.0,0.55,2998.0,28.9,0.6,16.7,8.3,7.8,0.7805,82.0,0.857,1.0,1997
4,Mitch Richmond,Sacramento Kings,81.0,34.0,1.8,0.519,3125.0,21.6,0.578,10.8,4.6,5.2,0.4146,82.0,0.003,0.9878,1997
5,Latrell Sprewell,Golden State Warriors,80.0,35.1,2.3,0.5,3353.0,19.7,0.57,8.1,2.7,4.0,0.3659,82.0,0,0.9756,1997
6,Allen Iverson,Philadelphia 76ers,76.0,35.1,2.4,0.467,3045.0,18.0,0.513,4.1,0.9,2.2,0.2683,82.0,0.001,0.9268,1997
7,Hakeem Olajuwon,Houston Rockets,78.0,35.4,3.7,0.512,2852.0,22.7,0.558,9.1,3.5,3.9,0.6951,82.0,0.083,0.9512,1997
8,Patrick Ewing,New York Knicks,78.0,35.1,3.3,0.489,2887.0,21.3,0.548,9.8,2.8,3.5,0.6951,82.0,0.05,0.9512,1997
10,Kendall Gill,New Jersey Nets,82.0,31.9,2.5,0.469,3199.0,19.6,0.53,8.8,2.9,4.0,0.3171,82.0,0,1.0,1997
11,Gary Payton,Seattle SuperSonics,82.0,33.5,2.6,0.517,3213.0,21.8,0.545,12.9,5.5,6.1,0.6951,82.0,0.091,1.0,1997
12,Reggie Miller,Indiana Pacers,81.0,28.5,1.2,0.536,2966.0,20.2,0.603,12.3,5.8,5.8,0.4756,82.0,0,0.9878,1997
13,Grant Hill,Detroit Pistons,80.0,37.7,2.4,0.5,3147.0,25.5,0.556,14.6,8.2,8.0,0.6585,82.0,0.327,0.9756,1997
14,Glenn Robinson,Milwaukee Bucks,80.0,30.5,2.2,0.487,3114.0,17.5,0.528,4.7,0.7,2.1,0.4024,82.0,0,0.9756,1997
15,Vin Baker,Milwaukee Bucks,78.0,34.0,2.4,0.511,3159.0,20.1,0.553,8.3,2.0,3.2,0.4024,82.0,0,0.9512,1997
16,Jerry Stackhouse,Philadelphia 76ers,81.0,28.0,1.9,0.446,3166.0,14.1,0.524,2.1,-2.2,-0.2,0.2683,82.0,0,0.9878,1997
17,Tom Gugliotta,Minnesota Timberwolves,81.0,33.4,2.7,0.451,3131.0,19.0,0.526,6.7,1.7,2.9,0.4878,82.0,0.001,0.9878,1997
19,Tim Hardaway,Miami Heat,81.0,32.3,2.0,0.489,3136.0,20.8,0.532,12.9,6.2,6.5,0.7439,82.0,0.207,0.9878,1997
20,Scottie Pippen,Chicago Bulls,82.0,32.4,2.4,0.531,3095.0,21.3,0.554,13.1,5.7,6.1,0.8415,82.0,0.005,1.0,1997
21,Damon Stoudamire,Toronto Raptors,81.0,33.1,1.7,0.463,3311.0,18.1,0.516,7.6,1.8,3.1,0.3659,82.0,0,0.9878,1997
22,Kevin Johnson,Phoenix Suns,70.0,33.0,1.7,0.546,2658.0,22.9,0.631,11.7,5.0,4.7,0.4878,82.0,0.001,0.8537,1997
23,Steve Smith,Atlanta Hawks,72.0,27.6,1.2,0.486,2818.0,17.4,0.548,9.1,1.7,2.7,0.6829,82.0,0.001,0.878,1997
24,Chris Webber,Washington Bullets,72.0,35.0,3.6,0.543,2806.0,21.8,0.554,9.3,5.3,5.1,0.5366,82.0,0,0.878,1997
25,Alonzo Mourning,Miami Heat,66.0,31.3,3.7,0.535,2320.0,21.6,0.578,8.4,2.9,2.9,0.7439,82.0,0.004,0.8049,1997
26,Terrell Brandon,Cleveland Cavaliers,78.0,29.7,2.2,0.476,2868.0,21.5,0.526,10.8,5.6,5.5,0.5122,82.0,0,0.9512,1997
28,Juwan Howard,Washington Bullets,82.0,30.9,1.4,0.486,3324.0,16.1,0.529,7.0,-0.3,1.4,0.5366,82.0,0,1.0,1997
30,Shareef Abdur-Rahim,Vancouver Grizzlies,80.0,27.8,2.0,0.456,2802.0,17.4,0.518,2.9,-1.8,0.2,0.1707,82.0,0,0.9756,1997
31,Shawn Kemp,Seattle SuperSonics,81.0,30.6,2.5,0.516,2750.0,20.7,0.583,10.0,0.8,2.0,0.6951,82.0,0,0.9878,1997
32,Joe Smith,Golden State Warriors,80.0,28.8,2.0,0.459,3086.0,16.0,0.512,4.4,-2.3,-0.2,0.3659,82.0,0,0.9756,1997
33,Antonio McDyess,Denver Nuggets,74.0,27.0,2.5,0.466,2565.0,15.5,0.509,1.8,-2.8,-0.5,0.2561,82.0,0,0.9024,1997
36,Christian Laettner,Atlanta Hawks,82.0,29.6,2.0,0.5,3140.0,19.1,0.562,11.6,2.5,3.5,0.6829,82.0,0,1.0,1997
37,Clyde Drexler,Houston Rockets,62.0,29.7,2.5,0.508,2271.0,19.9,0.548,8.1,4.8,3.9,0.6951,82.0,0,0.7561,1997
39,Kenny Anderson,Portland Trail Blazers,82.0,29.0,2.2,0.485,3081.0,19.5,0.54,12.4,4.4,5.0,0.5976,82.0,0,1.0,1997
40,Antoine Walker,Boston Celtics,82.0,29.7,1.9,0.445,2970.0,15.5,0.474,1.7,-2.1,-0.1,0.1829,82.0,0,1.0,1997
41,Mookie Blaylock,Atlanta Hawks,78.0,28.6,3.0,0.528,3056.0,20.4,0.548,12.5,6.8,6.8,0.6829,82.0,0,0.9512,1997
42,Rony Seikaly,Orlando Magic,74.0,28.0,2.1,0.507,2615.0,18.3,0.567,6.8,-1.1,0.6,0.5488,82.0,0,0.9024,1997
43,Eddie Jones,Los Angeles Lakers,80.0,24.7,3.0,0.508,2998.0,17.3,0.559,9.6,3.3,4.0,0.6829,82.0,0,0.9756,1997
44,Rod Strickland,Washington Bullets,82.0,30.2,1.9,0.472,2997.0,19.7,0.533,8.8,2.7,3.6,0.5366,82.0,0,1.0,1997
46,Kevin Garnett,Minnesota Timberwolves,77.0,28.1,3.5,0.502,2995.0,18.2,0.537,7.3,2.2,3.2,0.4878,82.0,0,0.939,1997
47,Detlef Schrempf,Seattle SuperSonics,61.0,27.7,1.3,0.531,2192.0,18.3,0.592,8.0,3.3,2.9,0.6951,82.0,0,0.7439,1997
48,David Wesley,Boston Celtics,74.0,27.7,2.4,0.521,2991.0,16.5,0.563,6.1,0.6,1.9,0.1829,82.0,0,0.9024,1997
49,Dale Ellis,Denver Nuggets,82.0,22.2,0.8,0.498,2940.0,12.9,0.537,3.1,-1.9,0.0,0.2561,82.0,0,1.0,1997
50,Kerry Kittles,New Jersey Nets,82.0,23.3,2.3,0.493,3012.0,16.0,0.523,6.9,1.8,2.9,0.3171,82.0,0,1.0,1997
51,Walt Williams,Toronto Raptors,73.0,24.1,2.1,0.516,2647.0,14.9,0.551,5.4,0.8,1.9,0.3659,82.0,0,0.8902,1997
53,Bryant Reeves,Vancouver Grizzlies,75.0,26.4,1.3,0.486,2777.0,14.4,0.523,2.4,-4.0,-1.4,0.1707,82.0,0,0.9146,1997
54,Isaiah Rider,Portland Trail Blazers,76.0,22.7,0.9,0.514,2563.0,13.8,0.557,5.0,-0.7,0.9,0.5976,82.0,0,0.9268,1997
56,Jim Jackson,New Jersey Nets,77.0,25.3,1.5,0.473,2831.0,15.1,0.526,4.4,-0.1,1.3,0.3171,82.0,0,0.939,1997
